Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:31,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:59,,0,,2 (+2),"GOOD JUMPER by WILLIAMS,ZAVIEN",Rhodes 0-2 (+2),,"GOOD JUMPER by WILLIAMS,ZAVIEN",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
18:39,"MISS JUMPER by UGHOVWA,NICHOLAS",,,,,,,"MISS JUMPER by UGHOVWA,NICHOLAS",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
18:19,,0,,5 (+5),"GOOD 3PTR by DOTSON,PHIL",Rhodes 0-5 (+5),,"GOOD 3PTR by DOTSON,PHIL",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
18:05,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
18:03,"FOUL  by UGHOVWA,NICHOLAS",,,,,,,"FOUL  by UGHOVWA,NICHOLAS",1
17:38,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
17:38,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",1
17:33,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
17:33,"GOOD FT by GASCA,DAKOTA(fastbreak)",1,,5 (+4),,Mill 1-5 (+4),,"GOOD FT by GASCA,DAKOTA(fastbreak)",1
17:33,"GOOD FT by GASCA,DAKOTA(fastbreak)",2,,5 (+3),,Mill 2-5 (+3),,"GOOD FT by GASCA,DAKOTA(fastbreak)",1
17:13,,2,,7 (+5),"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 2-7 (+5),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
