Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",Rhodes 0-2 (+2),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
19:17,"MISS JUMPER by KAHL,COLIN(in the paint)",,,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:57,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
18:57,"STEAL  by MARR,RUSS",,,,,,,"STEAL  by MARR,RUSS",1
18:51,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
18:50,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
18:31,"TURNOVER  by SMITH,GRAHAM",,,,,,,"TURNOVER  by SMITH,GRAHAM",1
18:18,,0,,4 (+4),"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 0-4 (+4),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
18:08,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",2,,4 (+2),,Sewan 2-4 (+2),,"GOOD LAYUP by KAHL,COLIN(fastbreak)(in the paint)",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
17:56,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
17:56,"STEAL  by KAHL,COLIN",,,,,,,"STEAL  by KAHL,COLIN",1
17:42,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
17:42,"MISS FT by SMITH,GRAHAM",,,,,,,"MISS FT by SMITH,GRAHAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:42,"GOOD FT by SMITH,GRAHAM",3,,4 (+1),,Sewan 3-4 (+1),,"GOOD FT by SMITH,GRAHAM",1
17:30,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
17:25,,3,,6 (+3),"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",Rhodes 3-6 (+3),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
17:19,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
17:19,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",1
17:15,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
17:15,,3,,7 (+4),"GOOD FT by WILEY,KOKI(fastbreak)",Rhodes 3-7 (+4),,"GOOD FT by WILEY,KOKI(fastbreak)",1
17:15,,3,,8 (+5),"GOOD FT by WILEY,KOKI(fastbreak)",Rhodes 3-8 (+5),,"GOOD FT by WILEY,KOKI(fastbreak)",1
16:58,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
16:42,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
16:23,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",5,,8 (+3),,Sewan 5-8 (+3),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
16:04,,5,,10 (+5),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 5-10 (+5),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
15:55,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
15:55,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",1
15:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:55,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
15:55,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
15:55,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
15:55,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",1
15:44,,5,,12 (+7),"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 5-12 (+7),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
15:20,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",7,,12 (+5),,Sewan 7-12 (+5),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
14:52,,7,,14 (+7),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 7-14 (+7),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
14:38,"MISS LAYUP by HOLLAND,ELI(in the paint)",,,,,,,"MISS LAYUP by HOLLAND,ELI(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
14:21,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",1
14:21,,7,,15 (+8),"GOOD FT by ESSICK,JALEN",Rhodes 7-15 (+8),,"GOOD FT by ESSICK,JALEN",1
14:21,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
14:21,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
14:21,,,,,"SUB IN by DOTSON,PHIL",,,"SUB IN by DOTSON,PHIL",1
14:21,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
14:21,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
13:59,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
13:59,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
13:55,,,,,"TURNOVER  by RAMBERG,CASS",,,"TURNOVER  by RAMBERG,CASS",1
13:55,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",1
13:55,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
13:41,"GOOD 3PTR by WILLIAMS,RASHAUN",10,,15 (+5),,Sewan 10-15 (+5),,"GOOD 3PTR by WILLIAMS,RASHAUN",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
13:10,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
13:00,,,,,"FOUL  by RAMBERG,CASS",,,"FOUL  by RAMBERG,CASS",1
13:00,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
13:00,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
13:00,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
