Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:31,"GOOD JUMPER by ELLIS,CHASE(in the paint)",2 (+2),,0,,Berry 2-0 (-2),,"GOOD JUMPER by ELLIS,CHASE(in the paint)",1
19:13,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
19:13,"BLOCK  by COSTAS,RILEY",,,,,,,"BLOCK  by COSTAS,RILEY",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
19:04,"GOOD JUMPER by BENHAM,BRAXTON(in the paint)",4 (+4),,0,,Berry 4-0 (-4),,"GOOD JUMPER by BENHAM,BRAXTON(in the paint)",1
18:44,"FOUL  by ELLIS,CHASE",,,,,,,"FOUL  by ELLIS,CHASE",1
18:44,,,,,"MISS FT by WALKER,JEFFERSON",,,"MISS FT by WALKER,JEFFERSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:44,,,,,"MISS FT by WALKER,JEFFERSON",,,"MISS FT by WALKER,JEFFERSON",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
18:23,"GOOD JUMPER by ELLIS,CHASE",6 (+6),,0,,Berry 6-0 (-6),,"GOOD JUMPER by ELLIS,CHASE",1
18:11,,6 (+4),,2,"GOOD JUMPER by WILEY,KOKI",Rhodes 6-2 (-4),,"GOOD JUMPER by WILEY,KOKI",1
17:39,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
17:39,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",1
17:35,"FOUL  by HONROTH,OWEN",,,,,,,"FOUL  by HONROTH,OWEN",1
17:24,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",1
17:24,"BLOCK  by ELLIS,CHASE",,,,,,,"BLOCK  by ELLIS,CHASE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:11,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
17:05,"FOUL  by CLARK,BRYCE",,,,,,,"FOUL  by CLARK,BRYCE",1
17:05,,6 (+3),,3,"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 6-3 (-3),,"GOOD FT by GEORGETOWN II,ARNESS",1
17:05,,,,,"MISS FT by GEORGETOWN II,ARNESS",,,"MISS FT by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
16:36,"GOOD JUMPER by ELLIS,CHASE(in the paint)",8 (+5),,3,,Berry 8-3 (-5),,"GOOD JUMPER by ELLIS,CHASE(in the paint)",1
16:13,,8 (+2),,6,"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 8-6 (-2),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
15:52,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,,,,,"REBOUND DEF by DOTSON,PHIL",,,"REBOUND DEF by DOTSON,PHIL",1
15:38,,8,,9 (+1),"GOOD 3PTR by DOTSON,PHIL",Rhodes 8-9 (+1),,"GOOD 3PTR by DOTSON,PHIL",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
15:38,"FOUL  by BENHAM,BRAXTON",,,,,,,"FOUL  by BENHAM,BRAXTON",1
15:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:38,"SUB OUT by BENHAM,BRAXTON",,,,,,,"SUB OUT by BENHAM,BRAXTON",1
15:38,"SUB OUT by CLARK,BRYCE",,,,,,,"SUB OUT by CLARK,BRYCE",1
15:38,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
15:38,"SUB IN by SEGALL,RYAN",,,,,,,"SUB IN by SEGALL,RYAN",1
15:38,,,,,"MISS FT by DOTSON,PHIL",,,"MISS FT by DOTSON,PHIL",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
15:31,"GOOD 3PTR by HONROTH,OWEN(fastbreak)",11 (+2),,9,,Berry 11-9 (-2),,"GOOD 3PTR by HONROTH,OWEN(fastbreak)",1
--,"ASSIST  by SEGALL,RYAN",,,,,,,"ASSIST  by SEGALL,RYAN",1
15:10,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
