Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:38,,0,,3 (+3),"GOOD 3PTR by DOTSON,PHIL",Rhodes 0-3 (+3),,"GOOD 3PTR by DOTSON,PHIL",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
19:08,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND OFF by SMITH,BRENT",,,,,,,"REBOUND OFF by SMITH,BRENT",1
19:04,"GOOD LAYUP by SMITH,BRENT(in the paint)",2,,3 (+1),,OU 2-3 (+1),,"GOOD LAYUP by SMITH,BRENT(in the paint)",1
18:52,,2,,5 (+3),"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",Rhodes 2-5 (+3),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
18:33,"MISS JUMPER by KEMP,JACKSON",,,,,,,"MISS JUMPER by KEMP,JACKSON",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:21,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
18:11,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
17:58,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
17:53,,2,,7 (+5),"GOOD JUMPER by DOTSON,PHIL(in the paint)",Rhodes 2-7 (+5),,"GOOD JUMPER by DOTSON,PHIL(in the paint)",1
17:36,"MISS JUMPER by SMITH,BRENT(in the paint)",,,,,,,"MISS JUMPER by SMITH,BRENT(in the paint)",1
--,"REBOUND OFF by JAMES,JORDAN",,,,,,,"REBOUND OFF by JAMES,JORDAN",1
17:30,"MISS LAYUP by JAMES,JORDAN(in the paint)",,,,,,,"MISS LAYUP by JAMES,JORDAN(in the paint)",1
17:30,,,,,"BLOCK  by GEORGETOWN II,ARNESS",,,"BLOCK  by GEORGETOWN II,ARNESS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:20,"MISS 3PTR by SMITH,BRENT",,,,,,,"MISS 3PTR by SMITH,BRENT",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
17:11,,,,,"FOUL  by DOTSON,PHIL",,,"FOUL  by DOTSON,PHIL",1
17:11,,,,,"TURNOVER  by DOTSON,PHIL",,,"TURNOVER  by DOTSON,PHIL",1
16:57,"GOOD JUMPER by JAMES,JORDAN(in the paint)",4,,7 (+3),,OU 4-7 (+3),,"GOOD JUMPER by JAMES,JORDAN(in the paint)",1
--,"ASSIST  by KEMP,JACKSON",,,,,,,"ASSIST  by KEMP,JACKSON",1
16:40,,,,,"MISS JUMPER by DOTSON,PHIL(in the paint)",,,"MISS JUMPER by DOTSON,PHIL(in the paint)",1
--,"REBOUND DEF by KEMP,JACKSON",,,,,,,"REBOUND DEF by KEMP,JACKSON",1
16:31,"GOOD 3PTR by JENEI,RYAN",7,,7,,OU 7-7 (0),,"GOOD 3PTR by JENEI,RYAN",1
--,"ASSIST  by DOOLEY,MALACHI",,,,,,,"ASSIST  by DOOLEY,MALACHI",1
16:04,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
16:04,"BLOCK  by SMITH,BRENT",,,,,,,"BLOCK  by SMITH,BRENT",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
16:01,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
16:01,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
16:01,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
16:01,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",1
15:42,,,,,"MISS 3PTR by DOTSON,PHIL",,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND OFF by DOTSON,PHIL",,,"REBOUND OFF by DOTSON,PHIL",1
15:36,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by KEMP,JACKSON",,,,,,,"REBOUND DEF by KEMP,JACKSON",1
15:17,"GOOD JUMPER by SMITH,BRENT(in the paint)",9 (+2),,7,,OU 9-7 (-2),,"GOOD JUMPER by SMITH,BRENT(in the paint)",1
15:17,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
15:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:17,"SUB OUT by JAMES,JORDAN",,,,,,,"SUB OUT by JAMES,JORDAN",1
15:17,"SUB OUT by DOOLEY,MALACHI",,,,,,,"SUB OUT by DOOLEY,MALACHI",1
15:17,"SUB OUT by KEMP,JACKSON",,,,,,,"SUB OUT by KEMP,JACKSON",1
15:17,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
15:17,"SUB OUT by SMITH,BRENT",,,,,,,"SUB OUT by SMITH,BRENT",1
15:17,"SUB IN by BENNIFIELD ,DYLAN",,,,,,,"SUB IN by BENNIFIELD ,DYLAN",1
15:17,"SUB IN by O'DONOGHUE,TYLER",,,,,,,"SUB IN by O'DONOGHUE,TYLER",1
15:17,"SUB IN by HARRIS,TREY",,,,,,,"SUB IN by HARRIS,TREY",1
15:17,"SUB IN by REISMAN ,ROBERT",,,,,,,"SUB IN by REISMAN ,ROBERT",1
15:17,"SUB IN by KEMP,MASON",,,,,,,"SUB IN by KEMP,MASON",1
15:17,"GOOD FT by SMITH,BRENT",10 (+3),,7,,OU 10-7 (-3),,"GOOD FT by SMITH,BRENT",1
15:16,"SUB OUT by HARRIS,TREY",,,,,,,"SUB OUT by HARRIS,TREY",1
15:16,"SUB IN by SMITH,BRENT",,,,,,,"SUB IN by SMITH,BRENT",1
15:15,,10 (+1),,9,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",Rhodes 10-9 (-1),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
15:14,"SUB OUT by SMITH,BRENT",,,,,,,"SUB OUT by SMITH,BRENT",1
