Time Remaining,RCMBB,Away Team Score,Play Team Indicator,Home Team Score,HCMBB,Game Score,Team Indicator,Play,Period
17:29,"GOOD LAYUP by WILEY,KOKI(in the paint)",5,,9 (+4),,RCMBB 5-9 (-4),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
17:03,,5,,11 (+6),"GOOD LAYUP by JOHNS,NATE(in the paint)",HCMBB 5-11 (-6),,"GOOD LAYUP by JOHNS,NATE(in the paint)",1
16:54,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by HAWKINS,DAQUAN",,,"REBOUND DEF by HAWKINS,DAQUAN",1
16:42,,,,,"MISS 3PTR by GOOLESBY,TATE",,,"MISS 3PTR by GOOLESBY,TATE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
16:31,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",7,,11 (+4),,RCMBB 7-11 (-4),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
16:01,,,,,"MISS 3PTR by JOHNS,NATE",,,"MISS 3PTR by JOHNS,NATE",1
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",1
15:48,"GOOD 3PTR by DOTSON,PHIL",10,,11 (+1),,RCMBB 10-11 (-1),,"GOOD 3PTR by DOTSON,PHIL",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
15:28,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
15:28,,10,,12 (+2),"GOOD FT by JOHNS,NATE",HCMBB 10-12 (-2),,"GOOD FT by JOHNS,NATE",1
15:28,,10,,13 (+3),"GOOD FT by JOHNS,NATE",HCMBB 10-13 (-3),,"GOOD FT by JOHNS,NATE",1
15:28,,,,,"SUB IN by DUMAS,CHASE",,,"SUB IN by DUMAS,CHASE",1
15:28,,,,,"SUB IN by MURPHY,MYLES",,,"SUB IN by MURPHY,MYLES",1
15:28,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",1
15:06,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by PAGE,SAM",,,"REBOUND DEF by PAGE,SAM",1
14:39,,,,,"MISS 3PTR by PAGE,SAM",,,"MISS 3PTR by PAGE,SAM",1
14:39,"BLOCK  by ESSICK,JALEN",,,,,,,"BLOCK  by ESSICK,JALEN",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
14:31,"MISS LAYUP by ESSICK,JALEN",,,,,,,"MISS LAYUP by ESSICK,JALEN",1
14:31,,,,,"BLOCK  by MURPHY,MYLES",,,"BLOCK  by MURPHY,MYLES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:31,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
14:31,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
14:17,"MISS JUMPER by LAMEY,HAYDEN",,,,,,,"MISS JUMPER by LAMEY,HAYDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:14,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
14:14,,,,,"SUB IN by KNOX,RASHAWN",,,"SUB IN by KNOX,RASHAWN",1
14:14,,,,,"SUB IN by AUTIN,JEREMY",,,"SUB IN by AUTIN,JEREMY",1
14:14,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
14:14,,,,,"SUB OUT by GARDNER,MAX",,,"SUB OUT by GARDNER,MAX",1
13:47,,,,,"MISS JUMPER by DUMAS,CHASE",,,"MISS JUMPER by DUMAS,CHASE",1
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",1
13:39,"GOOD LAYUP by ESSICK,JALEN(in the paint)",12,,13 (+1),,RCMBB 12-13 (-1),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
13:36,"SUB IN by RAMBERG,CASS",,,,,,,"SUB IN by RAMBERG,CASS",1
13:36,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
13:12,,,,,"MISS LAYUP by DUMAS,CHASE",,,"MISS LAYUP by DUMAS,CHASE",1
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",1
13:06,"MISS JUMPER by WALKER,JEFFERSON",,,,,,,"MISS JUMPER by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by AUTIN,JEREMY",,,"REBOUND DEF by AUTIN,JEREMY",1
13:00,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
13:00,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
12:33,,,,,"MISS JUMPER by GOOLESBY,TATE",,,"MISS JUMPER by GOOLESBY,TATE",1
--,,,,,"REBOUND OFF by AUTIN,JEREMY",,,"REBOUND OFF by AUTIN,JEREMY",1
12:12,,,,,"MISS LAYUP by DUMAS,CHASE",,,"MISS LAYUP by DUMAS,CHASE",1
--,"REBOUND DEF by RAMBERG,CASS",,,,,,,"REBOUND DEF by RAMBERG,CASS",1
12:04,"GOOD 3PTR by WILEY,KOKI",15 (+2),,13,,RCMBB 15-13 (+2),,"GOOD 3PTR by WILEY,KOKI",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
11:33,,15,,15,"GOOD LAYUP by MURPHY,MYLES(in the paint)",HCMBB 15-15 (0),,"GOOD LAYUP by MURPHY,MYLES(in the paint)",1
11:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:30,,,,,"SUB IN by HARDEN,REESE",,,"SUB IN by HARDEN,REESE",1
11:30,,,,,"SUB OUT by DUMAS,CHASE",,,"SUB OUT by DUMAS,CHASE",1
11:30,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
11:11,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by AUTIN,JEREMY",,,"REBOUND DEF by AUTIN,JEREMY",1
10:49,,15,,17 (+2),"GOOD LAYUP by JOHNS,NATE(in the paint)",HCMBB 15-17 (-2),,"GOOD LAYUP by JOHNS,NATE(in the paint)",1
10:37,,,,,"FOUL  by HARDEN,REESE",,,"FOUL  by HARDEN,REESE",1
10:37,"GOOD FT by DOTSON,PHIL",16,,17 (+1),,RCMBB 16-17 (-1),,"GOOD FT by DOTSON,PHIL",1
10:37,"MISS FT by DOTSON,PHIL",,,,,,,"MISS FT by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by JOHNS,NATE",,,"REBOUND DEF by JOHNS,NATE",1
10:37,,,,,"SUB IN by LINVILLE,AUSTIN",,,"SUB IN by LINVILLE,AUSTIN",1
10:37,,,,,"SUB IN by HAWKINS,DAQUAN",,,"SUB IN by HAWKINS,DAQUAN",1
10:37,,,,,"SUB OUT by KNOX,RASHAWN",,,"SUB OUT by KNOX,RASHAWN",1
10:37,,,,,"SUB OUT by AUTIN,JEREMY",,,"SUB OUT by AUTIN,JEREMY",1
10:09,,,,,"MISS 3PTR by LINVILLE,AUSTIN",,,"MISS 3PTR by LINVILLE,AUSTIN",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
10:01,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",1
09:59,"GOOD LAYUP by DOTSON,PHIL(in the paint)",18 (+1),,17,,RCMBB 18-17 (+1),,"GOOD LAYUP by DOTSON,PHIL(in the paint)",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
09:39,,,,,"MISS 3PTR by LINVILLE,AUSTIN",,,"MISS 3PTR by LINVILLE,AUSTIN",1
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",1
09:30,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",20 (+3),,17,,RCMBB 20-17 (+3),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",1
--,"ASSIST  by DOTSON,PHIL",,,,,,,"ASSIST  by DOTSON,PHIL",1
09:10,,,,,"TURNOVER  by LINVILLE,AUSTIN",,,"TURNOVER  by LINVILLE,AUSTIN",1
09:08,"STEAL  by DOTSON,PHIL",,,,,,,"STEAL  by DOTSON,PHIL",1
09:08,"SUB IN by PRANGE,JONATHAN",,,,,,,"SUB IN by PRANGE,JONATHAN",1
09:08,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
09:08,,,,,"SUB IN by TOWNSEND,MARCUS",,,"SUB IN by TOWNSEND,MARCUS",1
09:08,,,,,"SUB OUT by MURPHY,MYLES",,,"SUB OUT by MURPHY,MYLES",1
08:53,"GOOD 3PTR by DOTSON,PHIL",23 (+6),,17,,RCMBB 23-17 (+6),,"GOOD 3PTR by DOTSON,PHIL",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
08:19,,,,,"TURNOVER  by HAWKINS,DAQUAN",,,"TURNOVER  by HAWKINS,DAQUAN",1
08:19,,,,,"SUB IN by GARDNER,MAX",,,"SUB IN by GARDNER,MAX",1
08:19,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
08:19,,,,,"SUB OUT by HARDEN,REESE",,,"SUB OUT by HARDEN,REESE",1
08:19,,,,,"SUB OUT by LINVILLE,AUSTIN",,,"SUB OUT by LINVILLE,AUSTIN",1
08:04,"MISS LAYUP by RAMBERG,CASS",,,,,,,"MISS LAYUP by RAMBERG,CASS",1
08:04,,,,,"BLOCK  by TOWNSEND,MARCUS",,,"BLOCK  by TOWNSEND,MARCUS",1
--,,,,,"REBOUND DEF by HAWKINS,DAQUAN",,,"REBOUND DEF by HAWKINS,DAQUAN",1
07:46,"FOUL  by PRANGE,JONATHAN",,,,,,,"FOUL  by PRANGE,JONATHAN",1
07:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:46,,,,,"SUB IN by GOOLESBY,TATE",,,"SUB IN by GOOLESBY,TATE",1
07:46,,,,,"SUB OUT by TOWNSEND,MARCUS",,,"SUB OUT by TOWNSEND,MARCUS",1
07:45,,,,,"MISS 3PTR by HAWKINS,DAQUAN",,,"MISS 3PTR by HAWKINS,DAQUAN",1
--,,,,,"REBOUND OFF by GOOLESBY,TATE",,,"REBOUND OFF by GOOLESBY,TATE",1
07:41,,23 (+4),,19,"GOOD JUMPER by GOOLESBY,TATE(in the paint)",HCMBB 23-19 (+4),,"GOOD JUMPER by GOOLESBY,TATE(in the paint)",1
07:28,"MISS LAYUP by WALKER,JEFFERSON",,,,,,,"MISS LAYUP by WALKER,JEFFERSON",1
--,"REBOUND OFF by RAMBERG,CASS",,,,,,,"REBOUND OFF by RAMBERG,CASS",1
07:24,"GOOD TIPIN by RAMBERG,CASS(in the paint)",25 (+6),,19,,RCMBB 25-19 (+6),,"GOOD TIPIN by RAMBERG,CASS(in the paint)",1
06:59,,,,,"TURNOVER  by GOOLESBY,TATE",,,"TURNOVER  by GOOLESBY,TATE",1
06:46,"TURNOVER  by PRANGE,JONATHAN",,,,,,,"TURNOVER  by PRANGE,JONATHAN",1
06:42,,,,,"STEAL  by GARDNER,MAX",,,"STEAL  by GARDNER,MAX",1
06:30,,,,,"MISS JUMPER by GARDNER,MAX",,,"MISS JUMPER by GARDNER,MAX",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
06:18,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by HAWKINS,DAQUAN",,,"REBOUND DEF by HAWKINS,DAQUAN",1
05:58,,25 (+4),,21,"GOOD JUMPER by GOOLESBY,TATE(in the paint)",HCMBB 25-21 (+4),,"GOOD JUMPER by GOOLESBY,TATE(in the paint)",1
--,,,,,"ASSIST  by GARDNER,MAX",,,"ASSIST  by GARDNER,MAX",1
05:36,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
05:36,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
05:36,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
05:36,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
05:36,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
05:36,"SUB OUT by PRANGE,JONATHAN",,,,,,,"SUB OUT by PRANGE,JONATHAN",1
05:36,"SUB OUT by RAMBERG,CASS",,,,,,,"SUB OUT by RAMBERG,CASS",1
05:36,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
05:11,,,,,"TURNOVER  by JOHNS,NATE",,,"TURNOVER  by JOHNS,NATE",1
05:10,"STEAL  by WILLIAMS,ZAVIEN",,,,,,,"STEAL  by WILLIAMS,ZAVIEN",1
04:57,,,,,"FOUL  by PAGE,SAM",,,"FOUL  by PAGE,SAM",1
04:57,,,,,"FOUL  by PAGE,SAM",,,"FOUL  by PAGE,SAM",1
04:57,"MISS FT by WALKER,JEFFERSON",,,,,,,"MISS FT by WALKER,JEFFERSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:57,"GOOD FT by WALKER,JEFFERSON",26 (+5),,21,,RCMBB 26-21 (+5),,"GOOD FT by WALKER,JEFFERSON",1
04:57,,,,,"SUB IN by MURPHY,MYLES",,,"SUB IN by MURPHY,MYLES",1
04:57,,,,,"SUB IN by AUTIN,JEREMY",,,"SUB IN by AUTIN,JEREMY",1
04:57,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
04:57,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
04:36,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
04:36,,26 (+4),,22,"GOOD FT by MURPHY,MYLES",HCMBB 26-22 (+4),,"GOOD FT by MURPHY,MYLES",1
04:36,,26 (+3),,23,"GOOD FT by MURPHY,MYLES",HCMBB 26-23 (+3),,"GOOD FT by MURPHY,MYLES",1
04:36,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
04:36,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
04:36,,,,,"SUB IN by TOWNSEND,MARCUS",,,"SUB IN by TOWNSEND,MARCUS",1
04:36,,,,,"SUB IN by DUMAS,CHASE",,,"SUB IN by DUMAS,CHASE",1
04:36,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
04:36,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",1
04:12,"MISS LAYUP by GEORGETOWN II,ARNESS",,,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS",1
--,,,,,"REBOUND DEF by TOWNSEND,MARCUS",,,"REBOUND DEF by TOWNSEND,MARCUS",1
03:54,,26 (+1),,25,"GOOD JUMPER by DUMAS,CHASE(in the paint)",HCMBB 26-25 (+1),,"GOOD JUMPER by DUMAS,CHASE(in the paint)",1
03:40,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
03:40,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
03:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:10,,,,,"TURNOVER  by GARDNER,MAX",,,"TURNOVER  by GARDNER,MAX",1
02:48,"MISS LAYUP by DOTSON,PHIL",,,,,,,"MISS LAYUP by DOTSON,PHIL",1
02:48,,,,,"BLOCK  by DUMAS,CHASE",,,"BLOCK  by DUMAS,CHASE",1
--,"REBOUND OFF by DOTSON,PHIL",,,,,,,"REBOUND OFF by DOTSON,PHIL",1
02:44,"MISS LAYUP by DOTSON,PHIL",,,,,,,"MISS LAYUP by DOTSON,PHIL",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
02:29,,26,,27 (+1),"GOOD LAYUP by GARDNER,MAX(in the paint)",HCMBB 26-27 (-1),,"GOOD LAYUP by GARDNER,MAX(in the paint)",1
02:19,"GOOD LAYUP by ESSICK,JALEN(in the paint)",28 (+1),,27,,RCMBB 28-27 (+1),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
--,"ASSIST  by LAMEY,HAYDEN",,,,,,,"ASSIST  by LAMEY,HAYDEN",1
02:00,,,,,"MISS JUMPER by GARDNER,MAX",,,"MISS JUMPER by GARDNER,MAX",1
--,,,,,"REBOUND OFF by AUTIN,JEREMY",,,"REBOUND OFF by AUTIN,JEREMY",1
01:54,,,,,"TURNOVER  by AUTIN,JEREMY",,,"TURNOVER  by AUTIN,JEREMY",1
01:54,,,,,"SUB IN by HARDEN,REESE",,,"SUB IN by HARDEN,REESE",1
01:54,,,,,"SUB OUT by DUMAS,CHASE",,,"SUB OUT by DUMAS,CHASE",1
01:42,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
01:40,,,,,"STEAL  by AUTIN,JEREMY",,,"STEAL  by AUTIN,JEREMY",1
01:32,"FOUL  by DOTSON,PHIL",,,,,,,"FOUL  by DOTSON,PHIL",1
01:32,,28,,28,"GOOD FT by MURPHY,MYLES",HCMBB 28-28 (0),,"GOOD FT by MURPHY,MYLES",1
01:32,,,,,"MISS FT by MURPHY,MYLES",,,"MISS FT by MURPHY,MYLES",1
--,,,,,"REBOUND OFF by JOHNS,NATE",,,"REBOUND OFF by JOHNS,NATE",1
01:32,,,,,"SUB IN by JOHNS,NATE",,,"SUB IN by JOHNS,NATE",1
01:32,,,,,"SUB OUT by AUTIN,JEREMY",,,"SUB OUT by AUTIN,JEREMY",1
01:29,,,,,"MISS 3PTR by GARDNER,MAX",,,"MISS 3PTR by GARDNER,MAX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:08,"GOOD 3PTR by DOTSON,PHIL",31 (+3),,28,,RCMBB 31-28 (+3),,"GOOD 3PTR by DOTSON,PHIL",1
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",1
00:35,,,,,"MISS JUMPER by JOHNS,NATE",,,"MISS JUMPER by JOHNS,NATE",1
--,"REBOUND DEF by LAMEY,HAYDEN",,,,,,,"REBOUND DEF by LAMEY,HAYDEN",1
00:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:06,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
00:00,,,,,"MISS 3PTR by JOHNS,NATE",,,"MISS 3PTR by JOHNS,NATE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:51,"MISS LAYUP by ESSICK,JALEN",,,,,,,"MISS LAYUP by ESSICK,JALEN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:49,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:32,,,,,"FOUL  by HAWKINS,DAQUAN",,,"FOUL  by HAWKINS,DAQUAN",2
19:32,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",2
19:32,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
19:18,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",2
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",2
19:13,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",2
--,,,,,"REBOUND DEF by JOHNS,NATE",,,"REBOUND DEF by JOHNS,NATE",2
18:52,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
18:52,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",2
18:52,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
18:52,,,,,"SUB IN by AUTIN,JEREMY",,,"SUB IN by AUTIN,JEREMY",2
18:52,,,,,"SUB IN by KNOX,RASHAWN",,,"SUB IN by KNOX,RASHAWN",2
18:52,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",2
18:52,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",2
18:42,,,,,"TURNOVER  by GARDNER,MAX",,,"TURNOVER  by GARDNER,MAX",2
18:26,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",33 (+5),,28,,RCMBB 33-28 (+5),,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
18:03,,,,,"MISS LAYUP by KNOX,RASHAWN",,,"MISS LAYUP by KNOX,RASHAWN",2
--,,,,,"REBOUND OFF by GOOLESBY,TATE",,,"REBOUND OFF by GOOLESBY,TATE",2
17:58,,,,,"MISS TIPIN by GOOLESBY,TATE",,,"MISS TIPIN by GOOLESBY,TATE",2
--,"REBOUND DEF by LAMEY,HAYDEN",,,,,,,"REBOUND DEF by LAMEY,HAYDEN",2
17:52,"MISS 3PTR by DOTSON,PHIL",,,,,,,"MISS 3PTR by DOTSON,PHIL",2
--,,,,,"REBOUND DEF by AUTIN,JEREMY",,,"REBOUND DEF by AUTIN,JEREMY",2
17:46,,,,,"TURNOVER  by AUTIN,JEREMY",,,"TURNOVER  by AUTIN,JEREMY",2
17:36,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",2
--,,,,,"REBOUND DEF by AUTIN,JEREMY",,,"REBOUND DEF by AUTIN,JEREMY",2
17:16,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",2
17:16,,33 (+4),,29,"GOOD FT by GARDNER,MAX",HCMBB 33-29 (+4),,"GOOD FT by GARDNER,MAX",2
17:16,,33 (+3),,30,"GOOD FT by GARDNER,MAX",HCMBB 33-30 (+3),,"GOOD FT by GARDNER,MAX",2
17:00,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",35 (+5),,30,,RCMBB 35-30 (+5),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",2
--,"ASSIST  by LAMEY,HAYDEN",,,,,,,"ASSIST  by LAMEY,HAYDEN",2
16:36,,35 (+3),,32,"GOOD LAYUP by GARDNER,MAX(in the paint)",HCMBB 35-32 (+3),,"GOOD LAYUP by GARDNER,MAX(in the paint)",2
16:11,"MISS JUMPER by DOTSON,PHIL",,,,,,,"MISS JUMPER by DOTSON,PHIL",2
--,,,,,"REBOUND DEF by GOOLESBY,TATE",,,"REBOUND DEF by GOOLESBY,TATE",2
15:47,,,,,"MISS JUMPER by AUTIN,JEREMY",,,"MISS JUMPER by AUTIN,JEREMY",2
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",2
15:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:38,"SUB IN by PRANGE,JONATHAN",,,,,,,"SUB IN by PRANGE,JONATHAN",2
15:38,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",2
15:38,,,,,"SUB IN by TOWNSEND,MARCUS",,,"SUB IN by TOWNSEND,MARCUS",2
15:38,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",2
15:33,"GOOD LAYUP by WILEY,KOKI(in the paint)",37 (+5),,32,,RCMBB 37-32 (+5),,"GOOD LAYUP by WILEY,KOKI(in the paint)",2
15:00,,37 (+2),,35,"GOOD 3PTR by JOHNS,NATE",HCMBB 37-35 (+2),,"GOOD 3PTR by JOHNS,NATE",2
--,,,,,"ASSIST  by GARDNER,MAX",,,"ASSIST  by GARDNER,MAX",2
14:38,"SUB IN by RAMBERG,CASS",,,,,,,"SUB IN by RAMBERG,CASS",2
