Time Remaining,RHODES-M,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
16:34,"GOOD 3PTR by ESSICK,JALEN",47 (+18),,29,,RHODES-M 47-29 (+18),,"GOOD 3PTR by ESSICK,JALEN",2
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",2
16:07,,,,,"MISS 3PTR by GIBSON,JASON",,,"MISS 3PTR by GIBSON,JASON",2
--,"REBOUND DEF by WALKER,JEFFERSON",,,,,,,"REBOUND DEF by WALKER,JEFFERSON",2
15:54,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
15:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:38,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",2
15:38,"SUB IN by RAMBERG,CASS",,,,,,,"SUB IN by RAMBERG,CASS",2
15:38,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",2
15:38,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",2
15:20,"GOOD 3PTR by WALKER,JEFFERSON",50 (+21),,29,,RHODES-M 50-29 (+21),,"GOOD 3PTR by WALKER,JEFFERSON",2
14:51,,50 (+18),,32,"GOOD 3PTR by GIBSON,JASON",HC-MBK 50-32 (+18),,"GOOD 3PTR by GIBSON,JASON",2
--,,,,,"ASSIST  by PATTON,LUKE",,,"ASSIST  by PATTON,LUKE",2
14:37,"GOOD 3PTR by WALKER,JEFFERSON",53 (+21),,32,,RHODES-M 53-32 (+21),,"GOOD 3PTR by WALKER,JEFFERSON",2
14:35,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
14:35,"STEAL  by RAMBERG,CASS",,,,,,,"STEAL  by RAMBERG,CASS",2
14:35,"GOOD LAYUP by ESSICK,JALEN(in the paint)",55 (+23),,32,,RHODES-M 55-32 (+23),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
13:57,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",2
13:57,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
13:51,,55 (+21),,34,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",HC-MBK 55-34 (+21),,"GOOD LAYUP by WEAVER,BRADEN(in the paint)",2
13:31,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",2
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
13:25,"GOOD TIPIN by WILLIAMS,ZAVIEN(in the paint)",57 (+23),,34,,RHODES-M 57-34 (+23),,"GOOD TIPIN by WILLIAMS,ZAVIEN(in the paint)",2
13:10,,,,,"MISS LAYUP by GIBSON,JASON",,,"MISS LAYUP by GIBSON,JASON",2
--,"REBOUND DEF by RAMBERG,CASS",,,,,,,"REBOUND DEF by RAMBERG,CASS",2
12:58,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",2
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
12:53,"GOOD 3PTR by LAMEY,HAYDEN",60 (+26),,34,,RHODES-M 60-34 (+26),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,"ASSIST  by WILLIAMS,ZAVIEN",,,,,,,"ASSIST  by WILLIAMS,ZAVIEN",2
12:35,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",2
12:35,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",2
12:35,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
12:35,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",2
12:35,,,,,"SUB IN by SCIFRES,COLIN",,,"SUB IN by SCIFRES,COLIN",2
12:35,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
12:35,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
12:35,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
12:35,,,,,"SUB OUT by GIBSON,JASON",,,"SUB OUT by GIBSON,JASON",2
12:28,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",2
12:12,,60 (+24),,36,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",HC-MBK 60-36 (+24),,"GOOD JUMPER by DEITHLOFF,TYLER(in the paint)",2
11:55,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",2
--,,,,,"REBOUND DEF by COBB,DANIEL",,,"REBOUND DEF by COBB,DANIEL",2
11:45,,60 (+22),,38,"GOOD LAYUP by MAYO,DREW(in the paint)",HC-MBK 60-38 (+22),,"GOOD LAYUP by MAYO,DREW(in the paint)",2
11:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:36,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
11:36,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",2
11:21,"MISS JUMPER by DOTSON,PHIL",,,,,,,"MISS JUMPER by DOTSON,PHIL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:09,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
10:55,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",2
10:55,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
10:55,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
10:41,"TURNOVER  by RAMBERG,CASS",,,,,,,"TURNOVER  by RAMBERG,CASS",2
10:41,"FOUL  by RAMBERG,CASS",,,,,,,"FOUL  by RAMBERG,CASS",2
10:27,"FOUL  by DOTSON,PHIL",,,,,,,"FOUL  by DOTSON,PHIL",2
10:27,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
10:27,"SUB IN by PRANGE,JONATHAN",,,,,,,"SUB IN by PRANGE,JONATHAN",2
10:27,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",2
10:27,"SUB OUT by RAMBERG,CASS",,,,,,,"SUB OUT by RAMBERG,CASS",2
10:22,,60 (+19),,41,"GOOD 3PTR by DEITHLOFF,TYLER",HC-MBK 60-41 (+19),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by COBB,DANIEL",,,"ASSIST  by COBB,DANIEL",2
10:10,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",2
10:01,"GOOD LAYUP by WILEY,KOKI(in the paint)",62 (+21),,41,,RHODES-M 62-41 (+21),,"GOOD LAYUP by WILEY,KOKI(in the paint)",2
09:51,,,,,"TURNOVER  by SCIFRES,COLIN",,,"TURNOVER  by SCIFRES,COLIN",2
09:50,"STEAL  by WILEY,KOKI",,,,,,,"STEAL  by WILEY,KOKI",2
09:43,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",64 (+23),,41,,RHODES-M 64-41 (+23),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",2
09:29,,,,,"MISS LAYUP by KRONENBERGER,BEAU",,,"MISS LAYUP by KRONENBERGER,BEAU",2
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",2
09:24,"SUB IN by COOPER,LUKE",,,,,,,"SUB IN by COOPER,LUKE",2
09:24,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",2
09:24,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
09:24,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
09:21,"MISS LAYUP by WILLIAMS,ZAVIEN",,,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
09:11,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",2
08:58,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
08:58,"GOOD FT by WILEY,KOKI",65 (+24),,41,,RHODES-M 65-41 (+24),,"GOOD FT by WILEY,KOKI",2
08:58,"MISS FT by WILEY,KOKI",,,,,,,"MISS FT by WILEY,KOKI",2
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",2
08:58,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
08:58,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",2
08:57,"MISS LAYUP by WILEY,KOKI",,,,,,,"MISS LAYUP by WILEY,KOKI",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
08:46,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
08:35,"MISS JUMPER by PRANGE,JONATHAN",,,,,,,"MISS JUMPER by PRANGE,JONATHAN",2
--,,,,,"REBOUND DEF by SCIFRES,COLIN",,,"REBOUND DEF by SCIFRES,COLIN",2
08:12,,,,,"MISS LAYUP by SQUIRES,CALEB",,,"MISS LAYUP by SQUIRES,CALEB",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
07:49,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",67 (+26),,41,,RHODES-M 67-41 (+26),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",2
07:32,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
07:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:32,"SUB IN by WHITE,ELIJAH",,,,,,,"SUB IN by WHITE,ELIJAH",2
07:32,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",2
07:32,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",2
07:32,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
07:32,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
07:32,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
07:29,,67 (+24),,43,"GOOD LAYUP by SQUIRES,CALEB(in the paint)",HC-MBK 67-43 (+24),,"GOOD LAYUP by SQUIRES,CALEB(in the paint)",2
07:13,"TURNOVER  by PRANGE,JONATHAN",,,,,,,"TURNOVER  by PRANGE,JONATHAN",2
07:13,,,,,"STEAL  by COBB,DANIEL",,,"STEAL  by COBB,DANIEL",2
07:03,"FOUL  by WHITE,ELIJAH",,,,,,,"FOUL  by WHITE,ELIJAH",2
07:00,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
06:58,"STEAL  by LAMEY,HAYDEN",,,,,,,"STEAL  by LAMEY,HAYDEN",2
06:57,,,,,"FOUL  by SQUIRES,CALEB",,,"FOUL  by SQUIRES,CALEB",2
06:57,"MISS FT by LAMEY,HAYDEN",,,,,,,"MISS FT by LAMEY,HAYDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:57,"GOOD FT by LAMEY,HAYDEN",68 (+25),,43,,RHODES-M 68-43 (+25),,"GOOD FT by LAMEY,HAYDEN",2
06:43,"FOUL  by WHITE,ELIJAH",,,,,,,"FOUL  by WHITE,ELIJAH",2
06:43,,68 (+24),,44,"GOOD FT by COBB,DANIEL",HC-MBK 68-44 (+24),,"GOOD FT by COBB,DANIEL",2
06:43,,68 (+23),,45,"GOOD FT by COBB,DANIEL",HC-MBK 68-45 (+23),,"GOOD FT by COBB,DANIEL",2
06:31,"TURNOVER  by WHITE,ELIJAH",,,,,,,"TURNOVER  by WHITE,ELIJAH",2
06:31,"FOUL  by WHITE,ELIJAH",,,,,,,"FOUL  by WHITE,ELIJAH",2
06:17,"FOUL  by WHITE,ELIJAH",,,,,,,"FOUL  by WHITE,ELIJAH",2
06:17,,68 (+22),,46,"GOOD FT by COBB,DANIEL",HC-MBK 68-46 (+22),,"GOOD FT by COBB,DANIEL",2
06:17,,,,,"MISS FT by COBB,DANIEL",,,"MISS FT by COBB,DANIEL",2
--,,,,,"REBOUND OFF by SCIFRES,COLIN",,,"REBOUND OFF by SCIFRES,COLIN",2
06:17,"SUB IN by WAGNER,MIKE",,,,,,,"SUB IN by WAGNER,MIKE",2
06:17,"SUB OUT by WHITE,ELIJAH",,,,,,,"SUB OUT by WHITE,ELIJAH",2
06:12,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,"REBOUND DEF by COOPER,LUKE",,,,,,,"REBOUND DEF by COOPER,LUKE",2
05:54,"MISS 3PTR by PRANGE,JONATHAN",,,,,,,"MISS 3PTR by PRANGE,JONATHAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:49,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",2
05:49,"SUB OUT by PRANGE,JONATHAN",,,,,,,"SUB OUT by PRANGE,JONATHAN",2
05:49,,,,,"SUB IN by GIBSON,JASON",,,"SUB IN by GIBSON,JASON",2
05:49,,,,,"SUB IN by EDWARDS,LANDON",,,"SUB IN by EDWARDS,LANDON",2
05:49,,,,,"SUB OUT by SCIFRES,COLIN",,,"SUB OUT by SCIFRES,COLIN",2
05:49,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
05:36,,,,,"MISS JUMPER by GIBSON,JASON",,,"MISS JUMPER by GIBSON,JASON",2
--,"REBOUND DEF by COOPER,LUKE",,,,,,,"REBOUND DEF by COOPER,LUKE",2
05:29,"GOOD 3PTR by LAMEY,HAYDEN",71 (+25),,46,,RHODES-M 71-46 (+25),,"GOOD 3PTR by LAMEY,HAYDEN",2
--,"ASSIST  by WAGNER,MIKE",,,,,,,"ASSIST  by WAGNER,MIKE",2
05:13,,,,,"MISS LAYUP by WEAVER,BRADEN",,,"MISS LAYUP by WEAVER,BRADEN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:12,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",2
05:12,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
05:00,,,,,"MISS JUMPER by GIBSON,JASON",,,"MISS JUMPER by GIBSON,JASON",2
--,"REBOUND DEF by DOTSON,PHIL",,,,,,,"REBOUND DEF by DOTSON,PHIL",2
04:53,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",73 (+27),,46,,RHODES-M 73-46 (+27),,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",2
04:38,,73 (+25),,48,"GOOD JUMPER by GIBSON,JASON(in the paint)",HC-MBK 73-48 (+25),,"GOOD JUMPER by GIBSON,JASON(in the paint)",2
04:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:26,"SUB IN by O'BRIEN,KRIS",,,,,,,"SUB IN by O'BRIEN,KRIS",2
04:26,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",2
04:26,,,,,"SUB IN by SAVARIO,JACK",,,"SUB IN by SAVARIO,JACK",2
04:26,,,,,"SUB IN by BOWER,CARSON",,,"SUB IN by BOWER,CARSON",2
04:26,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
04:26,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
04:05,"TURNOVER  by WAGNER,MIKE",,,,,,,"TURNOVER  by WAGNER,MIKE",2
04:04,,,,,"STEAL  by SAVARIO,JACK",,,"STEAL  by SAVARIO,JACK",2
03:59,"FOUL  by COOPER,LUKE",,,,,,,"FOUL  by COOPER,LUKE",2
03:59,,,,,"MISS FT by EDWARDS,LANDON",,,"MISS FT by EDWARDS,LANDON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:59,,73 (+24),,49,"GOOD FT by EDWARDS,LANDON",HC-MBK 73-49 (+24),,"GOOD FT by EDWARDS,LANDON",2
03:44,,,,,"SUB IN by TSCHURR,SKY",,,"SUB IN by TSCHURR,SKY",2
03:44,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
03:34,"MISS JUMPER by WAGNER,MIKE",,,,,,,"MISS JUMPER by WAGNER,MIKE",2
--,"REBOUND OFF by COOPER,LUKE",,,,,,,"REBOUND OFF by COOPER,LUKE",2
03:20,"GOOD TIPIN by COOPER,LUKE(in the paint)",75 (+26),,49,,RHODES-M 75-49 (+26),,"GOOD TIPIN by COOPER,LUKE(in the paint)",2
03:15,,,,,"MISS JUMPER by EDWARDS,LANDON",,,"MISS JUMPER by EDWARDS,LANDON",2
--,"REBOUND DEF by DEMPSEY,JACK",,,,,,,"REBOUND DEF by DEMPSEY,JACK",2
02:52,"MISS 3PTR by O'BRIEN,KRIS",,,,,,,"MISS 3PTR by O'BRIEN,KRIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:40,"FOUL  by WAGNER,MIKE",,,,,,,"FOUL  by WAGNER,MIKE",2
02:40,,75 (+25),,50,"GOOD FT by GIBSON,JASON",HC-MBK 75-50 (+25),,"GOOD FT by GIBSON,JASON",2
02:40,,,,,"MISS FT by GIBSON,JASON",,,"MISS FT by GIBSON,JASON",2
--,"REBOUND DEF by DEMPSEY,JACK",,,,,,,"REBOUND DEF by DEMPSEY,JACK",2
02:15,"MISS LAYUP by O'BRIEN,KRIS",,,,,,,"MISS LAYUP by O'BRIEN,KRIS",2
--,"REBOUND OFF by DEMPSEY,JACK",,,,,,,"REBOUND OFF by DEMPSEY,JACK",2
02:12,"MISS LAYUP by DEMPSEY,JACK",,,,,,,"MISS LAYUP by DEMPSEY,JACK",2
--,"REBOUND OFF by DEMPSEY,JACK",,,,,,,"REBOUND OFF by DEMPSEY,JACK",2
02:08,"MISS JUMPER by O'BRIEN,KRIS",,,,,,,"MISS JUMPER by O'BRIEN,KRIS",2
--,,,,,"REBOUND DEF by EDWARDS,LANDON",,,"REBOUND DEF by EDWARDS,LANDON",2
01:58,,75 (+22),,53,"GOOD 3PTR by GIBSON,JASON",HC-MBK 75-53 (+22),,"GOOD 3PTR by GIBSON,JASON",2
01:54,,,,,"SUB IN by LIKENS,HOUSTON",,,"SUB IN by LIKENS,HOUSTON",2
01:54,,,,,"SUB OUT by GIBSON,JASON",,,"SUB OUT by GIBSON,JASON",2
01:34,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",2
--,,,,,"REBOUND DEF by EDWARDS,LANDON",,,"REBOUND DEF by EDWARDS,LANDON",2
01:23,,,,,"MISS 3PTR by SAVARIO,JACK",,,"MISS 3PTR by SAVARIO,JACK",2
--,"REBOUND DEF by DEMPSEY,JACK",,,,,,,"REBOUND DEF by DEMPSEY,JACK",2
01:03,,,,,"FOUL  by BOWER,CARSON",,,"FOUL  by BOWER,CARSON",2
01:03,"GOOD FT by O'BRIEN,KRIS",76 (+23),,53,,RHODES-M 76-53 (+23),,"GOOD FT by O'BRIEN,KRIS",2
01:03,"GOOD FT by O'BRIEN,KRIS",77 (+24),,53,,RHODES-M 77-53 (+24),,"GOOD FT by O'BRIEN,KRIS",2
00:51,,,,,"TURNOVER  by BOWER,CARSON",,,"TURNOVER  by BOWER,CARSON",2
00:50,"STEAL  by O'BRIEN,KRIS",,,,,,,"STEAL  by O'BRIEN,KRIS",2
00:26,"TURNOVER  by COOPER,LUKE",,,,,,,"TURNOVER  by COOPER,LUKE",2
00:23,,,,,"STEAL  by SAVARIO,JACK",,,"STEAL  by SAVARIO,JACK",2
00:22,"FOUL  by COOPER,LUKE",,,,,,,"FOUL  by COOPER,LUKE",2
00:22,,,,,"MISS FT by SAVARIO,JACK",,,"MISS FT by SAVARIO,JACK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:22,,,,,"MISS FT by SAVARIO,JACK",,,"MISS FT by SAVARIO,JACK",2
--,"REBOUND DEF by PRANGE,JONATHAN",,,,,,,"REBOUND DEF by PRANGE,JONATHAN",2
00:22,"SUB IN by PRANGE,JONATHAN",,,,,,,"SUB IN by PRANGE,JONATHAN",2
00:22,"SUB OUT by COOPER,LUKE",,,,,,,"SUB OUT by COOPER,LUKE",2
