Time Remaining,LOR,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:27,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
19:20,"MISS JUMPER by SABET,ALI",,,,,,,"MISS JUMPER by SABET,ALI",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
19:05,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",1
18:47,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",2 (+2),,0,,LOR 2-0 (-2),,"GOOD LAYUP by SINGLETON,ALEX(in the paint)",1
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",1
18:30,,,,,"MISS JUMPER by WALKER,JEFFERSON",,,"MISS JUMPER by WALKER,JEFFERSON",1
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",1
18:13,"GOOD JUMPER by BASS,TYLER(in the paint)",4 (+4),,0,,LOR 4-0 (-4),,"GOOD JUMPER by BASS,TYLER(in the paint)",1
17:45,,4 (+2),,2,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 4-2 (-2),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
17:28,"MISS JUMPER by BARRY,MYLES(in the paint)",,,,,,,"MISS JUMPER by BARRY,MYLES(in the paint)",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
17:22,,4,,4,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)",Rhodes 4-4 (0),,"GOOD JUMPER by WALKER,JEFFERSON(fastbreak)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
17:05,"GOOD JUMPER by BASS,TYLER(fastbreak)(in the paint)",6 (+2),,4,,LOR 6-4 (-2),,"GOOD JUMPER by BASS,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",1
16:49,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
16:38,,,,,"FOUL  by WALKER,JEFFERSON",,,"FOUL  by WALKER,JEFFERSON",1
16:32,"GOOD 3PTR by SABET,ALI",9 (+5),,4,,LOR 9-4 (-5),,"GOOD 3PTR by SABET,ALI",1
--,"ASSIST  by CIURLIK,DECLAN",,,,,,,"ASSIST  by CIURLIK,DECLAN",1
16:20,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
16:08,"GOOD JUMPER by SINGLETON,ALEX(in the paint)",11 (+7),,4,,LOR 11-4 (-7),,"GOOD JUMPER by SINGLETON,ALEX(in the paint)",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
15:43,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",1
15:30,"FOUL  by SINGLETON,ALEX",,,,,,,"FOUL  by SINGLETON,ALEX",1
15:30,"TURNOVER  by SINGLETON,ALEX",,,,,,,"TURNOVER  by SINGLETON,ALEX",1
15:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:30,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",1
15:30,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",1
15:30,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",1
15:30,"SUB IN by DEERING,ZACH",,,,,,,"SUB IN by DEERING,ZACH",1
15:02,,11 (+5),,6,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",Rhodes 11-6 (-5),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",1
14:39,"MISS JUMPER by BASS,TYLER(in the paint)",,,,,,,"MISS JUMPER by BASS,TYLER(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
14:22,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",,,"TURNOVER  by GEORGETOWN II,ARNESS",1
14:13,"MISS JUMPER by PEARSON,JARED(in the paint)",,,,,,,"MISS JUMPER by PEARSON,JARED(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
14:07,,,,,"MISS JUMPER by WALKER,JEFFERSON",,,"MISS JUMPER by WALKER,JEFFERSON",1
--,"REBOUND DEF by DEERING,ZACH",,,,,,,"REBOUND DEF by DEERING,ZACH",1
13:57,"GOOD JUMPER by SABET,ALI(fastbreak)(in the paint)",13 (+7),,6,,LOR 13-6 (-7),,"GOOD JUMPER by SABET,ALI(fastbreak)(in the paint)",1
13:41,,13 (+5),,8,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 13-8 (-5),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
13:28,"TURNOVER  by SABET,ALI",,,,,,,"TURNOVER  by SABET,ALI",1
13:28,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1
13:23,,13 (+3),,10,"GOOD JUMPER by WILEY,KOKI(fastbreak)(in the paint)",Rhodes 13-10 (-3),,"GOOD JUMPER by WILEY,KOKI(fastbreak)(in the paint)",1
13:23,"FOUL  by BASS,TYLER",,,,,,,"FOUL  by BASS,TYLER",1
13:23,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
13:23,,,,,"SUB IN by RAMBERG,CASS",,,"SUB IN by RAMBERG,CASS",1
13:23,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",1
13:23,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",1
13:23,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",1
13:23,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",1
13:23,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",1
13:23,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",1
13:23,,,,,"MISS FT by WILEY,KOKI(fastbreak)",,,"MISS FT by WILEY,KOKI(fastbreak)",1
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",1
13:17,"GOOD 3PTR by PEARSON,JARED",16 (+6),,10,,LOR 16-10 (-6),,"GOOD 3PTR by PEARSON,JARED",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
13:01,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
13:01,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",1
12:58,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
12:58,"STEAL  by SARVIS,GAVIN",,,,,,,"STEAL  by SARVIS,GAVIN",1
12:36,"MISS 3PTR by PEARSON,JARED",,,,,,,"MISS 3PTR by PEARSON,JARED",1
--,"REBOUND OFF by BARRY,MYLES",,,,,,,"REBOUND OFF by BARRY,MYLES",1
12:14,"MISS 3PTR by SARVIS,GAVIN",,,,,,,"MISS 3PTR by SARVIS,GAVIN",1
--,"REBOUND OFF by DEERING,ZACH",,,,,,,"REBOUND OFF by DEERING,ZACH",1
12:14,"FOUL TECH by SARVIS,GAVIN",,,,,,,"FOUL TECH by SARVIS,GAVIN",1
12:14,,16 (+5),,11,"GOOD FT by ESSICK,JALEN(fastbreak)",Rhodes 16-11 (-5),,"GOOD FT by ESSICK,JALEN(fastbreak)",1
12:14,"TURNOVER  by SARVIS,GAVIN",,,,,,,"TURNOVER  by SARVIS,GAVIN",1
12:11,"GOOD LAYUP by SARVIS,GAVIN(in the paint)",18 (+7),,11,,LOR 18-11 (-7),,"GOOD LAYUP by SARVIS,GAVIN(in the paint)",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
12:00,,18 (+5),,13,"GOOD LAYUP by RAMBERG,CASS(in the paint)",Rhodes 18-13 (-5),,"GOOD LAYUP by RAMBERG,CASS(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
11:48,"FOUL  by DEERING,ZACH",,,,,,,"FOUL  by DEERING,ZACH",1
11:48,"TURNOVER  by DEERING,ZACH",,,,,,,"TURNOVER  by DEERING,ZACH",1
11:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:48,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",1
11:48,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
11:48,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",1
11:48,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",1
11:48,"SUB OUT by DEERING,ZACH",,,,,,,"SUB OUT by DEERING,ZACH",1
11:48,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",1
11:48,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",1
11:48,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",1
11:40,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",1
11:39,,,,,"FOUL  by RAMBERG,CASS",,,"FOUL  by RAMBERG,CASS",1
11:15,"TURNOVER  by SINGLETON,ALEX",,,,,,,"TURNOVER  by SINGLETON,ALEX",1
11:15,,,,,"STEAL  by RAMBERG,CASS",,,"STEAL  by RAMBERG,CASS",1
