,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,19:38,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1,foul,,centre,"bates,jacob",,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1178.0,hendrix,1,0,0.0,1
1,1,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,19:38,,0.0,,1.0,"GOOD FT by COMAN,SEAN",HENDRIX 0-1 (-1),,"GOOD FT by COMAN,SEAN",1,free throw,good,hendrix,"coman,sean",1.0,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1178.0,hendrix,1,0,0.0,0
2,2,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,19:38,,0.0,,2.0,"GOOD FT by COMAN,SEAN",HENDRIX 0-2 (-2),,"GOOD FT by COMAN,SEAN",1,free throw,good,hendrix,"coman,sean",1.0,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1178.0,hendrix,1,0,0.0,0
3,3,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,19:11,"GOOD JUMPER by BATES,JACOB(in the paint)",2.0,,2.0,,CENTRE-M 2-2 (0),,"GOOD JUMPER by BATES,JACOB(in the paint)",1,jumper,good,centre,"bates,jacob",2.0,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1151.0,hendrix,1,0,0.0,0
4,4,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,--,"ASSIST  by RAKES,BAILEY",2.0,,2.0,,,,"ASSIST  by RAKES,BAILEY",1,assist,,centre,"rakes,bailey",,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",,hendrix,1,0,0.0,0
5,5,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,19:05,,2.0,,2.0,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1,turnover,,hendrix,"smith,preston",,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1145.0,hendrix,1,0,0.0,0
6,6,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,19:03,"STEAL  by RAKES,BAILEY",2.0,,2.0,,,,"STEAL  by RAKES,BAILEY",1,steal,,centre,,,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1143.0,hendrix,1,0,0.0,0
7,7,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,18:59,"MISS 3PTR by AYERS,PERRY",2.0,,2.0,,,,"MISS 3PTR by AYERS,PERRY",1,three pointer,missed,centre,"ayers,perry",,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1139.0,centre,2,0,0.0,1
8,8,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,--,,2.0,,2.0,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1,defensive rebound,,hendrix,"coman,sean",,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",,centre,2,0,0.0,0
9,9,3469,Hendrix,Centre,1,62-49,"22,27","29,33",9-13,19-3,5-6,10-1,02/03/19,2:00 PM,,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,153,False,18:27,,2.0,,2.0,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1,three pointer,missed,hendrix,"link,jacob",,"['walker,art', 'rakes,bailey', 'ayers,perry', 'sine,tucker', 'bates,jacob']","['stanley,seth', 'smith,preston', 'link,jacob', 'coman,sean', 'fitch,carl']",1107.0,hendrix,3,0,0.0,1
