,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway,1stPlayOfPoss
0,0,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,19:34,"GOOD JUMPER by AYERS,PERRY",2,,0,,CENTRE-M 2-0 (+2),,"GOOD JUMPER by AYERS,PERRY",1,jumper,good,centre,"ayers,perry",2.0,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1174.0,marymount,1,0,0.0,1
1,1,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,19:16,,2,,3,"GOOD 3PTR by ETIENNE,STEVE",MARYMO~1 2-3 (-1),,"GOOD 3PTR by ETIENNE,STEVE",1,three pointer,good,marymount,"etienne,steve",3.0,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1156.0,marymount,1,0,0.0,0
2,2,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,--,,2,,3,"ASSIST  by GIARDINA,JOSH",,,"ASSIST  by GIARDINA,JOSH",1,assist,,marymount,"giardina,josh",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",,marymount,1,0,0.0,0
3,3,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,18:56,,2,,3,"FOUL  by KAMARA,IBRAHIM",,,"FOUL  by KAMARA,IBRAHIM",1,foul,,marymount,"kamara,ibrahim",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1136.0,marymount,1,0,0.0,0
4,4,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,18:40,"GOOD LAYUP by BATES,JACOB(in the paint)",4,,3,,CENTRE-M 4-3 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1,layup,good,centre,"bates,jacob",2.0,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1120.0,centre,2,0,0.0,1
5,5,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,18:21,,4,,3,"TURNOVER  by ALBERT,RYAN",,,"TURNOVER  by ALBERT,RYAN",1,turnover,,marymount,"albert,ryan",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1101.0,centre,2,0,0.0,0
6,6,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,18:19,"STEAL  by BAUGHMAN,CARTER",4,,3,,,,"STEAL  by BAUGHMAN,CARTER",1,steal,,centre,,,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1099.0,centre,2,0,0.0,0
7,7,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,18:17,"MISS LAYUP by RAKES,BAILEY",4,,3,,,,"MISS LAYUP by RAKES,BAILEY",1,layup,missed,centre,"rakes,bailey",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1097.0,centre,2,0,0.0,0
8,8,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,--,"REBOUND OFF by RAKES,BAILEY",4,,3,,,,"REBOUND OFF by RAKES,BAILEY",1,offensive rebound,,centre,"rakes,bailey",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",,centre,2,0,0.0,0
9,9,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,18:04,"MISS 3PTR by AYERS,PERRY",4,,3,,,,"MISS 3PTR by AYERS,PERRY",1,three pointer,missed,centre,"ayers,perry",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1084.0,centre,2,0,0.0,0
10,10,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,--,,4,,3,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,marymount,,,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",,marymount,3,0,0.0,1
11,11,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,17:30,,4,,3,"TURNOVER  by GIARDINA,JOSH",,,"TURNOVER  by GIARDINA,JOSH",1,turnover,,marymount,"giardina,josh",,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1050.0,marymount,3,0,0.0,0
12,12,3916,Marymount,Centre,0,72-62,"27,35","36,36",6-4,8-2,,,12/19/19,8:05 p.m.,,"Daytona Beach, Fla. (Ocean Center)",Lose,2,False,115,False,17:29,"STEAL  by RAKES,BAILEY",4,,3,,,,"STEAL  by RAKES,BAILEY",1,steal,,centre,,,"['bates,jacob', 'walker,art', 'ayers,perry', 'rakes,bailey', 'baughman,carter']","['etienne,steve', 'kamara,ibrahim', 'walker,taiga', 'giardina,josh', 'albert,ryan']",1049.0,marymount,3,0,0.0,0
