Time Remaining,WLU,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:38,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",1
--,"REBOUND DEF by MURTHA,CLAYTON",,,,,,,"REBOUND DEF by MURTHA,CLAYTON",1
19:22,"GOOD 3PTR by MCMILLAN,ROY",3 (+3),,0,,WLU 3-0 (-3),,"GOOD 3PTR by MCMILLAN,ROY",1
19:02,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",1
19:01,"STEAL  by STARR,ALEX",,,,,,,"STEAL  by STARR,ALEX",1
18:57,"GOOD LAYUP by STARR,ALEX(fastbreak)(in the paint)",5 (+5),,0,,WLU 5-0 (-5),,"GOOD LAYUP by STARR,ALEX(fastbreak)(in the paint)",1
18:34,"FOUL  by MCMILLAN,ROY",,,,,,,"FOUL  by MCMILLAN,ROY",1
18:19,,5 (+3),,2,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 5-2 (-3),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
18:06,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
18:06,"MISS FT by MURTHA,CLAYTON",,,,,,,"MISS FT by MURTHA,CLAYTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:06,"GOOD FT by MURTHA,CLAYTON",6 (+4),,2,,WLU 6-2 (-4),,"GOOD FT by MURTHA,CLAYTON",1
17:56,,6 (+1),,5,"GOOD 3PTR by SMITH,LUKE",SEWANEE 6-5 (-1),,"GOOD 3PTR by SMITH,LUKE",1
17:38,"MISS LAYUP by STARR,ALEX",,,,,,,"MISS LAYUP by STARR,ALEX",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
17:31,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by GEORGE,NICHOLAS",,,,,,,"REBOUND DEF by GEORGE,NICHOLAS",1
17:23,"MISS 3PTR by GEORGE,NICHOLAS",,,,,,,"MISS 3PTR by GEORGE,NICHOLAS",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
17:08,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",1
--,,,,,"REBOUND OFF by LEE,MATT",,,"REBOUND OFF by LEE,MATT",1
17:01,,6,,7 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 6-7 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by LEE,MATT",,,"ASSIST  by LEE,MATT",1
16:47,"MISS JUMPER by KEARNS,DEVIN",,,,,,,"MISS JUMPER by KEARNS,DEVIN",1
--,"REBOUND OFF by MURTHA,CLAYTON",,,,,,,"REBOUND OFF by MURTHA,CLAYTON",1
16:39,"GOOD JUMPER by MCMILLAN,ROY(in the paint)",8 (+1),,7,,WLU 8-7 (-1),,"GOOD JUMPER by MCMILLAN,ROY(in the paint)",1
16:23,,8,,9 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 8-9 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
16:15,"GOOD 3PTR by MCMILLAN,ROY",11 (+2),,9,,WLU 11-9 (-2),,"GOOD 3PTR by MCMILLAN,ROY",1
--,"ASSIST  by KEARNS,DEVIN",,,,,,,"ASSIST  by KEARNS,DEVIN",1
16:01,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",1
16:00,"STEAL  by STARR,ALEX",,,,,,,"STEAL  by STARR,ALEX",1
15:54,"MISS LAYUP by KEARNS,DEVIN",,,,,,,"MISS LAYUP by KEARNS,DEVIN",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
15:48,,11,,11,"GOOD JUMPER by LEE,MATT(in the paint)",SEWANEE 11-11 (0),,"GOOD JUMPER by LEE,MATT(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
15:29,"TURNOVER  by MCMILLAN,ROY",,,,,,,"TURNOVER  by MCMILLAN,ROY",1
15:28,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
15:24,,11,,13 (+2),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 11-13 (+2),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
15:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
15:20,"SUB IN by MITCHELL,CURTIS",,,,,,,"SUB IN by MITCHELL,CURTIS",1
15:20,"SUB IN by BRUEGGEMAN,WILLIAM",,,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",1
15:20,"SUB OUT by STARR,ALEX",,,,,,,"SUB OUT by STARR,ALEX",1
