Time Remaining,E&HM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:44,"MISS JUMPER by BRANSCOMB,CHASE",,,,,,,"MISS JUMPER by BRANSCOMB,CHASE",1
19:44,,,,,"BLOCK  by LEE,MATT",,,"BLOCK  by LEE,MATT",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
19:28,"FOUL  by WYNN,ALIC",,,,,,,"FOUL  by WYNN,ALIC",1
19:19,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
19:04,"MISS JUMPER by MOLDEN,COLIN",,,,,,,"MISS JUMPER by MOLDEN,COLIN",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
18:57,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
18:57,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
18:48,"FOUL  by WYNN,ALIC",,,,,,,"FOUL  by WYNN,ALIC",1
18:48,"SUB IN by HENDRICKS,JARRIS",,,,,,,"SUB IN by HENDRICKS,JARRIS",1
18:48,"SUB OUT by WYNN,ALIC",,,,,,,"SUB OUT by WYNN,ALIC",1
18:35,,,,,"MISS JUMPER by SMITH,LUKE",,,"MISS JUMPER by SMITH,LUKE",1
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",1
18:27,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",1
18:22,"GOOD JUMPER by BRANSCOMB,CHASE",2 (+2),,0,,E&HM 2-0 (-2),,"GOOD JUMPER by BRANSCOMB,CHASE",1
--,"ASSIST  by SUGGS,THARON",,,,,,,"ASSIST  by SUGGS,THARON",1
18:00,,2,,2,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
17:37,"MISS JUMPER by MOLDEN,COLIN",,,,,,,"MISS JUMPER by MOLDEN,COLIN",1
--,"REBOUND OFF by HENDRICKS,JARRIS",,,,,,,"REBOUND OFF by HENDRICKS,JARRIS",1
17:32,"GOOD LAYUP by HENDRICKS,JARRIS(in the paint)",4 (+2),,2,,E&HM 4-2 (-2),,"GOOD LAYUP by HENDRICKS,JARRIS(in the paint)",1
17:21,,,,,"MISS JUMPER by THOMAS,ADRIAN",,,"MISS JUMPER by THOMAS,ADRIAN",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
17:13,"FOUL  by HENDRICKS,JARRIS",,,,,,,"FOUL  by HENDRICKS,JARRIS",1
17:13,"TURNOVER  by HENDRICKS,JARRIS",,,,,,,"TURNOVER  by HENDRICKS,JARRIS",1
17:02,,4,,4,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 4-4 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
16:38,"TURNOVER  by MOLDEN,COLIN",,,,,,,"TURNOVER  by MOLDEN,COLIN",1
16:36,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
16:32,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",1
16:23,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
16:23,"GOOD FT by SHELOR,JOHN",5 (+1),,4,,E&HM 5-4 (-1),,"GOOD FT by SHELOR,JOHN",1
16:23,"MISS FT by SHELOR,JOHN",,,,,,,"MISS FT by SHELOR,JOHN",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
16:23,"SUB IN by SPENCER,DANIEL",,,,,,,"SUB IN by SPENCER,DANIEL",1
16:23,"SUB OUT by MOLDEN,COLIN",,,,,,,"SUB OUT by MOLDEN,COLIN",1
16:23,,,,,"SUB IN by HEITZENRATER,ANDREW",,,"SUB IN by HEITZENRATER,ANDREW",1
16:23,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
16:22,"FOUL  by HENDRICKS,JARRIS",,,,,,,"FOUL  by HENDRICKS,JARRIS",1
16:13,,5,,6 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 5-6 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
15:52,"MISS JUMPER by BRANSCOMB,CHASE",,,,,,,"MISS JUMPER by BRANSCOMB,CHASE",1
--,"REBOUND OFF by SPENCER,DANIEL",,,,,,,"REBOUND OFF by SPENCER,DANIEL",1
15:44,"MISS JUMPER by SPENCER,DANIEL",,,,,,,"MISS JUMPER by SPENCER,DANIEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:44,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:37,"GOOD JUMPER by BRANSCOMB,CHASE",7 (+1),,6,,E&HM 7-6 (-1),,"GOOD JUMPER by BRANSCOMB,CHASE",1
15:13,,7,,8 (+1),"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 7-8 (+1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
14:50,"TURNOVER  by SUGGS,THARON",,,,,,,"TURNOVER  by SUGGS,THARON",1
14:48,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
14:46,,7,,11 (+4),"GOOD 3PTR by HEITZENRATER,ANDREW",SEWANEE 7-11 (+4),,"GOOD 3PTR by HEITZENRATER,ANDREW",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
14:26,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
14:26,"SUB IN by WYNN,ALIC",,,,,,,"SUB IN by WYNN,ALIC",1
14:26,"SUB IN by MCLEAN,JOHNNY",,,,,,,"SUB IN by MCLEAN,JOHNNY",1
14:26,"SUB IN by MOLDEN,COLIN",,,,,,,"SUB IN by MOLDEN,COLIN",1
14:26,"SUB OUT by BRANSCOMB,CHASE",,,,,,,"SUB OUT by BRANSCOMB,CHASE",1
14:26,"SUB OUT by HENDRICKS,JARRIS",,,,,,,"SUB OUT by HENDRICKS,JARRIS",1
14:26,"SUB OUT by SUGGS,THARON",,,,,,,"SUB OUT by SUGGS,THARON",1
14:18,"MISS 3PTR by SPENCER,DANIEL",,,,,,,"MISS 3PTR by SPENCER,DANIEL",1
--,,,,,"REBOUND DEF by HEITZENRATER,ANDREW",,,"REBOUND DEF by HEITZENRATER,ANDREW",1
14:03,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",1
--,"REBOUND DEF by SPENCER,DANIEL",,,,,,,"REBOUND DEF by SPENCER,DANIEL",1
13:51,"GOOD JUMPER by MCLEAN,JOHNNY(in the paint)",9,,11 (+2),,E&HM 9-11 (+2),,"GOOD JUMPER by MCLEAN,JOHNNY(in the paint)",1
13:32,,9,,14 (+5),"GOOD 3PTR by HEITZENRATER,ANDREW",SEWANEE 9-14 (+5),,"GOOD 3PTR by HEITZENRATER,ANDREW",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
13:15,"GOOD JUMPER by MOLDEN,COLIN",11,,14 (+3),,E&HM 11-14 (+3),,"GOOD JUMPER by MOLDEN,COLIN",1
12:55,"FOUL  by MOLDEN,COLIN",,,,,,,"FOUL  by MOLDEN,COLIN",1
12:55,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by SHELOR,JOHN",,,,,,,"REBOUND DEF by SHELOR,JOHN",1
12:55,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
12:55,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
12:36,"TURNOVER  by SPENCER,DANIEL",,,,,,,"TURNOVER  by SPENCER,DANIEL",1
12:35,,,,,"STEAL  by HEITZENRATER,ANDREW",,,"STEAL  by HEITZENRATER,ANDREW",1
12:30,,,,,"MISS JUMPER by HOLLOWAY,JACK",,,"MISS JUMPER by HOLLOWAY,JACK",1
12:30,"BLOCK  by WYNN,ALIC",,,,,,,"BLOCK  by WYNN,ALIC",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:25,,11,,16 (+5),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 11-16 (+5),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
12:02,"TURNOVER  by MCLEAN,JOHNNY",,,,,,,"TURNOVER  by MCLEAN,JOHNNY",1
12:00,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
11:58,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",1
--,"REBOUND DEF by SPENCER,DANIEL",,,,,,,"REBOUND DEF by SPENCER,DANIEL",1
11:50,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
11:50,,,,,"FOUL TECH by CALDWELL,CAM",,,"FOUL TECH by CALDWELL,CAM",1
11:50,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
11:50,"MISS FT by MOLDEN,COLIN",,,,,,,"MISS FT by MOLDEN,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:50,"GOOD FT by MOLDEN,COLIN",12,,16 (+4),,E&HM 12-16 (+4),,"GOOD FT by MOLDEN,COLIN",1
11:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:50,"GOOD FT by WYNN,ALIC",13,,16 (+3),,E&HM 13-16 (+3),,"GOOD FT by WYNN,ALIC",1
11:50,"GOOD FT by WYNN,ALIC",14,,16 (+2),,E&HM 14-16 (+2),,"GOOD FT by WYNN,ALIC",1
11:50,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",1
11:50,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",1
11:50,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
11:50,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",1
11:50,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
11:50,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
11:39,,,,,"MISS 3PTR by HEITZENRATER,ANDREW",,,"MISS 3PTR by HEITZENRATER,ANDREW",1
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",1
11:18,"MISS JUMPER by MCLEAN,JOHNNY",,,,,,,"MISS JUMPER by MCLEAN,JOHNNY",1
--,"REBOUND OFF by BRANSCOMB,CHASE",,,,,,,"REBOUND OFF by BRANSCOMB,CHASE",1
11:16,,,,,"FOUL  by MCDONOUGH,SEAN",,,"FOUL  by MCDONOUGH,SEAN",1
11:16,"GOOD FT by SPENCER,DANIEL",15,,16 (+1),,E&HM 15-16 (+1),,"GOOD FT by SPENCER,DANIEL",1
11:16,"GOOD FT by SPENCER,DANIEL",16,,16,,E&HM 16-16 (0),,"GOOD FT by SPENCER,DANIEL",1
11:06,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",1
11:04,"STEAL  by MCLEAN,JOHNNY",,,,,,,"STEAL  by MCLEAN,JOHNNY",1
10:48,"GOOD 3PTR by BRANSCOMB,CHASE",19 (+3),,16,,E&HM 19-16 (-3),,"GOOD 3PTR by BRANSCOMB,CHASE",1
--,"ASSIST  by MOLDEN,COLIN",,,,,,,"ASSIST  by MOLDEN,COLIN",1
10:28,"FOUL  by MCLEAN,JOHNNY",,,,,,,"FOUL  by MCLEAN,JOHNNY",1
10:28,"SUB IN by SUGGS,THARON",,,,,,,"SUB IN by SUGGS,THARON",1
10:28,"SUB OUT by MOLDEN,COLIN",,,,,,,"SUB OUT by MOLDEN,COLIN",1
10:16,"FOUL  by BRANSCOMB,CHASE",,,,,,,"FOUL  by BRANSCOMB,CHASE",1
10:16,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",1
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",1
10:07,"TURNOVER  by SUGGS,THARON",,,,,,,"TURNOVER  by SUGGS,THARON",1
09:55,,19 (+1),,18,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 19-18 (-1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
09:37,"MISS 3PTR by BRANSCOMB,CHASE",,,,,,,"MISS 3PTR by BRANSCOMB,CHASE",1
--,"REBOUND OFF by SPENCER,DANIEL",,,,,,,"REBOUND OFF by SPENCER,DANIEL",1
09:30,"TURNOVER  by SPENCER,DANIEL",,,,,,,"TURNOVER  by SPENCER,DANIEL",1
09:29,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
09:27,,19,,20 (+1),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 19-20 (+1),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
09:05,"MISS JUMPER by WYNN,ALIC",,,,,,,"MISS JUMPER by WYNN,ALIC",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
08:56,,19,,23 (+4),"GOOD 3PTR by SMITH,LUKE",SEWANEE 19-23 (+4),,"GOOD 3PTR by SMITH,LUKE",1
08:56,"FOUL  by MCLEAN,JOHNNY",,,,,,,"FOUL  by MCLEAN,JOHNNY",1
08:56,,,,,"MISS FT by SMITH,LUKE",,,"MISS FT by SMITH,LUKE",1
08:56,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",1
08:56,"SUB OUT by SPENCER,DANIEL",,,,,,,"SUB OUT by SPENCER,DANIEL",1
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",1
