Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,WESTMINS,Game Score,Team Indicator,Play,Period
19:56,,,,,"MISS 3PTR by WANDS,KOBE",,,"MISS 3PTR by WANDS,KOBE",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
19:41,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
19:40,,,,,"STEAL  by HOLLANDSWORTH,STU",,,"STEAL  by HOLLANDSWORTH,STU",1
19:17,,,,,"MISS LAYUP by CAYWOOD,COLLIN",,,"MISS LAYUP by CAYWOOD,COLLIN",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
18:55,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by HOLLANDSWORTH,STU",,,"REBOUND DEF by HOLLANDSWORTH,STU",1
18:44,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
18:34,,,,,"TURNOVER  by COCHRAN,TANNER",,,"TURNOVER  by COCHRAN,TANNER",1
18:33,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
18:30,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
18:30,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
18:21,,,,,"MISS JUMPER by WANDS,KOBE",,,"MISS JUMPER by WANDS,KOBE",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
18:00,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2 (+2),,0,,SEWANEE 2-0 (+2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
17:28,,,,,"MISS 3PTR by WANDS,KOBE",,,"MISS 3PTR by WANDS,KOBE",1
--,,,,,"REBOUND OFF by COCHRAN,TANNER",,,"REBOUND OFF by COCHRAN,TANNER",1
17:22,,,,,"MISS LAYUP by COCHRAN,TANNER",,,"MISS LAYUP by COCHRAN,TANNER",1
17:22,"BLOCK  by BUESCHER,HUNTER",,,,,,,"BLOCK  by BUESCHER,HUNTER",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
17:13,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
16:57,,,,,"MISS 3PTR by CAYWOOD,COLLIN",,,"MISS 3PTR by CAYWOOD,COLLIN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
16:44,"GOOD 3PTR by SMITH,LUKE",5 (+5),,0,,SEWANEE 5-0 (+5),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
16:26,,,,,"MISS LAYUP by HOLLANDSWORTH,STU",,,"MISS LAYUP by HOLLANDSWORTH,STU",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
16:16,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by HOLLANDSWORTH,STU",,,"REBOUND DEF by HOLLANDSWORTH,STU",1
16:05,,,,,"MISS LAYUP by WANDS,KOBE",,,"MISS LAYUP by WANDS,KOBE",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
