Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",1
--,,,,,"REBOUND OFF by MILLER,JOSHUA",,,"REBOUND OFF by MILLER,JOSHUA",1
19:44,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
19:44,,0,,1 (+1),"GOOD FT by BECKER,SAXTON",MILMB 0-1 (-1),,"GOOD FT by BECKER,SAXTON",1
19:44,,0,,2 (+2),"GOOD FT by BECKER,SAXTON",MILMB 0-2 (-2),,"GOOD FT by BECKER,SAXTON",1
19:26,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
19:13,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
19:03,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1
19:01,"STEAL  by THOMAS,ADRIAN",,,,,,,"STEAL  by THOMAS,ADRIAN",1
18:48,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
18:32,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",1
18:30,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
18:06,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2,,2,,SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
17:53,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
17:32,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
17:32,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
17:32,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
17:21,,2,,4 (+2),"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",MILMB 2-4 (-2),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
16:58,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
16:44,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
16:44,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
16:44,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
16:44,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
16:36,,2,,7 (+5),"GOOD 3PTR by BECKER,SAXTON",MILMB 2-7 (-5),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
16:20,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",1
16:13,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by OWENS,MATT",,,"REBOUND DEF by OWENS,MATT",1
15:58,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",1
