Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:50,"GOOD 3PTR by SMITH,CONNOR",3 (+3),,0,,OUM 3-0 (-3),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by PERRY,WILL",,,,,,,"ASSIST  by PERRY,WILL",1
19:27,,3 (+1),,2,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 3-2 (-1),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
19:05,"TURNOVER  by FOSTER,LANE",,,,,,,"TURNOVER  by FOSTER,LANE",1
19:04,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
18:48,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
18:16,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
17:54,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
17:42,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
17:41,,,,,"STEAL  by THOMAS,ADRIAN",,,"STEAL  by THOMAS,ADRIAN",1
17:41,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
17:32,"MISS 3PTR by KOCH,WILL",,,,,,,"MISS 3PTR by KOCH,WILL",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
17:13,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
17:12,"STEAL  by INUNGU,TOM",,,,,,,"STEAL  by INUNGU,TOM",1
17:02,"GOOD JUMPER by INUNGU,TOM",5 (+3),,2,,OUM 5-2 (-3),,"GOOD JUMPER by INUNGU,TOM",1
