Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
16:12,,,,,"MISS 3PTR by HOPPA,DANTE",,,"MISS 3PTR by HOPPA,DANTE",1
--,,,,,"REBOUND OFF by BOWMAN,EMIER",,,"REBOUND OFF by BOWMAN,EMIER",1
16:08,,,,,"MISS 3PTR by BRAY,DANTERRIUS",,,"MISS 3PTR by BRAY,DANTERRIUS",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
15:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:59,,,,,"SUB IN by ESTES,KALEB",,,"SUB IN by ESTES,KALEB",1
15:59,,,,,"SUB OUT by BRAY,DANTERRIUS",,,"SUB OUT by BRAY,DANTERRIUS",1
15:52,"GOOD LAYUP by CALDWELL,CAM(in the paint)",7,,8 (+1),,SEWANEE 7-8 (-1),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
15:41,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
15:36,,,,,"TURNOVER  by WALKER,MALCOLM",,,"TURNOVER  by WALKER,MALCOLM",1
15:24,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
15:24,,,,,"BLOCK  by WALKER,MALCOLM",,,"BLOCK  by WALKER,MALCOLM",1
--,,,,,"REBOUND DEF by HOPPA,DANTE",,,"REBOUND DEF by HOPPA,DANTE",1
15:17,,,,,"MISS LAYUP by HOPPA,DANTE",,,"MISS LAYUP by HOPPA,DANTE",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
14:59,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
14:59,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
14:55,"GOOD 3PTR by SMITH,LUKE",10 (+2),,8,,SEWANEE 10-8 (+2),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
14:37,,,,,"MISS JUMPER by ESTES,KALEB",,,"MISS JUMPER by ESTES,KALEB",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
14:23,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by GARCIA,EMANUELLE",,,"REBOUND DEF by GARCIA,EMANUELLE",1
14:11,,,,,"TURNOVER  by GARCIA,EMANUELLE",,,"TURNOVER  by GARCIA,EMANUELLE",1
14:09,"STEAL  by LEE,MATT",,,,,,,"STEAL  by LEE,MATT",1
14:07,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",1
14:07,,,,,"BLOCK  by BOWMAN,EMIER",,,"BLOCK  by BOWMAN,EMIER",1
--,"REBOUND OFF by LEE,MATT",,,,,,,"REBOUND OFF by LEE,MATT",1
14:01,"GOOD JUMPER by LEE,MATT(in the paint)",12 (+4),,8,,SEWANEE 12-8 (+4),,"GOOD JUMPER by LEE,MATT(in the paint)",1
13:38,,,,,"MISS 3PTR by ESTES,KALEB",,,"MISS 3PTR by ESTES,KALEB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:38,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
13:38,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
13:38,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
13:38,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
13:38,,,,,"SUB IN by SPALDING,TANNER",,,"SUB IN by SPALDING,TANNER",1
13:38,,,,,"SUB IN by SUMMERS,DAQUAN",,,"SUB IN by SUMMERS,DAQUAN",1
13:38,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",1
13:38,,,,,"SUB OUT by WALKER,MALCOLM",,,"SUB OUT by WALKER,MALCOLM",1
13:25,"GOOD 3PTR by SMITH,LUKE",15 (+7),,8,,SEWANEE 15-8 (+7),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by BARRY,MICHAEL",,,,,,,"ASSIST  by BARRY,MICHAEL",1
13:06,,,,,"MISS LAYUP by SPALDING,TANNER",,,"MISS LAYUP by SPALDING,TANNER",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
12:54,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
12:54,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",1
12:54,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",1
12:46,,,,,"MISS LAYUP by SUMMERS,DAQUAN",,,"MISS LAYUP by SUMMERS,DAQUAN",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
12:33,"GOOD LAYUP by CALDWELL,CAM(in the paint)",17 (+9),,8,,SEWANEE 17-8 (+9),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
12:23,,,,,"MISS LAYUP by SPALDING,TANNER",,,"MISS LAYUP by SPALDING,TANNER",1
12:23,"BLOCK  by CRUMLY,JONNY",,,,,,,"BLOCK  by CRUMLY,JONNY",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
12:21,,,,,"FOUL  by ESTES,KALEB",,,"FOUL  by ESTES,KALEB",1
12:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:21,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
12:21,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
12:21,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
12:21,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
12:21,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
12:07,"MISS 3PTR by HOWELL,TAYLOR",,,,,,,"MISS 3PTR by HOWELL,TAYLOR",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
12:01,"GOOD 3PTR by CRUMLY,JONNY",20 (+12),,8,,SEWANEE 20-8 (+12),,"GOOD 3PTR by CRUMLY,JONNY",1
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",1
11:45,,20 (+10),,10,"GOOD JUMPER by SPALDING,TANNER(in the paint)",MVCM 20-10 (+10),,"GOOD JUMPER by SPALDING,TANNER(in the paint)",1
11:25,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
11:22,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",1
11:19,"FOUL  by HOWELL,TAYLOR",,,,,,,"FOUL  by HOWELL,TAYLOR",1
11:19,,20 (+9),,11,"GOOD FT by GARCIA,EMANUELLE",MVCM 20-11 (+9),,"GOOD FT by GARCIA,EMANUELLE",1
11:19,,20 (+8),,12,"GOOD FT by GARCIA,EMANUELLE",MVCM 20-12 (+8),,"GOOD FT by GARCIA,EMANUELLE",1
11:19,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
11:19,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
11:19,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
11:19,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
11:19,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",1
11:19,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",1
11:19,,,,,"SUB IN by BRAY,DANTERRIUS",,,"SUB IN by BRAY,DANTERRIUS",1
11:19,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",1
11:19,,,,,"SUB OUT by ESTES,KALEB",,,"SUB OUT by ESTES,KALEB",1
11:19,,,,,"SUB OUT by SUMMERS,DAQUAN",,,"SUB OUT by SUMMERS,DAQUAN",1
11:02,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",1
--,,,,,"REBOUND DEF by SPALDING,TANNER",,,"REBOUND DEF by SPALDING,TANNER",1
10:44,,,,,"MISS JUMPER by GARCIA,EMANUELLE",,,"MISS JUMPER by GARCIA,EMANUELLE",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
10:33,,,,,"FOUL  by SPALDING,TANNER",,,"FOUL  by SPALDING,TANNER",1
10:27,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by GARCIA,EMANUELLE",,,"REBOUND DEF by GARCIA,EMANUELLE",1
10:11,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
10:11,,20 (+7),,13,"GOOD FT by BOWMAN,EMIER",MVCM 20-13 (+7),,"GOOD FT by BOWMAN,EMIER",1
10:11,,,,,"MISS FT by BOWMAN,EMIER",,,"MISS FT by BOWMAN,EMIER",1
--,,,,,"REBOUND OFF by SPALDING,TANNER",,,"REBOUND OFF by SPALDING,TANNER",1
10:10,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
10:10,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
10:10,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
10:09,,20 (+5),,15,"GOOD JUMPER by SONGSTER,CALVIN",MVCM 20-15 (+5),,"GOOD JUMPER by SONGSTER,CALVIN",1
--,,,,,"ASSIST  by BRAY,DANTERRIUS",,,"ASSIST  by BRAY,DANTERRIUS",1
09:49,"GOOD 3PTR by THOMAS,ADRIAN",23 (+8),,15,,SEWANEE 23-15 (+8),,"GOOD 3PTR by THOMAS,ADRIAN",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
09:34,,,,,"TURNOVER  by GARCIA,EMANUELLE",,,"TURNOVER  by GARCIA,EMANUELLE",1
09:33,"STEAL  by THOMAS,ADRIAN",,,,,,,"STEAL  by THOMAS,ADRIAN",1
09:27,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
09:27,,,,,"BLOCK  by BOWMAN,EMIER",,,"BLOCK  by BOWMAN,EMIER",1
--,,,,,"REBOUND DEF by BRAY,DANTERRIUS",,,"REBOUND DEF by BRAY,DANTERRIUS",1
09:20,,,,,"FOUL  by SPALDING,TANNER",,,"FOUL  by SPALDING,TANNER",1
09:20,,,,,"TURNOVER  by SPALDING,TANNER",,,"TURNOVER  by SPALDING,TANNER",1
09:20,,,,,"SUB IN by WALKER,MALCOLM",,,"SUB IN by WALKER,MALCOLM",1
09:20,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",1
09:20,,,,,"SUB OUT by SPALDING,TANNER",,,"SUB OUT by SPALDING,TANNER",1
09:20,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",1
09:05,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
08:51,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
08:44,,,,,"FOUL  by SONGSTER,CALVIN",,,"FOUL  by SONGSTER,CALVIN",1
08:44,"GOOD FT by BUESCHER,HUNTER",24 (+9),,15,,SEWANEE 24-15 (+9),,"GOOD FT by BUESCHER,HUNTER",1
08:44,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
08:44,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
08:44,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
08:34,,24 (+7),,17,"GOOD JUMPER by BRAY,DANTERRIUS(in the paint)",MVCM 24-17 (+7),,"GOOD JUMPER by BRAY,DANTERRIUS(in the paint)",1
08:15,"TURNOVER  by CRUMLY,JONNY",,,,,,,"TURNOVER  by CRUMLY,JONNY",1
08:13,,,,,"STEAL  by WALKER,MALCOLM",,,"STEAL  by WALKER,MALCOLM",1
08:03,,24 (+5),,19,"GOOD JUMPER by BOWMAN,EMIER",MVCM 24-19 (+5),,"GOOD JUMPER by BOWMAN,EMIER",1
--,,,,,"ASSIST  by SONGSTER,CALVIN",,,"ASSIST  by SONGSTER,CALVIN",1
07:34,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
07:10,,,,,"MISS 3PTR by BRAY,DANTERRIUS",,,"MISS 3PTR by BRAY,DANTERRIUS",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
06:46,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
06:46,,,,,"BLOCK  by BOWMAN,EMIER",,,"BLOCK  by BOWMAN,EMIER",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
06:28,,,,,"MISS JUMPER by BOWMAN,EMIER",,,"MISS JUMPER by BOWMAN,EMIER",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
06:20,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
06:19,,,,,"STEAL  by BOWMAN,EMIER",,,"STEAL  by BOWMAN,EMIER",1
06:17,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
06:17,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:17,,24 (+4),,20,"GOOD FT by BOWMAN,EMIER",MVCM 24-20 (+4),,"GOOD FT by BOWMAN,EMIER",1
06:17,,24 (+3),,21,"GOOD FT by BOWMAN,EMIER",MVCM 24-21 (+3),,"GOOD FT by BOWMAN,EMIER",1
06:17,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
06:17,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
06:17,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
06:17,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
06:17,,,,,"SUB IN by SUMMERS,DAQUAN",,,"SUB IN by SUMMERS,DAQUAN",1
06:17,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",1
06:17,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",1
06:17,,,,,"SUB OUT by WALKER,MALCOLM",,,"SUB OUT by WALKER,MALCOLM",1
06:03,,,,,"FOUL  by SONGSTER,CALVIN",,,"FOUL  by SONGSTER,CALVIN",1
06:03,"GOOD FT by BUESCHER,HUNTER",25 (+4),,21,,SEWANEE 25-21 (+4),,"GOOD FT by BUESCHER,HUNTER",1
06:03,"GOOD FT by BUESCHER,HUNTER",26 (+5),,21,,SEWANEE 26-21 (+5),,"GOOD FT by BUESCHER,HUNTER",1
05:51,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
05:51,,,,,"MISS FT by WATSON,CHRIS",,,"MISS FT by WATSON,CHRIS",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
05:35,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
05:35,,,,,"STEAL  by HOPPA,DANTE",,,"STEAL  by HOPPA,DANTE",1
05:35,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
05:26,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",28 (+7),,21,,SEWANEE 28-21 (+7),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
05:26,,,,,"FOUL  by WATSON,CHRIS",,,"FOUL  by WATSON,CHRIS",1
05:26,"GOOD FT by THOMAS,ADRIAN",29 (+8),,21,,SEWANEE 29-21 (+8),,"GOOD FT by THOMAS,ADRIAN",1
05:11,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
05:11,,29 (+7),,22,"GOOD FT by HOPPA,DANTE",MVCM 29-22 (+7),,"GOOD FT by HOPPA,DANTE",1
05:11,,29 (+6),,23,"GOOD FT by HOPPA,DANTE",MVCM 29-23 (+6),,"GOOD FT by HOPPA,DANTE",1
05:11,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",1
05:11,,,,,"SUB IN by WALKER,MALCOLM",,,"SUB IN by WALKER,MALCOLM",1
05:11,,,,,"SUB IN by ESTES,KALEB",,,"SUB IN by ESTES,KALEB",1
05:11,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",1
05:11,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",1
05:11,,,,,"SUB OUT by BRAY,DANTERRIUS",,,"SUB OUT by BRAY,DANTERRIUS",1
04:53,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
04:49,,,,,"TURNOVER  by BOWMAN,EMIER",,,"TURNOVER  by BOWMAN,EMIER",1
04:48,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
04:42,"GOOD JUMPER by MCDONOUGH,SEAN",31 (+8),,23,,SEWANEE 31-23 (+8),,"GOOD JUMPER by MCDONOUGH,SEAN",1
04:25,,,,,"MISS LAYUP by SONGSTER,CALVIN",,,"MISS LAYUP by SONGSTER,CALVIN",1
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",1
04:06,,,,,"FOUL  by WALKER,MALCOLM",,,"FOUL  by WALKER,MALCOLM",1
04:06,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
04:06,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",1
04:06,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
03:55,,,,,"MISS 3PTR by SUMMERS,DAQUAN",,,"MISS 3PTR by SUMMERS,DAQUAN",1
--,,,,,"REBOUND OFF by WALKER,MALCOLM",,,"REBOUND OFF by WALKER,MALCOLM",1
03:50,,,,,"FOUL  by SUMMERS,DAQUAN",,,"FOUL  by SUMMERS,DAQUAN",1
03:50,,,,,"TURNOVER  by SUMMERS,DAQUAN",,,"TURNOVER  by SUMMERS,DAQUAN",1
03:50,"STEAL  by THOMAS,ADRIAN",,,,,,,"STEAL  by THOMAS,ADRIAN",1
03:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:30,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by HOPPA,DANTE",,,"REBOUND DEF by HOPPA,DANTE",1
03:07,,,,,"TURNOVER  by ESTES,KALEB",,,"TURNOVER  by ESTES,KALEB",1
03:04,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",1
03:00,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
02:47,,,,,"MISS 3PTR by BOWMAN,EMIER",,,"MISS 3PTR by BOWMAN,EMIER",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
02:24,,,,,"FOUL  by SUMMERS,DAQUAN",,,"FOUL  by SUMMERS,DAQUAN",1
02:24,"MISS FT by CALDWELL,CAM",,,,,,,"MISS FT by CALDWELL,CAM",1
--,"REBOUND OFF by MCDONOUGH,SEAN",,,,,,,"REBOUND OFF by MCDONOUGH,SEAN",1
02:24,,,,,"SUB IN by BRAY,DANTERRIUS",,,"SUB IN by BRAY,DANTERRIUS",1
02:24,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
02:24,,,,,"SUB OUT by ESTES,KALEB",,,"SUB OUT by ESTES,KALEB",1
02:24,,,,,"SUB OUT by SUMMERS,DAQUAN",,,"SUB OUT by SUMMERS,DAQUAN",1
02:22,"TURNOVER  by MCDONOUGH,SEAN",,,,,,,"TURNOVER  by MCDONOUGH,SEAN",1
02:21,,,,,"STEAL  by BRAY,DANTERRIUS",,,"STEAL  by BRAY,DANTERRIUS",1
02:02,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
02:00,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
01:49,,,,,"FOUL  by BRAY,DANTERRIUS",,,"FOUL  by BRAY,DANTERRIUS",1
01:49,"GOOD FT by BUESCHER,HUNTER",32 (+9),,23,,SEWANEE 32-23 (+9),,"GOOD FT by BUESCHER,HUNTER",1
01:49,"GOOD FT by BUESCHER,HUNTER",33 (+10),,23,,SEWANEE 33-23 (+10),,"GOOD FT by BUESCHER,HUNTER",1
01:29,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
01:07,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
01:04,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by HOPPA,DANTE",,,"REBOUND DEF by HOPPA,DANTE",1
00:53,,,,,"MISS JUMPER by BRAY,DANTERRIUS",,,"MISS JUMPER by BRAY,DANTERRIUS",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
00:43,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
00:36,,33 (+8),,25,"GOOD LAYUP by HOPPA,DANTE(fastbreak)(in the paint)",MVCM 33-25 (+8),,"GOOD LAYUP by HOPPA,DANTE(fastbreak)(in the paint)",1
00:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:11,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",35 (+10),,25,,SEWANEE 35-25 (+10),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
00:04,,35 (+7),,28,"GOOD 3PTR by BRAY,DANTERRIUS(fastbreak)",MVCM 35-28 (+7),,"GOOD 3PTR by BRAY,DANTERRIUS(fastbreak)",1
