Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BOYCE,Game Score,Team Indicator,Play,Period
14:33,,16 (+7),,9,"GOOD 3PTR by RABKE,ADAM",BOYCE 16-9 (+7),,"GOOD 3PTR by RABKE,ADAM",1
--,,,,,"ASSIST  by WHITE,SPENCER",,,"ASSIST  by WHITE,SPENCER",1
14:15,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by MINNICK-TUCKER,D",,,"REBOUND DEF by MINNICK-TUCKER,D",1
14:00,,,,,"TURNOVER  by MINNICK-TUCKER,D",,,"TURNOVER  by MINNICK-TUCKER,D",1
14:00,,,,,"FOUL  by MINNICK-TUCKER,D",,,"FOUL  by MINNICK-TUCKER,D",1
14:00,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
14:00,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
14:00,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
14:00,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
14:00,,,,,"SUB IN by ALEXAKOS,LEONIDAS",,,"SUB IN by ALEXAKOS,LEONIDAS",1
14:00,,,,,"SUB IN by CALDWELL,AJ",,,"SUB IN by CALDWELL,AJ",1
14:00,,,,,"SUB OUT by WHITE,SPENCER",,,"SUB OUT by WHITE,SPENCER",1
14:00,,,,,"SUB OUT by MINNICK-TUCKER,D",,,"SUB OUT by MINNICK-TUCKER,D",1
13:43,"MISS LAYUP by HOLLOWAY,JACK",,,,,,,"MISS LAYUP by HOLLOWAY,JACK",1
--,,,,,"REBOUND DEF by CALDWELL,AJ",,,"REBOUND DEF by CALDWELL,AJ",1
13:27,,16 (+4),,12,"GOOD 3PTR by CALDWELL,AJ",BOYCE 16-12 (+4),,"GOOD 3PTR by CALDWELL,AJ",1
--,,,,,"ASSIST  by ALEXAKOS,LEONIDAS",,,"ASSIST  by ALEXAKOS,LEONIDAS",1
13:11,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,,,,,"REBOUND DEF by RABKE,ADAM",,,"REBOUND DEF by RABKE,ADAM",1
12:49,,,,,"TURNOVER  by ALEXAKOS,LEONIDAS",,,"TURNOVER  by ALEXAKOS,LEONIDAS",1
12:49,,,,,"FOUL  by ALEXAKOS,LEONIDAS",,,"FOUL  by ALEXAKOS,LEONIDAS",1
12:49,,,,,"SUB IN by GIBSON,ISAAC",,,"SUB IN by GIBSON,ISAAC",1
12:49,,,,,"SUB OUT by MCKAY,DREW",,,"SUB OUT by MCKAY,DREW",1
12:30,,,,,"FOUL  by ALEXAKOS,LEONIDAS",,,"FOUL  by ALEXAKOS,LEONIDAS",1
12:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:30,"MISS FT by CALDWELL,CAM",,,,,,,"MISS FT by CALDWELL,CAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:30,"GOOD FT by CALDWELL,CAM",17 (+5),,12,,SEWANEE 17-12 (+5),,"GOOD FT by CALDWELL,CAM",1
12:30,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
12:30,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
12:30,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
12:30,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
12:30,,,,,"SUB IN by WHITE,SPENCER",,,"SUB IN by WHITE,SPENCER",1
12:30,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",,,"SUB OUT by ALEXAKOS,LEONIDAS",1
12:06,,,,,"TURNOVER  by TURNER,NICKOLAS",,,"TURNOVER  by TURNER,NICKOLAS",1
11:53,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",19 (+7),,12,,SEWANEE 19-12 (+7),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
11:39,,,,,"MISS 3PTR by RABKE,ADAM",,,"MISS 3PTR by RABKE,ADAM",1
--,,,,,"REBOUND OFF by CALDWELL,AJ",,,"REBOUND OFF by CALDWELL,AJ",1
11:21,,19 (+4),,15,"GOOD 3PTR by CALDWELL,AJ",BOYCE 19-15 (+4),,"GOOD 3PTR by CALDWELL,AJ",1
--,,,,,"ASSIST  by GIBSON,ISAAC",,,"ASSIST  by GIBSON,ISAAC",1
11:03,"MISS LAYUP by MCDONOUGH,SEAN",,,,,,,"MISS LAYUP by MCDONOUGH,SEAN",1
--,"REBOUND OFF by HOLLOWAY,JACK",,,,,,,"REBOUND OFF by HOLLOWAY,JACK",1
11:02,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",21 (+6),,15,,SEWANEE 21-15 (+6),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
10:50,,,,,"MISS 3PTR by GIBSON,ISAAC",,,"MISS 3PTR by GIBSON,ISAAC",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
10:34,"GOOD 3PTR by MCDONOUGH,SEAN",24 (+9),,15,,SEWANEE 24-15 (+9),,"GOOD 3PTR by MCDONOUGH,SEAN",1
--,"ASSIST  by HOLLOWAY,JACK",,,,,,,"ASSIST  by HOLLOWAY,JACK",1
10:08,,,,,"MISS 3PTR by CALDWELL,AJ",,,"MISS 3PTR by CALDWELL,AJ",1
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",1
09:58,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
09:58,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
09:58,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
09:58,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
09:58,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",1
09:58,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
09:58,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
09:58,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
09:58,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
09:58,,,,,"SUB IN by MCKAY,DREW",,,"SUB IN by MCKAY,DREW",1
09:58,,,,,"SUB IN by MINNICK-TUCKER,D",,,"SUB IN by MINNICK-TUCKER,D",1
09:58,,,,,"SUB OUT by WHITE,SPENCER",,,"SUB OUT by WHITE,SPENCER",1
09:58,,,,,"SUB OUT by TURNER,NICKOLAS",,,"SUB OUT by TURNER,NICKOLAS",1
09:39,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
09:39,,24 (+8),,16,"GOOD FT by RABKE,ADAM",BOYCE 24-16 (+8),,"GOOD FT by RABKE,ADAM",1
09:39,,24 (+7),,17,"GOOD FT by RABKE,ADAM",BOYCE 24-17 (+7),,"GOOD FT by RABKE,ADAM",1
09:25,"GOOD 3PTR by SMITH,LUKE",27 (+10),,17,,SEWANEE 27-17 (+10),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
09:12,,,,,"TURNOVER  by RABKE,ADAM",,,"TURNOVER  by RABKE,ADAM",1
09:12,,,,,"FOUL  by RABKE,ADAM",,,"FOUL  by RABKE,ADAM",1
09:12,,,,,"SUB IN by WHITE,SPENCER",,,"SUB IN by WHITE,SPENCER",1
09:12,,,,,"SUB OUT by RABKE,ADAM",,,"SUB OUT by RABKE,ADAM",1
09:03,"GOOD 3PTR by BARRY,MICHAEL",30 (+13),,17,,SEWANEE 30-17 (+13),,"GOOD 3PTR by BARRY,MICHAEL",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
08:36,,,,,"MISS 3PTR by MCKAY,DREW",,,"MISS 3PTR by MCKAY,DREW",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
08:22,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",32 (+15),,17,,SEWANEE 32-17 (+15),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
07:57,,32 (+13),,19,"GOOD LAYUP by MCKAY,DREW(in the paint)",BOYCE 32-19 (+13),,"GOOD LAYUP by MCKAY,DREW(in the paint)",1
07:41,"GOOD JUMPER by SMITH,LUKE(in the paint)",34 (+15),,19,,SEWANEE 34-19 (+15),,"GOOD JUMPER by SMITH,LUKE(in the paint)",1
07:25,,34 (+13),,21,"GOOD JUMPER by MCKAY,DREW",BOYCE 34-21 (+13),,"GOOD JUMPER by MCKAY,DREW",1
07:09,,,,,"FOUL  by MCKAY,DREW",,,"FOUL  by MCKAY,DREW",1
07:09,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by MCKAY,DREW",,,"REBOUND DEF by MCKAY,DREW",1
07:09,,,,,"SUB IN by ALEXAKOS,LEONIDAS",,,"SUB IN by ALEXAKOS,LEONIDAS",1
07:09,,,,,"SUB IN by ABWOCH,MOSES",,,"SUB IN by ABWOCH,MOSES",1
07:09,,,,,"SUB OUT by GIBSON,ISAAC",,,"SUB OUT by GIBSON,ISAAC",1
07:09,,,,,"SUB OUT by WHITE,SPENCER",,,"SUB OUT by WHITE,SPENCER",1
06:55,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
06:55,,34 (+12),,22,"GOOD FT by CALDWELL,AJ",BOYCE 34-22 (+12),,"GOOD FT by CALDWELL,AJ",1
06:55,,34 (+11),,23,"GOOD FT by CALDWELL,AJ",BOYCE 34-23 (+11),,"GOOD FT by CALDWELL,AJ",1
06:55,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
06:55,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
06:45,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by CALDWELL,AJ",,,"REBOUND DEF by CALDWELL,AJ",1
06:38,,,,,"MISS 3PTR by CALDWELL,AJ",,,"MISS 3PTR by CALDWELL,AJ",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
06:28,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND DEF by MINNICK-TUCKER,D",,,"REBOUND DEF by MINNICK-TUCKER,D",1
06:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:10,,,,,"MISS LAYUP by ALEXAKOS,LEONIDAS",,,"MISS LAYUP by ALEXAKOS,LEONIDAS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:57,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
--,,,,,"REBOUND DEF by CALDWELL,AJ",,,"REBOUND DEF by CALDWELL,AJ",1
05:44,,,,,"SUB IN by RABKE,ADAM",,,"SUB IN by RABKE,ADAM",1
05:44,,,,,"SUB OUT by CALDWELL,AJ",,,"SUB OUT by CALDWELL,AJ",1
05:30,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
05:30,,34 (+10),,24,"GOOD FT by MCKAY,DREW",BOYCE 34-24 (+10),,"GOOD FT by MCKAY,DREW",1
05:30,,34 (+9),,25,"GOOD FT by MCKAY,DREW",BOYCE 34-25 (+9),,"GOOD FT by MCKAY,DREW",1
05:30,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
05:30,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
05:30,,,,,"SUB IN by WHITE,SPENCER",,,"SUB IN by WHITE,SPENCER",1
05:30,,,,,"SUB IN by CALDWELL,AJ",,,"SUB IN by CALDWELL,AJ",1
05:30,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",,,"SUB OUT by ALEXAKOS,LEONIDAS",1
05:30,,,,,"SUB OUT by RABKE,ADAM",,,"SUB OUT by RABKE,ADAM",1
05:17,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
04:59,,,,,"TURNOVER  by MINNICK-TUCKER,D",,,"TURNOVER  by MINNICK-TUCKER,D",1
04:59,,,,,"FOUL  by MINNICK-TUCKER,D",,,"FOUL  by MINNICK-TUCKER,D",1
04:59,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
04:59,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
04:59,,,,,"SUB IN by RABKE,ADAM",,,"SUB IN by RABKE,ADAM",1
04:59,,,,,"SUB IN by TURNER,NICKOLAS",,,"SUB IN by TURNER,NICKOLAS",1
04:59,,,,,"SUB OUT by MINNICK-TUCKER,D",,,"SUB OUT by MINNICK-TUCKER,D",1
04:59,,,,,"SUB OUT by CALDWELL,AJ",,,"SUB OUT by CALDWELL,AJ",1
04:46,"GOOD 3PTR by LEE,MATT",37 (+12),,25,,SEWANEE 37-25 (+12),,"GOOD 3PTR by LEE,MATT",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
04:20,,,,,"MISS 3PTR by RABKE,ADAM",,,"MISS 3PTR by RABKE,ADAM",1
--,,,,,"REBOUND OFF by ABWOCH,MOSES",,,"REBOUND OFF by ABWOCH,MOSES",1
04:15,,37 (+10),,27,"GOOD LAYUP by ABWOCH,MOSES(in the paint)",BOYCE 37-27 (+10),,"GOOD LAYUP by ABWOCH,MOSES(in the paint)",1
03:59,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",39 (+12),,27,,SEWANEE 39-27 (+12),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
03:44,,,,,"MISS JUMPER by MCKAY,DREW",,,"MISS JUMPER by MCKAY,DREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:41,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
03:41,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
03:41,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
03:41,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
03:41,,,,,"SUB IN by GIBSON,ISAAC",,,"SUB IN by GIBSON,ISAAC",1
03:41,,,,,"SUB OUT by ABWOCH,MOSES",,,"SUB OUT by ABWOCH,MOSES",1
03:24,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
03:22,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",41 (+14),,27,,SEWANEE 41-27 (+14),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
03:03,,,,,"MISS LAYUP by RABKE,ADAM",,,"MISS LAYUP by RABKE,ADAM",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
02:48,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",43 (+16),,27,,SEWANEE 43-27 (+16),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
02:23,,,,,"TURNOVER  by MCKAY,DREW",,,"TURNOVER  by MCKAY,DREW",1
02:23,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
02:11,"GOOD LAYUP by SMITH,LUKE(in the paint)",45 (+18),,27,,SEWANEE 45-27 (+18),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
01:48,,,,,"TURNOVER  by RABKE,ADAM",,,"TURNOVER  by RABKE,ADAM",1
01:47,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
01:45,"GOOD LAYUP by CALDWELL,CAM(fastbreak)(in the paint)",47 (+20),,27,,SEWANEE 47-27 (+20),,"GOOD LAYUP by CALDWELL,CAM(fastbreak)(in the paint)",1
01:30,,,,,"TURNOVER  by GIBSON,ISAAC",,,"TURNOVER  by GIBSON,ISAAC",1
01:30,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
01:30,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
01:30,,,,,"SUB IN by ALEXAKOS,LEONIDAS",,,"SUB IN by ALEXAKOS,LEONIDAS",1
01:30,,,,,"SUB IN by MINNICK-TUCKER,D",,,"SUB IN by MINNICK-TUCKER,D",1
01:30,,,,,"SUB OUT by GIBSON,ISAAC",,,"SUB OUT by GIBSON,ISAAC",1
01:30,,,,,"SUB OUT by WHITE,SPENCER",,,"SUB OUT by WHITE,SPENCER",1
01:20,"GOOD 3PTR by THOMAS,ADRIAN",50 (+23),,27,,SEWANEE 50-27 (+23),,"GOOD 3PTR by THOMAS,ADRIAN",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
01:03,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",1
00:50,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
00:50,,50 (+22),,28,"GOOD FT by RABKE,ADAM",BOYCE 50-28 (+22),,"GOOD FT by RABKE,ADAM",1
00:50,,50 (+21),,29,"GOOD FT by RABKE,ADAM",BOYCE 50-29 (+21),,"GOOD FT by RABKE,ADAM",1
00:50,,,,,"SUB IN by WHITE,SPENCER",,,"SUB IN by WHITE,SPENCER",1
00:50,,,,,"SUB OUT by MINNICK-TUCKER,D",,,"SUB OUT by MINNICK-TUCKER,D",1
00:47,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by MCKAY,DREW",,,"REBOUND DEF by MCKAY,DREW",1
00:33,,,,,"MISS 3PTR by MCKAY,DREW",,,"MISS 3PTR by MCKAY,DREW",1
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",1
00:03,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by TURNER,NICKOLAS",,,"REBOUND DEF by TURNER,NICKOLAS",1
19:46,,,,,"MISS 3PTR by MCKAY,DREW",,,"MISS 3PTR by MCKAY,DREW",2
--,,,,,"REBOUND OFF by TURNER,NICKOLAS",,,"REBOUND OFF by TURNER,NICKOLAS",2
19:43,,,,,"MISS LAYUP by TURNER,NICKOLAS",,,"MISS LAYUP by TURNER,NICKOLAS",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
19:31,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
19:31,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
19:20,,,,,"MISS LAYUP by TURNER,NICKOLAS",,,"MISS LAYUP by TURNER,NICKOLAS",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
19:11,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",52 (+23),,29,,SEWANEE 52-29 (+23),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
18:57,,52 (+21),,31,"GOOD LAYUP by MINNICK-TUCKER,D(in the paint)",BOYCE 52-31 (+21),,"GOOD LAYUP by MINNICK-TUCKER,D(in the paint)",2
18:38,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by RABKE,ADAM",,,"REBOUND DEF by RABKE,ADAM",2
18:24,,,,,"MISS LAYUP by MCKAY,DREW",,,"MISS LAYUP by MCKAY,DREW",2
18:24,"BLOCK  by LEE,MATT",,,,,,,"BLOCK  by LEE,MATT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:11,,,,,"MISS 3PTR by RABKE,ADAM",,,"MISS 3PTR by RABKE,ADAM",2
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",2
17:57,,,,,"FOUL  by WHITE,SPENCER",,,"FOUL  by WHITE,SPENCER",2
17:52,,,,,"FOUL  by WHITE,SPENCER",,,"FOUL  by WHITE,SPENCER",2
17:52,"GOOD FT by THOMAS,ADRIAN",53 (+22),,31,,SEWANEE 53-31 (+22),,"GOOD FT by THOMAS,ADRIAN",2
17:52,"GOOD FT by THOMAS,ADRIAN",54 (+23),,31,,SEWANEE 54-31 (+23),,"GOOD FT by THOMAS,ADRIAN",2
17:52,,,,,"SUB IN by ALEXAKOS,LEONIDAS",,,"SUB IN by ALEXAKOS,LEONIDAS",2
17:52,,,,,"SUB OUT by WHITE,SPENCER",,,"SUB OUT by WHITE,SPENCER",2
17:42,,,,,"MISS JUMPER by RABKE,ADAM",,,"MISS JUMPER by RABKE,ADAM",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
17:18,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
17:18,,,,,"STEAL  by MCKAY,DREW",,,"STEAL  by MCKAY,DREW",2
17:07,,,,,"MISS LAYUP by TURNER,NICKOLAS",,,"MISS LAYUP by TURNER,NICKOLAS",2
--,,,,,"REBOUND OFF by ALEXAKOS,LEONIDAS",,,"REBOUND OFF by ALEXAKOS,LEONIDAS",2
17:01,,,,,"MISS LAYUP by ALEXAKOS,LEONIDAS",,,"MISS LAYUP by ALEXAKOS,LEONIDAS",2
