Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
02:14,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
02:01,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,"REBOUND OFF by HOLLOWAY,JACK",,,,,,,"REBOUND OFF by HOLLOWAY,JACK",1
01:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:42,,,,,"FOUL  by MARTIN,DEYSHAWN",,,"FOUL  by MARTIN,DEYSHAWN",1
01:42,"MISS FT by SMITH,LUKE",,,,,,,"MISS FT by SMITH,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:42,"GOOD FT by SMITH,LUKE",26,,47 (+21),,SEWANEE 26-47 (-21),,"GOOD FT by SMITH,LUKE",1
01:42,,,,,"SUB IN by MCCARTHY,ACOYDAN",,,"SUB IN by MCCARTHY,ACOYDAN",1
01:42,,,,,"SUB OUT by HARRIS,STEVE",,,"SUB OUT by HARRIS,STEVE",1
01:17,,,,,"MISS 3PTR by MCCARTHY,ACOYDAN",,,"MISS 3PTR by MCCARTHY,ACOYDAN",1
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",1
01:12,,26,,49 (+23),"GOOD JUMPER by TAYLOR,TERRY",APSU 26-49 (-23),,"GOOD JUMPER by TAYLOR,TERRY",1
00:51,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
00:33,,26,,51 (+25),"GOOD JUMPER by TAYLOR,TERRY",APSU 26-51 (-25),,"GOOD JUMPER by TAYLOR,TERRY",1
--,,,,,"ASSIST  by MARTIN,DEYSHAWN",,,"ASSIST  by MARTIN,DEYSHAWN",1
00:05,"GOOD JUMPER by SMITH,LUKE",28,,51 (+23),,SEWANEE 28-51 (-23),,"GOOD JUMPER by SMITH,LUKE",1
19:40,"GOOD 3PTR by BUESCHER,HUNTER",31,,51 (+20),,SEWANEE 31-51 (-20),,"GOOD 3PTR by BUESCHER,HUNTER",2
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",2
19:25,,,,,"MISS JUMPER by UGBA,AVERYL",,,"MISS JUMPER by UGBA,AVERYL",2
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",2
19:11,,,,,"MISS LAYUP by GLOTTA,ZACH",,,"MISS LAYUP by GLOTTA,ZACH",2
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",2
19:10,,31,,53 (+22),"GOOD LAYUP by TAYLOR,TERRY(in the paint)",APSU 31-53 (-22),,"GOOD LAYUP by TAYLOR,TERRY(in the paint)",2
19:10,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
19:10,,,,,"MISS FT by TAYLOR,TERRY",,,"MISS FT by TAYLOR,TERRY",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
19:10,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",2
19:10,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
18:57,"TURNOVER  by HEITZENRATER,ANDREW",,,,,,,"TURNOVER  by HEITZENRATER,ANDREW",2
18:55,,,,,"STEAL  by PORTER-BUNTON,CHRIS",,,"STEAL  by PORTER-BUNTON,CHRIS",2
18:54,"FOUL  by HEITZENRATER,ANDREW",,,,,,,"FOUL  by HEITZENRATER,ANDREW",2
18:47,,31,,55 (+24),"GOOD LAYUP by PORTER-BUNTON,CHRIS(in the paint)",APSU 31-55 (-24),,"GOOD LAYUP by PORTER-BUNTON,CHRIS(in the paint)",2
18:35,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",33,,55 (+22),,SEWANEE 33-55 (-22),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
18:14,,,,,"MISS JUMPER by IVORY,TRE'",,,"MISS JUMPER by IVORY,TRE'",2
--,,,,,"REBOUND OFF by IVORY,TRE'",,,"REBOUND OFF by IVORY,TRE'",2
18:09,,,,,"MISS 3PTR by GLOTTA,ZACH",,,"MISS 3PTR by GLOTTA,ZACH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:53,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND OFF by HEITZENRATER,ANDREW",,,,,,,"REBOUND OFF by HEITZENRATER,ANDREW",2
17:46,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by TAYLOR,TERRY",,,"REBOUND DEF by TAYLOR,TERRY",2
17:33,,,,,"TURNOVER  by UGBA,AVERYL",,,"TURNOVER  by UGBA,AVERYL",2
17:33,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
17:33,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
17:10,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",2
--,,,,,"REBOUND DEF by TAYLOR,TERRY",,,"REBOUND DEF by TAYLOR,TERRY",2
17:01,,33,,57 (+24),"GOOD LAYUP by GLOTTA,ZACH(in the paint)",APSU 33-57 (-24),,"GOOD LAYUP by GLOTTA,ZACH(in the paint)",2
16:53,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
16:53,,,,,"BLOCK  by UGBA,AVERYL",,,"BLOCK  by UGBA,AVERYL",2
--,,,,,"REBOUND DEF by TAYLOR,TERRY",,,"REBOUND DEF by TAYLOR,TERRY",2
16:43,,33,,59 (+26),"GOOD LAYUP by TAYLOR,TERRY(in the paint)",APSU 33-59 (-26),,"GOOD LAYUP by TAYLOR,TERRY(in the paint)",2
16:23,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
16:23,,,,,"BLOCK  by IVORY,TRE'",,,"BLOCK  by IVORY,TRE'",2
--,"REBOUND OFF by SMITH,LUKE",,,,,,,"REBOUND OFF by SMITH,LUKE",2
16:18,"GOOD 3PTR by BARRY,MICHAEL",36,,59 (+23),,SEWANEE 36-59 (-23),,"GOOD 3PTR by BARRY,MICHAEL",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
16:08,,,,,"TURNOVER  by UGBA,AVERYL",,,"TURNOVER  by UGBA,AVERYL",2
16:08,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
16:08,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
16:08,,,,,"SUB IN by HENDERSON,RICHARD",,,"SUB IN by HENDERSON,RICHARD",2
16:08,,,,,"SUB OUT by UGBA,AVERYL",,,"SUB OUT by UGBA,AVERYL",2
16:04,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",2
16:04,,,,,"STEAL  by GLOTTA,ZACH",,,"STEAL  by GLOTTA,ZACH",2
16:04,"FOUL  by BARRY,MICHAEL",,,,,,,"FOUL  by BARRY,MICHAEL",2
15:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:59,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
15:59,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
15:43,,36,,62 (+26),"GOOD 3PTR by GLOTTA,ZACH",APSU 36-62 (-26),,"GOOD 3PTR by GLOTTA,ZACH",2
--,,,,,"ASSIST  by PORTER-BUNTON,CHRIS",,,"ASSIST  by PORTER-BUNTON,CHRIS",2
15:27,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",2
15:05,,,,,"FOUL  by HENDERSON,RICHARD",,,"FOUL  by HENDERSON,RICHARD",2
15:05,,,,,"TURNOVER  by HENDERSON,RICHARD",,,"TURNOVER  by HENDERSON,RICHARD",2
14:59,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
14:42,,,,,"TURNOVER  by GLOTTA,ZACH",,,"TURNOVER  by GLOTTA,ZACH",2
14:41,"STEAL  by LEE,MATT",,,,,,,"STEAL  by LEE,MATT",2
14:38,,,,,"FOUL  by IVORY,TRE'",,,"FOUL  by IVORY,TRE'",2
14:38,,,,,"SUB IN by MCCARTHY,ACOYDAN",,,"SUB IN by MCCARTHY,ACOYDAN",2
14:38,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",2
14:30,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
14:28,,,,,"STEAL  by PORTER-BUNTON,CHRIS",,,"STEAL  by PORTER-BUNTON,CHRIS",2
14:23,,36,,65 (+29),"GOOD 3PTR by TAYLOR,TERRY",APSU 36-65 (-29),,"GOOD 3PTR by TAYLOR,TERRY",2
--,,,,,"ASSIST  by PORTER-BUNTON,CHRIS",,,"ASSIST  by PORTER-BUNTON,CHRIS",2
14:07,,,,,"FOUL  by TAYLOR,TERRY",,,"FOUL  by TAYLOR,TERRY",2
14:07,,,,,"SUB IN by GLOTTA,ZACH",,,"SUB IN by GLOTTA,ZACH",2
14:07,,,,,"SUB OUT by IVORY,TRE'",,,"SUB OUT by IVORY,TRE'",2
14:00,"GOOD JUMPER by HOLLOWAY,JACK",38,,65 (+27),,SEWANEE 38-65 (-27),,"GOOD JUMPER by HOLLOWAY,JACK",2
--,"ASSIST  by HEITZENRATER,ANDREW",,,,,,,"ASSIST  by HEITZENRATER,ANDREW",2
13:52,,38,,67 (+29),"GOOD JUMPER by PORTER-BUNTON,CHRIS",APSU 38-67 (-29),,"GOOD JUMPER by PORTER-BUNTON,CHRIS",2
13:37,"GOOD LAYUP by SMITH,LUKE(in the paint)",40,,67 (+27),,SEWANEE 40-67 (-27),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
13:37,,,,,"SUB IN by BERNACER,FERRAN",,,"SUB IN by BERNACER,FERRAN",2
13:37,,,,,"SUB IN by MARTIN,DEYSHAWN",,,"SUB IN by MARTIN,DEYSHAWN",2
13:37,,,,,"SUB OUT by TAYLOR,TERRY",,,"SUB OUT by TAYLOR,TERRY",2
13:37,,,,,"SUB OUT by HENDERSON,RICHARD",,,"SUB OUT by HENDERSON,RICHARD",2
13:19,,,,,"FOUL  by MARTIN,DEYSHAWN",,,"FOUL  by MARTIN,DEYSHAWN",2
13:19,,,,,"TURNOVER  by MARTIN,DEYSHAWN",,,"TURNOVER  by MARTIN,DEYSHAWN",2
13:19,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
13:19,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",2
13:04,"MISS 3PTR by HEITZENRATER,ANDREW",,,,,,,"MISS 3PTR by HEITZENRATER,ANDREW",2
--,"REBOUND OFF by LEE,MATT",,,,,,,"REBOUND OFF by LEE,MATT",2
12:59,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
12:59,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",2
12:59,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",2
12:59,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
12:48,,40,,69 (+29),"GOOD LAYUP by MCCARTHY,ACOYDAN(in the paint)",APSU 40-69 (-29),,"GOOD LAYUP by MCCARTHY,ACOYDAN(in the paint)",2
12:33,"GOOD 3PTR by MCDONOUGH,SEAN",43,,69 (+26),,SEWANEE 43-69 (-26),,"GOOD 3PTR by MCDONOUGH,SEAN",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
12:22,,,,,"MISS JUMPER by PORTER-BUNTON,CHRIS",,,"MISS JUMPER by PORTER-BUNTON,CHRIS",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
12:07,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
12:05,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",45,,69 (+24),,SEWANEE 45-69 (-24),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
12:05,,,,,"FOUL  by MARTIN,DEYSHAWN",,,"FOUL  by MARTIN,DEYSHAWN",2
12:05,"GOOD FT by THOMAS,ADRIAN",46,,69 (+23),,SEWANEE 46-69 (-23),,"GOOD FT by THOMAS,ADRIAN",2
12:05,,,,,"SUB IN by UGBA,AVERYL",,,"SUB IN by UGBA,AVERYL",2
12:05,,,,,"SUB IN by TAYLOR,TERRY",,,"SUB IN by TAYLOR,TERRY",2
12:05,,,,,"SUB OUT by BERNACER,FERRAN",,,"SUB OUT by BERNACER,FERRAN",2
12:05,,,,,"SUB OUT by MARTIN,DEYSHAWN",,,"SUB OUT by MARTIN,DEYSHAWN",2
11:51,,,,,"TURNOVER  by UGBA,AVERYL",,,"TURNOVER  by UGBA,AVERYL",2
11:49,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",2
11:46,"MISS 3PTR by HEITZENRATER,ANDREW",,,,,,,"MISS 3PTR by HEITZENRATER,ANDREW",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
11:45,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",48,,69 (+21),,SEWANEE 48-69 (-21),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
11:45,,,,,"FOUL  by TAYLOR,TERRY",,,"FOUL  by TAYLOR,TERRY",2
11:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
11:45,"GOOD FT by THOMAS,ADRIAN",49,,69 (+20),,SEWANEE 49-69 (-20),,"GOOD FT by THOMAS,ADRIAN",2
11:45,,,,,"SUB IN by BERNACER,FERRAN",,,"SUB IN by BERNACER,FERRAN",2
11:45,,,,,"SUB IN by IVORY,TRE'",,,"SUB IN by IVORY,TRE'",2
11:45,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",2
11:45,,,,,"SUB OUT by TAYLOR,TERRY",,,"SUB OUT by TAYLOR,TERRY",2
11:26,,,,,"MISS JUMPER by IVORY,TRE'",,,"MISS JUMPER by IVORY,TRE'",2
--,,,,,"REBOUND OFF by PORTER-BUNTON,CHRIS",,,"REBOUND OFF by PORTER-BUNTON,CHRIS",2
11:24,"FOUL  by HEITZENRATER,ANDREW",,,,,,,"FOUL  by HEITZENRATER,ANDREW",2
11:24,,,,,"SUB IN by HARRIS,STEVE",,,"SUB IN by HARRIS,STEVE",2
11:24,,,,,"SUB OUT by MCCARTHY,ACOYDAN",,,"SUB OUT by MCCARTHY,ACOYDAN",2
11:20,,,,,"FOUL  by PORTER-BUNTON,CHRIS",,,"FOUL  by PORTER-BUNTON,CHRIS",2
11:20,,,,,"TURNOVER  by PORTER-BUNTON,CHRIS",,,"TURNOVER  by PORTER-BUNTON,CHRIS",2
11:12,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:54,,,,,"TURNOVER  by HARRIS,STEVE",,,"TURNOVER  by HARRIS,STEVE",2
10:52,"STEAL  by BUESCHER,HUNTER",,,,,,,"STEAL  by BUESCHER,HUNTER",2
10:33,"GOOD 3PTR by MCDONOUGH,SEAN",52,,69 (+17),,SEWANEE 52-69 (-17),,"GOOD 3PTR by MCDONOUGH,SEAN",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
10:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:18,,,,,"SUB IN by GLOTTA,ZACH",,,"SUB IN by GLOTTA,ZACH",2
10:18,,,,,"SUB IN by TAYLOR,TERRY",,,"SUB IN by TAYLOR,TERRY",2
10:18,,,,,"SUB OUT by BERNACER,FERRAN",,,"SUB OUT by BERNACER,FERRAN",2
10:18,,,,,"SUB OUT by HARRIS,STEVE",,,"SUB OUT by HARRIS,STEVE",2
10:08,,,,,"MISS JUMPER by PORTER-BUNTON,CHRIS",,,"MISS JUMPER by PORTER-BUNTON,CHRIS",2
--,,,,,"REBOUND OFF by UGBA,AVERYL",,,"REBOUND OFF by UGBA,AVERYL",2
09:47,"FOUL  by HEITZENRATER,ANDREW",,,,,,,"FOUL  by HEITZENRATER,ANDREW",2
09:41,,52,,72 (+20),"GOOD 3PTR by GLOTTA,ZACH",APSU 52-72 (-20),,"GOOD 3PTR by GLOTTA,ZACH",2
09:20,"TURNOVER  by MCDONOUGH,SEAN",,,,,,,"TURNOVER  by MCDONOUGH,SEAN",2
09:13,,,,,"MISS JUMPER by GLOTTA,ZACH",,,"MISS JUMPER by GLOTTA,ZACH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:04,,,,,"MISS 3PTR by GLOTTA,ZACH",,,"MISS 3PTR by GLOTTA,ZACH",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
08:53,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by TAYLOR,TERRY",,,"REBOUND DEF by TAYLOR,TERRY",2
08:47,"FOUL  by HEITZENRATER,ANDREW",,,,,,,"FOUL  by HEITZENRATER,ANDREW",2
08:47,,,,,"MISS FT by UGBA,AVERYL",,,"MISS FT by UGBA,AVERYL",2
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",2
08:47,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
08:47,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",2
08:39,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
08:39,,52,,73 (+21),"GOOD FT by TAYLOR,TERRY",APSU 52-73 (-21),,"GOOD FT by TAYLOR,TERRY",2
08:39,,52,,74 (+22),"GOOD FT by TAYLOR,TERRY",APSU 52-74 (-22),,"GOOD FT by TAYLOR,TERRY",2
08:39,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",2
08:39,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
08:29,"GOOD 3PTR by MCDONOUGH,SEAN",55,,74 (+19),,SEWANEE 55-74 (-19),,"GOOD 3PTR by MCDONOUGH,SEAN",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
08:16,,,,,"TURNOVER  by GUMM,DAYTON",,,"TURNOVER  by GUMM,DAYTON",2
08:10,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",57,,74 (+17),,SEWANEE 57-74 (-17),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
08:10,,,,,"FOUL  by UGBA,AVERYL",,,"FOUL  by UGBA,AVERYL",2
08:10,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by UGBA,AVERYL",,,"REBOUND DEF by UGBA,AVERYL",2
08:10,,,,,"SUB IN by GUMM,DAYTON",,,"SUB IN by GUMM,DAYTON",2
08:10,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",2
07:52,,,,,"TURNOVER  by TAYLOR,TERRY",,,"TURNOVER  by TAYLOR,TERRY",2
07:51,"STEAL  by LEE,MATT",,,,,,,"STEAL  by LEE,MATT",2
07:40,,,,,"FOUL  by GUMM,DAYTON",,,"FOUL  by GUMM,DAYTON",2
07:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:39,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:39,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
07:39,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
07:39,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
07:39,,,,,"SUB IN by GLOTTA,ZACH",,,"SUB IN by GLOTTA,ZACH",2
07:39,,,,,"SUB OUT by GUMM,DAYTON",,,"SUB OUT by GUMM,DAYTON",2
07:38,,,,,"SUB IN by HENDERSON,RICHARD",,,"SUB IN by HENDERSON,RICHARD",2
07:38,,,,,"SUB OUT by UGBA,AVERYL",,,"SUB OUT by UGBA,AVERYL",2
07:34,"GOOD 3PTR by SMITH,LUKE",60,,74 (+14),,SEWANEE 60-74 (-14),,"GOOD 3PTR by SMITH,LUKE",2
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",2
07:08,,60,,76 (+16),"GOOD JUMPER by IVORY,TRE'(in the paint)",APSU 60-76 (-16),,"GOOD JUMPER by IVORY,TRE'(in the paint)",2
06:52,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
06:52,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
06:52,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
06:33,,,,,"MISS JUMPER by IVORY,TRE'",,,"MISS JUMPER by IVORY,TRE'",2
--,,,,,"REBOUND OFF by TAYLOR,TERRY",,,"REBOUND OFF by TAYLOR,TERRY",2
06:29,,60,,78 (+18),"GOOD LAYUP by TAYLOR,TERRY(in the paint)",APSU 60-78 (-18),,"GOOD LAYUP by TAYLOR,TERRY(in the paint)",2
06:16,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",62,,78 (+16),,SEWANEE 62-78 (-16),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
06:01,,,,,"MISS 3PTR by PORTER-BUNTON,CHRIS",,,"MISS 3PTR by PORTER-BUNTON,CHRIS",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
05:55,,,,,"FOUL  by IVORY,TRE'",,,"FOUL  by IVORY,TRE'",2
05:55,"GOOD FT by SMITH,LUKE",63,,78 (+15),,SEWANEE 63-78 (-15),,"GOOD FT by SMITH,LUKE",2
05:55,"GOOD FT by SMITH,LUKE",64,,78 (+14),,SEWANEE 64-78 (-14),,"GOOD FT by SMITH,LUKE",2
05:55,,,,,"SUB IN by BERNACER,FERRAN",,,"SUB IN by BERNACER,FERRAN",2
05:55,,,,,"SUB IN by UGBA,AVERYL",,,"SUB IN by UGBA,AVERYL",2
05:55,,,,,"SUB OUT by HENDERSON,RICHARD",,,"SUB OUT by HENDERSON,RICHARD",2
05:55,,,,,"SUB OUT by TAYLOR,TERRY",,,"SUB OUT by TAYLOR,TERRY",2
05:41,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
05:41,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",2
05:41,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
05:40,,64,,79 (+15),"GOOD FT by UGBA,AVERYL",APSU 64-79 (-15),,"GOOD FT by UGBA,AVERYL",2
05:40,,64,,80 (+16),"GOOD FT by UGBA,AVERYL",APSU 64-80 (-16),,"GOOD FT by UGBA,AVERYL",2
05:30,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",2
05:30,,,,,"STEAL  by GLOTTA,ZACH",,,"STEAL  by GLOTTA,ZACH",2
05:30,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",2
05:30,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
05:30,,,,,"MISS FT by GLOTTA,ZACH",,,"MISS FT by GLOTTA,ZACH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:30,,64,,81 (+17),"GOOD FT by GLOTTA,ZACH",APSU 64-81 (-17),,"GOOD FT by GLOTTA,ZACH",2
05:20,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",66,,81 (+15),,SEWANEE 66-81 (-15),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
04:51,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",2
04:51,,66,,82 (+16),"GOOD FT by IVORY,TRE'",APSU 66-82 (-16),,"GOOD FT by IVORY,TRE'",2
04:51,,,,,"MISS FT by IVORY,TRE'",,,"MISS FT by IVORY,TRE'",2
--,,,,,"REBOUND OFF by PORTER-BUNTON,CHRIS",,,"REBOUND OFF by PORTER-BUNTON,CHRIS",2
04:47,,66,,85 (+19),"GOOD 3PTR by GLOTTA,ZACH",APSU 66-85 (-19),,"GOOD 3PTR by GLOTTA,ZACH",2
--,,,,,"ASSIST  by PORTER-BUNTON,CHRIS",,,"ASSIST  by PORTER-BUNTON,CHRIS",2
04:34,,,,,"FOUL  by GLOTTA,ZACH",,,"FOUL  by GLOTTA,ZACH",2
04:34,"GOOD FT by BUESCHER,HUNTER",67,,85 (+18),,SEWANEE 67-85 (-18),,"GOOD FT by BUESCHER,HUNTER",2
04:34,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by UGBA,AVERYL",,,"REBOUND DEF by UGBA,AVERYL",2
04:34,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",2
04:34,"SUB OUT by HEITZENRATER,ANDREW",,,,,,,"SUB OUT by HEITZENRATER,ANDREW",2
04:34,,,,,"SUB IN by MCCARTHY,ACOYDAN",,,"SUB IN by MCCARTHY,ACOYDAN",2
04:34,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",2
04:16,,67,,88 (+21),"GOOD 3PTR by UGBA,AVERYL",APSU 67-88 (-21),,"GOOD 3PTR by UGBA,AVERYL",2
04:03,"GOOD 3PTR by MCDONOUGH,SEAN",70,,88 (+18),,SEWANEE 70-88 (-18),,"GOOD 3PTR by MCDONOUGH,SEAN",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
03:48,,,,,"MISS JUMPER by IVORY,TRE'",,,"MISS JUMPER by IVORY,TRE'",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
03:36,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",2
