Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
17:22,,6,,10 (+4),"GOOD 3PTR by GLOTTA,ZACH",APSU 6-10 (-4),,"GOOD 3PTR by GLOTTA,ZACH",1
--,,,,,"ASSIST  by TAYLOR,TERRY",,,"ASSIST  by TAYLOR,TERRY",1
17:01,,,,,"FOUL  by IVORY,TRE'",,,"FOUL  by IVORY,TRE'",1
17:01,"MISS FT by SMITH,LUKE",,,,,,,"MISS FT by SMITH,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:01,"GOOD FT by SMITH,LUKE",7,,10 (+3),,SEWANEE 7-10 (-3),,"GOOD FT by SMITH,LUKE",1
16:41,,7,,12 (+5),"GOOD LAYUP by PORTER-BUNTON,CHRIS(in the paint)",APSU 7-12 (-5),,"GOOD LAYUP by PORTER-BUNTON,CHRIS(in the paint)",1
--,,,,,"ASSIST  by IVORY,TRE'",,,"ASSIST  by IVORY,TRE'",1
16:26,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
16:08,,,,,"TURNOVER  by PORTER-BUNTON,CHRIS",,,"TURNOVER  by PORTER-BUNTON,CHRIS",1
15:58,"GOOD 3PTR by HEITZENRATER,ANDREW",10,,12 (+2),,SEWANEE 10-12 (-2),,"GOOD 3PTR by HEITZENRATER,ANDREW",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
15:47,,,,,"TURNOVER  by HENDERSON,RICHARD",,,"TURNOVER  by HENDERSON,RICHARD",1
15:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:45,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
15:43,,,,,"STEAL  by TAYLOR,TERRY",,,"STEAL  by TAYLOR,TERRY",1
15:39,,10,,14 (+4),"GOOD LAYUP by GLOTTA,ZACH(in the paint)",APSU 10-14 (-4),,"GOOD LAYUP by GLOTTA,ZACH(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,TERRY",,,"ASSIST  by TAYLOR,TERRY",1
15:29,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
15:12,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by IVORY,TRE'",,,"REBOUND DEF by IVORY,TRE'",1
