Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
14:17,,9 (+4),,5,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 9-5 (-4),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
14:03,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",11 (+6),,5,,CCM 11-5 (-6),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",1
14:03,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",1
14:03,"GOOD FT by SPRAGG,BAILEY",12 (+7),,5,,CCM 12-5 (-7),,"GOOD FT by SPRAGG,BAILEY",1
14:03,"SUB IN by PALMER,NICK",,,,,,,"SUB IN by PALMER,NICK",1
14:03,"SUB OUT by TWAGIRAYEZU,PATJO",,,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",1
14:03,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
14:03,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
13:54,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
13:54,"SUB OUT by DRYDEN,BERTO",,,,,,,"SUB OUT by DRYDEN,BERTO",1
13:50,"FOUL  by JAUCH,JARED",,,,,,,"FOUL  by JAUCH,JARED",1
13:42,,12 (+4),,8,"GOOD 3PTR by CALDWELL,CAM",SEWANEE 12-8 (-4),,"GOOD 3PTR by CALDWELL,CAM",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
13:32,"FOUL  by SPRAGG,BAILEY",,,,,,,"FOUL  by SPRAGG,BAILEY",1
13:32,"TURNOVER  by SPRAGG,BAILEY",,,,,,,"TURNOVER  by SPRAGG,BAILEY",1
13:15,,12 (+1),,11,"GOOD 3PTR by SMITH,LUKE",SEWANEE 12-11 (-1),,"GOOD 3PTR by SMITH,LUKE",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
13:06,"MISS 3PTR by HOLLIS,MITCHELL",,,,,,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
12:38,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
12:37,"STEAL  by PALMER,NICK",,,,,,,"STEAL  by PALMER,NICK",1
12:16,"MISS JUMPER by JAUCH,JARED",,,,,,,"MISS JUMPER by JAUCH,JARED",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
11:45,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
11:45,"STEAL  by CRUMLY,WILL",,,,,,,"STEAL  by CRUMLY,WILL",1
11:37,"GOOD LAYUP by PALMER,NICK(in the paint)",14 (+3),,11,,CCM 14-11 (-3),,"GOOD LAYUP by PALMER,NICK(in the paint)",1
11:23,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
11:12,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:12,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
11:12,"SUB IN by DRYDEN,BERTO",,,,,,,"SUB IN by DRYDEN,BERTO",1
11:12,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
11:12,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
11:12,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
11:12,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
11:10,"TURNOVER  by SPRAGG,BAILEY",,,,,,,"TURNOVER  by SPRAGG,BAILEY",1
11:01,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",1
