Time Remaining,MUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:42,"MISS JUMPER by WHITLEY,JACKSON",,,,,,,"MISS JUMPER by WHITLEY,JACKSON",1
--,"REBOUND OFF by REESE,TROYNELL",,,,,,,"REBOUND OFF by REESE,TROYNELL",1
19:37,"GOOD TIPIN by REESE,TROYNELL(in the paint)",2 (+2),,0,,MUM 2-0 (-2),,"GOOD TIPIN by REESE,TROYNELL(in the paint)",1
19:15,,2,,2,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
19:00,"GOOD 3PTR by ROUSE,BRYAN",5 (+3),,2,,MUM 5-2 (-3),,"GOOD 3PTR by ROUSE,BRYAN",1
--,"ASSIST  by AYABARRENO,DAVION",,,,,,,"ASSIST  by AYABARRENO,DAVION",1
18:41,,5 (+1),,4,"GOOD JUMPER by SMITH,LUKE(in the paint)",SEWANEE 5-4 (-1),,"GOOD JUMPER by SMITH,LUKE(in the paint)",1
18:34,"TURNOVER  by JACKSON,DANTE",,,,,,,"TURNOVER  by JACKSON,DANTE",1
18:22,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:06,"MISS LAYUP by ROUSE,BRYAN",,,,,,,"MISS LAYUP by ROUSE,BRYAN",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
17:51,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
17:50,"STEAL  by JACKSON,DANTE",,,,,,,"STEAL  by JACKSON,DANTE",1
17:35,"MISS LAYUP by AYABARRENO,DAVION",,,,,,,"MISS LAYUP by AYABARRENO,DAVION",1
--,"REBOUND OFF by WHITLEY,JACKSON",,,,,,,"REBOUND OFF by WHITLEY,JACKSON",1
17:27,"GOOD TIPIN by WHITLEY,JACKSON(in the paint)",7 (+3),,4,,MUM 7-4 (-3),,"GOOD TIPIN by WHITLEY,JACKSON(in the paint)",1
17:12,,,,,"MISS LAYUP by THOMAS,ADRIAN",,,"MISS LAYUP by THOMAS,ADRIAN",1
--,"REBOUND DEF by AYABARRENO,DAVION",,,,,,,"REBOUND DEF by AYABARRENO,DAVION",1
