Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:38,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by MCLEAN,BRANDON",,,"REBOUND DEF by MCLEAN,BRANDON",1
19:10,,,,,"MISS 3PTR by JONES,RJ",,,"MISS 3PTR by JONES,RJ",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
18:45,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
18:20,"GOOD 3PTR by SMITH,LUKE",3 (+3),,0,,SEWANEE 3-0 (+3),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by LEE,MATT",,,,,,,"ASSIST  by LEE,MATT",1
17:55,,,,,"MISS LAYUP by ELMORE,TC",,,"MISS LAYUP by ELMORE,TC",1
--,,,,,"REBOUND OFF by MCLEAN,BRANDON",,,"REBOUND OFF by MCLEAN,BRANDON",1
17:55,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
17:55,,,,,"MISS FT by MCLEAN,BRANDON",,,"MISS FT by MCLEAN,BRANDON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:55,,3 (+2),,1,"GOOD FT by MCLEAN,BRANDON",HCM 3-1 (+2),,"GOOD FT by MCLEAN,BRANDON",1
17:48,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
17:46,,,,,"STEAL  by PINES,KYANTE",,,"STEAL  by PINES,KYANTE",1
17:36,,,,,"MISS LAYUP by ELMORE,TC",,,"MISS LAYUP by ELMORE,TC",1
--,,,,,"REBOUND OFF by REID,BRYANT",,,"REBOUND OFF by REID,BRYANT",1
17:32,,,,,"MISS LAYUP by REID,BRYANT",,,"MISS LAYUP by REID,BRYANT",1
--,,,,,"REBOUND OFF by ELMORE,TC",,,"REBOUND OFF by ELMORE,TC",1
17:29,,3,,3,"GOOD LAYUP by ELMORE,TC(in the paint)",HCM 3-3 (0),,"GOOD LAYUP by ELMORE,TC(in the paint)",1
17:23,,,,,"FOUL  by PINES,KYANTE",,,"FOUL  by PINES,KYANTE",1
17:13,"GOOD 3PTR by BUESCHER,HUNTER",6 (+3),,3,,SEWANEE 6-3 (+3),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
16:47,,,,,"MISS LAYUP by MCLEAN,BRANDON",,,"MISS LAYUP by MCLEAN,BRANDON",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
16:24,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",8 (+5),,3,,SEWANEE 8-3 (+5),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",1
16:17,,,,,"TURNOVER  by REID,BRYANT",,,"TURNOVER  by REID,BRYANT",1
16:17,,,,,"SUB IN by GRAVES,JOHN JAY",,,"SUB IN by GRAVES,JOHN JAY",1
16:17,,,,,"SUB OUT by MCLEAN,BRANDON",,,"SUB OUT by MCLEAN,BRANDON",1
15:57,,,,,"FOUL  by ELMORE,TC",,,"FOUL  by ELMORE,TC",1
15:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:57,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
15:57,,,,,"SUB OUT by ELMORE,TC",,,"SUB OUT by ELMORE,TC",1
15:50,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",10 (+7),,3,,SEWANEE 10-3 (+7),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",1
15:34,,10 (+5),,5,"GOOD JUMPER by JONES,RJ(in the paint)",HCM 10-5 (+5),,"GOOD JUMPER by JONES,RJ(in the paint)",1
15:12,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by PINES,KYANTE",,,"REBOUND DEF by PINES,KYANTE",1
14:56,,,,,"TURNOVER  by GRAVES,JOHN JAY",,,"TURNOVER  by GRAVES,JOHN JAY",1
14:55,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
14:53,,,,,"FOUL  by HOBSON,CHARVEZ'",,,"FOUL  by HOBSON,CHARVEZ'",1
14:53,"GOOD FT by SMITH,LUKE",11 (+6),,5,,SEWANEE 11-5 (+6),,"GOOD FT by SMITH,LUKE",1
14:53,"GOOD FT by SMITH,LUKE",12 (+7),,5,,SEWANEE 12-5 (+7),,"GOOD FT by SMITH,LUKE",1
14:53,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
14:53,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
14:53,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
14:53,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
14:53,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
14:53,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
14:53,,,,,"SUB IN by CHADWICK,SCOTTY",,,"SUB IN by CHADWICK,SCOTTY",1
14:53,,,,,"SUB IN by BOYD,CAM",,,"SUB IN by BOYD,CAM",1
14:53,,,,,"SUB IN by KING,ISAIAH",,,"SUB IN by KING,ISAIAH",1
14:53,,,,,"SUB OUT by PINES,KYANTE",,,"SUB OUT by PINES,KYANTE",1
14:53,,,,,"SUB OUT by JONES,RJ",,,"SUB OUT by JONES,RJ",1
14:53,,,,,"SUB OUT by REID,BRYANT",,,"SUB OUT by REID,BRYANT",1
14:46,,,,,"MISS JUMPER by KING,ISAIAH",,,"MISS JUMPER by KING,ISAIAH",1
