,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds)
737,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"GOOD FT by JACOBSEN,RYAN",81 (+19),,62,,CHI 81-62 (-19),,"GOOD FT by JACOBSEN,RYAN",2,free throw,good,chicago,"jacobsen,ryan",1,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
738,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB OUT by VEACH,PORTER",,,,,,,"SUB OUT by VEACH,PORTER",2,subbing out,,chicago,"veach,porter",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
739,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB OUT by GUSTAFSON,ALEX",,,,,,,"SUB OUT by GUSTAFSON,ALEX",2,subbing out,,chicago,"gustafson,alex",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
740,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB OUT by SHEARMIRE,RYAN",,,,,,,"SUB OUT by SHEARMIRE,RYAN",2,subbing out,,chicago,"shearmire,ryan",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
741,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB OUT by COLANGELO,MATTIA",,,,,,,"SUB OUT by COLANGELO,MATTIA",2,subbing out,,chicago,"colangelo,mattia",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
742,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB OUT by SUSTACEK,SAM",,,,,,,"SUB OUT by SUSTACEK,SAM",2,subbing out,,chicago,"sustacek,sam",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
743,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB IN by PEREZ,WALLER",,,,,,,"SUB IN by PEREZ,WALLER",2,subbing in,,chicago,"perez,waller",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
744,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB IN by FENLON,JAKE",,,,,,,"SUB IN by FENLON,JAKE",2,subbing in,,chicago,"fenlon,jake",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
745,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB IN by BAUM,JORDAN",,,,,,,"SUB IN by BAUM,JORDAN",2,subbing in,,chicago,"baum,jordan",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
746,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB IN by JACKSON,JUSTIN",,,,,,,"SUB IN by JACKSON,JUSTIN",2,subbing in,,chicago,"jackson,justin",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
747,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,15:06,"SUB IN by CRAWFORD,BLAINE",,,,,,,"SUB IN by CRAWFORD,BLAINE",2,subbing in,,chicago,"crawford,blaine",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",906
748,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:45,,,,,"MISS LAYUP by ASHBY,KENDRICK",,,"MISS LAYUP by ASHBY,KENDRICK",2,layup,missed,rhodes,"ashby,kendrick",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",885
749,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:45,"BLOCK  by CRAWFORD,BLAINE",,,,,,,"BLOCK  by CRAWFORD,BLAINE",2,block,,chicago,"crawford,blaine",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",885
750,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,--,"REBOUND DEF by BAUM,JORDAN",,,,,,,"REBOUND DEF by BAUM,JORDAN",2,defensive rebound,,chicago,"baum,jordan",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",
751,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:38,,,,,"FOUL  by ASHBY,KENDRICK",,,"FOUL  by ASHBY,KENDRICK",2,foul,,rhodes,"ashby,kendrick",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",878
752,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:38,"MISS FT by JACKSON,JUSTIN",,,,,,,"MISS FT by JACKSON,JUSTIN",2,free throw,missed,chicago,"jackson,justin",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",878
753,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2,deadball rebound,,chicago,,,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",
754,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:38,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2,subbing out,,rhodes,"sullivan,brennan",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",878
755,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:38,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",2,subbing out,,rhodes,"lowrie,andrew",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",878
756,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:38,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",2,subbing out,,rhodes,"weir,jj",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",878
757,4750,Rhodes,Chicago,0,121-101,"49,52","62,59",4-5,8-1,N/A,N/A,12/18/16,4:16 p.m.,N/A,"Memphis, Tenn.",Lose,2,False,73,False,14:38,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2,subbing out,,rhodes,"darst,daniel",,"['howard,tyler', 'barthel,collin', 'schmitz,cole', 'karras,noah', 'baum,jordan', 'jackson,justin', 'jacobsen,ryan', 'fenlon,jake']","['nyawata,anesu', 'de,nick', 'ashby,kendrick', 'harrison,ian', 'nestlehutt,jake', 'weatherford,mitch', 'galvin,owen', 'dalton,price', 'deferia,nick', 'lowrie,andrew', 'giroux,preston', 'darst,daniel']",878
