Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:40,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
19:28,"GOOD JUMPER by GRAY,DYLAN",2 (+2),,0,,UO 2-0 (-2),,"GOOD JUMPER by GRAY,DYLAN",1
--,"ASSIST  by HALL,JOEY",,,,,,,"ASSIST  by HALL,JOEY",1
18:54,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:40,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
18:27,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",1
18:25,"STEAL  by BARNES,SKYLER",,,,,,,"STEAL  by BARNES,SKYLER",1
18:19,"GOOD 3PTR by JOHNSON,BRYSON",5 (+5),,0,,UO 5-0 (-5),,"GOOD 3PTR by JOHNSON,BRYSON",1
--,"ASSIST  by HALL,JOEY",,,,,,,"ASSIST  by HALL,JOEY",1
17:53,,,,,"MISS JUMPER by HALL,MARCIS",,,"MISS JUMPER by HALL,MARCIS",1
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",1
17:43,"MISS LAYUP by GRAY,DYLAN",,,,,,,"MISS LAYUP by GRAY,DYLAN",1
--,"REBOUND OFF by GRAY,DYLAN",,,,,,,"REBOUND OFF by GRAY,DYLAN",1
17:34,"TURNOVER  by BARNES,SKYLER",,,,,,,"TURNOVER  by BARNES,SKYLER",1
17:32,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
17:30,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by JENKINS,KEON",,,,,,,"REBOUND DEF by JENKINS,KEON",1
17:08,"TURNOVER  by WILHELM,CORY",,,,,,,"TURNOVER  by WILHELM,CORY",1
16:52,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
16:46,"FOUL  by WILHELM,CORY",,,,,,,"FOUL  by WILHELM,CORY",1
16:46,,5 (+4),,1,"GOOD FT by HALL,MARCIS",HXM 5-1 (-4),,"GOOD FT by HALL,MARCIS",1
16:46,,5 (+3),,2,"GOOD FT by HALL,MARCIS",HXM 5-2 (-3),,"GOOD FT by HALL,MARCIS",1
16:38,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
16:38,"MISS FT by HALL,JOEY",,,,,,,"MISS FT by HALL,JOEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:38,"MISS FT by HALL,JOEY",,,,,,,"MISS FT by HALL,JOEY",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
16:34,,5 (+1),,4,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 5-4 (-1),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
16:08,"MISS 3PTR by JOHNSON,BRYSON",,,,,,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND OFF by BARNES,SKYLER",,,,,,,"REBOUND OFF by BARNES,SKYLER",1
16:03,"GOOD LAYUP by BARNES,SKYLER(in the paint)",7 (+3),,4,,UO 7-4 (-3),,"GOOD LAYUP by BARNES,SKYLER(in the paint)",1
15:44,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by GRAY,DYLAN",,,,,,,"REBOUND DEF by GRAY,DYLAN",1
15:24,"MISS JUMPER by GRAY,DYLAN",,,,,,,"MISS JUMPER by GRAY,DYLAN",1
--,"REBOUND OFF by GRAY,DYLAN",,,,,,,"REBOUND OFF by GRAY,DYLAN",1
15:20,"MISS LAYUP by GRAY,DYLAN",,,,,,,"MISS LAYUP by GRAY,DYLAN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
15:09,,7 (+1),,6,"GOOD JUMPER by ROUSE,TREY",HXM 7-6 (-1),,"GOOD JUMPER by ROUSE,TREY",1
15:06,"SUB IN by BOBO,ZACH",,,,,,,"SUB IN by BOBO,ZACH",1
15:06,"SUB IN by KNIGHT,KELVIN",,,,,,,"SUB IN by KNIGHT,KELVIN",1
15:06,"SUB OUT by HALL,JOEY",,,,,,,"SUB OUT by HALL,JOEY",1
15:06,"SUB OUT by WILHELM,CORY",,,,,,,"SUB OUT by WILHELM,CORY",1
15:06,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
15:06,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
14:50,"MISS 3PTR by BARNES,SKYLER",,,,,,,"MISS 3PTR by BARNES,SKYLER",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
14:40,,7,,9 (+2),"GOOD 3PTR by ROUSE,TREY",HXM 7-9 (+2),,"GOOD 3PTR by ROUSE,TREY",1
14:02,"TURNOVER  by KNIGHT,KELVIN",,,,,,,"TURNOVER  by KNIGHT,KELVIN",1
14:02,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
14:02,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
14:02,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
14:02,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
13:46,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by BARNES,SKYLER",,,,,,,"REBOUND DEF by BARNES,SKYLER",1
13:38,"TURNOVER  by BARNES,SKYLER",,,,,,,"TURNOVER  by BARNES,SKYLER",1
13:37,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",1
13:25,"FOUL  by JOHNSON,BRYSON",,,,,,,"FOUL  by JOHNSON,BRYSON",1
13:25,,,,,"MISS FT by CALAMESE,MICHAEL",,,"MISS FT by CALAMESE,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:25,,7,,10 (+3),"GOOD FT by CALAMESE,MICHAEL",HXM 7-10 (+3),,"GOOD FT by CALAMESE,MICHAEL",1
13:15,"MISS 3PTR by BOBO,ZACH",,,,,,,"MISS 3PTR by BOBO,ZACH",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
12:59,"SUB IN by GREEN,CHRIS",,,,,,,"SUB IN by GREEN,CHRIS",1
12:59,"SUB OUT by JOHNSON,BRYSON",,,,,,,"SUB OUT by JOHNSON,BRYSON",1
12:52,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
12:50,"STEAL  by GREEN,CHRIS",,,,,,,"STEAL  by GREEN,CHRIS",1
12:34,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
12:34,,7,,11 (+4),"GOOD FT by LINK,JACOB",HXM 7-11 (+4),,"GOOD FT by LINK,JACOB",1
12:34,,7,,12 (+5),"GOOD FT by LINK,JACOB",HXM 7-12 (+5),,"GOOD FT by LINK,JACOB",1
12:34,"FOUL  by BOBO,ZACH",,,,,,,"FOUL  by BOBO,ZACH",1
12:34,,,,,"SUB IN by ABELL,STEPHEN",,,"SUB IN by ABELL,STEPHEN",1
