Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:49,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2 (+2),,0,,BCM 2-0 (-2),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
--,"ASSIST  by CLARK,ETHAN",,,,,,,"ASSIST  by CLARK,ETHAN",1
19:32,,2,,3 (+1),"GOOD 3PTR by BRASFIELD,KAM",HXM 2-3 (+1),,"GOOD 3PTR by BRASFIELD,KAM",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
19:16,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",1
18:59,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by MOORE,MILES",,,,,,,"REBOUND DEF by MOORE,MILES",1
18:49,"GOOD LAYUP by MOORE,MILES(in the paint)",4 (+1),,3,,BCM 4-3 (-1),,"GOOD LAYUP by MOORE,MILES(in the paint)",1
18:36,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MOORE,MILES",,,,,,,"REBOUND DEF by MOORE,MILES",1
18:15,"GOOD 3PTR by MOORE,MILES",7 (+4),,3,,BCM 7-3 (-4),,"GOOD 3PTR by MOORE,MILES",1
17:51,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MOORE,MILES",,,,,,,"REBOUND DEF by MOORE,MILES",1
17:31,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",1
17:31,"GOOD FT by HIRSH,ELIJAH",8 (+5),,3,,BCM 8-3 (-5),,"GOOD FT by HIRSH,ELIJAH",1
17:31,"GOOD FT by HIRSH,ELIJAH",9 (+6),,3,,BCM 9-3 (-6),,"GOOD FT by HIRSH,ELIJAH",1
17:05,,9 (+4),,5,"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 9-5 (-4),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
16:50,"MISS LAYUP by CLARK,ETHAN",,,,,,,"MISS LAYUP by CLARK,ETHAN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
16:43,"FOUL  by MOORE,MILES",,,,,,,"FOUL  by MOORE,MILES",1
16:43,,9 (+3),,6,"GOOD FT by LINK,JACOB",HXM 9-6 (-3),,"GOOD FT by LINK,JACOB",1
16:43,,9 (+2),,7,"GOOD FT by LINK,JACOB",HXM 9-7 (-2),,"GOOD FT by LINK,JACOB",1
16:39,"GOOD 3PTR by JOHNSON,CALEB",12 (+5),,7,,BCM 12-7 (-5),,"GOOD 3PTR by JOHNSON,CALEB",1
--,"ASSIST  by MOORE,MILES",,,,,,,"ASSIST  by MOORE,MILES",1
16:17,,12 (+3),,9,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 12-9 (-3),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
15:55,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
15:51,,12 (+1),,11,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 12-11 (-1),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
15:35,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
15:29,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",1
15:29,"SUB IN by SOMMERVILLE,MARK",,,,,,,"SUB IN by SOMMERVILLE,MARK",1
15:29,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
15:28,,12,,13 (+1),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 12-13 (+1),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
15:09,"MISS 3PTR by SOMMERVILLE,MARK",,,,,,,"MISS 3PTR by SOMMERVILLE,MARK",1
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",1
14:49,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
14:49,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
14:40,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
14:22,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
14:14,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",14 (+1),,13,,BCM 14-13 (-1),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
13:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:55,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
13:55,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
13:55,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
13:55,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
13:55,"SUB OUT by HIRSH,ELIJAH",,,,,,,"SUB OUT by HIRSH,ELIJAH",1
13:55,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
13:55,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
13:50,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",1
13:50,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
13:50,"SUB OUT by SOMMERVILLE,MARK",,,,,,,"SUB OUT by SOMMERVILLE,MARK",1
13:48,,,,,"TURNOVER  by FISHER,ELI",,,"TURNOVER  by FISHER,ELI",1
13:37,"MISS 3PTR by MOORE,MILES",,,,,,,"MISS 3PTR by MOORE,MILES",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
13:26,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by MOORE,MILES",,,,,,,"REBOUND DEF by MOORE,MILES",1
13:07,"GOOD 3PTR by ATKINSON,QUINN",17 (+4),,13,,BCM 17-13 (-4),,"GOOD 3PTR by ATKINSON,QUINN",1
13:04,,,,,"FOUL  by FISHER,ELI",,,"FOUL  by FISHER,ELI",1
13:04,"MISS FT by ATKINSON,QUINN",,,,,,,"MISS FT by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
12:56,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
12:51,,17 (+2),,15,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 17-15 (-2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
12:35,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",1
12:32,"MISS LAYUP by ELLINGSWORTH,COLEMAN",,,,,,,"MISS LAYUP by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
12:10,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",1
12:08,"STEAL  by FORTE,MCCARTY",,,,,,,"STEAL  by FORTE,MCCARTY",1
11:57,"GOOD LAYUP by MOORE,MILES(in the paint)",19 (+4),,15,,BCM 19-15 (-4),,"GOOD LAYUP by MOORE,MILES(in the paint)",1
11:57,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",1
11:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:57,"MISS FT by MOORE,MILES",,,,,,,"MISS FT by MOORE,MILES",1
--,"REBOUND OFF by MOORE,MILES",,,,,,,"REBOUND OFF by MOORE,MILES",1
11:57,"SUB IN by HIRSH,ELIJAH",,,,,,,"SUB IN by HIRSH,ELIJAH",1
11:57,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
11:54,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1
11:52,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",1
11:47,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
11:38,,19 (+1),,18,"GOOD 3PTR by SMITH,PRESTON",HXM 19-18 (-1),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
11:38,"FOUL  by JOHNSON,CORY",,,,,,,"FOUL  by JOHNSON,CORY",1
11:38,,19,,19,"GOOD FT by SMITH,PRESTON",HXM 19-19 (0),,"GOOD FT by SMITH,PRESTON",1
11:38,"SUB IN by BIRDSONG,JAKE",,,,,,,"SUB IN by BIRDSONG,JAKE",1
11:38,"SUB OUT by MOORE,MILES",,,,,,,"SUB OUT by MOORE,MILES",1
11:35,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
11:20,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",1
11:20,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
11:14,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
11:14,"SUB IN by SOMMERVILLE,MARK",,,,,,,"SUB IN by SOMMERVILLE,MARK",1
11:14,"SUB IN by MOORE,MILES",,,,,,,"SUB IN by MOORE,MILES",1
11:14,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
11:14,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",1
11:14,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
11:14,"SUB OUT by BIRDSONG,JAKE",,,,,,,"SUB OUT by BIRDSONG,JAKE",1
11:02,"FOUL  by JOHNSON,CALEB",,,,,,,"FOUL  by JOHNSON,CALEB",1
11:02,,19,,20 (+1),"GOOD FT by LINK,JACOB",HXM 19-20 (+1),,"GOOD FT by LINK,JACOB",1
11:02,,19,,21 (+2),"GOOD FT by LINK,JACOB",HXM 19-21 (+2),,"GOOD FT by LINK,JACOB",1
10:46,"MISS 3PTR by ATKINSON,QUINN",,,,,,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
10:35,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,,,,,"REBOUND OFF by BRASFIELD,KAM",,,"REBOUND OFF by BRASFIELD,KAM",1
10:28,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
10:26,"STEAL  by HIRSH,ELIJAH",,,,,,,"STEAL  by HIRSH,ELIJAH",1
