Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",1
14:57,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",1
14:51,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
14:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:51,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
14:51,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
14:51,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
14:51,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
14:40,"GOOD JUMPER by SMITH,PRESTON",7,,13 (+6),,HXM 7-13 (-6),,"GOOD JUMPER by SMITH,PRESTON",1
14:22,,,,,"MISS JUMPER by GRANT,SHE'CHEM",,,"MISS JUMPER by GRANT,SHE'CHEM",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
14:01,"GOOD 3PTR by CRISWELL,SEAN",10,,13 (+3),,HXM 10-13 (-3),,"GOOD 3PTR by CRISWELL,SEAN",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
13:37,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
13:31,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",1
13:29,,10,,15 (+5),"GOOD LAYUP by BLANZ,BUCK(in the paint)",MILMB 10-15 (-5),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
13:20,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",1
13:12,,10,,18 (+8),"GOOD 3PTR by BLANZ,BUCK",MILMB 10-18 (-8),,"GOOD 3PTR by BLANZ,BUCK",1
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",1
12:53,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
12:53,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:53,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",1
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",1
12:53,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",1
12:53,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
12:53,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
12:53,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
12:53,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
12:53,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
12:40,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
12:13,,10,,20 (+10),"GOOD LAYUP by MILLER,JOSHUA(in the paint)",MILMB 10-20 (-10),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
12:01,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
11:53,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1
11:51,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
11:49,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
11:45,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
11:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:45,,,,,"SUB IN by LEONCE,JOSH",,,"SUB IN by LEONCE,JOSH",1
11:45,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
11:39,,,,,"TURNOVER  by BURNETT,DREW",,,"TURNOVER  by BURNETT,DREW",1
11:39,,,,,"FOUL  by BURNETT,DREW",,,"FOUL  by BURNETT,DREW",1
11:39,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
11:39,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",1
11:29,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
11:23,,10,,23 (+13),"GOOD 3PTR by GRANT,SHE'CHEM",MILMB 10-23 (-13),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",1
11:09,"GOOD 3PTR by BRASFIELD,KAM",13,,23 (+10),,HXM 13-23 (-10),,"GOOD 3PTR by BRASFIELD,KAM",1
10:51,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
10:49,"STEAL  by CRISWELL,SEAN",,,,,,,"STEAL  by CRISWELL,SEAN",1
10:43,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by LEONCE,JOSH",,,"REBOUND DEF by LEONCE,JOSH",1
10:32,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
10:25,,,,,"MISS DUNK by SPIKES,KALVIN",,,"MISS DUNK by SPIKES,KALVIN",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
10:15,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
10:02,,13,,25 (+12),"GOOD JUMPER by SULLIVAN,MICHAEL",MILMB 13-25 (-12),,"GOOD JUMPER by SULLIVAN,MICHAEL",1
09:42,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
09:42,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
09:42,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
09:42,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",1
09:42,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
09:42,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
09:42,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
09:42,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
09:42,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
09:26,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
09:13,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,,,,,"REBOUND DEF by OWENS,MATT",,,"REBOUND DEF by OWENS,MATT",1
09:11,,,,,"FOUL  by LEONCE,JOSH",,,"FOUL  by LEONCE,JOSH",1
08:53,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",15,,25 (+10),,HXM 15-25 (-10),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
08:28,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",1
08:22,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",1
--,,,,,"REBOUND OFF by GRANT,SHE'CHEM",,,"REBOUND OFF by GRANT,SHE'CHEM",1
08:18,"FOUL  by FISHER,ELI",,,,,,,"FOUL  by FISHER,ELI",1
08:18,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:18,,15,,26 (+11),"GOOD FT by GRANT,SHE'CHEM",MILMB 15-26 (-11),,"GOOD FT by GRANT,SHE'CHEM",1
08:18,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
08:18,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
08:18,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
08:18,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
08:18,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",1
08:18,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
08:18,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
08:18,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
08:08,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",1
08:08,"GOOD FT by SMITH,PRESTON",16,,26 (+10),,HXM 16-26 (-10),,"GOOD FT by SMITH,PRESTON",1
08:08,"GOOD FT by SMITH,PRESTON",17,,26 (+9),,HXM 17-26 (-9),,"GOOD FT by SMITH,PRESTON",1
07:50,,17,,29 (+12),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 17-29 (-12),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
07:36,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",1
--,,,,,"REBOUND DEF by CARVELLI,CAMERON",,,"REBOUND DEF by CARVELLI,CAMERON",1
07:30,,17,,32 (+15),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 17-32 (-15),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
07:19,,,,,"FOUL  by CARVELLI,CAMERON",,,"FOUL  by CARVELLI,CAMERON",1
07:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:19,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
07:19,"MISS FT by CALAMESE,MICHAEL",,,,,,,"MISS FT by CALAMESE,MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:19,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
07:19,,,,,"SUB OUT by LEONCE,JOSH",,,"SUB OUT by LEONCE,JOSH",1
07:11,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
06:56,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
06:43,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
06:35,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
06:35,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
06:35,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
06:24,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",1
--,"REBOUND DEF by FISHER,ELI",,,,,,,"REBOUND DEF by FISHER,ELI",1
06:13,"MISS LAYUP by HALL,MARCIS",,,,,,,"MISS LAYUP by HALL,MARCIS",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
05:52,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
05:45,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
05:40,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
05:40,,,,,"BLOCK  by OWENS,MATT",,,"BLOCK  by OWENS,MATT",1
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",1
05:29,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",1
--,,,,,"REBOUND DEF by CARVELLI,CAMERON",,,"REBOUND DEF by CARVELLI,CAMERON",1
05:04,,17,,35 (+18),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 17-35 (-18),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"ASSIST  by CARVELLI,CAMERON",,,"ASSIST  by CARVELLI,CAMERON",1
04:48,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
04:36,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",1
04:36,,,,,"MISS FT by MILLER,JOSHUA",,,"MISS FT by MILLER,JOSHUA",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:36,,17,,36 (+19),"GOOD FT by MILLER,JOSHUA",MILMB 17-36 (-19),,"GOOD FT by MILLER,JOSHUA",1
04:36,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
04:36,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",1
04:36,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
04:36,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
04:36,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
04:36,,,,,"SUB OUT by CARVELLI,CAMERON",,,"SUB OUT by CARVELLI,CAMERON",1
04:36,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",1
04:36,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
04:19,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
04:19,"GOOD FT by HALL,MARCIS",18,,36 (+18),,HXM 18-36 (-18),,"GOOD FT by HALL,MARCIS",1
04:19,"GOOD FT by HALL,MARCIS",19,,36 (+17),,HXM 19-36 (-17),,"GOOD FT by HALL,MARCIS",1
03:55,,19,,38 (+19),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",MILMB 19-38 (-19),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
03:41,"GOOD 3PTR by SMITH,PRESTON",22,,38 (+16),,HXM 22-38 (-16),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
03:21,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
03:14,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
03:14,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
03:14,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:05,"GOOD 3PTR by SMITH,PRESTON",25,,38 (+13),,HXM 25-38 (-13),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
02:44,,25,,40 (+15),"GOOD LAYUP by TURNER,JAMES(in the paint)",MILMB 25-40 (-15),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
02:24,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:21,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
02:21,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
02:21,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
02:21,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
02:04,,25,,42 (+17),"GOOD LAYUP by TURNER,JAMES(in the paint)",MILMB 25-42 (-17),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
01:59,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
01:59,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
01:56,"GOOD JUMPER by BRASFIELD,KAM",27,,42 (+15),,HXM 27-42 (-15),,"GOOD JUMPER by BRASFIELD,KAM",1
01:44,,,,,"MISS LAYUP by KOHNKE,SAM",,,"MISS LAYUP by KOHNKE,SAM",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
01:41,,,,,"MISS LAYUP by TURNER,JAMES",,,"MISS LAYUP by TURNER,JAMES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:40,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
01:40,"MISS FT by CRISWELL,SEAN",,,,,,,"MISS FT by CRISWELL,SEAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:40,"MISS FT by CRISWELL,SEAN",,,,,,,"MISS FT by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by CARVELLI,CAMERON",,,"REBOUND DEF by CARVELLI,CAMERON",1
01:40,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",1
01:40,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
01:33,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by CRAWFORD,TRACE",,,,,,,"REBOUND DEF by CRAWFORD,TRACE",1
01:08,"MISS LAYUP by HALL,MARCIS",,,,,,,"MISS LAYUP by HALL,MARCIS",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
00:54,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
00:40,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",1
00:40,"GOOD FT by BRASFIELD,KAM",28,,42 (+14),,HXM 28-42 (-14),,"GOOD FT by BRASFIELD,KAM",1
00:40,"GOOD FT by BRASFIELD,KAM",29,,42 (+13),,HXM 29-42 (-13),,"GOOD FT by BRASFIELD,KAM",1
00:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:19,,29,,45 (+16),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 29-45 (-16),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"ASSIST  by OWENS,MATT",,,"ASSIST  by OWENS,MATT",1
00:03,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
00:03,,,,,"BLOCK  by GRANT,SHE'CHEM",,,"BLOCK  by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by OWENS,MATT",,,"REBOUND DEF by OWENS,MATT",1
20:00,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",2
20:00,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",2
19:31,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",2
19:29,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
19:22,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:19,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
19:01,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
18:55,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",31,,45 (+14),,HXM 31-45 (-14),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
18:37,,31,,48 (+17),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 31-48 (-17),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",2
18:14,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",33,,48 (+15),,HXM 33-48 (-15),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
17:52,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
17:43,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",35,,48 (+13),,HXM 35-48 (-13),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
17:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:36,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
17:21,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",,,"MISS LAYUP by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
17:07,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",2
17:07,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
16:51,,,,,"MISS 3PTR by BLANZ,BUCK",,,"MISS 3PTR by BLANZ,BUCK",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
16:43,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
