Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,UO,Game Score,Team Indicator,Play,Period
19:55,"FOUL  by NOTLEY,CHANDLER",,,,,,,"FOUL  by NOTLEY,CHANDLER",1
19:40,,,,,"TURNOVER  by JOHNSON,BRYSON",,,"TURNOVER  by JOHNSON,BRYSON",1
19:37,"GOOD JUMPER by NOTLEY,CHANDLER",2 (+2),,0,,HXM 2-0 (+2),,"GOOD JUMPER by NOTLEY,CHANDLER",1
--,"ASSIST  by MOORE,AUSTIN",,,,,,,"ASSIST  by MOORE,AUSTIN",1
19:25,,,,,"MISS JUMPER by BARNES,SKYLER",,,"MISS JUMPER by BARNES,SKYLER",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
19:21,"GOOD 3PTR by BRASFIELD,KAM",5 (+5),,0,,HXM 5-0 (+5),,"GOOD 3PTR by BRASFIELD,KAM",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
19:07,,,,,"MISS 3PTR by JOHNSON,BRYSON",,,"MISS 3PTR by JOHNSON,BRYSON",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
18:56,"MISS 3PTR by MOORE,AUSTIN",,,,,,,"MISS 3PTR by MOORE,AUSTIN",1
--,,,,,"REBOUND DEF by JOHNSON,BRYSON",,,"REBOUND DEF by JOHNSON,BRYSON",1
18:47,,,,,"MISS LAYUP by JOHNSON,BRYSON",,,"MISS LAYUP by JOHNSON,BRYSON",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
18:32,"MISS LAYUP by NOTLEY,CHANDLER",,,,,,,"MISS LAYUP by NOTLEY,CHANDLER",1
18:32,,,,,"BLOCK  by WILHELM,CORY",,,"BLOCK  by WILHELM,CORY",1
--,,,,,"REBOUND DEF by WILHELM,CORY",,,"REBOUND DEF by WILHELM,CORY",1
18:26,"MISS LAYUP by NOTLEY,CHANDLER",,,,,,,"MISS LAYUP by NOTLEY,CHANDLER",1
