Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:40,,0,,2 (+2),"GOOD JUMPER by JOHNSON,CALEB",BCM 0-2 (-2),,"GOOD JUMPER by JOHNSON,CALEB",1
19:18,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2,,2,,HXM 2-2 (0),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
19:01,,,,,"MISS 3PTR by MOORE,MILES",,,"MISS 3PTR by MOORE,MILES",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
18:54,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
18:53,,,,,"STEAL  by MCCLOUD,ALTON",,,"STEAL  by MCCLOUD,ALTON",1
18:50,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",1
--,,,,,"REBOUND OFF by MOORE,MILES",,,"REBOUND OFF by MOORE,MILES",1
18:48,,2,,4 (+2),"GOOD LAYUP by MOORE,MILES(in the paint)",BCM 2-4 (-2),,"GOOD LAYUP by MOORE,MILES(in the paint)",1
18:29,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
18:29,,,,,"BLOCK  by HIRSH,ELIJAH",,,"BLOCK  by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",1
18:20,,2,,7 (+5),"GOOD 3PTR by MCCLOUD,ALTON",BCM 2-7 (-5),,"GOOD 3PTR by MCCLOUD,ALTON",1
--,,,,,"ASSIST  by MOORE,MILES",,,"ASSIST  by MOORE,MILES",1
18:01,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by JOHNSON,CALEB",,,"REBOUND DEF by JOHNSON,CALEB",1
17:46,,2,,9 (+7),"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 2-9 (-7),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,CALEB",,,"ASSIST  by JOHNSON,CALEB",1
17:33,"GOOD 3PTR by BRASFIELD,KAM",5,,9 (+4),,HXM 5-9 (-4),,"GOOD 3PTR by BRASFIELD,KAM",1
--,"ASSIST  by CALAMESE,MICHAEL",,,,,,,"ASSIST  by CALAMESE,MICHAEL",1
17:11,,5,,12 (+7),"GOOD 3PTR by JOHNSON,CALEB",BCM 5-12 (-7),,"GOOD 3PTR by JOHNSON,CALEB",1
--,,,,,"ASSIST  by HIRSH,ELIJAH",,,"ASSIST  by HIRSH,ELIJAH",1
16:54,"GOOD JUMPER by CALAMESE,MICHAEL",7,,12 (+5),,HXM 7-12 (-5),,"GOOD JUMPER by CALAMESE,MICHAEL",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
16:38,,,,,"TURNOVER  by HIRSH,ELIJAH",,,"TURNOVER  by HIRSH,ELIJAH",1
16:38,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
16:38,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
16:38,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
16:38,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",1
16:26,"GOOD 3PTR by SMITH,PRESTON",10,,12 (+2),,HXM 10-12 (-2),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",1
16:09,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",1
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",1
16:05,,10,,14 (+4),"GOOD LAYUP by MOORE,MILES(in the paint)",BCM 10-14 (-4),,"GOOD LAYUP by MOORE,MILES(in the paint)",1
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",1
15:51,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
15:25,,,,,"MISS JUMPER by MCCLOUD,ALTON",,,"MISS JUMPER by MCCLOUD,ALTON",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
15:20,"TURNOVER  by FISHER,ELI",,,,,,,"TURNOVER  by FISHER,ELI",1
15:20,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:20,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",1
15:20,,,,,"SUB OUT by MOORE,MILES",,,"SUB OUT by MOORE,MILES",1
15:08,,10,,16 (+6),"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 10-16 (-6),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
14:56,"GOOD 3PTR by SMITH,PRESTON",13,,16 (+3),,HXM 13-16 (-3),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",1
14:39,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1
