Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:44,,0,,2 (+2),"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 0-2 (+2),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
19:27,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",1
19:14,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
19:12,"STEAL  by QUINN,JOSH",,,,,,,"STEAL  by QUINN,JOSH",1
19:10,"GOOD LAYUP by HOGAN,KAM(in the paint)",2,,2,,ACM 2-2 (0),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
--,"ASSIST  by QUINN,JOSH",,,,,,,"ASSIST  by QUINN,JOSH",1
18:49,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",1
18:45,,2,,5 (+3),"GOOD 3PTR by CRISWELL,SEAN",HXM 2-5 (+3),,"GOOD 3PTR by CRISWELL,SEAN",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
18:27,"GOOD 3PTR by HOLLAND,MICHAEL",5,,5,,ACM 5-5 (0),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,"ASSIST  by QUINN,JOSH",,,,,,,"ASSIST  by QUINN,JOSH",1
17:59,,,,,"MISS LAYUP by NOTLEY,CHANDLER",,,"MISS LAYUP by NOTLEY,CHANDLER",1
17:59,"BLOCK  by HOLLAND,MICHAEL",,,,,,,"BLOCK  by HOLLAND,MICHAEL",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
17:51,"MISS LAYUP by HOLLAND,MICHAEL",,,,,,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
17:44,"FOUL  by HOGAN,KAM",,,,,,,"FOUL  by HOGAN,KAM",1
17:44,"SUB IN by NICKENS,ZACHARY",,,,,,,"SUB IN by NICKENS,ZACHARY",1
17:44,"SUB IN by HARDWICK,JOSH",,,,,,,"SUB IN by HARDWICK,JOSH",1
17:44,"SUB OUT by HOGAN,KAM",,,,,,,"SUB OUT by HOGAN,KAM",1
17:44,"SUB OUT by GARRETT,JOSH",,,,,,,"SUB OUT by GARRETT,JOSH",1
17:34,,5,,7 (+2),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 5-7 (+2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
17:28,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
17:28,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
17:19,"MISS JUMPER by NICKENS,ZACHARY",,,,,,,"MISS JUMPER by NICKENS,ZACHARY",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
17:14,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
17:14,,,,,"SUB IN by NOTLEY,CHANDLER",,,"SUB IN by NOTLEY,CHANDLER",1
17:14,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
17:14,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
17:14,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
17:08,"FOUL  by NICKENS,ZACHARY",,,,,,,"FOUL  by NICKENS,ZACHARY",1
16:54,,,,,"MISS LAYUP by MOORE,AUSTIN",,,"MISS LAYUP by MOORE,AUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:52,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",1
16:45,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",1
16:20,,,,,"MISS JUMPER by MOORE,AUSTIN",,,"MISS JUMPER by MOORE,AUSTIN",1
--,,,,,"REBOUND OFF by CRISWELL,SEAN",,,"REBOUND OFF by CRISWELL,SEAN",1
16:16,,5,,9 (+4),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 5-9 (+4),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
16:08,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
15:57,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
15:57,"SUB IN by GARRETT,JOSH",,,,,,,"SUB IN by GARRETT,JOSH",1
15:57,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",1
15:57,"SUB OUT by HOLLAND,MICHAEL",,,,,,,"SUB OUT by HOLLAND,MICHAEL",1
15:57,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",1
15:57,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
15:57,,,,,"SUB OUT by NOTLEY,CHANDLER",,,"SUB OUT by NOTLEY,CHANDLER",1
15:49,"MISS JUMPER by GARRETT,JOSH",,,,,,,"MISS JUMPER by GARRETT,JOSH",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
15:43,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
15:43,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
15:43,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
15:43,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
15:43,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
15:30,"TURNOVER  by HARDWICK,JOSH",,,,,,,"TURNOVER  by HARDWICK,JOSH",1
15:12,,,,,"TURNOVER  by MOORE,AUSTIN",,,"TURNOVER  by MOORE,AUSTIN",1
15:10,"STEAL  by QUINN,JOSH",,,,,,,"STEAL  by QUINN,JOSH",1
15:08,"GOOD LAYUP by QUINN,JOSH(in the paint)",7,,9 (+2),,ACM 7-9 (+2),,"GOOD LAYUP by QUINN,JOSH(in the paint)",1
14:51,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
14:51,"SUB IN by HOGAN,KAM",,,,,,,"SUB IN by HOGAN,KAM",1
14:51,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",1
14:51,"SUB OUT by NICKENS,ZACHARY",,,,,,,"SUB OUT by NICKENS,ZACHARY",1
14:51,"SUB OUT by HARDWICK,JOSH",,,,,,,"SUB OUT by HARDWICK,JOSH",1
14:51,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
14:51,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",1
14:42,"TURNOVER  by HOLLAND,MICHAEL",,,,,,,"TURNOVER  by HOLLAND,MICHAEL",1
14:40,,,,,"STEAL  by HALL,MARCIS",,,"STEAL  by HALL,MARCIS",1
14:38,"FOUL  by HOGAN,KAM",,,,,,,"FOUL  by HOGAN,KAM",1
14:23,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
14:23,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
14:23,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
14:17,"TURNOVER  by QUINN,JOSH",,,,,,,"TURNOVER  by QUINN,JOSH",1
13:57,,7,,11 (+4),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 7-11 (+4),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by ROBERTS,ERIC",,,"ASSIST  by ROBERTS,ERIC",1
13:40,"MISS JUMPER by GARRETT,JOSH",,,,,,,"MISS JUMPER by GARRETT,JOSH",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
13:28,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
13:11,"MISS 3PTR by HOGAN,KAM",,,,,,,"MISS 3PTR by HOGAN,KAM",1
--,"REBOUND OFF by GARRETT,JOSH",,,,,,,"REBOUND OFF by GARRETT,JOSH",1
13:06,"GOOD LAYUP by GARRETT,JOSH(in the paint)",9,,11 (+2),,ACM 9-11 (+2),,"GOOD LAYUP by GARRETT,JOSH(in the paint)",1
12:34,,9,,13 (+4),"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 9-13 (+4),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
12:24,"GOOD LAYUP by HOGAN,KAM(in the paint)",11,,13 (+2),,ACM 11-13 (+2),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
12:09,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
12:04,,11,,15 (+4),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 11-15 (+4),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
11:53,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",1
11:53,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:53,"SUB IN by NICKENS,ZACHARY",,,,,,,"SUB IN by NICKENS,ZACHARY",1
11:53,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",1
11:53,"SUB OUT by HILL,KAMERON",,,,,,,"SUB OUT by HILL,KAMERON",1
11:53,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",1
11:53,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
11:53,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
11:42,"MISS JUMPER by HOLLAND,MICHAEL",,,,,,,"MISS JUMPER by HOLLAND,MICHAEL",1
--,,,,,"REBOUND DEF by FISHER,ELI",,,"REBOUND DEF by FISHER,ELI",1
11:29,,11,,17 (+6),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 11-17 (+6),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
11:23,"MISS 3PTR by QUINN,JOSH",,,,,,,"MISS 3PTR by QUINN,JOSH",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
11:10,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by HOGAN,KAM",,,,,,,"REBOUND DEF by HOGAN,KAM",1
10:57,"GOOD JUMPER by HOGAN,KAM",13,,17 (+4),,ACM 13-17 (+4),,"GOOD JUMPER by HOGAN,KAM",1
--,"ASSIST  by HOLLAND,MICHAEL",,,,,,,"ASSIST  by HOLLAND,MICHAEL",1
10:30,,13,,19 (+6),"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 13-19 (+6),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
10:12,"MISS 3PTR by HOGAN,KAM",,,,,,,"MISS 3PTR by HOGAN,KAM",1
--,"REBOUND OFF by HOGAN,KAM",,,,,,,"REBOUND OFF by HOGAN,KAM",1
10:06,"GOOD LAYUP by HOGAN,KAM(in the paint)",15,,19 (+4),,ACM 15-19 (+4),,"GOOD LAYUP by HOGAN,KAM(in the paint)",1
09:52,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,"REBOUND DEF by HOGAN,KAM",,,,,,,"REBOUND DEF by HOGAN,KAM",1
09:46,"TURNOVER  by QUINN,JOSH",,,,,,,"TURNOVER  by QUINN,JOSH",1
09:46,"SUB IN by HARDWICK,JOSH",,,,,,,"SUB IN by HARDWICK,JOSH",1
09:46,"SUB IN by MERCADEL,JUSTICE",,,,,,,"SUB IN by MERCADEL,JUSTICE",1
09:46,"SUB OUT by QUINN,JOSH",,,,,,,"SUB OUT by QUINN,JOSH",1
09:46,"SUB OUT by GARRETT,JOSH",,,,,,,"SUB OUT by GARRETT,JOSH",1
09:43,,15,,21 (+6),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 15-21 (+6),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",1
09:31,"MISS JUMPER by MERCADEL,JUSTICE",,,,,,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
09:23,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
09:15,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
09:15,"GOOD FT by NICKENS,ZACHARY",16,,21 (+5),,ACM 16-21 (+5),,"GOOD FT by NICKENS,ZACHARY",1
