Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
17:22,,,,,"BLOCK  by FONTENOT,NATHAN",,,"BLOCK  by FONTENOT,NATHAN",1
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",1
17:16,,,,,"MISS LAYUP by DOOLEY,ROBBY",,,"MISS LAYUP by DOOLEY,ROBBY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:57,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",8 (+6),,2,,HC 8-2 (+6),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
16:35,,8 (+4),,4,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 8-4 (+4),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",1
16:22,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",10 (+6),,4,,HC 10-4 (+6),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
16:08,,,,,"MISS LAYUP by GOSEY,JORDAN",,,"MISS LAYUP by GOSEY,JORDAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:06,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
16:06,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",1
16:06,,,,,"SUB IN by WILKINSON,ALAN",,,"SUB IN by WILKINSON,ALAN",1
16:06,,,,,"SUB OUT by GOSEY,JORDAN",,,"SUB OUT by GOSEY,JORDAN",1
15:46,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
15:46,,,,,"BLOCK  by WILKINSON,ALAN",,,"BLOCK  by WILKINSON,ALAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:44,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
15:44,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
15:31,,,,,"TURNOVER  by WILKINSON,ALAN",,,"TURNOVER  by WILKINSON,ALAN",1
15:31,,,,,"FOUL  by WILKINSON,ALAN",,,"FOUL  by WILKINSON,ALAN",1
15:31,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
15:31,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
15:18,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",1
--,,,,,"REBOUND DEF by WILKINSON,ALAN",,,"REBOUND DEF by WILKINSON,ALAN",1
15:15,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
15:05,,10 (+4),,6,"GOOD JUMPER by FONTENOT,NATHAN",ETBU 10-6 (+4),,"GOOD JUMPER by FONTENOT,NATHAN",1
14:48,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
--,"REBOUND OFF by ROUSE,TREY",,,,,,,"REBOUND OFF by ROUSE,TREY",1
14:43,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by FONTENOT,NATHAN",,,"REBOUND DEF by FONTENOT,NATHAN",1
14:36,,10 (+1),,9,"GOOD 3PTR by RIDDICK,WESTIN",ETBU 10-9 (+1),,"GOOD 3PTR by RIDDICK,WESTIN",1
--,,,,,"ASSIST  by BROWN,LANDIN",,,"ASSIST  by BROWN,LANDIN",1
14:17,"GOOD JUMPER by ROUSE,TREY(in the paint)",12 (+3),,9,,HC 12-9 (+3),,"GOOD JUMPER by ROUSE,TREY(in the paint)",1
13:54,,12 (+1),,11,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 12-11 (+1),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
13:41,"GOOD 3PTR by ROUSE,TREY",15 (+4),,11,,HC 15-11 (+4),,"GOOD 3PTR by ROUSE,TREY",1
13:29,,,,,"TURNOVER  by WILKINSON,ALAN",,,"TURNOVER  by WILKINSON,ALAN",1
13:28,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
13:26,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",18 (+7),,11,,HC 18-11 (+7),,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
13:13,,,,,"TURNOVER  by FONTENOT,NATHAN",,,"TURNOVER  by FONTENOT,NATHAN",1
13:12,"STEAL  by ROUSE,TREY",,,,,,,"STEAL  by ROUSE,TREY",1
13:09,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",1
12:56,,18 (+5),,13,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 18-13 (+5),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",1
--,,,,,"ASSIST  by BROWN,LANDIN",,,"ASSIST  by BROWN,LANDIN",1
12:45,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by WILKINSON,ALAN",,,"REBOUND DEF by WILKINSON,ALAN",1
12:34,,,,,"MISS JUMPER by BROWN,LANDIN",,,"MISS JUMPER by BROWN,LANDIN",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
12:22,"GOOD LAYUP by HALL,MARCIS(in the paint)",20 (+7),,13,,HC 20-13 (+7),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",1
12:06,,,,,"TURNOVER  by FONTENOT,NATHAN",,,"TURNOVER  by FONTENOT,NATHAN",1
12:04,"STEAL  by ROUSE,TREY",,,,,,,"STEAL  by ROUSE,TREY",1
12:01,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",1
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",1
11:59,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",22 (+9),,13,,HC 22-13 (+9),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
11:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:59,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
11:59,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
11:59,,,,,"SUB IN by GOSEY,JORDAN",,,"SUB IN by GOSEY,JORDAN",1
11:59,,,,,"SUB IN by SABO,GAVIN",,,"SUB IN by SABO,GAVIN",1
11:59,,,,,"SUB IN by ROBINSON,DAVIS",,,"SUB IN by ROBINSON,DAVIS",1
11:59,,,,,"SUB IN by MACK,DION",,,"SUB IN by MACK,DION",1
11:59,,,,,"SUB OUT by FONTENOT,NATHAN",,,"SUB OUT by FONTENOT,NATHAN",1
11:59,,,,,"SUB OUT by RIDDICK,WESTIN",,,"SUB OUT by RIDDICK,WESTIN",1
11:59,,,,,"SUB OUT by DOOLEY,ROBBY",,,"SUB OUT by DOOLEY,ROBBY",1
11:59,,,,,"SUB OUT by WILKINSON,ALAN",,,"SUB OUT by WILKINSON,ALAN",1
11:39,,,,,"MISS 3PTR by ROBINSON,DAVIS",,,"MISS 3PTR by ROBINSON,DAVIS",1
--,,,,,"REBOUND OFF by GOSEY,JORDAN",,,"REBOUND OFF by GOSEY,JORDAN",1
11:24,,22 (+7),,15,"GOOD LAYUP by SABO,GAVIN(in the paint)",ETBU 22-15 (+7),,"GOOD LAYUP by SABO,GAVIN(in the paint)",1
11:12,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by GOSEY,JORDAN",,,"REBOUND DEF by GOSEY,JORDAN",1
11:04,,22 (+4),,18,"GOOD 3PTR by ROBINSON,DAVIS(fastbreak)",ETBU 22-18 (+4),,"GOOD 3PTR by ROBINSON,DAVIS(fastbreak)",1
--,,,,,"ASSIST  by BROWN,LANDIN",,,"ASSIST  by BROWN,LANDIN",1
10:35,"GOOD JUMPER by HALL,MARCIS",24 (+6),,18,,HC 24-18 (+6),,"GOOD JUMPER by HALL,MARCIS",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
10:20,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
10:20,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
10:20,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
10:06,,24 (+4),,20,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 24-20 (+4),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",1
09:56,"MISS 3PTR by CRISWELL,SEAN",,,,,,,"MISS 3PTR by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by MACK,DION",,,"REBOUND DEF by MACK,DION",1
09:52,,,,,"TURNOVER  by MACK,DION",,,"TURNOVER  by MACK,DION",1
09:50,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
09:46,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",1
09:46,,,,,"BLOCK  by ROBINSON,DAVIS",,,"BLOCK  by ROBINSON,DAVIS",1
--,,,,,"REBOUND DEF by ROBINSON,DAVIS",,,"REBOUND DEF by ROBINSON,DAVIS",1
09:41,,,,,"MISS 3PTR by ROBINSON,DAVIS",,,"MISS 3PTR by ROBINSON,DAVIS",1
--,,,,,"REBOUND OFF by SABO,GAVIN",,,"REBOUND OFF by SABO,GAVIN",1
09:24,,24 (+2),,22,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 24-22 (+2),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",1
09:21,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",1
09:21,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
09:06,,,,,"MISS LAYUP by GOSEY,JORDAN",,,"MISS LAYUP by GOSEY,JORDAN",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
08:57,"GOOD LAYUP by LINK,JACOB(in the paint)",26 (+4),,22,,HC 26-22 (+4),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
08:57,,,,,"FOUL  by MACK,DION",,,"FOUL  by MACK,DION",1
08:57,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",1
--,,,,,"REBOUND DEF by SABO,GAVIN",,,"REBOUND DEF by SABO,GAVIN",1
08:49,,,,,"TURNOVER  by SABO,GAVIN",,,"TURNOVER  by SABO,GAVIN",1
08:45,"STEAL  by CRISWELL,SEAN",,,,,,,"STEAL  by CRISWELL,SEAN",1
08:41,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",28 (+6),,22,,HC 28-22 (+6),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
08:41,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
08:41,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
08:41,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
08:41,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",1
08:41,,,,,"SUB IN by RIDDICK,WESTIN",,,"SUB IN by RIDDICK,WESTIN",1
