Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
00:19,"GOOD LAYUP by HALL,MARCIS(in the paint)",49 (+2),,47,,HC 49-47 (+2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
00:19,,,,,"FOUL  by WILKINSON,ALAN",,,"FOUL  by WILKINSON,ALAN",1
00:19,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
00:19,,,,,"SUB IN by GOSEY,JORDAN",,,"SUB IN by GOSEY,JORDAN",1
00:19,,,,,"SUB OUT by WILKINSON,ALAN",,,"SUB OUT by WILKINSON,ALAN",1
00:00,"GOOD LAYUP by HALL,MARCIS(in the paint)",51 (+4),,47,,HC 51-47 (+4),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
20:00,,,,,"SUB IN by WHITLEY,DARRICE",,,"SUB IN by WHITLEY,DARRICE",2
20:00,,,,,"SUB OUT by FONTENOT,NATHAN",,,"SUB OUT by FONTENOT,NATHAN",2
19:47,,51 (+2),,49,"GOOD JUMPER by WHITLEY,DARRICE",ETBU 51-49 (+2),,"GOOD JUMPER by WHITLEY,DARRICE",2
19:33,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by DOOLEY,ROBBY",,,"REBOUND DEF by DOOLEY,ROBBY",2
19:25,,,,,"MISS 3PTR by WHITLEY,DARRICE",,,"MISS 3PTR by WHITLEY,DARRICE",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
19:18,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:05,,,,,"TURNOVER  by WHITLEY,DARRICE",,,"TURNOVER  by WHITLEY,DARRICE",2
19:04,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",2
18:51,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by DOOLEY,ROBBY",,,"REBOUND DEF by DOOLEY,ROBBY",2
18:31,,,,,"MISS LAYUP by GOSEY,JORDAN",,,"MISS LAYUP by GOSEY,JORDAN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
18:22,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by RIDDICK,WESTIN",,,"REBOUND DEF by RIDDICK,WESTIN",2
17:58,,51,,51,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 51-51 (0),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",2
17:46,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,"REBOUND OFF by SMITH,PRESTON",,,,,,,"REBOUND OFF by SMITH,PRESTON",2
17:40,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:38,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",2
17:38,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
17:38,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",2
17:38,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
17:38,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
17:38,,,,,"SUB IN by MACK,DION",,,"SUB IN by MACK,DION",2
17:38,,,,,"SUB OUT by DOOLEY,ROBBY",,,"SUB OUT by DOOLEY,ROBBY",2
17:19,,51,,53 (+2),"GOOD LAYUP by WHITLEY,DARRICE(in the paint)",ETBU 51-53 (-2),,"GOOD LAYUP by WHITLEY,DARRICE(in the paint)",2
17:10,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by GOSEY,JORDAN",,,"REBOUND DEF by GOSEY,JORDAN",2
16:59,,51,,56 (+5),"GOOD 3PTR by RIDDICK,WESTIN",ETBU 51-56 (-5),,"GOOD 3PTR by RIDDICK,WESTIN",2
--,,,,,"ASSIST  by MACK,DION",,,"ASSIST  by MACK,DION",2
16:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:46,"GOOD JUMPER by HALL,MARCIS",53,,56 (+3),,HC 53-56 (-3),,"GOOD JUMPER by HALL,MARCIS",2
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",2
16:37,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
16:37,,,,,"MISS FT by WHITLEY,DARRICE",,,"MISS FT by WHITLEY,DARRICE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:36,,,,,"MISS FT by WHITLEY,DARRICE",,,"MISS FT by WHITLEY,DARRICE",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
16:16,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
16:14,,,,,"STEAL  by BROWN,LANDIN",,,"STEAL  by BROWN,LANDIN",2
16:06,,,,,"MISS LAYUP by BROWN,LANDIN",,,"MISS LAYUP by BROWN,LANDIN",2
16:06,"BLOCK  by BRASFIELD,KAM",,,,,,,"BLOCK  by BRASFIELD,KAM",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
16:00,,,,,"FOUL  by MACK,DION",,,"FOUL  by MACK,DION",2
16:00,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:00,"GOOD FT by SMITH,PRESTON",54,,56 (+2),,HC 54-56 (-2),,"GOOD FT by SMITH,PRESTON",2
15:45,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
15:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:45,,,,,"SUB IN by FONTENOT,NATHAN",,,"SUB IN by FONTENOT,NATHAN",2
15:45,,,,,"SUB OUT by MACK,DION",,,"SUB OUT by MACK,DION",2
15:36,,,,,"MISS LAYUP by RIDDICK,WESTIN",,,"MISS LAYUP by RIDDICK,WESTIN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
15:28,"GOOD JUMPER by CALAMESE,MICHAEL",56,,56,,HC 56-56 (0),,"GOOD JUMPER by CALAMESE,MICHAEL",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
15:16,,,,,"TURNOVER  by WHITLEY,DARRICE",,,"TURNOVER  by WHITLEY,DARRICE",2
15:15,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
15:12,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",58 (+2),,56,,HC 58-56 (+2),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",2
14:50,,,,,"MISS 3PTR by RIDDICK,WESTIN",,,"MISS 3PTR by RIDDICK,WESTIN",2
--,,,,,"REBOUND OFF by GOSEY,JORDAN",,,"REBOUND OFF by GOSEY,JORDAN",2
14:43,,58,,58,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 58-58 (0),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",2
14:35,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
14:35,,,,,"BLOCK  by GOSEY,JORDAN",,,"BLOCK  by GOSEY,JORDAN",2
--,"REBOUND OFF by SMITH,PRESTON",,,,,,,"REBOUND OFF by SMITH,PRESTON",2
14:29,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:25,,,,,"SUB IN by DOOLEY,ROBBY",,,"SUB IN by DOOLEY,ROBBY",2
14:25,,,,,"SUB OUT by RIDDICK,WESTIN",,,"SUB OUT by RIDDICK,WESTIN",2
14:10,,58,,60 (+2),"GOOD LAYUP by GOSEY,JORDAN(in the paint)",ETBU 58-60 (-2),,"GOOD LAYUP by GOSEY,JORDAN(in the paint)",2
--,,,,,"ASSIST  by FONTENOT,NATHAN",,,"ASSIST  by FONTENOT,NATHAN",2
13:49,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",2
13:44,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by DOOLEY,ROBBY",,,"REBOUND DEF by DOOLEY,ROBBY",2
13:35,,,,,"TURNOVER  by WHITLEY,DARRICE",,,"TURNOVER  by WHITLEY,DARRICE",2
13:33,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",2
13:29,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",60,,60,,HC 60-60 (0),,"GOOD LAYUP by BRASFIELD,KAM(fastbreak)(in the paint)",2
13:27,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",2
13:27,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",2
13:27,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",2
13:27,,,,,"SUB IN by RIDDICK,WESTIN",,,"SUB IN by RIDDICK,WESTIN",2
13:27,,,,,"SUB OUT by WHITLEY,DARRICE",,,"SUB OUT by WHITLEY,DARRICE",2
13:04,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
13:04,,60,,61 (+1),"GOOD FT by GOSEY,JORDAN",ETBU 60-61 (-1),,"GOOD FT by GOSEY,JORDAN",2
13:04,,60,,62 (+2),"GOOD FT by GOSEY,JORDAN",ETBU 60-62 (-2),,"GOOD FT by GOSEY,JORDAN",2
12:53,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
12:30,,,,,"MISS LAYUP by GOSEY,JORDAN",,,"MISS LAYUP by GOSEY,JORDAN",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
12:24,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:22,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
12:22,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
12:03,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
11:58,,60,,64 (+4),"GOOD JUMPER by FONTENOT,NATHAN",ETBU 60-64 (-4),,"GOOD JUMPER by FONTENOT,NATHAN",2
11:50,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:46,,,,,"SUB IN by WILKINSON,ALAN",,,"SUB IN by WILKINSON,ALAN",2
11:46,,,,,"SUB OUT by GOSEY,JORDAN",,,"SUB OUT by GOSEY,JORDAN",2
11:41,,,,,"FOUL  by DOOLEY,ROBBY",,,"FOUL  by DOOLEY,ROBBY",2
11:32,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
11:30,,,,,"STEAL  by BROWN,LANDIN",,,"STEAL  by BROWN,LANDIN",2
11:28,,60,,66 (+6),"GOOD LAYUP by BROWN,LANDIN(fastbreak)(in the paint)",ETBU 60-66 (-6),,"GOOD LAYUP by BROWN,LANDIN(fastbreak)(in the paint)",2
11:16,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",2
11:16,,,,,"BLOCK  by WILKINSON,ALAN",,,"BLOCK  by WILKINSON,ALAN",2
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",2
11:14,,,,,"FOUL  by RIDDICK,WESTIN",,,"FOUL  by RIDDICK,WESTIN",2
11:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:07,"GOOD JUMPER by SMITH,PRESTON",62,,66 (+4),,HC 62-66 (-4),,"GOOD JUMPER by SMITH,PRESTON",2
10:44,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",2
10:44,,62,,67 (+5),"GOOD FT by RIDDICK,WESTIN",ETBU 62-67 (-5),,"GOOD FT by RIDDICK,WESTIN",2
10:44,,,,,"MISS FT by RIDDICK,WESTIN",,,"MISS FT by RIDDICK,WESTIN",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
10:29,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
10:28,,,,,"STEAL  by BROWN,LANDIN",,,"STEAL  by BROWN,LANDIN",2
10:22,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
10:22,,,,,"MISS FT by WILKINSON,ALAN",,,"MISS FT by WILKINSON,ALAN",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
10:13,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",2
10:11,,,,,"STEAL  by FONTENOT,NATHAN",,,"STEAL  by FONTENOT,NATHAN",2
10:07,,,,,"TURNOVER  by FONTENOT,NATHAN",,,"TURNOVER  by FONTENOT,NATHAN",2
10:07,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
10:07,,,,,"FOUL  by FONTENOT,NATHAN",,,"FOUL  by FONTENOT,NATHAN",2
10:07,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
10:07,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
10:07,,,,,"SUB IN by SABO,GAVIN",,,"SUB IN by SABO,GAVIN",2
10:07,,,,,"SUB OUT by RIDDICK,WESTIN",,,"SUB OUT by RIDDICK,WESTIN",2
10:00,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",2
--,"REBOUND OFF by SMITH,PRESTON",,,,,,,"REBOUND OFF by SMITH,PRESTON",2
09:55,"MISS LAYUP by SMITH,PRESTON",,,,,,,"MISS LAYUP by SMITH,PRESTON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:54,,,,,"FOUL  by SABO,GAVIN",,,"FOUL  by SABO,GAVIN",2
09:47,"GOOD LAYUP by LINK,JACOB(in the paint)",64,,67 (+3),,HC 64-67 (-3),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
09:17,,64,,69 (+5),"GOOD LAYUP by WILKINSON,ALAN(in the paint)",ETBU 64-69 (-5),,"GOOD LAYUP by WILKINSON,ALAN(in the paint)",2
--,,,,,"ASSIST  by SABO,GAVIN",,,"ASSIST  by SABO,GAVIN",2
09:04,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by WILKINSON,ALAN",,,"REBOUND DEF by WILKINSON,ALAN",2
08:52,,64,,71 (+7),"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 64-71 (-7),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",2
08:23,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND DEF by SABO,GAVIN",,,"REBOUND DEF by SABO,GAVIN",2
07:56,,64,,74 (+10),"GOOD 3PTR by DOOLEY,ROBBY",ETBU 64-74 (-10),,"GOOD 3PTR by DOOLEY,ROBBY",2
--,,,,,"ASSIST  by WILKINSON,ALAN",,,"ASSIST  by WILKINSON,ALAN",2
07:29,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",2
07:28,,,,,"STEAL  by BROWN,LANDIN",,,"STEAL  by BROWN,LANDIN",2
07:18,,64,,77 (+13),"GOOD 3PTR by BROWN,LANDIN",ETBU 64-77 (-13),,"GOOD 3PTR by BROWN,LANDIN",2
--,,,,,"ASSIST  by DOOLEY,ROBBY",,,"ASSIST  by DOOLEY,ROBBY",2
07:04,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by FONTENOT,NATHAN",,,"REBOUND DEF by FONTENOT,NATHAN",2
06:49,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
06:49,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:49,,64,,78 (+14),"GOOD FT by FONTENOT,NATHAN",ETBU 64-78 (-14),,"GOOD FT by FONTENOT,NATHAN",2
06:49,,64,,79 (+15),"GOOD FT by FONTENOT,NATHAN",ETBU 64-79 (-15),,"GOOD FT by FONTENOT,NATHAN",2
06:49,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
06:49,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
06:19,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",2
06:01,,,,,"MISS LAYUP by WILKINSON,ALAN",,,"MISS LAYUP by WILKINSON,ALAN",2
--,,,,,"REBOUND OFF by SABO,GAVIN",,,"REBOUND OFF by SABO,GAVIN",2
05:58,,,,,"MISS LAYUP by SABO,GAVIN",,,"MISS LAYUP by SABO,GAVIN",2
--,,,,,"REBOUND OFF by WILKINSON,ALAN",,,"REBOUND OFF by WILKINSON,ALAN",2
05:56,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
05:56,,,,,"MISS FT by WILKINSON,ALAN",,,"MISS FT by WILKINSON,ALAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:56,,64,,80 (+16),"GOOD FT by WILKINSON,ALAN",ETBU 64-80 (-16),,"GOOD FT by WILKINSON,ALAN",2
05:56,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
05:56,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
05:46,,,,,"FOUL  by SABO,GAVIN",,,"FOUL  by SABO,GAVIN",2
05:46,"GOOD FT by LINK,JACOB",65,,80 (+15),,HC 65-80 (-15),,"GOOD FT by LINK,JACOB",2
05:46,"GOOD FT by LINK,JACOB",66,,80 (+14),,HC 66-80 (-14),,"GOOD FT by LINK,JACOB",2
05:23,,66,,82 (+16),"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 66-82 (-16),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",2
--,,,,,"ASSIST  by FONTENOT,NATHAN",,,"ASSIST  by FONTENOT,NATHAN",2
05:08,"GOOD LAYUP by LINK,JACOB(in the paint)",68,,82 (+14),,HC 68-82 (-14),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
05:00,,,,,"MISS LAYUP by DOOLEY,ROBBY",,,"MISS LAYUP by DOOLEY,ROBBY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:57,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",2
04:57,,68,,83 (+15),"GOOD FT by DOOLEY,ROBBY",ETBU 68-83 (-15),,"GOOD FT by DOOLEY,ROBBY",2
04:57,,,,,"MISS FT by DOOLEY,ROBBY",,,"MISS FT by DOOLEY,ROBBY",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
04:57,,,,,"SUB IN by MACK,DION",,,"SUB IN by MACK,DION",2
04:57,,,,,"SUB OUT by FONTENOT,NATHAN",,,"SUB OUT by FONTENOT,NATHAN",2
04:43,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",70,,83 (+13),,HC 70-83 (-13),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",2
04:29,,70,,85 (+15),"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",ETBU 70-85 (-15),,"GOOD LAYUP by DOOLEY,ROBBY(in the paint)",2
04:21,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,,,,,"REBOUND DEF by SABO,GAVIN",,,"REBOUND DEF by SABO,GAVIN",2
03:57,,,,,"MISS LAYUP by WILKINSON,ALAN",,,"MISS LAYUP by WILKINSON,ALAN",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
03:48,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
03:48,,,,,"BLOCK  by WILKINSON,ALAN",,,"BLOCK  by WILKINSON,ALAN",2
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",2
03:41,,,,,"MISS LAYUP by MACK,DION",,,"MISS LAYUP by MACK,DION",2
03:41,"BLOCK  by BRASFIELD,KAM",,,,,,,"BLOCK  by BRASFIELD,KAM",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:41,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:41,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",2
03:41,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
03:41,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
03:41,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
03:41,,,,,"SUB IN by GOSEY,JORDAN",,,"SUB IN by GOSEY,JORDAN",2
03:41,,,,,"SUB IN by ROBINSON,DAVIS",,,"SUB IN by ROBINSON,DAVIS",2
03:41,,,,,"SUB OUT by DOOLEY,ROBBY",,,"SUB OUT by DOOLEY,ROBBY",2
03:41,,,,,"SUB OUT by WILKINSON,ALAN",,,"SUB OUT by WILKINSON,ALAN",2
03:21,,70,,87 (+17),"GOOD LAYUP by BROWN,LANDIN(in the paint)",ETBU 70-87 (-17),,"GOOD LAYUP by BROWN,LANDIN(in the paint)",2
03:04,"MISS JUMPER by ROUSE,TREY",,,,,,,"MISS JUMPER by ROUSE,TREY",2
--,,,,,"REBOUND DEF by ROBINSON,DAVIS",,,"REBOUND DEF by ROBINSON,DAVIS",2
02:41,,,,,"MISS LAYUP by GOSEY,JORDAN",,,"MISS LAYUP by GOSEY,JORDAN",2
--,,,,,"REBOUND OFF by GOSEY,JORDAN",,,"REBOUND OFF by GOSEY,JORDAN",2
02:31,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
02:31,,,,,"SUB IN by TAYLOR,JARELL",,,"SUB IN by TAYLOR,JARELL",2
02:31,,,,,"SUB IN by FORTE,FLETCHER",,,"SUB IN by FORTE,FLETCHER",2
02:31,,,,,"SUB OUT by SABO,GAVIN",,,"SUB OUT by SABO,GAVIN",2
02:31,,,,,"SUB OUT by MACK,DION",,,"SUB OUT by MACK,DION",2
02:20,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",2
--,,,,,"REBOUND DEF by BROWN,LANDIN",,,"REBOUND DEF by BROWN,LANDIN",2
02:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:08,,,,,"SUB IN by JOHNSON,RICHARD",,,"SUB IN by JOHNSON,RICHARD",2
02:08,,,,,"SUB OUT by GOSEY,JORDAN",,,"SUB OUT by GOSEY,JORDAN",2
01:55,,70,,89 (+19),"GOOD LAYUP by JOHNSON,RICHARD(in the paint)",ETBU 70-89 (-19),,"GOOD LAYUP by JOHNSON,RICHARD(in the paint)",2
--,,,,,"ASSIST  by ROBINSON,DAVIS",,,"ASSIST  by ROBINSON,DAVIS",2
01:43,,,,,"FOUL  by ROBINSON,DAVIS",,,"FOUL  by ROBINSON,DAVIS",2
01:43,"GOOD FT by ROUSE,TREY",71,,89 (+18),,HC 71-89 (-18),,"GOOD FT by ROUSE,TREY",2
01:43,"GOOD FT by ROUSE,TREY",72,,89 (+17),,HC 72-89 (-17),,"GOOD FT by ROUSE,TREY",2
01:35,,,,,"MISS 3PTR by TAYLOR,JARELL",,,"MISS 3PTR by TAYLOR,JARELL",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
01:24,,,,,"FOUL  by JOHNSON,RICHARD",,,"FOUL  by JOHNSON,RICHARD",2
01:24,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:24,"GOOD FT by LINK,JACOB",73,,89 (+16),,HC 73-89 (-16),,"GOOD FT by LINK,JACOB",2
00:56,,,,,"TURNOVER  by TAYLOR,JARELL",,,"TURNOVER  by TAYLOR,JARELL",2
00:48,"GOOD LAYUP by ROUSE,TREY(in the paint)",75,,89 (+14),,HC 75-89 (-14),,"GOOD LAYUP by ROUSE,TREY(in the paint)",2
00:35,,75,,91 (+16),"GOOD LAYUP by ROBINSON,DAVIS(in the paint)",ETBU 75-91 (-16),,"GOOD LAYUP by ROBINSON,DAVIS(in the paint)",2
00:24,"GOOD 3PTR by LINK,JACOB",78,,91 (+13),,HC 78-91 (-13),,"GOOD 3PTR by LINK,JACOB",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
00:22,,,,,"TURNOVER  by ROBINSON,DAVIS",,,"TURNOVER  by ROBINSON,DAVIS",2
00:21,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by FORTE,FLETCHER",,,"REBOUND DEF by FORTE,FLETCHER",2
