Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
13:52,,,,,"TURNOVER  by LEVI,SPENCER",,,"TURNOVER  by LEVI,SPENCER",1
13:52,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
13:52,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
13:52,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
13:52,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
13:52,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
13:52,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",1
13:52,,,,,"SUB IN by NUNN,JOSHUA",,,"SUB IN by NUNN,JOSHUA",1
13:52,,,,,"SUB IN by WAMBSGANSS,MICHAEL",,,"SUB IN by WAMBSGANSS,MICHAEL",1
13:52,,,,,"SUB OUT by CALTON,EMMANUEL",,,"SUB OUT by CALTON,EMMANUEL",1
13:52,,,,,"SUB OUT by RUSSELL,JOHN",,,"SUB OUT by RUSSELL,JOHN",1
13:43,"GOOD 3PTR by SMITH,PRESTON",10,,13 (+3),,HXM 10-13 (-3),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
13:28,,,,,"MISS JUMPER by COLVIN,DARRIUS",,,"MISS JUMPER by COLVIN,DARRIUS",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
13:15,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
13:12,,,,,"STEAL  by LEVI,SPENCER",,,"STEAL  by LEVI,SPENCER",1
13:09,,,,,"MISS DUNK by COLVIN,DARRIUS",,,"MISS DUNK by COLVIN,DARRIUS",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
12:57,"GOOD JUMPER by SMITH,PRESTON",12,,13 (+1),,HXM 12-13 (-1),,"GOOD JUMPER by SMITH,PRESTON",1
12:39,,12,,16 (+4),"GOOD 3PTR by NUNN,JOSHUA",UD 12-16 (-4),,"GOOD 3PTR by NUNN,JOSHUA",1
--,,,,,"ASSIST  by WAMBSGANSS,MICHAEL",,,"ASSIST  by WAMBSGANSS,MICHAEL",1
12:09,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
12:08,,,,,"STEAL  by LEVI,SPENCER",,,"STEAL  by LEVI,SPENCER",1
12:05,,12,,18 (+6),"GOOD LAYUP by GIADOLOR,PRINCE(fastbreak)(in the paint)",UD 12-18 (-6),,"GOOD LAYUP by GIADOLOR,PRINCE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LEVI,SPENCER",,,"ASSIST  by LEVI,SPENCER",1
11:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:59,,,,,"SUB IN by HAYES,ISAIAH",,,"SUB IN by HAYES,ISAIAH",1
11:59,,,,,"SUB OUT by COLVIN,DARRIUS",,,"SUB OUT by COLVIN,DARRIUS",1
11:49,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",1
11:22,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",1
11:22,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
11:22,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
11:14,,,,,"MISS JUMPER by GIADOLOR,PRINCE",,,"MISS JUMPER by GIADOLOR,PRINCE",1
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",1
10:47,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by WAMBSGANSS,MICHAEL",,,"REBOUND DEF by WAMBSGANSS,MICHAEL",1
10:36,,12,,21 (+9),"GOOD 3PTR by WAMBSGANSS,MICHAEL",UD 12-21 (-9),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,,,,,"ASSIST  by HAYES,ISAIAH",,,"ASSIST  by HAYES,ISAIAH",1
10:12,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by LEVI,SPENCER",,,"REBOUND DEF by LEVI,SPENCER",1
09:57,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,"MISS 3PTR by WAMBSGANSS,MICHAEL",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
09:51,,,,,"FOUL  by WAMBSGANSS,MICHAEL",,,"FOUL  by WAMBSGANSS,MICHAEL",1
09:51,,,,,"SUB IN by RUSSELL,JOHN",,,"SUB IN by RUSSELL,JOHN",1
09:51,,,,,"SUB OUT by GIADOLOR,PRINCE",,,"SUB OUT by GIADOLOR,PRINCE",1
09:42,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
09:41,,,,,"STEAL  by HAYES,ISAIAH",,,"STEAL  by HAYES,ISAIAH",1
09:29,"FOUL  by BRASFIELD,KAM",,,,,,,"FOUL  by BRASFIELD,KAM",1
09:29,,12,,22 (+10),"GOOD FT by WAMBSGANSS,MICHAEL",UD 12-22 (-10),,"GOOD FT by WAMBSGANSS,MICHAEL",1
09:29,,12,,23 (+11),"GOOD FT by WAMBSGANSS,MICHAEL",UD 12-23 (-11),,"GOOD FT by WAMBSGANSS,MICHAEL",1
09:18,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
09:14,"GOOD 3PTR by SMITH,PRESTON",15,,23 (+8),,HXM 15-23 (-8),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
09:05,,,,,"MISS 3PTR by NUNN,JOSHUA",,,"MISS 3PTR by NUNN,JOSHUA",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
08:47,,,,,"FOUL  by HAYES,ISAIAH",,,"FOUL  by HAYES,ISAIAH",1
08:37,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",1
--,"REBOUND OFF by SMITH,PRESTON",,,,,,,"REBOUND OFF by SMITH,PRESTON",1
08:33,"GOOD JUMPER by SMITH,PRESTON",17,,23 (+6),,HXM 17-23 (-6),,"GOOD JUMPER by SMITH,PRESTON",1
08:25,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",1
08:25,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
08:25,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
08:25,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
08:25,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
08:25,,,,,"SUB IN by COLVIN,DARRIUS",,,"SUB IN by COLVIN,DARRIUS",1
08:25,,,,,"SUB OUT by LEVI,SPENCER",,,"SUB OUT by LEVI,SPENCER",1
08:14,,17,,26 (+9),"GOOD 3PTR by WAMBSGANSS,MICHAEL",UD 17-26 (-9),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,,,,,"ASSIST  by COLVIN,DARRIUS",,,"ASSIST  by COLVIN,DARRIUS",1
07:52,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",1
07:40,,,,,"MISS LAYUP by RUSSELL,JOHN",,,"MISS LAYUP by RUSSELL,JOHN",1
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",1
07:33,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND OFF by ROUSE,TREY",,,,,,,"REBOUND OFF by ROUSE,TREY",1
07:28,"GOOD JUMPER by ROUSE,TREY",19,,26 (+7),,HXM 19-26 (-7),,"GOOD JUMPER by ROUSE,TREY",1
07:05,,,,,"MISS JUMPER by RUSSELL,JOHN",,,"MISS JUMPER by RUSSELL,JOHN",1
--,,,,,"REBOUND OFF by HAYES,ISAIAH",,,"REBOUND OFF by HAYES,ISAIAH",1
06:57,,19,,28 (+9),"GOOD JUMPER by COLVIN,DARRIUS(in the paint)",UD 19-28 (-9),,"GOOD JUMPER by COLVIN,DARRIUS(in the paint)",1
06:40,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
06:39,,,,,"STEAL  by WAMBSGANSS,MICHAEL",,,"STEAL  by WAMBSGANSS,MICHAEL",1
06:29,,19,,30 (+11),"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",UD 19-30 (-11),,"GOOD LAYUP by WAMBSGANSS,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by NUNN,JOSHUA",,,"ASSIST  by NUNN,JOSHUA",1
06:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:19,"SUB IN by LINK,JACOB",,,,,,,"SUB IN by LINK,JACOB",1
06:19,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",1
06:19,,,,,"SUB IN by GIADOLOR,PRINCE",,,"SUB IN by GIADOLOR,PRINCE",1
06:19,,,,,"SUB IN by CALTON,EMMANUEL",,,"SUB IN by CALTON,EMMANUEL",1
06:19,,,,,"SUB IN by NORTON,BEN",,,"SUB IN by NORTON,BEN",1
06:19,,,,,"SUB OUT by NUNN,JOSHUA",,,"SUB OUT by NUNN,JOSHUA",1
06:19,,,,,"SUB OUT by HAYES,ISAIAH",,,"SUB OUT by HAYES,ISAIAH",1
06:19,,,,,"SUB OUT by RUSSELL,JOHN",,,"SUB OUT by RUSSELL,JOHN",1
06:11,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",1
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",1
05:47,,,,,"MISS JUMPER by NORTON,BEN",,,"MISS JUMPER by NORTON,BEN",1
--,,,,,"REBOUND OFF by NORTON,BEN",,,"REBOUND OFF by NORTON,BEN",1
05:43,,,,,"TURNOVER  by NORTON,BEN",,,"TURNOVER  by NORTON,BEN",1
05:42,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
05:36,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
05:35,,,,,"STEAL  by COLVIN,DARRIUS",,,"STEAL  by COLVIN,DARRIUS",1
05:31,,19,,32 (+13),"GOOD LAYUP by GIADOLOR,PRINCE(fastbreak)(in the paint)",UD 19-32 (-13),,"GOOD LAYUP by GIADOLOR,PRINCE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COLVIN,DARRIUS",,,"ASSIST  by COLVIN,DARRIUS",1
05:31,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",1
05:31,,19,,33 (+14),"GOOD FT by GIADOLOR,PRINCE",UD 19-33 (-14),,"GOOD FT by GIADOLOR,PRINCE",1
05:31,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
05:31,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",1
05:17,"GOOD LAYUP by ROUSE,TREY(in the paint)",21,,33 (+12),,HXM 21-33 (-12),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
05:06,,21,,36 (+15),"GOOD 3PTR by WAMBSGANSS,MICHAEL",UD 21-36 (-15),,"GOOD 3PTR by WAMBSGANSS,MICHAEL",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
04:48,,,,,"FOUL  by COLVIN,DARRIUS",,,"FOUL  by COLVIN,DARRIUS",1
04:48,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
04:48,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
04:48,,,,,"SUB IN by LEVI,SPENCER",,,"SUB IN by LEVI,SPENCER",1
04:48,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",,,"SUB OUT by WAMBSGANSS,MICHAEL",1
04:47,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by CALTON,EMMANUEL",,,"REBOUND DEF by CALTON,EMMANUEL",1
04:39,,21,,38 (+17),"GOOD DUNK by LEVI,SPENCER(fastbreak)(in the paint)",UD 21-38 (-17),,"GOOD DUNK by LEVI,SPENCER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
04:39,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",1
04:39,,21,,39 (+18),"GOOD FT by LEVI,SPENCER",UD 21-39 (-18),,"GOOD FT by LEVI,SPENCER",1
04:25,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND OFF by BRASFIELD,KAM",,,,,,,"REBOUND OFF by BRASFIELD,KAM",1
04:19,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",23,,39 (+16),,HXM 23-39 (-16),,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",1
03:54,,,,,"TURNOVER  by GIADOLOR,PRINCE",,,"TURNOVER  by GIADOLOR,PRINCE",1
03:53,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",1
03:48,,,,,"FOUL  by CALTON,EMMANUEL",,,"FOUL  by CALTON,EMMANUEL",1
03:41,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",1
03:34,,,,,"MISS LAYUP by COLVIN,DARRIUS",,,"MISS LAYUP by COLVIN,DARRIUS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:32,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
03:32,,,,,"MISS FT by LEVI,SPENCER",,,"MISS FT by LEVI,SPENCER",1
--,,,,,"REBOUND OFF by GIADOLOR,PRINCE",,,"REBOUND OFF by GIADOLOR,PRINCE",1
03:22,,,,,"FOUL  by NORTON,BEN",,,"FOUL  by NORTON,BEN",1
03:22,,,,,"TURNOVER  by NORTON,BEN",,,"TURNOVER  by NORTON,BEN",1
03:13,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
03:08,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
03:08,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
03:04,,,,,"MISS LAYUP by CALTON,EMMANUEL",,,"MISS LAYUP by CALTON,EMMANUEL",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
02:56,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",1
02:46,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",1
--,,,,,"REBOUND DEF by GIADOLOR,PRINCE",,,"REBOUND DEF by GIADOLOR,PRINCE",1
02:38,,23,,41 (+18),"GOOD LAYUP by LEVI,SPENCER(in the paint)",UD 23-41 (-18),,"GOOD LAYUP by LEVI,SPENCER(in the paint)",1
--,,,,,"ASSIST  by GIADOLOR,PRINCE",,,"ASSIST  by GIADOLOR,PRINCE",1
02:22,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1
02:22,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",1
02:22,"SUB OUT by LINK,JACOB",,,,,,,"SUB OUT by LINK,JACOB",1
02:22,,,,,"SUB IN by MATHIS,DUSTIN",,,"SUB IN by MATHIS,DUSTIN",1
02:22,,,,,"SUB IN by WAMBSGANSS,MICHAEL",,,"SUB IN by WAMBSGANSS,MICHAEL",1
02:22,,,,,"SUB OUT by CALTON,EMMANUEL",,,"SUB OUT by CALTON,EMMANUEL",1
02:22,,,,,"SUB OUT by NORTON,BEN",,,"SUB OUT by NORTON,BEN",1
02:12,,,,,"MISS LAYUP by LEVI,SPENCER",,,"MISS LAYUP by LEVI,SPENCER",1
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",1
01:57,,,,,"FOUL  by LEVI,SPENCER",,,"FOUL  by LEVI,SPENCER",1
01:57,"GOOD FT by HALL,MARCIS",24,,41 (+17),,HXM 24-41 (-17),,"GOOD FT by HALL,MARCIS",1
01:57,"GOOD FT by HALL,MARCIS",25,,41 (+16),,HXM 25-41 (-16),,"GOOD FT by HALL,MARCIS",1
01:57,,,,,"SUB IN by RUSSELL,JOHN",,,"SUB IN by RUSSELL,JOHN",1
01:57,,,,,"SUB OUT by LEVI,SPENCER",,,"SUB OUT by LEVI,SPENCER",1
01:45,,,,,"MISS 3PTR by COLVIN,DARRIUS",,,"MISS 3PTR by COLVIN,DARRIUS",1
--,,,,,"REBOUND OFF by MATHIS,DUSTIN",,,"REBOUND OFF by MATHIS,DUSTIN",1
01:37,,,,,"MISS 3PTR by WAMBSGANSS,MICHAEL",,,"MISS 3PTR by WAMBSGANSS,MICHAEL",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
01:21,,,,,"FOUL  by MATHIS,DUSTIN",,,"FOUL  by MATHIS,DUSTIN",1
01:21,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:00,,25,,43 (+18),"GOOD JUMPER by COLVIN,DARRIUS",UD 25-43 (-18),,"GOOD JUMPER by COLVIN,DARRIUS",1
--,,,,,"ASSIST  by WAMBSGANSS,MICHAEL",,,"ASSIST  by WAMBSGANSS,MICHAEL",1
00:50,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",27,,43 (+16),,HXM 27-43 (-16),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",1
00:39,,,,,"TURNOVER  by GIADOLOR,PRINCE",,,"TURNOVER  by GIADOLOR,PRINCE",1
00:38,"STEAL  by SMITH,PRESTON",,,,,,,"STEAL  by SMITH,PRESTON",1
00:34,,,,,"FOUL  by WAMBSGANSS,MICHAEL",,,"FOUL  by WAMBSGANSS,MICHAEL",1
00:34,"GOOD FT by SMITH,PRESTON",28,,43 (+15),,HXM 28-43 (-15),,"GOOD FT by SMITH,PRESTON",1
00:34,"GOOD FT by SMITH,PRESTON",29,,43 (+14),,HXM 29-43 (-14),,"GOOD FT by SMITH,PRESTON",1
00:34,,,,,"SUB IN by NUNN,JOSHUA",,,"SUB IN by NUNN,JOSHUA",1
00:34,,,,,"SUB OUT by WAMBSGANSS,MICHAEL",,,"SUB OUT by WAMBSGANSS,MICHAEL",1
00:08,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",1
00:08,,29,,44 (+15),"GOOD FT by NUNN,JOSHUA",UD 29-44 (-15),,"GOOD FT by NUNN,JOSHUA",1
00:08,,29,,45 (+16),"GOOD FT by NUNN,JOSHUA",UD 29-45 (-16),,"GOOD FT by NUNN,JOSHUA",1
00:08,,29,,46 (+17),"GOOD FT by NUNN,JOSHUA",UD 29-46 (-17),,"GOOD FT by NUNN,JOSHUA",1
00:00,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",2
20:00,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
19:43,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by COLVIN,DARRIUS",,,"REBOUND DEF by COLVIN,DARRIUS",2
19:39,,,,,"TURNOVER  by COLVIN,DARRIUS",,,"TURNOVER  by COLVIN,DARRIUS",2
19:38,"STEAL  by HALL,MARCIS",,,,,,,"STEAL  by HALL,MARCIS",2
19:36,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",2
