Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:44,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",2 (+2),,0,,BCM 2-0 (-2),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
--,"ASSIST  by MOORE,MILES",,,,,,,"ASSIST  by MOORE,MILES",1
19:30,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
19:18,"MISS JUMPER by HIRSH,ELIJAH",,,,,,,"MISS JUMPER by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
19:09,,2,,2,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",HXM 2-2 (0),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
18:45,"GOOD JUMPER by HIRSH,ELIJAH",4 (+2),,2,,BCM 4-2 (-2),,"GOOD JUMPER by HIRSH,ELIJAH",1
--,"ASSIST  by JOHNSON,CALEB",,,,,,,"ASSIST  by JOHNSON,CALEB",1
18:28,"FOUL  by FORTE,MCCARTY",,,,,,,"FOUL  by FORTE,MCCARTY",1
18:07,,4,,4,"GOOD JUMPER by LINK,JACOB",HXM 4-4 (0),,"GOOD JUMPER by LINK,JACOB",1
17:53,"TURNOVER  by FORTE,MCCARTY",,,,,,,"TURNOVER  by FORTE,MCCARTY",1
17:51,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",1
17:44,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",1
17:44,,,,,"MISS FT by CALAMESE,MICHAEL",,,"MISS FT by CALAMESE,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:44,,4,,5 (+1),"GOOD FT by CALAMESE,MICHAEL",HXM 4-5 (+1),,"GOOD FT by CALAMESE,MICHAEL",1
17:33,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
17:10,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
17:00,"MISS 3PTR by MOORE,MILES",,,,,,,"MISS 3PTR by MOORE,MILES",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
16:40,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND DEF by FORTE,MCCARTY",,,,,,,"REBOUND DEF by FORTE,MCCARTY",1
16:32,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
--,"REBOUND OFF by MOORE,MILES",,,,,,,"REBOUND OFF by MOORE,MILES",1
16:25,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",6 (+1),,5,,BCM 6-5 (-1),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
16:14,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
16:07,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
16:07,"GOOD FT by MOORE,MILES",7 (+2),,5,,BCM 7-5 (-2),,"GOOD FT by MOORE,MILES",1
