Time Remaining,UDM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:51,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
19:47,"STEAL  by LEVI,SPENCER",,,,,,,"STEAL  by LEVI,SPENCER",1
19:29,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",2 (+2),,0,,UDM 2-0 (-2),,"GOOD LAYUP by RUSSELL,JOHN(in the paint)",1
--,"ASSIST  by LEVI,SPENCER",,,,,,,"ASSIST  by LEVI,SPENCER",1
19:13,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
18:48,"MISS 3PTR by COLVIN,DARRIUS",,,,,,,"MISS 3PTR by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
18:34,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
18:23,"MISS LAYUP by COLVIN,DARRIUS",,,,,,,"MISS LAYUP by COLVIN,DARRIUS",1
--,,,,,"REBOUND DEF by NOTLEY,CHANDLER",,,"REBOUND DEF by NOTLEY,CHANDLER",1
18:16,,2,,2,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 2-2 (0),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
18:07,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
18:05,"MISS LAYUP by LEVI,SPENCER",,,,,,,"MISS LAYUP by LEVI,SPENCER",1
--,"REBOUND OFF by LEVI,SPENCER",,,,,,,"REBOUND OFF by LEVI,SPENCER",1
18:02,,,,,"FOUL  by NOTLEY,CHANDLER",,,"FOUL  by NOTLEY,CHANDLER",1
18:02,"MISS FT by LEVI,SPENCER",,,,,,,"MISS FT by LEVI,SPENCER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:02,"GOOD FT by LEVI,SPENCER",3 (+1),,2,,UDM 3-2 (-1),,"GOOD FT by LEVI,SPENCER",1
17:50,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
