Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
13:21,,49 (+3),,46,"GOOD JUMPER by HUGHES,JUSTIN",OUM 49-46 (+3),,"GOOD JUMPER by HUGHES,JUSTIN",2
13:01,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
12:36,,49 (+1),,48,"GOOD JUMPER by INUNGU,TOM",OUM 49-48 (+1),,"GOOD JUMPER by INUNGU,TOM",2
12:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
11:37,,,,,"TURNOVER  by INUNGU,TOM",,,"TURNOVER  by INUNGU,TOM",2
11:35,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",2
11:31,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
11:08,,,,,"MISS LAYUP by HUGHES,JUSTIN",,,"MISS LAYUP by HUGHES,JUSTIN",2
--,,,,,"REBOUND OFF by PERRY,WILL",,,"REBOUND OFF by PERRY,WILL",2
11:01,,49,,50 (+1),"GOOD JUMPER by PERRY,WILL",OUM 49-50 (-1),,"GOOD JUMPER by PERRY,WILL",2
10:44,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",2
10:33,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",2
--,,,,,"REBOUND DEF by HUGHES,JUSTIN",,,"REBOUND DEF by HUGHES,JUSTIN",2
10:14,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",2
--,,,,,"REBOUND OFF by PERRY,WILL",,,"REBOUND OFF by PERRY,WILL",2
10:08,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",2
10:08,,49,,51 (+2),"GOOD FT by PERRY,WILL",OUM 49-51 (-2),,"GOOD FT by PERRY,WILL",2
10:08,,49,,52 (+3),"GOOD FT by PERRY,WILL",OUM 49-52 (-3),,"GOOD FT by PERRY,WILL",2
10:08,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
10:08,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
10:08,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
10:08,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
09:40,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
09:23,,,,,"FOUL  by HUGHES,JUSTIN",,,"FOUL  by HUGHES,JUSTIN",2
09:16,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",2
09:16,"GOOD FT by ROBERTS,ERIC",50,,52 (+2),,HXM 50-52 (-2),,"GOOD FT by ROBERTS,ERIC",2
09:16,"MISS FT by ROBERTS,ERIC",,,,,,,"MISS FT by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
09:16,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
09:16,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",2
09:12,"FOUL  by LINK,JACOB",,,,,,,"FOUL  by LINK,JACOB",2
09:12,,50,,53 (+3),"GOOD FT by PERRY,WILL",OUM 50-53 (-3),,"GOOD FT by PERRY,WILL",2
09:12,,,,,"MISS FT by PERRY,WILL",,,"MISS FT by PERRY,WILL",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
09:03,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
08:45,,50,,56 (+6),"GOOD 3PTR by HUGHES,JUSTIN",OUM 50-56 (-6),,"GOOD 3PTR by HUGHES,JUSTIN",2
--,,,,,"ASSIST  by PERRY,WILL",,,"ASSIST  by PERRY,WILL",2
08:32,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",2
08:32,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
08:17,"GOOD LAYUP by LINK,JACOB(in the paint)",52,,56 (+4),,HXM 52-56 (-4),,"GOOD LAYUP by LINK,JACOB(in the paint)",2
08:01,,,,,"MISS 3PTR by HUGHES,JUSTIN",,,"MISS 3PTR by HUGHES,JUSTIN",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
07:42,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",54,,56 (+2),,HXM 54-56 (-2),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",2
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",2
07:26,,,,,"TURNOVER  by KOCH,WILL",,,"TURNOVER  by KOCH,WILL",2
07:23,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",2
07:20,,,,,"FOUL  by KOCH,WILL",,,"FOUL  by KOCH,WILL",2
07:20,"GOOD FT by BRASFIELD,KAM",55,,56 (+1),,HXM 55-56 (-1),,"GOOD FT by BRASFIELD,KAM",2
07:20,"GOOD FT by BRASFIELD,KAM",56,,56,,HXM 56-56 (0),,"GOOD FT by BRASFIELD,KAM",2
07:20,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
07:20,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
07:06,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",2
--,,,,,"REBOUND OFF by INUNGU,TOM",,,"REBOUND OFF by INUNGU,TOM",2
06:58,,56,,58 (+2),"GOOD LAYUP by INUNGU,TOM(in the paint)",OUM 56-58 (-2),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
06:39,"MISS LAYUP by LINK,JACOB",,,,,,,"MISS LAYUP by LINK,JACOB",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
06:16,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
05:57,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by ROBERTS,ERIC",,,,,,,"REBOUND OFF by ROBERTS,ERIC",2
05:50,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",58,,58,,HXM 58-58 (0),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",2
05:30,,58,,60 (+2),"GOOD JUMPER by PERRY,WILL",OUM 58-60 (-2),,"GOOD JUMPER by PERRY,WILL",2
05:00,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",2
04:38,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
04:33,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
04:33,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
04:33,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
04:33,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
04:33,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
04:27,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
04:09,"GOOD 3PTR by SMITH,PRESTON",61 (+1),,60,,HXM 61-60 (+1),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",2
03:45,,61,,62 (+1),"GOOD JUMPER by PERRY,WILL",OUM 61-62 (-1),,"GOOD JUMPER by PERRY,WILL",2
03:30,"MISS JUMPER by ROBERTS,ERIC",,,,,,,"MISS JUMPER by ROBERTS,ERIC",2
03:30,,,,,"BLOCK  by INUNGU,TOM",,,"BLOCK  by INUNGU,TOM",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
03:02,,,,,"MISS JUMPER by PERRY,WILL",,,"MISS JUMPER by PERRY,WILL",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
02:39,"MISS 3PTR by LINK,JACOB",,,,,,,"MISS 3PTR by LINK,JACOB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:38,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
02:38,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",2
02:17,"GOOD 3PTR by SMITH,PRESTON",64 (+2),,62,,HXM 64-62 (+2),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BRASFIELD,KAM",,,,,,,"ASSIST  by BRASFIELD,KAM",2
01:55,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
01:34,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",2
01:34,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
01:23,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",2
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",2
00:55,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
00:31,,,,,"MISS JUMPER by PERRY,WILL",,,"MISS JUMPER by PERRY,WILL",2
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",2
00:22,,,,,"FOUL  by PERRY,WILL",,,"FOUL  by PERRY,WILL",2
00:22,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",2
00:22,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
00:21,,,,,"FOUL  by PERRY,WILL",,,"FOUL  by PERRY,WILL",2
00:19,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",2
00:19,"GOOD FT by SMITH,PRESTON",65 (+3),,62,,HXM 65-62 (+3),,"GOOD FT by SMITH,PRESTON",2
00:19,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:19,"SUB IN by SHEPPARD,MARK",,,,,,,"SUB IN by SHEPPARD,MARK",2
00:19,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
00:19,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
00:19,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
00:19,,,,,"SUB IN by RICE,TREY",,,"SUB IN by RICE,TREY",2
00:19,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
00:18,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
00:18,"MISS FT by SMITH,PRESTON",,,,,,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
00:18,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
00:18,,,,,"SUB OUT by RICE,TREY",,,"SUB OUT by RICE,TREY",2
00:14,,,,,"MISS LAYUP by PERRY,WILL",,,"MISS LAYUP by PERRY,WILL",2
00:14,"BLOCK  by ROBERTS,ERIC",,,,,,,"BLOCK  by ROBERTS,ERIC",2
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",2
00:09,,,,,"FOUL  by PERRY,WILL",,,"FOUL  by PERRY,WILL",2
00:09,"GOOD FT by ROBERTS,ERIC",66 (+4),,62,,HXM 66-62 (+4),,"GOOD FT by ROBERTS,ERIC",2
00:09,"GOOD FT by ROBERTS,ERIC",67 (+5),,62,,HXM 67-62 (+5),,"GOOD FT by ROBERTS,ERIC",2
00:09,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
00:09,"SUB OUT by SHEPPARD,MARK",,,,,,,"SUB OUT by SHEPPARD,MARK",2
00:06,,67 (+3),,64,"GOOD LAYUP by FOSTER,LANE(in the paint)",OUM 67-64 (+3),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
00:06,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",2
00:06,,67 (+2),,65,"GOOD FT by FOSTER,LANE",OUM 67-65 (+2),,"GOOD FT by FOSTER,LANE",2
00:06,,,,,"FOUL  by PERRY,WILL",,,"FOUL  by PERRY,WILL",2
00:06,"GOOD FT by SMITH,PRESTON",68 (+3),,65,,HXM 68-65 (+3),,"GOOD FT by SMITH,PRESTON",2
00:06,"GOOD FT by SMITH,PRESTON",69 (+4),,65,,HXM 69-65 (+4),,"GOOD FT by SMITH,PRESTON",2
00:06,,,,,"SUB IN by SPRINGER,WILL",,,"SUB IN by SPRINGER,WILL",2
00:06,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
00:00,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
