Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:42,"GOOD LAYUP by SMITH,CONNOR(in the paint)",2 (+2),,0,,OUM 2-0 (-2),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
19:21,,2,,2,"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 2-2 (0),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
19:21,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",1
19:21,,2,,3 (+1),"GOOD FT by LINK,JACOB",HXM 2-3 (+1),,"GOOD FT by LINK,JACOB",1
19:04,"GOOD LAYUP by PERRY,WILL(in the paint)",4 (+1),,3,,OUM 4-3 (-1),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
18:42,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
18:36,"GOOD LAYUP by FOSTER,LANE(in the paint)",6 (+3),,3,,OUM 6-3 (-3),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
18:19,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
18:01,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by RICE,TREY",,,,,,,"REBOUND DEF by RICE,TREY",1
17:44,"GOOD 3PTR by SMITH,CONNOR",9 (+6),,3,,OUM 9-3 (-6),,"GOOD 3PTR by SMITH,CONNOR",1
17:24,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
17:23,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",1
17:16,"MISS LAYUP by KOCH,WILL",,,,,,,"MISS LAYUP by KOCH,WILL",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
17:12,,9 (+4),,5,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 9-5 (-4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
16:47,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",1
--,"REBOUND OFF by PERRY,WILL",,,,,,,"REBOUND OFF by PERRY,WILL",1
16:44,"GOOD LAYUP by PERRY,WILL(in the paint)",11 (+6),,5,,OUM 11-5 (-6),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
16:24,,11 (+4),,7,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 11-7 (-4),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
16:11,"GOOD 3PTR by KOCH,WILL",14 (+7),,7,,OUM 14-7 (-7),,"GOOD 3PTR by KOCH,WILL",1
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",1
15:56,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
