Time Remaining,HENM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
16:15,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",40,,41 (+1),,HENM 40-41 (-1),,"GOOD LAYUP by CRISWELL,SEAN(in the paint)",2
--,"ASSIST  by BRANSFIELD,KAM",,,,,,,"ASSIST  by BRANSFIELD,KAM",2
15:57,,40,,43 (+3),"GOOD LAYUP by KOCH,WILL(in the paint)",OUM 40-43 (-3),,"GOOD LAYUP by KOCH,WILL(in the paint)",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
15:40,"GOOD JUMPER by ROUSE,TREY(in the paint)",42,,43 (+1),,HENM 42-43 (-1),,"GOOD JUMPER by ROUSE,TREY(in the paint)",2
15:22,,,,,"MISS LAYUP by SMITH,CONNOR",,,"MISS LAYUP by SMITH,CONNOR",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
15:02,"MISS 3PTR by BRANSFIELD,KAM",,,,,,,"MISS 3PTR by BRANSFIELD,KAM",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
14:50,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
14:50,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
14:50,,42,,44 (+2),"GOOD FT by FOSTER,LANE",OUM 42-44 (-2),,"GOOD FT by FOSTER,LANE",2
14:50,,42,,45 (+3),"GOOD FT by FOSTER,LANE",OUM 42-45 (-3),,"GOOD FT by FOSTER,LANE",2
14:50,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
14:50,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
14:50,,,,,"SUB IN by RICE,TREY",,,"SUB IN by RICE,TREY",2
14:50,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
14:42,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
14:35,,,,,"TURNOVER  by RICE,TREY",,,"TURNOVER  by RICE,TREY",2
14:34,"STEAL  by ROUSE,TREY",,,,,,,"STEAL  by ROUSE,TREY",2
14:32,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
14:14,,42,,47 (+5),"GOOD LAYUP by HUGHES,JUSTIN(in the paint)",OUM 42-47 (-5),,"GOOD LAYUP by HUGHES,JUSTIN(in the paint)",2
14:03,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
13:46,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",2
13:46,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",2
13:31,"FOUL  by BRANSFIELD,KAM",,,,,,,"FOUL  by BRANSFIELD,KAM",2
13:26,,42,,49 (+7),"GOOD TIPIN by INUNGU,TOM(in the paint)",OUM 42-49 (-7),,"GOOD TIPIN by INUNGU,TOM(in the paint)",2
13:21,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",2
13:15,,42,,51 (+9),"GOOD LAYUP by RICE,TREY(fastbreak)(in the paint)",OUM 42-51 (-9),,"GOOD LAYUP by RICE,TREY(fastbreak)(in the paint)",2
13:13,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
13:13,,42,,52 (+10),"GOOD FT by RICE,TREY",OUM 42-52 (-10),,"GOOD FT by RICE,TREY",2
13:13,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",2
13:13,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
13:13,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",2
13:13,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
13:13,,,,,"SUB OUT by RICE,TREY",,,"SUB OUT by RICE,TREY",2
13:13,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
13:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:09,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:41,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:41,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
12:41,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
12:24,,,,,"MISS JUMPER by INUNGU,TOM",,,"MISS JUMPER by INUNGU,TOM",2
--,,,,,"REBOUND OFF by INUNGU,TOM",,,"REBOUND OFF by INUNGU,TOM",2
12:20,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
12:16,,42,,55 (+13),"GOOD 3PTR by KOCH,WILL",OUM 42-55 (-13),,"GOOD 3PTR by KOCH,WILL",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
12:00,"GOOD 3PTR by SMITH,PRESTON",45,,55 (+10),,HENM 45-55 (-10),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BRANSFIELD,KAM",,,,,,,"ASSIST  by BRANSFIELD,KAM",2
11:43,,45,,57 (+12),"GOOD LAYUP by FOSTER,LANE(in the paint)",OUM 45-57 (-12),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
--,,,,,"ASSIST  by INUNGU,TOM",,,"ASSIST  by INUNGU,TOM",2
11:27,"MISS 3PTR by BRANSFIELD,KAM",,,,,,,"MISS 3PTR by BRANSFIELD,KAM",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
11:08,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",2
11:08,"BLOCK  by BRANSFIELD,KAM",,,,,,,"BLOCK  by BRANSFIELD,KAM",2
--,,,,,"REBOUND OFF by KOCH,WILL",,,"REBOUND OFF by KOCH,WILL",2
11:00,,45,,59 (+14),"GOOD JUMPER by FOSTER,LANE",OUM 45-59 (-14),,"GOOD JUMPER by FOSTER,LANE",2
10:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:57,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
10:57,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
10:57,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
10:57,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
10:42,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",2
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",2
10:39,"MISS TIPIN by CRISWELL,SEAN",,,,,,,"MISS TIPIN by CRISWELL,SEAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:37,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:24,,,,,"TURNOVER  by HUGHES,JUSTIN",,,"TURNOVER  by HUGHES,JUSTIN",2
10:23,"STEAL  by ROBERTS,ERIC",,,,,,,"STEAL  by ROBERTS,ERIC",2
10:21,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,"REBOUND OFF by BRANSFIELD,KAM",,,,,,,"REBOUND OFF by BRANSFIELD,KAM",2
10:14,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:04,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",2
10:04,,,,,"BLOCK  by INUNGU,TOM",,,"BLOCK  by INUNGU,TOM",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
09:55,,45,,62 (+17),"GOOD 3PTR by HUGHES,JUSTIN(fastbreak)",OUM 45-62 (-17),,"GOOD 3PTR by HUGHES,JUSTIN(fastbreak)",2
--,,,,,"ASSIST  by SMITH,CONNOR",,,"ASSIST  by SMITH,CONNOR",2
09:33,"MISS 3PTR by BRANSFIELD,KAM",,,,,,,"MISS 3PTR by BRANSFIELD,KAM",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
09:22,"FOUL  by BRANSFIELD,KAM",,,,,,,"FOUL  by BRANSFIELD,KAM",2
09:22,,45,,63 (+18),"GOOD FT by PERRY,WILL",OUM 45-63 (-18),,"GOOD FT by PERRY,WILL",2
09:22,,,,,"MISS FT by PERRY,WILL",,,"MISS FT by PERRY,WILL",2
--,"REBOUND DEF by SMITH,PRESTON",,,,,,,"REBOUND DEF by SMITH,PRESTON",2
09:22,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
09:22,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
09:22,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
09:22,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
09:07,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by EATON,JACK",,,,,,,"REBOUND OFF by EATON,JACK",2
08:51,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
08:51,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",2
08:45,"GOOD 3PTR by ROUSE,TREY",48,,63 (+15),,HENM 48-63 (-15),,"GOOD 3PTR by ROUSE,TREY",2
--,"ASSIST  by ROBERTS,ERIC",,,,,,,"ASSIST  by ROBERTS,ERIC",2
08:20,,48,,65 (+17),"GOOD LAYUP by FOSTER,LANE(in the paint)",OUM 48-65 (-17),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
--,,,,,"ASSIST  by INUNGU,TOM",,,"ASSIST  by INUNGU,TOM",2
08:20,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
08:20,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",2
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",2
08:11,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",2
08:10,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
08:09,,48,,67 (+19),"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",OUM 48-67 (-19),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",2
07:56,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",50,,67 (+17),,HENM 50-67 (-17),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",2
07:56,,,,,"FOUL  by INUNGU,TOM",,,"FOUL  by INUNGU,TOM",2
07:56,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
07:56,"MISS FT by ROBERTS,ERIC",,,,,,,"MISS FT by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
07:43,,50,,69 (+19),"GOOD JUMPER by HUGHES,JUSTIN(in the paint)",OUM 50-69 (-19),,"GOOD JUMPER by HUGHES,JUSTIN(in the paint)",2
07:13,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
06:49,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
06:49,"STEAL  by ROBERTS,ERIC",,,,,,,"STEAL  by ROBERTS,ERIC",2
06:43,,,,,"FOUL  by KOCH,WILL",,,"FOUL  by KOCH,WILL",2
06:43,"GOOD FT by SMITH,PRESTON",51,,69 (+18),,HENM 51-69 (-18),,"GOOD FT by SMITH,PRESTON",2
06:43,"GOOD FT by SMITH,PRESTON",52,,69 (+17),,HENM 52-69 (-17),,"GOOD FT by SMITH,PRESTON",2
06:43,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
06:43,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
06:43,,,,,"SUB IN by RICE,TREY",,,"SUB IN by RICE,TREY",2
06:43,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
06:25,,52,,71 (+19),"GOOD LAYUP by KOCH,WILL(in the paint)",OUM 52-71 (-19),,"GOOD LAYUP by KOCH,WILL(in the paint)",2
06:25,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
06:25,,,,,"MISS FT by KOCH,WILL",,,"MISS FT by KOCH,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:24,"FOUL  by ROUSE,TREY",,,,,,,"FOUL  by ROUSE,TREY",2
06:24,,52,,72 (+20),"GOOD FT by RICE,TREY",OUM 52-72 (-20),,"GOOD FT by RICE,TREY",2
06:24,,,,,"MISS FT by RICE,TREY",,,"MISS FT by RICE,TREY",2
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",2
06:15,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
05:56,,,,,"MISS JUMPER by RICE,TREY",,,"MISS JUMPER by RICE,TREY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:54,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
05:54,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
05:37,"TURNOVER  by BRANSFIELD,KAM",,,,,,,"TURNOVER  by BRANSFIELD,KAM",2
05:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:24,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
05:24,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
05:24,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
05:24,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
05:17,,,,,"TURNOVER  by PERRY,WILL",,,"TURNOVER  by PERRY,WILL",2
05:16,"STEAL  by EATON,JACK",,,,,,,"STEAL  by EATON,JACK",2
05:14,"GOOD LAYUP by EATON,JACK(fastbreak)(in the paint)",54,,72 (+18),,HENM 54-72 (-18),,"GOOD LAYUP by EATON,JACK(fastbreak)(in the paint)",2
05:02,,54,,75 (+21),"GOOD 3PTR by KOCH,WILL(fastbreak)",OUM 54-75 (-21),,"GOOD 3PTR by KOCH,WILL(fastbreak)",2
--,,,,,"ASSIST  by HUGHES,JUSTIN",,,"ASSIST  by HUGHES,JUSTIN",2
04:53,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",57,,75 (+18),,HENM 57-75 (-18),,"GOOD 3PTR by SMITH,PRESTON(fastbreak)",2
--,"ASSIST  by BRANSFIELD,KAM",,,,,,,"ASSIST  by BRANSFIELD,KAM",2
04:48,,,,,"TURNOVER  by PERRY,WILL",,,"TURNOVER  by PERRY,WILL",2
04:48,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",2
04:48,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",2
04:40,"MISS 3PTR by BRANSFIELD,KAM",,,,,,,"MISS 3PTR by BRANSFIELD,KAM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:27,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",2
--,"REBOUND OFF by ROBERTS,ERIC",,,,,,,"REBOUND OFF by ROBERTS,ERIC",2
04:16,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
04:15,,,,,"STEAL  by PERRY,WILL",,,"STEAL  by PERRY,WILL",2
04:13,,57,,77 (+20),"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",OUM 57-77 (-20),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",2
04:05,,,,,"FOUL  by SMITH,CONNOR",,,"FOUL  by SMITH,CONNOR",2
04:05,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
04:05,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
03:53,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
03:48,"FOUL  by FISHER,ELI",,,,,,,"FOUL  by FISHER,ELI",2
03:48,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:48,,57,,78 (+21),"GOOD FT by KOCH,WILL",OUM 57-78 (-21),,"GOOD FT by KOCH,WILL",2
03:48,,57,,79 (+22),"GOOD FT by KOCH,WILL",OUM 57-79 (-22),,"GOOD FT by KOCH,WILL",2
03:39,"GOOD 3PTR by SMITH,PRESTON",60,,79 (+19),,HENM 60-79 (-19),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BRANSFIELD,KAM",,,,,,,"ASSIST  by BRANSFIELD,KAM",2
03:27,,60,,81 (+21),"GOOD LAYUP by KOCH,WILL(fastbreak)(in the paint)",OUM 60-81 (-21),,"GOOD LAYUP by KOCH,WILL(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by INUNGU,TOM",,,"ASSIST  by INUNGU,TOM",2
03:13,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
03:12,,,,,"SUB IN by SPRINGER,WILL",,,"SUB IN by SPRINGER,WILL",2
03:12,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
03:00,,60,,83 (+23),"GOOD LAYUP by RICE,TREY(in the paint)",OUM 60-83 (-23),,"GOOD LAYUP by RICE,TREY(in the paint)",2
02:50,"GOOD 3PTR by SMITH,PRESTON",63,,83 (+20),,HENM 63-83 (-20),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by BRANSFIELD,KAM",,,,,,,"ASSIST  by BRANSFIELD,KAM",2
02:49,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:49,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
02:49,,,,,"SUB OUT by SPRINGER,WILL",,,"SUB OUT by SPRINGER,WILL",2
02:40,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",2
02:40,,63,,84 (+21),"GOOD FT by SMITH,CONNOR",OUM 63-84 (-21),,"GOOD FT by SMITH,CONNOR",2
02:40,,63,,85 (+22),"GOOD FT by SMITH,CONNOR",OUM 63-85 (-22),,"GOOD FT by SMITH,CONNOR",2
02:32,"MISS 3PTR by BRANSFIELD,KAM",,,,,,,"MISS 3PTR by BRANSFIELD,KAM",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
02:20,,,,,"MISS LAYUP by PERRY,WILL",,,"MISS LAYUP by PERRY,WILL",2
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",2
02:13,"MISS LAYUP by BRANSFIELD,KAM",,,,,,,"MISS LAYUP by BRANSFIELD,KAM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:11,,,,,"SUB IN by HUGHES,JUSTIN",,,"SUB IN by HUGHES,JUSTIN",2
02:11,,,,,"SUB OUT by SMITH,CONNOR",,,"SUB OUT by SMITH,CONNOR",2
02:08,"GOOD 3PTR by SMITH,PRESTON",66,,85 (+19),,HENM 66-85 (-19),,"GOOD 3PTR by SMITH,PRESTON",2
--,"ASSIST  by ROUSE,TREY",,,,,,,"ASSIST  by ROUSE,TREY",2
02:01,"FOUL  by BRANSFIELD,KAM",,,,,,,"FOUL  by BRANSFIELD,KAM",2
02:01,,66,,86 (+20),"GOOD FT by RICE,TREY",OUM 66-86 (-20),,"GOOD FT by RICE,TREY",2
02:01,,66,,87 (+21),"GOOD FT by RICE,TREY",OUM 66-87 (-21),,"GOOD FT by RICE,TREY",2
01:54,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
01:44,,66,,89 (+23),"GOOD DUNK by INUNGU,TOM(fastbreak)(in the paint)",OUM 66-89 (-23),,"GOOD DUNK by INUNGU,TOM(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HUGHES,JUSTIN",,,"ASSIST  by HUGHES,JUSTIN",2
01:34,,,,,"FOUL  by PERRY,WILL",,,"FOUL  by PERRY,WILL",2
01:34,"MISS FT by BRANSFIELD,KAM",,,,,,,"MISS FT by BRANSFIELD,KAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:34,"GOOD FT by BRANSFIELD,KAM",67,,89 (+22),,HENM 67-89 (-22),,"GOOD FT by BRANSFIELD,KAM",2
01:34,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
01:34,"SUB IN by ABELL,STEPHEN",,,,,,,"SUB IN by ABELL,STEPHEN",2
01:34,"SUB IN by SHEPPARD,MARK",,,,,,,"SUB IN by SHEPPARD,MARK",2
01:34,"SUB IN by PRINS,ZACHARY",,,,,,,"SUB IN by PRINS,ZACHARY",2
01:34,"SUB OUT by BRANSFIELD,KAM",,,,,,,"SUB OUT by BRANSFIELD,KAM",2
01:34,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
01:34,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
01:34,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
01:34,,,,,"SUB IN by CROWE,CAMERON",,,"SUB IN by CROWE,CAMERON",2
01:34,,,,,"SUB IN by SPRINGER,WILL",,,"SUB IN by SPRINGER,WILL",2
01:34,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
01:34,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
01:21,,,,,"FOUL  by CROWE,CAMERON",,,"FOUL  by CROWE,CAMERON",2
01:21,,,,,"TURNOVER  by CROWE,CAMERON",,,"TURNOVER  by CROWE,CAMERON",2
01:07,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",2
--,"REBOUND OFF by ROUSE,TREY",,,,,,,"REBOUND OFF by ROUSE,TREY",2
01:01,,,,,"FOUL  by HUGHES,JUSTIN",,,"FOUL  by HUGHES,JUSTIN",2
01:01,"MISS FT by ROUSE,TREY",,,,,,,"MISS FT by ROUSE,TREY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:01,,,,,"SUB IN by LOCKE,JORDAN",,,"SUB IN by LOCKE,JORDAN",2
01:01,,,,,"SUB IN by HAZEL,JUSTIN",,,"SUB IN by HAZEL,JUSTIN",2
01:01,,,,,"SUB IN by FUGLESTAD,LOGAN",,,"SUB IN by FUGLESTAD,LOGAN",2
01:01,,,,,"SUB IN by ALEXANDER,ARTHUR",,,"SUB IN by ALEXANDER,ARTHUR",2
01:01,,,,,"SUB OUT by SPRINGER,WILL",,,"SUB OUT by SPRINGER,WILL",2
01:01,,,,,"SUB OUT by HUGHES,JUSTIN",,,"SUB OUT by HUGHES,JUSTIN",2
01:01,,,,,"SUB OUT by RICE,TREY",,,"SUB OUT by RICE,TREY",2
01:01,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",2
00:54,,,,,"MISS JUMPER by CROWE,CAMERON",,,"MISS JUMPER by CROWE,CAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:47,"MISS 3PTR by ABELL,STEPHEN",,,,,,,"MISS 3PTR by ABELL,STEPHEN",2
--,,,,,"REBOUND DEF by LOCKE,JORDAN",,,"REBOUND DEF by LOCKE,JORDAN",2
00:45,"FOUL  by PRINS,ZACHARY",,,,,,,"FOUL  by PRINS,ZACHARY",2
00:45,,,,,"MISS FT by LOCKE,JORDAN",,,"MISS FT by LOCKE,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:45,,67,,90 (+23),"GOOD FT by LOCKE,JORDAN",OUM 67-90 (-23),,"GOOD FT by LOCKE,JORDAN",2
00:37,"MISS 3PTR by PRINS,ZACHARY",,,,,,,"MISS 3PTR by PRINS,ZACHARY",2
--,"REBOUND OFF by SHEPPARD,MARK",,,,,,,"REBOUND OFF by SHEPPARD,MARK",2
00:29,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by CROWE,CAMERON",,,"REBOUND DEF by CROWE,CAMERON",2
00:22,,,,,"MISS 3PTR by FUGLESTAD,LOGAN",,,"MISS 3PTR by FUGLESTAD,LOGAN",2
--,,,,,"REBOUND OFF by CROWE,CAMERON",,,"REBOUND OFF by CROWE,CAMERON",2
00:15,,,,,"TURNOVER  by HAZEL,JUSTIN",,,"TURNOVER  by HAZEL,JUSTIN",2
00:02,"TURNOVER  by ABELL,STEPHEN",,,,,,,"TURNOVER  by ABELL,STEPHEN",2
00:01,,,,,"STEAL  by ALEXANDER,ARTHUR",,,"STEAL  by ALEXANDER,ARTHUR",2
