Time Remaining,UTT,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:53,"GOOD 3PTR by LANE,JOHNELL",3 (+3),,0,,UTT 3-0 (-3),,"GOOD 3PTR by LANE,JOHNELL",1
--,"ASSIST  by ANTHONY,MELVIN",,,,,,,"ASSIST  by ANTHONY,MELVIN",1
19:45,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
19:33,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by HADDEN,SKYLER",,,,,,,"REBOUND DEF by HADDEN,SKYLER",1
19:09,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",5 (+5),,0,,UTT 5-0 (-5),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
18:49,,5 (+2),,3,"GOOD 3PTR by HALL,MARCIS",HXM 5-3 (-2),,"GOOD 3PTR by HALL,MARCIS",1
18:39,"TURNOVER  by ANTHONY,MELVIN",,,,,,,"TURNOVER  by ANTHONY,MELVIN",1
18:12,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by OBUKWELU,EMEKA",,,,,,,"REBOUND DEF by OBUKWELU,EMEKA",1
17:57,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",7 (+4),,3,,UTT 7-3 (-4),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
17:39,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",1
--,"REBOUND DEF by ANTHONY,MELVIN",,,,,,,"REBOUND DEF by ANTHONY,MELVIN",1
17:26,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",9 (+6),,3,,UTT 9-3 (-6),,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",1
16:59,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1
--,"REBOUND DEF by LANE,JOHNELL",,,,,,,"REBOUND DEF by LANE,JOHNELL",1
16:27,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
16:19,"GOOD FT by HADDEN,SKYLER",10 (+7),,3,,UTT 10-3 (-7),,"GOOD FT by HADDEN,SKYLER",1
16:19,"MISS FT by HADDEN,SKYLER",,,,,,,"MISS FT by HADDEN,SKYLER",1
--,,,,,"REBOUND DEF by FISHER,ELI",,,"REBOUND DEF by FISHER,ELI",1
16:19,"FOUL  by LANE,JOHNELL",,,,,,,"FOUL  by LANE,JOHNELL",1
16:19,"SUB IN by FOGLE,XAVIER",,,,,,,"SUB IN by FOGLE,XAVIER",1
16:19,"SUB OUT by ANTHONY,MELVIN",,,,,,,"SUB OUT by ANTHONY,MELVIN",1
16:18,,10 (+5),,5,"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 10-5 (-5),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
15:56,"GOOD LAYUP by TATUM,JOSH(in the paint)",12 (+7),,5,,UTT 12-5 (-7),,"GOOD LAYUP by TATUM,JOSH(in the paint)",1
15:56,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND DEF by FOGLE,XAVIER",,,,,,,"REBOUND DEF by FOGLE,XAVIER",1
15:56,"TURNOVER  by HADDEN,SKYLER",,,,,,,"TURNOVER  by HADDEN,SKYLER",1
15:56,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",1
15:56,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND DEF by LANE,JOHNELL",,,,,,,"REBOUND DEF by LANE,JOHNELL",1
15:28,"GOOD JUMPER by OBUKWELU,EMEKA",14 (+9),,5,,UTT 14-5 (-9),,"GOOD JUMPER by OBUKWELU,EMEKA",1
15:11,,14 (+7),,7,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 14-7 (-7),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
15:04,"TURNOVER  by HADDEN,SKYLER",,,,,,,"TURNOVER  by HADDEN,SKYLER",1
15:01,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
15:01,"FOUL  by FOGLE,XAVIER",,,,,,,"FOUL  by FOGLE,XAVIER",1
15:01,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:01,,14 (+6),,8,"GOOD FT by LINK,JACOB",HXM 14-8 (-6),,"GOOD FT by LINK,JACOB",1
15:01,"SUB IN by MOORE,DAVIS",,,,,,,"SUB IN by MOORE,DAVIS",1
15:01,"SUB OUT by TATUM,JOSH",,,,,,,"SUB OUT by TATUM,JOSH",1
14:56,"MISS LAYUP by OBUKWELU,EMEKA",,,,,,,"MISS LAYUP by OBUKWELU,EMEKA",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
14:49,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
14:36,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",16 (+8),,8,,UTT 16-8 (-8),,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",1
14:26,,,,,"MISS 3PTR by HALL,MARCIS",,,"MISS 3PTR by HALL,MARCIS",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
14:14,,16 (+6),,10,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 16-10 (-6),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
14:02,"GOOD JUMPER by FOGLE,XAVIER",18 (+8),,10,,UTT 18-10 (-8),,"GOOD JUMPER by FOGLE,XAVIER",1
13:50,,,,,"MISS JUMPER by HALL,MARCIS",,,"MISS JUMPER by HALL,MARCIS",1
--,"REBOUND DEF by HADDEN,SKYLER",,,,,,,"REBOUND DEF by HADDEN,SKYLER",1
13:34,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",20 (+10),,10,,UTT 20-10 (-10),,"GOOD LAYUP by HADDEN,SKYLER(in the paint)",1
13:34,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
13:34,"MISS FT by HADDEN,SKYLER",,,,,,,"MISS FT by HADDEN,SKYLER",1
--,"REBOUND OFF by ANTHONY,MELVIN",,,,,,,"REBOUND OFF by ANTHONY,MELVIN",1
13:34,"GOOD 3PTR by MOORE,DAVIS",23 (+13),,10,,UTT 23-10 (-13),,"GOOD 3PTR by MOORE,DAVIS",1
13:34,"SUB IN by MASON,CHASE",,,,,,,"SUB IN by MASON,CHASE",1
13:34,"SUB IN by MOHAMED,OMAR",,,,,,,"SUB IN by MOHAMED,OMAR",1
13:34,"SUB IN by ANTHONY,MELVIN",,,,,,,"SUB IN by ANTHONY,MELVIN",1
13:34,"SUB OUT by OBUKWELU,EMEKA",,,,,,,"SUB OUT by OBUKWELU,EMEKA",1
13:34,"SUB OUT by FOGLE,XAVIER",,,,,,,"SUB OUT by FOGLE,XAVIER",1
13:34,"SUB OUT by LANE,JOHNELL",,,,,,,"SUB OUT by LANE,JOHNELL",1
13:34,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
13:34,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
13:13,,23 (+11),,12,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 23-12 (-11),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
13:03,"MISS LAYUP by ANTHONY,MELVIN",,,,,,,"MISS LAYUP by ANTHONY,MELVIN",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
13:01,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by MOORE,DAVIS",,,,,,,"REBOUND DEF by MOORE,DAVIS",1
12:55,"FOUL  by ANTHONY,MELVIN",,,,,,,"FOUL  by ANTHONY,MELVIN",1
12:55,"SUB IN by FRANK,CAMERON",,,,,,,"SUB IN by FRANK,CAMERON",1
12:55,"SUB OUT by HADDEN,SKYLER",,,,,,,"SUB OUT by HADDEN,SKYLER",1
12:52,,23 (+9),,14,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 23-14 (-9),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
12:12,"GOOD JUMPER by MOORE,DAVIS",25 (+11),,14,,UTT 25-14 (-11),,"GOOD JUMPER by MOORE,DAVIS",1
12:06,"FOUL  by FRANK,CAMERON",,,,,,,"FOUL  by FRANK,CAMERON",1
11:51,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",1
11:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:51,,,,,"SUB IN by ROUSE,TREY",,,"SUB IN by ROUSE,TREY",1
11:51,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",1
11:51,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",1
11:51,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
11:49,"GOOD JUMPER by MASON,CHASE",27 (+13),,14,,UTT 27-14 (-13),,"GOOD JUMPER by MASON,CHASE",1
11:18,,27 (+10),,17,"GOOD 3PTR by ROUSE,TREY",HXM 27-17 (-10),,"GOOD 3PTR by ROUSE,TREY",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
11:08,"MISS 3PTR by MASON,CHASE",,,,,,,"MISS 3PTR by MASON,CHASE",1
--,,,,,"REBOUND DEF by ROUSE,TREY",,,"REBOUND DEF by ROUSE,TREY",1
10:31,,27 (+7),,20,"GOOD 3PTR by CRISWELL,SEAN",HXM 27-20 (-7),,"GOOD 3PTR by CRISWELL,SEAN",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
10:20,"MISS LAYUP by MASON,CHASE",,,,,,,"MISS LAYUP by MASON,CHASE",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
09:59,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,"REBOUND DEF by FRANK,CAMERON",,,,,,,"REBOUND DEF by FRANK,CAMERON",1
09:50,"MISS 3PTR by MOORE,DAVIS",,,,,,,"MISS 3PTR by MOORE,DAVIS",1
--,"REBOUND OFF by MASON,CHASE",,,,,,,"REBOUND OFF by MASON,CHASE",1
09:38,"GOOD 3PTR by MASON,CHASE",30 (+10),,20,,UTT 30-20 (-10),,"GOOD 3PTR by MASON,CHASE",1
--,"ASSIST  by ANTHONY,MELVIN",,,,,,,"ASSIST  by ANTHONY,MELVIN",1
09:38,,,,,"TURNOVER  by CALAMESE,MICHAEL",,,"TURNOVER  by CALAMESE,MICHAEL",1
09:38,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
09:38,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
09:38,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",1
09:38,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
09:14,"SUB IN by GREEN-GASKIN,JAMAL",,,,,,,"SUB IN by GREEN-GASKIN,JAMAL",1
09:14,"SUB OUT by ANTHONY,MELVIN",,,,,,,"SUB OUT by ANTHONY,MELVIN",1
09:12,"FOUL  by GREEN-GASKIN,JAMAL",,,,,,,"FOUL  by GREEN-GASKIN,JAMAL",1
08:54,,,,,"MISS 3PTR by ROUSE,TREY",,,"MISS 3PTR by ROUSE,TREY",1
--,"REBOUND DEF by FRANK,CAMERON",,,,,,,"REBOUND DEF by FRANK,CAMERON",1
08:42,"GOOD 3PTR by MASON,CHASE",33 (+13),,20,,UTT 33-20 (-13),,"GOOD 3PTR by MASON,CHASE",1
--,"ASSIST  by FRANK,CAMERON",,,,,,,"ASSIST  by FRANK,CAMERON",1
08:41,,,,,"MISS 3PTR by CALAMESE,MICHAEL",,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,"REBOUND DEF by MOHAMED,OMAR",,,,,,,"REBOUND DEF by MOHAMED,OMAR",1
08:32,"TURNOVER  by MOHAMED,OMAR",,,,,,,"TURNOVER  by MOHAMED,OMAR",1
08:32,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
08:32,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",1
08:08,,33 (+11),,22,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 33-22 (-11),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
07:59,"MISS 3PTR by MASON,CHASE",,,,,,,"MISS 3PTR by MASON,CHASE",1
--,"REBOUND OFF by GREEN-GASKIN,JAMAL",,,,,,,"REBOUND OFF by GREEN-GASKIN,JAMAL",1
07:59,"MISS 3PTR by MOHAMED,OMAR",,,,,,,"MISS 3PTR by MOHAMED,OMAR",1
--,"REBOUND OFF by FRANK,CAMERON",,,,,,,"REBOUND OFF by FRANK,CAMERON",1
07:53,"GOOD JUMPER by FRANK,CAMERON",35 (+13),,22,,UTT 35-22 (-13),,"GOOD JUMPER by FRANK,CAMERON",1
07:32,"FOUL  by MOORE,DAVIS",,,,,,,"FOUL  by MOORE,DAVIS",1
07:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:32,"SUB IN by LANE,JOHNELL",,,,,,,"SUB IN by LANE,JOHNELL",1
07:32,"SUB IN by TATUM,JOSH",,,,,,,"SUB IN by TATUM,JOSH",1
07:32,"SUB IN by HADDEN,SKYLER",,,,,,,"SUB IN by HADDEN,SKYLER",1
07:32,"SUB IN by ANTHONY,MELVIN",,,,,,,"SUB IN by ANTHONY,MELVIN",1
07:32,"SUB IN by OBUKWELU,EMEKA",,,,,,,"SUB IN by OBUKWELU,EMEKA",1
07:32,"SUB OUT by MASON,CHASE",,,,,,,"SUB OUT by MASON,CHASE",1
07:32,"SUB OUT by MOHAMED,OMAR",,,,,,,"SUB OUT by MOHAMED,OMAR",1
07:32,"SUB OUT by FRANK,CAMERON",,,,,,,"SUB OUT by FRANK,CAMERON",1
07:32,"SUB OUT by MOORE,DAVIS",,,,,,,"SUB OUT by MOORE,DAVIS",1
07:32,"SUB OUT by GREEN-GASKIN,JAMAL",,,,,,,"SUB OUT by GREEN-GASKIN,JAMAL",1
07:28,,35 (+11),,24,"GOOD LAYUP by LINK,JACOB(in the paint)",HXM 35-24 (-11),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1
06:51,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",37 (+13),,24,,UTT 37-24 (-13),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
--,"ASSIST  by ANTHONY,MELVIN",,,,,,,"ASSIST  by ANTHONY,MELVIN",1
06:44,,,,,"MISS JUMPER by HALL,MARCIS",,,"MISS JUMPER by HALL,MARCIS",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
06:38,,37 (+11),,26,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 37-26 (-11),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
06:21,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",39 (+13),,26,,UTT 39-26 (-13),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
--,"ASSIST  by ANTHONY,MELVIN",,,,,,,"ASSIST  by ANTHONY,MELVIN",1
06:10,,39 (+10),,29,"GOOD 3PTR by ROUSE,TREY",HXM 39-29 (-10),,"GOOD 3PTR by ROUSE,TREY",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
05:55,"GOOD JUMPER by OBUKWELU,EMEKA",41 (+12),,29,,UTT 41-29 (-12),,"GOOD JUMPER by OBUKWELU,EMEKA",1
--,"ASSIST  by TATUM,JOSH",,,,,,,"ASSIST  by TATUM,JOSH",1
05:40,,,,,"TURNOVER  by HALL,MARCIS",,,"TURNOVER  by HALL,MARCIS",1
05:37,"STEAL  by ANTHONY,MELVIN",,,,,,,"STEAL  by ANTHONY,MELVIN",1
05:30,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
05:30,"FOUL  by HADDEN,SKYLER",,,,,,,"FOUL  by HADDEN,SKYLER",1
05:30,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
05:30,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
05:30,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",1
05:30,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",1
05:30,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
05:30,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
05:13,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,"REBOUND DEF by TATUM,JOSH",,,,,,,"REBOUND DEF by TATUM,JOSH",1
05:00,"MISS 3PTR by HADDEN,SKYLER",,,,,,,"MISS 3PTR by HADDEN,SKYLER",1
--,"REBOUND OFF by ANTHONY,MELVIN",,,,,,,"REBOUND OFF by ANTHONY,MELVIN",1
05:00,"GOOD 3PTR by LANE,JOHNELL",44 (+15),,29,,UTT 44-29 (-15),,"GOOD 3PTR by LANE,JOHNELL",1
