Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:41,,0,,3 (+3),"GOOD 3PTR by ROUSE,TREY",HXM 0-3 (+3),,"GOOD 3PTR by ROUSE,TREY",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
19:26,"GOOD 3PTR by MATTHEWS,TREYLAN",3,,3,,CENTMB 3-3 (0),,"GOOD 3PTR by MATTHEWS,TREYLAN",1
--,"ASSIST  by KIRKENDOLL,TRAVION",,,,,,,"ASSIST  by KIRKENDOLL,TRAVION",1
19:03,,3,,5 (+2),"GOOD LAYUP by ROBERTS,ERIC(in the paint)",HXM 3-5 (+2),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",1
--,,,,,"ASSIST  by ROUSE,TREY",,,"ASSIST  by ROUSE,TREY",1
18:33,"TURNOVER  by JOHNSON,REGIS",,,,,,,"TURNOVER  by JOHNSON,REGIS",1
18:25,"FOUL  by JOHNSON,REGIS",,,,,,,"FOUL  by JOHNSON,REGIS",1
18:25,,3,,6 (+3),"GOOD FT by ROBERTS,ERIC",HXM 3-6 (+3),,"GOOD FT by ROBERTS,ERIC",1
18:25,,,,,"MISS FT by ROBERTS,ERIC",,,"MISS FT by ROBERTS,ERIC",1
--,"REBOUND DEF by HAWKINS,NEIL",,,,,,,"REBOUND DEF by HAWKINS,NEIL",1
18:25,"SUB IN by HARDY,RAYLON",,,,,,,"SUB IN by HARDY,RAYLON",1
18:09,"GOOD JUMPER by KIRKENDOLL,TRAVION",5,,6 (+1),,CENTMB 5-6 (+1),,"GOOD JUMPER by KIRKENDOLL,TRAVION",1
--,"ASSIST  by HARRIS,CEDRIC",,,,,,,"ASSIST  by HARRIS,CEDRIC",1
17:39,,,,,"MISS 3PTR by CRISWELL,SEAN",,,"MISS 3PTR by CRISWELL,SEAN",1
--,"REBOUND DEF by HARRIS,CEDRIC",,,,,,,"REBOUND DEF by HARRIS,CEDRIC",1
17:30,"GOOD JUMPER by KIRKENDOLL,TRAVION",7 (+1),,6,,CENTMB 7-6 (-1),,"GOOD JUMPER by KIRKENDOLL,TRAVION",1
17:00,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
16:38,"MISS JUMPER by CARTER,KAHARRI",,,,,,,"MISS JUMPER by CARTER,KAHARRI",1
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",1
16:30,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by MATTHEWS,TREYLAN",,,,,,,"REBOUND DEF by MATTHEWS,TREYLAN",1
16:24,"TURNOVER  by MATTHEWS,TREYLAN",,,,,,,"TURNOVER  by MATTHEWS,TREYLAN",1
16:23,,,,,"STEAL  by ROBERTS,ERIC",,,"STEAL  by ROBERTS,ERIC",1
16:19,,7,,8 (+1),"GOOD LAYUP by ROUSE,TREY(in the paint)",HXM 7-8 (+1),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
15:59,"GOOD 3PTR by HARRIS,CEDRIC",10 (+2),,8,,CENTMB 10-8 (-2),,"GOOD 3PTR by HARRIS,CEDRIC",1
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",1
15:40,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,"REBOUND DEF by HAWKINS,NEIL",,,,,,,"REBOUND DEF by HAWKINS,NEIL",1
15:29,"TIMEOUT MEDIA by HAWKINS,NEIL",,,,,,,"TIMEOUT MEDIA by HAWKINS,NEIL",1
15:29,"SUB IN by HELZER,JAMES",,,,,,,"SUB IN by HELZER,JAMES",1
15:29,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",1
15:29,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
15:23,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",1
15:23,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
15:20,"MISS 3PTR by HARRIS,CEDRIC",,,,,,,"MISS 3PTR by HARRIS,CEDRIC",1
--,"REBOUND OFF by KIRKENDOLL,TRAVION",,,,,,,"REBOUND OFF by KIRKENDOLL,TRAVION",1
15:14,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",12 (+4),,8,,CENTMB 12-8 (-4),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
14:57,,,,,"TURNOVER  by CRISWELL,SEAN",,,"TURNOVER  by CRISWELL,SEAN",1
14:56,"STEAL  by KIRKENDOLL,TRAVION",,,,,,,"STEAL  by KIRKENDOLL,TRAVION",1
14:54,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",14 (+6),,8,,CENTMB 14-8 (-6),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
14:54,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",1
14:54,"GOOD FT by KIRKENDOLL,TRAVION",15 (+7),,8,,CENTMB 15-8 (-7),,"GOOD FT by KIRKENDOLL,TRAVION",1
14:54,"SUB IN by CARTER,KAHARRI",,,,,,,"SUB IN by CARTER,KAHARRI",1
14:54,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
14:54,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
14:27,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:07,,,,,"FOUL  by ROUSE,TREY",,,"FOUL  by ROUSE,TREY",1
14:07,"GOOD FT by HELZER,JAMES",16 (+8),,8,,CENTMB 16-8 (-8),,"GOOD FT by HELZER,JAMES",1
14:07,"GOOD FT by HELZER,JAMES",17 (+9),,8,,CENTMB 17-8 (-9),,"GOOD FT by HELZER,JAMES",1
14:07,,,,,"SUB IN by MOORE,AUSTIN",,,"SUB IN by MOORE,AUSTIN",1
14:07,,,,,"SUB OUT by ROUSE,TREY",,,"SUB OUT by ROUSE,TREY",1
