Time Remaining,RHIT-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
18:42,"FOUL  by WOJCIK,COLLIN",,,,,,,"FOUL  by WOJCIK,COLLIN",2
18:42,,30,,43 (+13),"GOOD FT by RUDAK,MATTY",16BSC-M 30-43 (+13),,"GOOD FT by RUDAK,MATTY",2
18:42,,30,,44 (+14),"GOOD FT by RUDAK,MATTY",16BSC-M 30-44 (+14),,"GOOD FT by RUDAK,MATTY",2
18:42,"SUB IN by CALLAHAN,LUKE",,,,,,,"SUB IN by CALLAHAN,LUKE",2
18:42,"SUB OUT by WHITAKER,JT",,,,,,,"SUB OUT by WHITAKER,JT",2
18:19,"MISS JUMPER by CALLAHAN,LUKE",,,,,,,"MISS JUMPER by CALLAHAN,LUKE",2
--,"REBOUND OFF by CALLAHAN,LUKE",,,,,,,"REBOUND OFF by CALLAHAN,LUKE",2
18:04,"FOUL  by CALLAHAN,LUKE",,,,,,,"FOUL  by CALLAHAN,LUKE",2
17:48,"MISS JUMPER by CZARNECKI,JOHN",,,,,,,"MISS JUMPER by CZARNECKI,JOHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:25,,30,,46 (+16),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 30-46 (+16),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2
