Time Remaining,WABM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND DEF by WHITE,LOGAN",,,,,,,"REBOUND DEF by WHITE,LOGAN",1
19:14,"GOOD 3PTR by GARLAND,COLTEN",3 (+3),,0,,WABM 3-0 (-3),,"GOOD 3PTR by GARLAND,COLTEN",1
--,"ASSIST  by RYAN,RONALD",,,,,,,"ASSIST  by RYAN,RONALD",1
18:54,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND DEF by WHITE,LOGAN",,,,,,,"REBOUND DEF by WHITE,LOGAN",1
18:34,"MISS LAYUP by FRANK,EVAN",,,,,,,"MISS LAYUP by FRANK,EVAN",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
18:24,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND DEF by PATTON,ZACK",,,,,,,"REBOUND DEF by PATTON,ZACK",1
18:03,"GOOD LAYUP by RYAN,RONALD(in the paint)",5 (+5),,0,,WABM 5-0 (-5),,"GOOD LAYUP by RYAN,RONALD(in the paint)",1
17:33,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
--,"REBOUND DEF by WHITE,LOGAN",,,,,,,"REBOUND DEF by WHITE,LOGAN",1
17:10,"GOOD 3PTR by GARLAND,COLTEN",8 (+8),,0,,WABM 8-0 (-8),,"GOOD 3PTR by GARLAND,COLTEN",1
--,"ASSIST  by PATTON,ZACK",,,,,,,"ASSIST  by PATTON,ZACK",1
17:04,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
16:53,,8 (+6),,2,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 8-2 (-6),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
16:33,"MISS LAYUP by FRANK,EVAN",,,,,,,"MISS LAYUP by FRANK,EVAN",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
16:06,,8 (+4),,4,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 8-4 (-4),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
16:06,"FOUL  by PATTON,ZACK",,,,,,,"FOUL  by PATTON,ZACK",1
16:06,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
15:58,,8 (+2),,6,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 8-6 (-2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
