Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by WALDRUM,AIDAN",,,"REBOUND OFF by WALDRUM,AIDAN",1
15:40,,,,,"MISS JUMPER by PERKINS,ALEX",,,"MISS JUMPER by PERKINS,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:37,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",1
15:24,"FOUL  by AVANT,DONALD",,,,,,,"FOUL  by AVANT,DONALD",1
15:24,"TURNOVER  by AVANT,DONALD",,,,,,,"TURNOVER  by AVANT,DONALD",1
15:13,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND DEF by GIGAX,ADAM",,,,,,,"REBOUND DEF by GIGAX,ADAM",1
14:55,"GOOD 3PTR by GORDON,JIM",10,,10,,EUM 10-10 (0),,"GOOD 3PTR by GORDON,JIM",1
14:22,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND OFF by GRAHAM,CHRIS",,,"REBOUND OFF by GRAHAM,CHRIS",1
14:17,,,,,"MISS JUMPER by GRAHAM,CHRIS",,,"MISS JUMPER by GRAHAM,CHRIS",1
--,"REBOUND DEF by AVANT,CHRISTOPHER",,,,,,,"REBOUND DEF by AVANT,CHRISTOPHER",1
14:11,"MISS 3PTR by AVANT,CHRISTOPHER",,,,,,,"MISS 3PTR by AVANT,CHRISTOPHER",1
--,,,,,"REBOUND DEF by WALDRUM,AIDAN",,,"REBOUND DEF by WALDRUM,AIDAN",1
13:37,,,,,"TURNOVER  by PERKINS,ALEX",,,"TURNOVER  by PERKINS,ALEX",1
13:37,"SUB IN by DAGUE,AUSTIN",,,,,,,"SUB IN by DAGUE,AUSTIN",1
13:37,"SUB IN by TERRY,JONATHAN",,,,,,,"SUB IN by TERRY,JONATHAN",1
13:37,"SUB IN by RAPP,WHIT",,,,,,,"SUB IN by RAPP,WHIT",1
13:37,"SUB OUT by AVANT,CHRISTOPHER",,,,,,,"SUB OUT by AVANT,CHRISTOPHER",1
13:37,"SUB OUT by GORDON,JIM",,,,,,,"SUB OUT by GORDON,JIM",1
13:37,"SUB OUT by GIGAX,ADAM",,,,,,,"SUB OUT by GIGAX,ADAM",1
13:37,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
13:37,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
13:37,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
13:37,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
13:31,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
13:31,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
13:27,"TURNOVER  by AVANT,DONALD",,,,,,,"TURNOVER  by AVANT,DONALD",1
13:03,,10,,12 (+2),"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 10-12 (+2),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
12:46,"TURNOVER  by AVANT,DONALD",,,,,,,"TURNOVER  by AVANT,DONALD",1
12:46,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
12:46,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
12:46,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
12:46,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
12:27,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by DAGUE,AUSTIN",,,,,,,"REBOUND DEF by DAGUE,AUSTIN",1
12:06,"MISS JUMPER by BAITEY,GEBEREAL",,,,,,,"MISS JUMPER by BAITEY,GEBEREAL",1
--,"REBOUND OFF by DAGUE,AUSTIN",,,,,,,"REBOUND OFF by DAGUE,AUSTIN",1
11:59,"MISS 3PTR by BAITEY,GEBEREAL",,,,,,,"MISS 3PTR by BAITEY,GEBEREAL",1
--,"REBOUND OFF by RAPP,WHIT",,,,,,,"REBOUND OFF by RAPP,WHIT",1
11:58,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
11:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:57,"SUB IN by TUPANJANIN,NICK",,,,,,,"SUB IN by TUPANJANIN,NICK",1
11:57,"SUB IN by GIGAX,ADAM",,,,,,,"SUB IN by GIGAX,ADAM",1
11:57,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",1
11:57,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",1
11:56,"MISS 3PTR by DAGUE,AUSTIN",,,,,,,"MISS 3PTR by DAGUE,AUSTIN",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
11:41,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
11:41,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
11:39,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by TUPANJANIN,NICK",,,,,,,"REBOUND DEF by TUPANJANIN,NICK",1
11:29,"MISS 3PTR by GIGAX,ADAM",,,,,,,"MISS 3PTR by GIGAX,ADAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:26,,10,,14 (+4),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 10-14 (+4),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
11:11,"TURNOVER  by TUPANJANIN,NICK",,,,,,,"TURNOVER  by TUPANJANIN,NICK",1
11:09,"SUB IN by AVANT,CHRISTOPHER",,,,,,,"SUB IN by AVANT,CHRISTOPHER",1
11:09,"SUB IN by GORDON,JIM",,,,,,,"SUB IN by GORDON,JIM",1
11:09,"SUB IN by OSBORNE,SPENCE",,,,,,,"SUB IN by OSBORNE,SPENCE",1
11:09,"SUB OUT by DAGUE,AUSTIN",,,,,,,"SUB OUT by DAGUE,AUSTIN",1
11:09,"SUB OUT by TERRY,JONATHAN",,,,,,,"SUB OUT by TERRY,JONATHAN",1
11:09,"SUB OUT by TUPANJANIN,NICK",,,,,,,"SUB OUT by TUPANJANIN,NICK",1
10:34,,10,,16 (+6),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 10-16 (+6),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
10:25,"SUB IN by BAITEY,GEBEREAL",,,,,,,"SUB IN by BAITEY,GEBEREAL",1
10:25,"SUB OUT by OSBORNE,SPENCE",,,,,,,"SUB OUT by OSBORNE,SPENCE",1
10:18,"GOOD 3PTR by RAPP,WHIT",13,,16 (+3),,EUM 13-16 (+3),,"GOOD 3PTR by RAPP,WHIT",1
10:08,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
10:07,"FOUL  by BAITEY,GEBEREAL",,,,,,,"FOUL  by BAITEY,GEBEREAL",1
10:07,,13,,17 (+4),"GOOD FT by DENEKA,HARRISON",16BSC-M 13-17 (+4),,"GOOD FT by DENEKA,HARRISON",1
10:07,,13,,18 (+5),"GOOD FT by DENEKA,HARRISON",16BSC-M 13-18 (+5),,"GOOD FT by DENEKA,HARRISON",1
09:55,"MISS 3PTR by GORDON,JIM",,,,,,,"MISS 3PTR by GORDON,JIM",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
09:42,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
09:41,"STEAL  by BAITEY,GEBEREAL",,,,,,,"STEAL  by BAITEY,GEBEREAL",1
09:37,"GOOD LAYUP by BAITEY,GEBEREAL(in the paint)",15,,18 (+3),,EUM 15-18 (+3),,"GOOD LAYUP by BAITEY,GEBEREAL(in the paint)",1
09:19,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:52,"MISS JUMPER by AVANT,CHRISTOPHER",,,,,,,"MISS JUMPER by AVANT,CHRISTOPHER",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
08:42,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by RAPP,WHIT",,,,,,,"REBOUND DEF by RAPP,WHIT",1
08:33,"TURNOVER  by BAITEY,GEBEREAL",,,,,,,"TURNOVER  by BAITEY,GEBEREAL",1
08:33,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",1
08:33,"SUB OUT by BAITEY,GEBEREAL",,,,,,,"SUB OUT by BAITEY,GEBEREAL",1
08:33,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
08:33,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
08:22,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
08:22,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
08:09,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by RAPP,WHIT",,,,,,,"REBOUND DEF by RAPP,WHIT",1
08:00,"GOOD LAYUP by RAPP,WHIT(in the paint)",17,,18 (+1),,EUM 17-18 (+1),,"GOOD LAYUP by RAPP,WHIT(in the paint)",1
07:40,,17,,21 (+4),"GOOD 3PTR by YANCEY,RICH",16BSC-M 17-21 (+4),,"GOOD 3PTR by YANCEY,RICH",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
07:30,"GOOD LAYUP by AVANT,DONALD(in the paint)",19,,21 (+2),,EUM 19-21 (+2),,"GOOD LAYUP by AVANT,DONALD(in the paint)",1
06:59,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1
06:59,"BLOCK  by AVANT,DONALD",,,,,,,"BLOCK  by AVANT,DONALD",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:59,"SUB IN by DAGUE,AUSTIN",,,,,,,"SUB IN by DAGUE,AUSTIN",1
06:59,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",1
06:58,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:53,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
06:53,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
06:53,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
06:53,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
06:53,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
06:53,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
06:43,"MISS 3PTR by GIGAX,ADAM",,,,,,,"MISS 3PTR by GIGAX,ADAM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:39,,,,,"FOUL  by HARDIMAN,BEN",,,"FOUL  by HARDIMAN,BEN",1
06:26,"MISS 3PTR by DAGUE,AUSTIN",,,,,,,"MISS 3PTR by DAGUE,AUSTIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:23,"FOUL  by GIGAX,ADAM",,,,,,,"FOUL  by GIGAX,ADAM",1
06:23,"SUB IN by TERRY,JONATHAN",,,,,,,"SUB IN by TERRY,JONATHAN",1
06:23,"SUB OUT by GIGAX,ADAM",,,,,,,"SUB OUT by GIGAX,ADAM",1
05:57,,19,,24 (+5),"GOOD 3PTR by BAK,CALVIN",16BSC-M 19-24 (+5),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by GRAHAM,CHRIS",,,"ASSIST  by GRAHAM,CHRIS",1
05:37,"MISS JUMPER by DAGUE,AUSTIN",,,,,,,"MISS JUMPER by DAGUE,AUSTIN",1
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",1
05:28,,19,,26 (+7),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 19-26 (+7),,"GOOD LAYUP by THOM,IAN(in the paint)",1
05:22,"FOUL  by DAGUE,AUSTIN",,,,,,,"FOUL  by DAGUE,AUSTIN",1
05:22,"TURNOVER  by DAGUE,AUSTIN",,,,,,,"TURNOVER  by DAGUE,AUSTIN",1
05:22,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",1
05:22,"SUB OUT by DAGUE,AUSTIN",,,,,,,"SUB OUT by DAGUE,AUSTIN",1
05:22,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
05:22,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
05:05,"FOUL  by GORDON,JIM",,,,,,,"FOUL  by GORDON,JIM",1
04:56,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
04:56,"BLOCK  by AVANT,CHRISTOPHER",,,,,,,"BLOCK  by AVANT,CHRISTOPHER",1
--,"REBOUND DEF by GORDON,JIM",,,,,,,"REBOUND DEF by GORDON,JIM",1
04:49,"TURNOVER  by RAPP,WHIT",,,,,,,"TURNOVER  by RAPP,WHIT",1
04:49,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
04:49,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
04:49,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
04:49,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
04:38,"FOUL  by AVANT,DONALD",,,,,,,"FOUL  by AVANT,DONALD",1
04:38,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:38,,19,,27 (+8),"GOOD FT by MCLEAN,JAMES",16BSC-M 19-27 (+8),,"GOOD FT by MCLEAN,JAMES",1
04:38,"SUB IN by BOMMARITO,BEAU",,,,,,,"SUB IN by BOMMARITO,BEAU",1
04:38,"SUB OUT by AVANT,DONALD",,,,,,,"SUB OUT by AVANT,DONALD",1
04:31,,,,,"FOUL  by GRAHAM,CHRIS",,,"FOUL  by GRAHAM,CHRIS",1
04:31,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
04:31,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
04:30,"MISS 3PTR by GORDON,JIM",,,,,,,"MISS 3PTR by GORDON,JIM",1
--,"REBOUND OFF by BOMMARITO,BEAU",,,,,,,"REBOUND OFF by BOMMARITO,BEAU",1
04:22,"GOOD 3PTR by TERRY,JONATHAN",22,,27 (+5),,EUM 22-27 (+5),,"GOOD 3PTR by TERRY,JONATHAN",1
--,"ASSIST  by RAPP,WHIT",,,,,,,"ASSIST  by RAPP,WHIT",1
04:02,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
04:01,"STEAL  by TERRY,JONATHAN",,,,,,,"STEAL  by TERRY,JONATHAN",1
03:55,"MISS 3PTR by TERRY,JONATHAN",,,,,,,"MISS 3PTR by TERRY,JONATHAN",1
--,"REBOUND OFF by AVANT,CHRISTOPHER",,,,,,,"REBOUND OFF by AVANT,CHRISTOPHER",1
03:50,"GOOD LAYUP by TERRY,JONATHAN(in the paint)",24,,27 (+3),,EUM 24-27 (+3),,"GOOD LAYUP by TERRY,JONATHAN(in the paint)",1
--,"ASSIST  by AVANT,CHRISTOPHER",,,,,,,"ASSIST  by AVANT,CHRISTOPHER",1
03:33,"FOUL  by RAPP,WHIT",,,,,,,"FOUL  by RAPP,WHIT",1
03:33,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:33,,24,,28 (+4),"GOOD FT by RUDAK,MATTY",16BSC-M 24-28 (+4),,"GOOD FT by RUDAK,MATTY",1
03:33,,24,,29 (+5),"GOOD FT by RUDAK,MATTY",16BSC-M 24-29 (+5),,"GOOD FT by RUDAK,MATTY",1
03:33,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
03:33,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
03:28,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
02:59,"MISS JUMPER by AVANT,CHRISTOPHER",,,,,,,"MISS JUMPER by AVANT,CHRISTOPHER",1
--,"REBOUND OFF by GORDON,JIM",,,,,,,"REBOUND OFF by GORDON,JIM",1
02:59,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
02:59,"GOOD FT by GORDON,JIM",25,,29 (+4),,EUM 25-29 (+4),,"GOOD FT by GORDON,JIM",1
02:59,"GOOD FT by GORDON,JIM",26,,29 (+3),,EUM 26-29 (+3),,"GOOD FT by GORDON,JIM",1
02:28,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:14,"GOOD 3PTR by TERRY,JONATHAN",29,,29,,EUM 29-29 (0),,"GOOD 3PTR by TERRY,JONATHAN",1
--,"ASSIST  by GORDON,JIM",,,,,,,"ASSIST  by GORDON,JIM",1
01:47,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
01:47,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
01:33,"MISS JUMPER by AVANT,CHRISTOPHER",,,,,,,"MISS JUMPER by AVANT,CHRISTOPHER",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
01:19,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
01:19,"STEAL  by TERRY,JONATHAN",,,,,,,"STEAL  by TERRY,JONATHAN",1
01:01,"GOOD JUMPER by GORDON,JIM",31 (+2),,29,,EUM 31-29 (-2),,"GOOD JUMPER by GORDON,JIM",1
00:43,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by RAPP,WHIT",,,,,,,"REBOUND DEF by RAPP,WHIT",1
00:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:18,"MISS 3PTR by TERRY,JONATHAN",,,,,,,"MISS 3PTR by TERRY,JONATHAN",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
00:06,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by RAPP,WHIT",,,,,,,"REBOUND DEF by RAPP,WHIT",1
00:00,"TURNOVER  by RAPP,WHIT",,,,,,,"TURNOVER  by RAPP,WHIT",1
00:00,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
19:38,"FOUL  by AVANT,CHRISTOPHER",,,,,,,"FOUL  by AVANT,CHRISTOPHER",2
19:38,,31 (+1),,30,"GOOD FT by RUDAK,MATTY",16BSC-M 31-30 (-1),,"GOOD FT by RUDAK,MATTY",2
19:38,,31,,31,"GOOD FT by RUDAK,MATTY",16BSC-M 31-31 (0),,"GOOD FT by RUDAK,MATTY",2
19:30,"MISS 3PTR by TERRY,JONATHAN",,,,,,,"MISS 3PTR by TERRY,JONATHAN",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
19:03,,,,,"MISS 3PTR by RUDAK,MATTY",,,"MISS 3PTR by RUDAK,MATTY",2
--,"REBOUND DEF by RAPP,WHIT",,,,,,,"REBOUND DEF by RAPP,WHIT",2
18:47,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
18:47,"GOOD FT by AVANT,CHRISTOPHER",32 (+1),,31,,EUM 32-31 (-1),,"GOOD FT by AVANT,CHRISTOPHER",2
18:47,"MISS FT by AVANT,CHRISTOPHER",,,,,,,"MISS FT by AVANT,CHRISTOPHER",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
18:22,,32,,33 (+1),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 32-33 (+1),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
18:03,"GOOD LAYUP by AVANT,CHRISTOPHER(in the paint)",34 (+1),,33,,EUM 34-33 (-1),,"GOOD LAYUP by AVANT,CHRISTOPHER(in the paint)",2
18:03,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
18:03,"GOOD FT by AVANT,CHRISTOPHER",35 (+2),,33,,EUM 35-33 (-2),,"GOOD FT by AVANT,CHRISTOPHER",2
17:48,,35,,35,"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 35-35 (0),,"GOOD LAYUP by THOM,IAN(in the paint)",2
17:42,"GOOD JUMPER by GORDON,JIM",37 (+2),,35,,EUM 37-35 (-2),,"GOOD JUMPER by GORDON,JIM",2
17:30,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
17:16,"FOUL  by AVANT,CHRISTOPHER",,,,,,,"FOUL  by AVANT,CHRISTOPHER",2
17:16,"TURNOVER  by AVANT,CHRISTOPHER",,,,,,,"TURNOVER  by AVANT,CHRISTOPHER",2
17:06,"SUB IN by AVANT,DONALD",,,,,,,"SUB IN by AVANT,DONALD",2
17:06,"SUB OUT by AVANT,CHRISTOPHER",,,,,,,"SUB OUT by AVANT,CHRISTOPHER",2
