Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
15:14,,10,,11 (+1),"GOOD 3PTR by PERKINS,ALEX",16BSC-M 10-11 (+1),,"GOOD 3PTR by PERKINS,ALEX",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
14:53,"GOOD 3PTR by ASHLEY,ANDRE",13 (+2),,11,,HCM 13-11 (-2),,"GOOD 3PTR by ASHLEY,ANDRE",1
--,"ASSIST  by SCHMITT,LUCAS",,,,,,,"ASSIST  by SCHMITT,LUCAS",1
14:38,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",1
14:24,"MISS 3PTR by FRANKLIN,KK",,,,,,,"MISS 3PTR by FRANKLIN,KK",1
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",1
14:13,,,,,"MISS LAYUP by WALDRUM,AIDAN",,,"MISS LAYUP by WALDRUM,AIDAN",1
--,"REBOUND DEF by HOBSON,CHARVEZ",,,,,,,"REBOUND DEF by HOBSON,CHARVEZ",1
13:43,"GOOD JUMPER by MCLEAN,BRANDON(in the paint)",15 (+4),,11,,HCM 15-11 (-4),,"GOOD JUMPER by MCLEAN,BRANDON(in the paint)",1
13:16,,,,,"TURNOVER  by PERKINS,ALEX",,,"TURNOVER  by PERKINS,ALEX",1
13:16,"STEAL  by HOBSON,CHARVEZ",,,,,,,"STEAL  by HOBSON,CHARVEZ",1
13:13,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
13:13,"MISS FT by HOBSON,CHARVEZ",,,,,,,"MISS FT by HOBSON,CHARVEZ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:13,"MISS FT by HOBSON,CHARVEZ",,,,,,,"MISS FT by HOBSON,CHARVEZ",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:13,"SUB IN by LIVINGSTON,TREY",,,,,,,"SUB IN by LIVINGSTON,TREY",1
13:13,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",1
13:13,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
13:13,"SUB IN by HOBSON,CHARVEZ",,,,,,,"SUB IN by HOBSON,CHARVEZ",1
13:13,"SUB OUT by MCLEAN,BRANDON",,,,,,,"SUB OUT by MCLEAN,BRANDON",1
13:13,"SUB OUT by POPOVICH,WYATT",,,,,,,"SUB OUT by POPOVICH,WYATT",1
13:13,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
13:13,"SUB OUT by ROBINSON,JAHAL",,,,,,,"SUB OUT by ROBINSON,JAHAL",1
13:07,,15 (+1),,14,"GOOD 3PTR by BAK,CALVIN",16BSC-M 15-14 (-1),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by WALDRUM,AIDAN",,,"ASSIST  by WALDRUM,AIDAN",1
12:37,"TURNOVER  by LIVINGSTON,TREY",,,,,,,"TURNOVER  by LIVINGSTON,TREY",1
12:37,"SUB IN by ROBINSON,JAHAL",,,,,,,"SUB IN by ROBINSON,JAHAL",1
12:37,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",1
12:37,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
12:37,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
12:29,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by CHADWICK,SCOTTY",,,,,,,"REBOUND DEF by CHADWICK,SCOTTY",1
12:09,"MISS JUMPER by CHADWICK,SCOTTY",,,,,,,"MISS JUMPER by CHADWICK,SCOTTY",1
12:09,,,,,"BLOCK  by WALDRUM,AIDAN",,,"BLOCK  by WALDRUM,AIDAN",1
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",1
11:54,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
11:54,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
11:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:54,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
11:54,"SUB OUT by FRANKLIN,KK",,,,,,,"SUB OUT by FRANKLIN,KK",1
11:54,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
11:54,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
11:54,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
11:54,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
11:54,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
11:54,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
11:39,"MISS 3PTR by ASHLEY,ANDRE",,,,,,,"MISS 3PTR by ASHLEY,ANDRE",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
11:32,"FOUL  by LIVINGSTON,TREY",,,,,,,"FOUL  by LIVINGSTON,TREY",1
11:32,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
11:32,"SUB OUT by HOBSON,CHARVEZ",,,,,,,"SUB OUT by HOBSON,CHARVEZ",1
11:17,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND DEF by ROBINSON,JAHAL",,,,,,,"REBOUND DEF by ROBINSON,JAHAL",1
11:09,"GOOD JUMPER by ROBINSON,JAHAL",17 (+3),,14,,HCM 17-14 (-3),,"GOOD JUMPER by ROBINSON,JAHAL",1
10:43,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
10:37,,17,,17,"GOOD 3PTR by BAK,CALVIN",16BSC-M 17-17 (0),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
10:11,"TURNOVER  by LIVINGSTON,TREY",,,,,,,"TURNOVER  by LIVINGSTON,TREY",1
10:11,"SUB IN by MCLEAN,BRANDON",,,,,,,"SUB IN by MCLEAN,BRANDON",1
10:11,"SUB IN by FRANKLIN,KK",,,,,,,"SUB IN by FRANKLIN,KK",1
10:11,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",1
10:11,"SUB OUT by CHADWICK,SCOTTY",,,,,,,"SUB OUT by CHADWICK,SCOTTY",1
09:58,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",1
09:39,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
09:34,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",1
09:34,,17,,18 (+1),"GOOD FT by DENEKA,HARRISON",16BSC-M 17-18 (+1),,"GOOD FT by DENEKA,HARRISON",1
09:34,,17,,19 (+2),"GOOD FT by DENEKA,HARRISON",16BSC-M 17-19 (+2),,"GOOD FT by DENEKA,HARRISON",1
09:08,"GOOD 3PTR by POPOVICH,WYATT",20 (+1),,19,,HCM 20-19 (-1),,"GOOD 3PTR by POPOVICH,WYATT",1
--,"ASSIST  by ROBINSON,JAHAL",,,,,,,"ASSIST  by ROBINSON,JAHAL",1
08:49,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",1
08:32,"MISS 3PTR by FRANKLIN,KK",,,,,,,"MISS 3PTR by FRANKLIN,KK",1
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",1
08:24,,20,,22 (+2),"GOOD 3PTR by THOM,IAN",16BSC-M 20-22 (+2),,"GOOD 3PTR by THOM,IAN",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
08:12,"GOOD 3PTR by ASHLEY,ANDRE",23 (+1),,22,,HCM 23-22 (-1),,"GOOD 3PTR by ASHLEY,ANDRE",1
--,"ASSIST  by POPOVICH,WYATT",,,,,,,"ASSIST  by POPOVICH,WYATT",1
07:51,,23,,25 (+2),"GOOD 3PTR by MCLEAN,JAMES",16BSC-M 23-25 (+2),,"GOOD 3PTR by MCLEAN,JAMES",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
07:43,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:43,"SUB IN by LIVINGSTON,TREY",,,,,,,"SUB IN by LIVINGSTON,TREY",1
07:43,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
07:39,"MISS 3PTR by POPOVICH,WYATT",,,,,,,"MISS 3PTR by POPOVICH,WYATT",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
07:10,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:06,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
07:06,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
07:06,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
07:06,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
07:06,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
07:06,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
07:06,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
07:06,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
07:06,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
07:06,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
06:46,"TURNOVER  by LIVINGSTON,TREY",,,,,,,"TURNOVER  by LIVINGSTON,TREY",1
06:46,"SUB IN by HOBSON,CHARVEZ",,,,,,,"SUB IN by HOBSON,CHARVEZ",1
06:46,"SUB OUT by FRANKLIN,KK",,,,,,,"SUB OUT by FRANKLIN,KK",1
06:33,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
06:33,"BLOCK  by MCLEAN,BRANDON",,,,,,,"BLOCK  by MCLEAN,BRANDON",1
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",1
06:25,"GOOD 3PTR by POPOVICH,WYATT",26 (+1),,25,,HCM 26-25 (-1),,"GOOD 3PTR by POPOVICH,WYATT",1
--,"ASSIST  by HOBSON,CHARVEZ",,,,,,,"ASSIST  by HOBSON,CHARVEZ",1
06:04,,,,,"TURNOVER  by HARDIMAN,BEN",,,"TURNOVER  by HARDIMAN,BEN",1
06:03,"STEAL  by MCLEAN,BRANDON",,,,,,,"STEAL  by MCLEAN,BRANDON",1
05:59,"TURNOVER  by HOBSON,CHARVEZ",,,,,,,"TURNOVER  by HOBSON,CHARVEZ",1
05:59,"SUB IN by JOHNSON,CHARLIE",,,,,,,"SUB IN by JOHNSON,CHARLIE",1
05:59,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",1
05:59,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
05:59,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
05:59,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
05:59,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
05:43,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",1
05:43,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
05:43,"SUB OUT by ROBINSON,JAHAL",,,,,,,"SUB OUT by ROBINSON,JAHAL",1
05:17,"GOOD JUMPER by HOBSON,CHARVEZ",28 (+3),,25,,HCM 28-25 (-3),,"GOOD JUMPER by HOBSON,CHARVEZ",1
--,"ASSIST  by POPOVICH,WYATT",,,,,,,"ASSIST  by POPOVICH,WYATT",1
04:55,,,,,"MISS 3PTR by HARDIMAN,BEN",,,"MISS 3PTR by HARDIMAN,BEN",1
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",1
04:29,"GOOD JUMPER by MCLEAN,BRANDON",30 (+5),,25,,HCM 30-25 (-5),,"GOOD JUMPER by MCLEAN,BRANDON",1
04:20,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
04:20,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",1
04:20,"SUB IN by ROBINSON,JAHAL",,,,,,,"SUB IN by ROBINSON,JAHAL",1
04:20,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",1
04:20,"SUB OUT by POPOVICH,WYATT",,,,,,,"SUB OUT by POPOVICH,WYATT",1
04:20,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
04:20,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
04:20,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
04:20,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
04:09,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",1
04:06,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
03:59,"TURNOVER  by ROBINSON,JAHAL",,,,,,,"TURNOVER  by ROBINSON,JAHAL",1
03:58,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",1
03:55,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
03:53,"STEAL  by MCLEAN,BRANDON",,,,,,,"STEAL  by MCLEAN,BRANDON",1
03:53,"TURNOVER  by MCLEAN,BRANDON",,,,,,,"TURNOVER  by MCLEAN,BRANDON",1
03:46,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
03:45,"STEAL  by HOBSON,CHARVEZ",,,,,,,"STEAL  by HOBSON,CHARVEZ",1
03:40,"MISS JUMPER by HOBSON,CHARVEZ",,,,,,,"MISS JUMPER by HOBSON,CHARVEZ",1
--,"REBOUND OFF by JOHNSON,CHARLIE",,,,,,,"REBOUND OFF by JOHNSON,CHARLIE",1
03:38,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",32 (+7),,25,,HCM 32-25 (-7),,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",1
03:20,,32 (+4),,28,"GOOD 3PTR by MCLEAN,JAMES",16BSC-M 32-28 (-4),,"GOOD 3PTR by MCLEAN,JAMES",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
03:03,"MISS LAYUP by JOHNSON,CHARLIE",,,,,,,"MISS LAYUP by JOHNSON,CHARLIE",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
02:42,"FOUL  by JOHNSON,CHARLIE",,,,,,,"FOUL  by JOHNSON,CHARLIE",1
02:42,,32 (+3),,29,"GOOD FT by DENEKA,HARRISON",16BSC-M 32-29 (-3),,"GOOD FT by DENEKA,HARRISON",1
02:42,,32 (+2),,30,"GOOD FT by DENEKA,HARRISON",16BSC-M 32-30 (-2),,"GOOD FT by DENEKA,HARRISON",1
02:42,"SUB IN by FRANKLIN,KK",,,,,,,"SUB IN by FRANKLIN,KK",1
02:42,"SUB OUT by CHADWICK,SCOTTY",,,,,,,"SUB OUT by CHADWICK,SCOTTY",1
02:15,"GOOD 3PTR by ROBINSON,JAHAL",35 (+5),,30,,HCM 35-30 (-5),,"GOOD 3PTR by ROBINSON,JAHAL",1
--,"ASSIST  by FRANKLIN,KK",,,,,,,"ASSIST  by FRANKLIN,KK",1
01:55,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",1
--,"REBOUND DEF by FRANKLIN,KK",,,,,,,"REBOUND DEF by FRANKLIN,KK",1
01:36,"MISS JUMPER by MCLEAN,BRANDON",,,,,,,"MISS JUMPER by MCLEAN,BRANDON",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
01:27,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:26,"FOUL  by JOHNSON,CHARLIE",,,,,,,"FOUL  by JOHNSON,CHARLIE",1
01:26,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",1
01:26,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
01:26,"SUB OUT by JOHNSON,CHARLIE",,,,,,,"SUB OUT by JOHNSON,CHARLIE",1
01:26,"SUB OUT by HOBSON,CHARVEZ",,,,,,,"SUB OUT by HOBSON,CHARVEZ",1
01:26,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
01:26,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
01:03,,,,,"MISS JUMPER by RUDAK,MATTY",,,"MISS JUMPER by RUDAK,MATTY",1
--,"REBOUND DEF by CHADWICK,SCOTTY",,,,,,,"REBOUND DEF by CHADWICK,SCOTTY",1
00:40,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
00:40,,,,,"FOUL TECH by RUDAK,MATTY",,,"FOUL TECH by RUDAK,MATTY",1
00:40,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
00:40,"GOOD FT by ROBINSON,JAHAL",36 (+6),,30,,HCM 36-30 (-6),,"GOOD FT by ROBINSON,JAHAL",1
00:40,"GOOD FT by ROBINSON,JAHAL",37 (+7),,30,,HCM 37-30 (-7),,"GOOD FT by ROBINSON,JAHAL",1
00:40,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
00:40,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
00:37,"GOOD JUMPER by CHADWICK,SCOTTY(in the paint)",39 (+9),,30,,HCM 39-30 (-9),,"GOOD JUMPER by CHADWICK,SCOTTY(in the paint)",1
--,"ASSIST  by ROBINSON,JAHAL",,,,,,,"ASSIST  by ROBINSON,JAHAL",1
00:07,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by CHADWICK,SCOTTY",,,,,,,"REBOUND DEF by CHADWICK,SCOTTY",1
00:03,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
00:00,"MISS 3PTR by ROBINSON,JAHAL",,,,,,,"MISS 3PTR by ROBINSON,JAHAL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:40,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
19:35,"TURNOVER  by POPOVICH,WYATT",,,,,,,"TURNOVER  by POPOVICH,WYATT",2
19:11,,39 (+6),,33,"GOOD 3PTR by LEWIS,EVAN",16BSC-M 39-33 (-6),,"GOOD 3PTR by LEWIS,EVAN",2
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",2
18:45,"MISS 3PTR by ASHLEY,ANDRE",,,,,,,"MISS 3PTR by ASHLEY,ANDRE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:42,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
18:42,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
18:14,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",2
18:10,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",2
18:07,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:45,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",2
17:45,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",2
17:45,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",2
17:42,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",2
17:42,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",2
17:32,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:32,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,2
17:32,"GOOD FT by ROBINSON,JAHAL",40 (+7),,33,,HCM 40-33 (-7),,"GOOD FT by ROBINSON,JAHAL",2
17:32,"GOOD FT by ROBINSON,JAHAL",41 (+8),,33,,HCM 41-33 (-8),,"GOOD FT by ROBINSON,JAHAL",2
17:20,,41 (+6),,35,"GOOD JUMPER by THOM,IAN(in the paint)",16BSC-M 41-35 (-6),,"GOOD JUMPER by THOM,IAN(in the paint)",2
17:10,"TURNOVER  by POPOVICH,WYATT",,,,,,,"TURNOVER  by POPOVICH,WYATT",2
