Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,BEREA,Game Score,Team Indicator,Play,Period
11:43,,,,,"MISS 3PTR by BUTTS,STEPHEN",,,"MISS 3PTR by BUTTS,STEPHEN",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
11:29,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND DEF by MILLER,TERIQUE",,,"REBOUND DEF by MILLER,TERIQUE",1
11:23,,,,,"MISS LAYUP by MILLER,TERIQUE",,,"MISS LAYUP by MILLER,TERIQUE",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
11:14,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
11:14,,,,,"BLOCK  by MILLER,TERIQUE",,,"BLOCK  by MILLER,TERIQUE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:14,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
11:14,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
11:14,,,,,"SUB IN by MYRKS,ANTHONY",,,"SUB IN by MYRKS,ANTHONY",1
11:14,,,,,"SUB OUT by BUTTS,STEPHEN",,,"SUB OUT by BUTTS,STEPHEN",1
11:03,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",1
10:51,,16 (+1),,15,"GOOD LAYUP by PARKER,RICHARD(in the paint)",BEREA 16-15 (+1),,"GOOD LAYUP by PARKER,RICHARD(in the paint)",1
10:31,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
10:24,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",18 (+3),,15,,BIRMINGH 18-15 (+3),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
10:19,,,,,"FOUL  by MYRKS,ANTHONY",,,"FOUL  by MYRKS,ANTHONY",1
10:19,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
10:19,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
10:19,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",1
10:19,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",1
10:19,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",1
10:19,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",1
10:03,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
10:03,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",1
--,,,,,"REBOUND DEF by MILLER,TERIQUE",,,"REBOUND DEF by MILLER,TERIQUE",1
09:57,,,,,"TURNOVER  by MILLER,TERIQUE",,,"TURNOVER  by MILLER,TERIQUE",1
09:41,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",1
09:31,,,,,"MISS JUMPER by MILLER,TERIQUE",,,"MISS JUMPER by MILLER,TERIQUE",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
09:18,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
09:18,,,,,"SUB IN by MCCOLLUM,NICK",,,"SUB IN by MCCOLLUM,NICK",1
09:18,,,,,"SUB OUT by MILLER,TERIQUE",,,"SUB OUT by MILLER,TERIQUE",1
09:04,,18,,18,"GOOD 3PTR by PARKER,RICHARD",BEREA 18-18 (0),,"GOOD 3PTR by PARKER,RICHARD",1
--,,,,,"ASSIST  by WISE,COREY",,,"ASSIST  by WISE,COREY",1
08:51,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by MCCOLLUM,NICK",,,"REBOUND DEF by MCCOLLUM,NICK",1
08:40,,18,,20 (+2),"GOOD DUNK by BIZZLE-BROWN,DYONTA(in the paint)",BEREA 18-20 (-2),,"GOOD DUNK by BIZZLE-BROWN,DYONTA(in the paint)",1
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",1
08:29,,,,,"FOUL  by PARKER,RICHARD",,,"FOUL  by PARKER,RICHARD",1
08:29,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
08:29,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
08:18,"GOOD 3PTR by RUDAK,MATTY",21 (+1),,20,,BIRMINGH 21-20 (+1),,"GOOD 3PTR by RUDAK,MATTY",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
08:00,,21,,23 (+2),"GOOD 3PTR by WISE,COREY",BEREA 21-23 (-2),,"GOOD 3PTR by WISE,COREY",1
--,,,,,"ASSIST  by PARKER,RICHARD",,,"ASSIST  by PARKER,RICHARD",1
07:41,"GOOD JUMPER by THOM,IAN(in the paint)",23,,23,,BIRMINGH 23-23 (0),,"GOOD JUMPER by THOM,IAN(in the paint)",1
07:29,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
07:29,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
07:29,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
07:29,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
07:29,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
07:29,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
07:29,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
07:29,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",1
07:29,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",1
07:25,,,,,"MISS 3PTR by PARKER,RICHARD",,,"MISS 3PTR by PARKER,RICHARD",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
07:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
07:00,,,,,"MISS 3PTR by MCCOLLUM,NICK",,,"MISS 3PTR by MCCOLLUM,NICK",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
06:42,"MISS JUMPER by GRAHAM,CHRIS",,,,,,,"MISS JUMPER by GRAHAM,CHRIS",1
06:42,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",1
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",1
06:30,,23,,26 (+3),"GOOD 3PTR by MYRKS,ANTHONY",BEREA 23-26 (-3),,"GOOD 3PTR by MYRKS,ANTHONY",1
--,,,,,"ASSIST  by MCCOLLUM,NICK",,,"ASSIST  by MCCOLLUM,NICK",1
06:19,"TURNOVER  by YANCEY,RICH",,,,,,,"TURNOVER  by YANCEY,RICH",1
06:19,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
06:19,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
06:03,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
06:03,,,,,"MISS FT by JACKSON,JAIR",,,"MISS FT by JACKSON,JAIR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:03,,,,,"MISS FT by JACKSON,JAIR",,,"MISS FT by JACKSON,JAIR",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
06:03,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
06:03,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
06:03,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",1
06:03,,,,,"SUB OUT by MCCOLLUM,NICK",,,"SUB OUT by MCCOLLUM,NICK",1
05:36,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
05:31,"MISS JUMPER by GRAHAM,CHRIS",,,,,,,"MISS JUMPER by GRAHAM,CHRIS",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
05:26,"GOOD 3PTR by BAK,CALVIN",26,,26,,BIRMINGH 26-26 (0),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",1
05:03,,,,,"TURNOVER  by BIZZLE-BROWN,DYONTA",,,"TURNOVER  by BIZZLE-BROWN,DYONTA",1
05:01,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",1
04:58,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",1
04:58,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",1
04:50,,,,,"FOUL  by JACKSON,JAIR",,,"FOUL  by JACKSON,JAIR",1
04:50,"GOOD FT by GRAHAM,CHRIS",27 (+1),,26,,BIRMINGH 27-26 (+1),,"GOOD FT by GRAHAM,CHRIS",1
04:50,"GOOD FT by GRAHAM,CHRIS",28 (+2),,26,,BIRMINGH 28-26 (+2),,"GOOD FT by GRAHAM,CHRIS",1
04:30,,28,,28,"GOOD JUMPER by PARKER,RICHARD(in the paint)",BEREA 28-28 (0),,"GOOD JUMPER by PARKER,RICHARD(in the paint)",1
04:12,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",30 (+2),,28,,BIRMINGH 30-28 (+2),,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",1
04:00,,,,,"MISS 3PTR by MYRKS,ANTHONY",,,"MISS 3PTR by MYRKS,ANTHONY",1
--,,,,,"REBOUND OFF by PARKER,RICHARD",,,"REBOUND OFF by PARKER,RICHARD",1
03:55,,,,,"TURNOVER  by PARKER,RICHARD",,,"TURNOVER  by PARKER,RICHARD",1
03:55,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
03:55,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
03:55,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
03:55,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
03:55,,,,,"SUB IN by BUTTS,STEPHEN",,,"SUB IN by BUTTS,STEPHEN",1
03:55,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",1
03:39,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
03:39,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",1
03:39,,,,,"SUB OUT by MYRKS,ANTHONY",,,"SUB OUT by MYRKS,ANTHONY",1
03:23,,30,,30,"GOOD LAYUP by HINTON,GABE(in the paint)",BEREA 30-30 (0),,"GOOD LAYUP by HINTON,GABE(in the paint)",1
03:15,"GOOD 3PTR by MCLEAN,JAMES",33 (+3),,30,,BIRMINGH 33-30 (+3),,"GOOD 3PTR by MCLEAN,JAMES",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
03:03,,,,,"TURNOVER  by WISE,COREY",,,"TURNOVER  by WISE,COREY",1
03:03,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
03:03,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
02:45,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
02:40,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by PARKER,RICHARD",,,"REBOUND DEF by PARKER,RICHARD",1
02:34,,,,,"MISS 3PTR by BUTTS,STEPHEN",,,"MISS 3PTR by BUTTS,STEPHEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:33,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
02:30,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
02:30,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
02:30,,,,,"SUB IN by MCCOLLUM,NICK",,,"SUB IN by MCCOLLUM,NICK",1
02:30,,,,,"SUB OUT by BUTTS,STEPHEN",,,"SUB OUT by BUTTS,STEPHEN",1
02:25,,33 (+1),,32,"GOOD JUMPER by PARKER,RICHARD",BEREA 33-32 (+1),,"GOOD JUMPER by PARKER,RICHARD",1
02:11,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",35 (+3),,32,,BIRMINGH 35-32 (+3),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
01:59,,35 (+1),,34,"GOOD LAYUP by WISE,COREY(in the paint)",BEREA 35-34 (+1),,"GOOD LAYUP by WISE,COREY(in the paint)",1
01:59,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
01:59,,,,,"MISS FT by WISE,COREY",,,"MISS FT by WISE,COREY",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
01:42,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
01:31,,35,,36 (+1),"GOOD JUMPER by MILLER,TERIQUE",BEREA 35-36 (-1),,"GOOD JUMPER by MILLER,TERIQUE",1
01:23,,,,,"FOUL  by MCCOLLUM,NICK",,,"FOUL  by MCCOLLUM,NICK",1
01:23,"GOOD FT by MCLEAN,JAMES",36,,36,,BIRMINGH 36-36 (0),,"GOOD FT by MCLEAN,JAMES",1
01:23,"GOOD FT by MCLEAN,JAMES",37 (+1),,36,,BIRMINGH 37-36 (+1),,"GOOD FT by MCLEAN,JAMES",1
01:23,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
01:23,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
01:06,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",1
--,"REBOUND DEF by PERKINS,ALEX",,,,,,,"REBOUND DEF by PERKINS,ALEX",1
00:51,"MISS JUMPER by MCLEAN,JAMES",,,,,,,"MISS JUMPER by MCLEAN,JAMES",1
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",1
00:47,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",1
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",1
00:47,,,,,"FOUL  by HINTON,GABE",,,"FOUL  by HINTON,GABE",1
00:47,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:47,"GOOD FT by RUDAK,MATTY",38 (+2),,36,,BIRMINGH 38-36 (+2),,"GOOD FT by RUDAK,MATTY",1
00:47,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",1
00:47,,,,,"SUB OUT by MCCOLLUM,NICK",,,"SUB OUT by MCCOLLUM,NICK",1
00:24,,38,,39 (+1),"GOOD 3PTR by MILLER,TERIQUE",BEREA 38-39 (-1),,"GOOD 3PTR by MILLER,TERIQUE",1
00:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:13,,,,,"SUB IN by MYRKS,ANTHONY",,,"SUB IN by MYRKS,ANTHONY",1
00:13,,,,,"SUB OUT by PARKER,RICHARD",,,"SUB OUT by PARKER,RICHARD",1
00:04,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
00:04,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
00:03,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",1
00:03,,,,,"MISS 3PTR by MILLER,TERIQUE",,,"MISS 3PTR by MILLER,TERIQUE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:39,"GOOD JUMPER by RUDAK,MATTY(in the paint)",40 (+1),,39,,BIRMINGH 40-39 (+1),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",2
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",2
19:21,,,,,"MISS JUMPER by BIZZLE-BROWN,DYONTA",,,"MISS JUMPER by BIZZLE-BROWN,DYONTA",2
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",2
19:11,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
