Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,BEREA,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
19:07,,,,,"FOUL  by HINTON,GABE",,,"FOUL  by HINTON,GABE",2
18:47,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:47,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
18:27,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
18:04,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",2
18:04,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",2
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",2
17:57,,40,,41 (+1),"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",BEREA 40-41 (-1),,"GOOD LAYUP by MYRKS,ANTHONY(fastbreak)(in the paint)",2
17:49,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",2
17:41,,,,,"STEAL  by PARKER,RICHARD",,,"STEAL  by PARKER,RICHARD",2
17:40,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
17:40,,40,,42 (+2),"GOOD FT by PARKER,RICHARD",BEREA 40-42 (-2),,"GOOD FT by PARKER,RICHARD",2
17:40,,40,,43 (+3),"GOOD FT by PARKER,RICHARD",BEREA 40-43 (-3),,"GOOD FT by PARKER,RICHARD",2
17:40,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",2
17:40,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",2
17:37,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",2
17:37,,,,,"FOUL  by JACKSON,JAIR",,,"FOUL  by JACKSON,JAIR",2
17:25,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",2
17:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:55,,,,,"TURNOVER  by MYRKS,ANTHONY",,,"TURNOVER  by MYRKS,ANTHONY",2
16:53,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
16:49,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
16:49,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",2
16:49,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",2
16:49,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",2
16:49,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",2
16:32,,,,,"TURNOVER  by MYRKS,ANTHONY",,,"TURNOVER  by MYRKS,ANTHONY",2
16:31,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",2
16:26,"GOOD LAYUP by MCLEAN,JAMES(fastbreak)(in the paint)",42,,43 (+1),,BIRMINGH 42-43 (-1),,"GOOD LAYUP by MCLEAN,JAMES(fastbreak)(in the paint)",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
16:17,,42,,46 (+4),"GOOD 3PTR by BIZZLE-BROWN,DYONTA",BEREA 42-46 (-4),,"GOOD 3PTR by BIZZLE-BROWN,DYONTA",2
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",2
15:57,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
15:51,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",2
15:47,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",2
15:47,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
15:47,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",2
15:47,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
15:47,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
15:47,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",2
15:47,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",2
15:41,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
15:39,,,,,"STEAL  by WISE,COREY",,,"STEAL  by WISE,COREY",2
15:36,,,,,"MISS LAYUP by WISE,COREY",,,"MISS LAYUP by WISE,COREY",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
15:28,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",2
15:28,,,,,"STEAL  by PARKER,RICHARD",,,"STEAL  by PARKER,RICHARD",2
15:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:07,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
14:50,"TURNOVER  by HARDIMAN,BEN",,,,,,,"TURNOVER  by HARDIMAN,BEN",2
14:50,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",2
14:50,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
14:40,,,,,"MISS 3PTR by MYRKS,ANTHONY",,,"MISS 3PTR by MYRKS,ANTHONY",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
14:28,,,,,"FOUL  by HINTON,GABE",,,"FOUL  by HINTON,GABE",2
14:27,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",2
14:27,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",2
14:17,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",2
14:17,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
14:17,,,,,"SUB IN by BUTTS,STEPHEN",,,"SUB IN by BUTTS,STEPHEN",2
14:17,,,,,"SUB OUT by MYRKS,ANTHONY",,,"SUB OUT by MYRKS,ANTHONY",2
14:10,"GOOD 3PTR by PERKINS,ALEX",45,,46 (+1),,BIRMINGH 45-46 (-1),,"GOOD 3PTR by PERKINS,ALEX",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
13:54,,45,,48 (+3),"GOOD JUMPER by WISE,COREY(in the paint)",BEREA 45-48 (-3),,"GOOD JUMPER by WISE,COREY(in the paint)",2
13:30,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",47,,48 (+1),,BIRMINGH 47-48 (-1),,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",2
13:21,"FOUL  by HARDIMAN,BEN",,,,,,,"FOUL  by HARDIMAN,BEN",2
13:21,,47,,49 (+2),"GOOD FT by WISE,COREY",BEREA 47-49 (-2),,"GOOD FT by WISE,COREY",2
13:21,,,,,"MISS FT by WISE,COREY",,,"MISS FT by WISE,COREY",2
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",2
13:21,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",2
13:21,,,,,"SUB OUT by PARKER,RICHARD",,,"SUB OUT by PARKER,RICHARD",2
13:03,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,"REBOUND OFF by YANCEY,RICH",,,,,,,"REBOUND OFF by YANCEY,RICH",2
13:00,,,,,"FOUL  by WISE,COREY",,,"FOUL  by WISE,COREY",2
12:58,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",2
12:56,,,,,"STEAL  by BUTTS,STEPHEN",,,"STEAL  by BUTTS,STEPHEN",2
12:55,,47,,51 (+4),"GOOD LAYUP by MILLER,TERIQUE(fastbreak)(in the paint)",BEREA 47-51 (-4),,"GOOD LAYUP by MILLER,TERIQUE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by BUTTS,STEPHEN",,,"ASSIST  by BUTTS,STEPHEN",2
12:55,"FOUL  by YANCEY,RICH",,,,,,,"FOUL  by YANCEY,RICH",2
12:55,,47,,52 (+5),"GOOD FT by MILLER,TERIQUE",BEREA 47-52 (-5),,"GOOD FT by MILLER,TERIQUE",2
12:55,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
12:55,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
12:55,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
12:55,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
12:55,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",2
12:55,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",2
12:26,"MISS JUMPER by LEWIS,EVAN",,,,,,,"MISS JUMPER by LEWIS,EVAN",2
12:26,,,,,"BLOCK  by WISE,COREY",,,"BLOCK  by WISE,COREY",2
--,,,,,"REBOUND DEF by BUTTS,STEPHEN",,,"REBOUND DEF by BUTTS,STEPHEN",2
12:06,,,,,"MISS 3PTR by WISE,COREY",,,"MISS 3PTR by WISE,COREY",2
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",2
11:38,"GOOD 3PTR by YANCEY,RICH",50,,52 (+2),,BIRMINGH 50-52 (-2),,"GOOD 3PTR by YANCEY,RICH",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
11:31,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",2
--,,,,,"REBOUND OFF by HINTON,GABE",,,"REBOUND OFF by HINTON,GABE",2
11:25,,50,,54 (+4),"GOOD TIPIN by HINTON,GABE(in the paint)",BEREA 50-54 (-4),,"GOOD TIPIN by HINTON,GABE(in the paint)",2
11:15,"MISS JUMPER by YANCEY,RICH",,,,,,,"MISS JUMPER by YANCEY,RICH",2
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",2
11:10,"GOOD TIPIN by GRAHAM,CHRIS(in the paint)",52,,54 (+2),,BIRMINGH 52-54 (-2),,"GOOD TIPIN by GRAHAM,CHRIS(in the paint)",2
10:45,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
10:45,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
10:45,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
10:45,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",2
10:45,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",2
10:45,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",2
10:45,,,,,"SUB IN by PARKER,RICHARD",,,"SUB IN by PARKER,RICHARD",2
10:45,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",2
10:45,,,,,"SUB IN by MYRKS,ANTHONY",,,"SUB IN by MYRKS,ANTHONY",2
10:45,,,,,"SUB OUT by BUTTS,STEPHEN",,,"SUB OUT by BUTTS,STEPHEN",2
10:45,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",2
10:45,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",2
--,,,,,"REBOUND OFF by JACKSON,JAIR",,,"REBOUND OFF by JACKSON,JAIR",2
10:40,"BLOCK  by YANCEY,RICH",,,,,,,"BLOCK  by YANCEY,RICH",2
10:40,,,,,"MISS 3PTR by PARKER,RICHARD",,,"MISS 3PTR by PARKER,RICHARD",2
10:39,,,,,"TURNOVER  by JACKSON,JAIR",,,"TURNOVER  by JACKSON,JAIR",2
10:26,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND OFF by THOM,IAN",,,,,,,"REBOUND OFF by THOM,IAN",2
10:15,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",2
09:57,,,,,"MISS 3PTR by MYRKS,ANTHONY",,,"MISS 3PTR by MYRKS,ANTHONY",2
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",2
09:44,"TURNOVER  by RUDAK,MATTY",,,,,,,"TURNOVER  by RUDAK,MATTY",2
09:44,,,,,"SUB IN by MCCOLLUM,NICK",,,"SUB IN by MCCOLLUM,NICK",2
09:44,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",2
09:44,,,,,"SUB OUT by MILLER,TERIQUE",,,"SUB OUT by MILLER,TERIQUE",2
09:44,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",2
09:32,,52,,56 (+4),"GOOD JUMPER by WISE,COREY",BEREA 52-56 (-4),,"GOOD JUMPER by WISE,COREY",2
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",2
09:23,,,,,"FOUL  by WISE,COREY",,,"FOUL  by WISE,COREY",2
09:23,"GOOD FT by DENEKA,HARRISON",53,,56 (+3),,BIRMINGH 53-56 (-3),,"GOOD FT by DENEKA,HARRISON",2
09:21,"GOOD FT by DENEKA,HARRISON",54,,56 (+2),,BIRMINGH 54-56 (-2),,"GOOD FT by DENEKA,HARRISON",2
09:10,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",2
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",2
09:08,,,,,"FOUL  by WISE,COREY",,,"FOUL  by WISE,COREY",2
09:08,"GOOD FT by RUDAK,MATTY",55,,56 (+1),,BIRMINGH 55-56 (-1),,"GOOD FT by RUDAK,MATTY",2
09:08,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",2
09:08,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",2
09:08,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",2
08:52,,,,,"TURNOVER  by PARKER,RICHARD",,,"TURNOVER  by PARKER,RICHARD",2
08:42,,,,,"FOUL  by MCCOLLUM,NICK",,,"FOUL  by MCCOLLUM,NICK",2
08:42,"GOOD FT by MCLEAN,JAMES",56,,56,,BIRMINGH 56-56 (0),,"GOOD FT by MCLEAN,JAMES",2
08:42,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",2
08:42,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",2
08:42,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",2
08:42,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",2
08:42,,,,,"SUB OUT by MCCOLLUM,NICK",,,"SUB OUT by MCCOLLUM,NICK",2
08:18,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
08:18,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",2
08:18,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
08:07,,56,,58 (+2),"GOOD JUMPER by PARKER,RICHARD",BEREA 56-58 (-2),,"GOOD JUMPER by PARKER,RICHARD",2
07:52,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",2
07:42,"FOUL  by RUDAK,MATTY",,,,,,,"FOUL  by RUDAK,MATTY",2
07:42,,56,,60 (+4),"GOOD LAYUP by BIZZLE-BROWN,DYONTA(in the paint)",BEREA 56-60 (-4),,"GOOD LAYUP by BIZZLE-BROWN,DYONTA(in the paint)",2
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",2
07:42,,56,,61 (+5),"GOOD FT by BIZZLE-BROWN,DYONTA",BEREA 56-61 (-5),,"GOOD FT by BIZZLE-BROWN,DYONTA",2
07:41,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
07:41,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
07:18,"GOOD 3PTR by BAK,CALVIN",59,,61 (+2),,BIRMINGH 59-61 (-2),,"GOOD 3PTR by BAK,CALVIN",2
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",2
07:14,,,,,"MISS JUMPER by PARKER,RICHARD",,,"MISS JUMPER by PARKER,RICHARD",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
07:04,"GOOD JUMPER by THOM,IAN",61,,61,,BIRMINGH 61-61 (0),,"GOOD JUMPER by THOM,IAN",2
06:57,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
06:37,,61,,63 (+2),"GOOD LAYUP by MYRKS,ANTHONY(in the paint)",BEREA 61-63 (-2),,"GOOD LAYUP by MYRKS,ANTHONY(in the paint)",2
06:37,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",2
06:37,,,,,"MISS FT by MYRKS,ANTHONY",,,"MISS FT by MYRKS,ANTHONY",2
--,,,,,"REBOUND OFF by MILLER,TERIQUE",,,"REBOUND OFF by MILLER,TERIQUE",2
06:37,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
06:37,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",2
06:20,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",2
06:20,,61,,64 (+3),"GOOD FT by JACKSON,JAIR",BEREA 61-64 (-3),,"GOOD FT by JACKSON,JAIR",2
06:20,,61,,65 (+4),"GOOD FT by JACKSON,JAIR",BEREA 61-65 (-4),,"GOOD FT by JACKSON,JAIR",2
06:20,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
06:20,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
06:20,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",2
06:20,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",2
06:04,"MISS JUMPER by GRAHAM,CHRIS",,,,,,,"MISS JUMPER by GRAHAM,CHRIS",2
06:04,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",2
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",2
05:59,,,,,"FOUL  by HINTON,GABE",,,"FOUL  by HINTON,GABE",2
05:59,"MISS FT by DENEKA,HARRISON",,,,,,,"MISS FT by DENEKA,HARRISON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:59,"GOOD FT by DENEKA,HARRISON",62,,65 (+3),,BIRMINGH 62-65 (-3),,"GOOD FT by DENEKA,HARRISON",2
05:59,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
05:59,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
05:59,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",2
05:59,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",2
05:41,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
05:41,,62,,66 (+4),"GOOD FT by MYRKS,ANTHONY",BEREA 62-66 (-4),,"GOOD FT by MYRKS,ANTHONY",2
05:41,,62,,67 (+5),"GOOD FT by MYRKS,ANTHONY",BEREA 62-67 (-5),,"GOOD FT by MYRKS,ANTHONY",2
05:41,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",2
05:41,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",2
05:20,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",2
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",2
05:15,"GOOD JUMPER by RUDAK,MATTY(in the paint)",64,,67 (+3),,BIRMINGH 64-67 (-3),,"GOOD JUMPER by RUDAK,MATTY(in the paint)",2
04:52,,64,,70 (+6),"GOOD 3PTR by BIZZLE-BROWN,DYONTA",BEREA 64-70 (-6),,"GOOD 3PTR by BIZZLE-BROWN,DYONTA",2
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",2
04:35,"GOOD 3PTR by MCLEAN,JAMES",67,,70 (+3),,BIRMINGH 67-70 (-3),,"GOOD 3PTR by MCLEAN,JAMES",2
--,"ASSIST  by RUDAK,MATTY",,,,,,,"ASSIST  by RUDAK,MATTY",2
04:18,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",2
04:18,,,,,"MISS FT by PARKER,RICHARD",,,"MISS FT by PARKER,RICHARD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:18,,67,,71 (+4),"GOOD FT by PARKER,RICHARD",BEREA 67-71 (-4),,"GOOD FT by PARKER,RICHARD",2
04:18,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",2
04:18,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",2
04:18,,,,,"SUB OUT by MILLER,TERIQUE",,,"SUB OUT by MILLER,TERIQUE",2
04:18,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",2
03:58,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
03:58,,,,,"BLOCK  by PARKER,RICHARD",,,"BLOCK  by PARKER,RICHARD",2
--,,,,,"REBOUND DEF by MYRKS,ANTHONY",,,"REBOUND DEF by MYRKS,ANTHONY",2
03:45,,,,,"MISS LAYUP by MYRKS,ANTHONY",,,"MISS LAYUP by MYRKS,ANTHONY",2
--,,,,,"REBOUND OFF by JACKSON,JAIR",,,"REBOUND OFF by JACKSON,JAIR",2
03:38,,67,,73 (+6),"GOOD DUNK by JACKSON,JAIR(in the paint)",BEREA 67-73 (-6),,"GOOD DUNK by JACKSON,JAIR(in the paint)",2
03:26,,,,,"FOUL  by HINTON,GABE",,,"FOUL  by HINTON,GABE",2
03:26,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:26,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by WISE,COREY",,,"REBOUND DEF by WISE,COREY",2
03:26,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",2
03:26,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",2
03:10,,,,,"MISS JUMPER by BIZZLE-BROWN,DYONTA",,,"MISS JUMPER by BIZZLE-BROWN,DYONTA",2
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",2
02:54,"GOOD 3PTR by RUDAK,MATTY",70,,73 (+3),,BIRMINGH 70-73 (-3),,"GOOD 3PTR by RUDAK,MATTY",2
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",2
02:52,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
02:34,,70,,75 (+5),"GOOD JUMPER by WISE,COREY",BEREA 70-75 (-5),,"GOOD JUMPER by WISE,COREY",2
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",2
02:06,"GOOD JUMPER by THOM,IAN(in the paint)",72,,75 (+3),,BIRMINGH 72-75 (-3),,"GOOD JUMPER by THOM,IAN(in the paint)",2
--,"ASSIST  by RUDAK,MATTY",,,,,,,"ASSIST  by RUDAK,MATTY",2
01:30,,,,,"TURNOVER  by WISE,COREY",,,"TURNOVER  by WISE,COREY",2
01:19,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",2
01:19,"GOOD FT by RUDAK,MATTY",73,,75 (+2),,BIRMINGH 73-75 (-2),,"GOOD FT by RUDAK,MATTY",2
01:19,"GOOD FT by RUDAK,MATTY",74,,75 (+1),,BIRMINGH 74-75 (-1),,"GOOD FT by RUDAK,MATTY",2
01:15,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
01:08,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",2
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",2
00:44,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",2
00:44,"GOOD FT by RUDAK,MATTY",75,,75,,BIRMINGH 75-75 (0),,"GOOD FT by RUDAK,MATTY",2
00:44,"GOOD FT by RUDAK,MATTY",76 (+1),,75,,BIRMINGH 76-75 (+1),,"GOOD FT by RUDAK,MATTY",2
00:44,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
00:44,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",2
00:44,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
00:44,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",2
00:44,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",2
00:35,,,,,"MISS LAYUP by PARKER,RICHARD",,,"MISS LAYUP by PARKER,RICHARD",2
00:35,BLOCK  by TEAM,,,,,,,BLOCK  by TEAM,2
