Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by DENBESTEN,COLE",,,,,,,"REBOUND DEF by DENBESTEN,COLE",1
01:11,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
01:04,"FOUL  by DENBESTEN,COLE",,,,,,,"FOUL  by DENBESTEN,COLE",1
01:04,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:04,,28,,29 (+1),"GOOD FT by THOM,IAN",16BSC-M 28-29 (+1),,"GOOD FT by THOM,IAN",1
01:04,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
01:04,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
01:04,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
01:04,"SUB OUT by GREEN,CADE",,,,,,,"SUB OUT by GREEN,CADE",1
01:04,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
01:04,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
01:04,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
01:04,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
00:50,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",1
00:44,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
00:44,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
00:44,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
00:44,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
00:31,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
00:27,"GOOD 3PTR by DENBESTEN,COLE",31 (+2),,29,,BCM 31-29 (-2),,"GOOD 3PTR by DENBESTEN,COLE",1
00:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:00,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
00:00,"STEAL  by MARDER,NICK",,,,,,,"STEAL  by MARDER,NICK",1
19:40,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
19:35,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",2
19:35,"BLOCK  by KORN,LUKAS",,,,,,,"BLOCK  by KORN,LUKAS",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
19:12,"GOOD 3PTR by MCCLOUD,ALTON",34 (+5),,29,,BCM 34-29 (-5),,"GOOD 3PTR by MCCLOUD,ALTON",2
18:53,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",2
18:53,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:53,,34 (+4),,30,"GOOD FT by DENEKA,HARRISON",16BSC-M 34-30 (-4),,"GOOD FT by DENEKA,HARRISON",2
18:29,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",2
--,"REBOUND OFF by JONES,BLAKE",,,,,,,"REBOUND OFF by JONES,BLAKE",2
18:03,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
17:44,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",2
17:43,"STEAL  by CLARK,ETHAN",,,,,,,"STEAL  by CLARK,ETHAN",2
17:39,"MISS LAYUP by KORN,LUKAS",,,,,,,"MISS LAYUP by KORN,LUKAS",2
17:39,,,,,"BLOCK  by LEWIS,EVAN",,,"BLOCK  by LEWIS,EVAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:39,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",2
17:39,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",2
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",2
17:39,"GOOD 3PTR by CLARK,ETHAN",37 (+7),,30,,BCM 37-30 (-7),,"GOOD 3PTR by CLARK,ETHAN",2
17:18,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
17:18,"BLOCK  by KORN,LUKAS",,,,,,,"BLOCK  by KORN,LUKAS",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
17:03,"GOOD LAYUP by JONES,BLAKE(in the paint)",39 (+9),,30,,BCM 39-30 (-9),,"GOOD LAYUP by JONES,BLAKE(in the paint)",2
17:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:36,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",2
16:33,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",2
16:33,,39 (+8),,31,"GOOD FT by LEWIS,EVAN",16BSC-M 39-31 (-8),,"GOOD FT by LEWIS,EVAN",2
16:33,,39 (+7),,32,"GOOD FT by LEWIS,EVAN",16BSC-M 39-32 (-7),,"GOOD FT by LEWIS,EVAN",2
16:33,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
16:33,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",2
16:33,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",2
16:33,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",2
16:27,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
16:27,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
16:24,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",2
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",2
16:22,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",2
16:20,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",2
16:10,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",2
16:10,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",2
16:10,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
16:10,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",2
15:53,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",2
15:51,,39 (+5),,34,"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 39-34 (-5),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
15:35,"GOOD LAYUP by JONES,BLAKE(in the paint)",41 (+7),,34,,BCM 41-34 (-7),,"GOOD LAYUP by JONES,BLAKE(in the paint)",2
15:16,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",2
15:16,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:16,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
15:16,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
14:59,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",2
14:49,,,,,"MISS JUMPER by GRAHAM,CHRIS",,,"MISS JUMPER by GRAHAM,CHRIS",2
14:49,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",2
--,"REBOUND DEF by CLARK,ETHAN",,,,,,,"REBOUND DEF by CLARK,ETHAN",2
14:44,"GOOD LAYUP by DENBESTEN,COLE(fastbreak)(in the paint)",43 (+9),,34,,BCM 43-34 (-9),,"GOOD LAYUP by DENBESTEN,COLE(fastbreak)(in the paint)",2
14:44,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",2
14:44,"GOOD FT by DENBESTEN,COLE",44 (+10),,34,,BCM 44-34 (-10),,"GOOD FT by DENBESTEN,COLE",2
14:44,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
14:44,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
14:20,,,,,"MISS LAYUP by HARDIMAN,BEN",,,"MISS LAYUP by HARDIMAN,BEN",2
--,,,,,"REBOUND OFF by PERKINS,ALEX",,,"REBOUND OFF by PERKINS,ALEX",2
14:17,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",2
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",2
14:13,,44 (+8),,36,"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 44-36 (-8),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
13:53,"MISS 3PTR by CLARK,ETHAN",,,,,,,"MISS 3PTR by CLARK,ETHAN",2
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",2
13:34,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",2
13:34,,44 (+7),,37,"GOOD FT by GRAHAM,CHRIS",16BSC-M 44-37 (-7),,"GOOD FT by GRAHAM,CHRIS",2
13:34,,,,,"MISS FT by GRAHAM,CHRIS",,,"MISS FT by GRAHAM,CHRIS",2
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",2
13:34,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",2
13:34,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",2
13:34,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
13:34,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",2
13:19,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",2
--,"REBOUND OFF by MCCLOUD,ALTON",,,,,,,"REBOUND OFF by MCCLOUD,ALTON",2
13:03,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",2
--,,,,,"REBOUND DEF by PERKINS,ALEX",,,"REBOUND DEF by PERKINS,ALEX",2
12:52,,44 (+5),,39,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 44-39 (-5),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",2
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",2
12:38,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",2
12:38,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",2
12:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:38,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",2
12:38,"SUB IN by GREEN,CADE",,,,,,,"SUB IN by GREEN,CADE",2
12:38,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",2
12:38,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",2
12:38,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",2
12:38,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
12:38,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",2
12:38,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
12:19,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",2
12:19,,44 (+4),,40,"GOOD FT by MCLEAN,JAMES",16BSC-M 44-40 (-4),,"GOOD FT by MCLEAN,JAMES",2
12:19,,44 (+3),,41,"GOOD FT by MCLEAN,JAMES",16BSC-M 44-41 (-3),,"GOOD FT by MCLEAN,JAMES",2
12:19,"SUB IN by MCLENDON,MARC",,,,,,,"SUB IN by MCLENDON,MARC",2
12:19,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",2
12:19,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
12:19,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",2
11:51,"TURNOVER  by MCLENDON,MARC",,,,,,,"TURNOVER  by MCLENDON,MARC",2
11:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
11:51,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
11:51,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",2
11:51,"SUB OUT by MCLENDON,MARC",,,,,,,"SUB OUT by MCLENDON,MARC",2
11:51,"SUB OUT by GREEN,CADE",,,,,,,"SUB OUT by GREEN,CADE",2
11:37,,44,,44,"GOOD 3PTR by MCLEAN,JAMES",16BSC-M 44-44 (0),,"GOOD 3PTR by MCLEAN,JAMES",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
11:26,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",2
11:02,"GOOD LAYUP by KORN,LUKAS(in the paint)",46 (+2),,44,,BCM 46-44 (-2),,"GOOD LAYUP by KORN,LUKAS(in the paint)",2
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",2
10:38,,46,,47 (+1),"GOOD 3PTR by PERKINS,ALEX",16BSC-M 46-47 (+1),,"GOOD 3PTR by PERKINS,ALEX",2
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",2
10:27,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",2
10:27,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",2
10:27,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",2
10:27,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",2
10:27,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",2
10:27,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",2
10:27,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",2
10:27,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",2
10:17,,46,,49 (+3),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 46-49 (+3),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
10:04,"FOUL TECH by JONES,BLAKE",,,,,,,"FOUL TECH by JONES,BLAKE",2
10:04,"FOUL  by JONES,BLAKE",,,,,,,"FOUL  by JONES,BLAKE",2
10:04,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:04,,46,,50 (+4),"GOOD FT by MCLEAN,JAMES",16BSC-M 46-50 (+4),,"GOOD FT by MCLEAN,JAMES",2
10:04,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",2
10:04,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",2
09:53,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",2
09:53,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",2
09:53,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",2
09:49,"TURNOVER  by SPALDING,TANNER",,,,,,,"TURNOVER  by SPALDING,TANNER",2
09:46,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",2
09:46,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",2
09:31,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",2
--,"REBOUND OFF by SPALDING,TANNER",,,,,,,"REBOUND OFF by SPALDING,TANNER",2
09:27,"MISS JUMPER by SPALDING,TANNER",,,,,,,"MISS JUMPER by SPALDING,TANNER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:26,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
09:26,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
09:16,"FOUL  by FORTE,MCCARTY",,,,,,,"FOUL  by FORTE,MCCARTY",2
09:16,,46,,51 (+5),"GOOD FT by MCLEAN,JAMES",16BSC-M 46-51 (+5),,"GOOD FT by MCLEAN,JAMES",2
09:16,,46,,52 (+6),"GOOD FT by MCLEAN,JAMES",16BSC-M 46-52 (+6),,"GOOD FT by MCLEAN,JAMES",2
09:16,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",2
09:16,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",2
08:53,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",2
08:51,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",2
08:28,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",2
08:26,"STEAL  by JOHNSON,CALEB",,,,,,,"STEAL  by JOHNSON,CALEB",2
08:22,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",2
--,"REBOUND OFF by SPALDING,TANNER",,,,,,,"REBOUND OFF by SPALDING,TANNER",2
08:19,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",2
08:19,"MISS FT by SPALDING,TANNER",,,,,,,"MISS FT by SPALDING,TANNER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:19,"GOOD FT by SPALDING,TANNER",47,,52 (+5),,BCM 47-52 (+5),,"GOOD FT by SPALDING,TANNER",2
08:19,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
08:19,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",2
08:19,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",2
08:19,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",2
08:19,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",2
08:19,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",2
08:19,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",2
08:19,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",2
08:19,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
08:19,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",2
08:19,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
08:19,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
08:05,,47,,54 (+7),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 47-54 (+7),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",2
07:39,"GOOD JUMPER by DENBESTEN,COLE",49,,54 (+5),,BCM 49-54 (+5),,"GOOD JUMPER by DENBESTEN,COLE",2
07:19,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:19,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:19,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",2
07:19,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
06:55,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",51,,54 (+3),,BCM 51-54 (+3),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",2
06:28,,51,,56 (+5),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 51-56 (+5),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
06:22,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
06:03,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",2
--,"REBOUND OFF by JONES,BLAKE",,,,,,,"REBOUND OFF by JONES,BLAKE",2
05:51,"TURNOVER  by ELLINGSWORTH,COLEMAN",,,,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",2
05:50,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",2
05:48,"FOUL  by DENBESTEN,COLE",,,,,,,"FOUL  by DENBESTEN,COLE",2
05:48,,51,,57 (+6),"GOOD FT by LEWIS,EVAN",16BSC-M 51-57 (+6),,"GOOD FT by LEWIS,EVAN",2
05:48,,51,,58 (+7),"GOOD FT by LEWIS,EVAN",16BSC-M 51-58 (+7),,"GOOD FT by LEWIS,EVAN",2
05:48,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",2
05:48,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",2
05:25,"GOOD 3PTR by CLARK,ETHAN",54,,58 (+4),,BCM 54-58 (+4),,"GOOD 3PTR by CLARK,ETHAN",2
05:06,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",2
--,"REBOUND DEF by DENBESTEN,COLE",,,,,,,"REBOUND DEF by DENBESTEN,COLE",2
04:51,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",2
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",2
04:34,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
04:34,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",2
04:06,"TURNOVER  by DENBESTEN,COLE",,,,,,,"TURNOVER  by DENBESTEN,COLE",2
03:39,,,,,"MISS 3PTR by RUDAK,MATTY",,,"MISS 3PTR by RUDAK,MATTY",2
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",2
03:28,"FOUL  by CLARK,ETHAN",,,,,,,"FOUL  by CLARK,ETHAN",2
03:28,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",2
03:28,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:16,,54,,60 (+6),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 54-60 (+6),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
02:50,"GOOD 3PTR by MCCLOUD,ALTON",57,,60 (+3),,BCM 57-60 (+3),,"GOOD 3PTR by MCCLOUD,ALTON",2
--,"ASSIST  by CLARK,ETHAN",,,,,,,"ASSIST  by CLARK,ETHAN",2
02:21,,57,,62 (+5),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 57-62 (+5),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
02:10,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
02:10,"GOOD FT by DENBESTEN,COLE",58,,62 (+4),,BCM 58-62 (+4),,"GOOD FT by DENBESTEN,COLE",2
02:10,"GOOD FT by DENBESTEN,COLE",59,,62 (+3),,BCM 59-62 (+3),,"GOOD FT by DENBESTEN,COLE",2
02:10,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
02:10,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",2
01:49,,,,,"MISS LAYUP by RUDAK,MATTY",,,"MISS LAYUP by RUDAK,MATTY",2
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",2
01:49,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",2
01:49,"MISS FT by MCCLOUD,ALTON",,,,,,,"MISS FT by MCCLOUD,ALTON",2
--,"REBOUND OFF by MARDER,NICK",,,,,,,"REBOUND OFF by MARDER,NICK",2
01:21,"MISS 3PTR by MARDER,NICK",,,,,,,"MISS 3PTR by MARDER,NICK",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
00:53,,59,,64 (+5),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 59-64 (+5),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
00:36,"GOOD JUMPER by JONES,BLAKE",61,,64 (+3),,BCM 61-64 (+3),,"GOOD JUMPER by JONES,BLAKE",2
00:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:29,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",2
00:29,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:29,,61,,65 (+4),"GOOD FT by MCLEAN,JAMES",16BSC-M 61-65 (+4),,"GOOD FT by MCLEAN,JAMES",2
