Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
17:16,,6 (+2),,4,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 6-4 (-2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
17:03,"TURNOVER  by KORN,LUKAS",,,,,,,"TURNOVER  by KORN,LUKAS",1
17:01,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
16:57,,6,,6,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 6-6 (0),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",1
16:44,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
16:27,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
16:20,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",1
16:20,,6,,7 (+1),"GOOD FT by DENEKA,HARRISON",16BSC-M 6-7 (+1),,"GOOD FT by DENEKA,HARRISON",1
16:20,,6,,8 (+2),"GOOD FT by DENEKA,HARRISON",16BSC-M 6-8 (+2),,"GOOD FT by DENEKA,HARRISON",1
16:20,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
16:20,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
16:20,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
16:20,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",1
16:20,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
16:20,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
16:15,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",8,,8,,BCM 8-8 (0),,"GOOD LAYUP by DENBESTEN,COLE(in the paint)",1
16:00,,8,,10 (+2),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 8-10 (+2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
15:51,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:34,"GOOD 3PTR by DENBESTEN,COLE",11 (+1),,10,,BCM 11-10 (-1),,"GOOD 3PTR by DENBESTEN,COLE",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
15:15,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
15:15,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
15:15,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
15:09,,11,,12 (+1),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 11-12 (+1),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
14:58,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
14:58,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:57,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
