Time Remaining,GC,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
19:42,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
19:41,"STEAL  by LONG,CARSON",,,,,,,"STEAL  by LONG,CARSON",1
19:21,"MISS JUMPER by THOMPSON,ALSTON",,,,,,,"MISS JUMPER by THOMPSON,ALSTON",1
19:21,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",1
--,"REBOUND OFF by THOMPSON,ALSTON",,,,,,,"REBOUND OFF by THOMPSON,ALSTON",1
19:16,"GOOD LAYUP by THOMPSON,ALSTON(in the paint)",2 (+2),,0,,GC 2-0 (-2),,"GOOD LAYUP by THOMPSON,ALSTON(in the paint)",1
18:58,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
18:54,"STEAL  by GORE,JAYLEN",,,,,,,"STEAL  by GORE,JAYLEN",1
18:40,"GOOD JUMPER by THOMPSON,ALSTON",4 (+4),,0,,GC 4-0 (-4),,"GOOD JUMPER by THOMPSON,ALSTON",1
18:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
18:04,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
17:38,"GOOD JUMPER by LONG,CARSON",6 (+6),,0,,GC 6-0 (-6),,"GOOD JUMPER by LONG,CARSON",1
17:17,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by HENDERSON,DOMINIQUE",,,,,,,"REBOUND DEF by HENDERSON,DOMINIQUE",1
16:59,"TURNOVER  by THOMPSON,ALSTON",,,,,,,"TURNOVER  by THOMPSON,ALSTON",1
16:56,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
16:51,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by GORE,JAYLEN",,,,,,,"REBOUND DEF by GORE,JAYLEN",1
16:31,"GOOD JUMPER by THOMPSON,ALSTON",8 (+8),,0,,GC 8-0 (-8),,"GOOD JUMPER by THOMPSON,ALSTON",1
16:13,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND DEF by HENDERSON,DOMINIQUE",,,,,,,"REBOUND DEF by HENDERSON,DOMINIQUE",1
16:05,"TURNOVER  by GORE,JAYLEN",,,,,,,"TURNOVER  by GORE,JAYLEN",1
16:04,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",1
15:59,,8 (+5),,3,"GOOD 3PTR by THOM,IAN",16BSC-M 8-3 (-5),,"GOOD 3PTR by THOM,IAN",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
15:36,"GOOD JUMPER by LONG,CARSON",10 (+7),,3,,GC 10-3 (-7),,"GOOD JUMPER by LONG,CARSON",1
15:15,,,,,"TURNOVER  by RUDAK,MATTY",,,"TURNOVER  by RUDAK,MATTY",1
15:15,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:15,"SUB IN by REYER,MASON",,,,,,,"SUB IN by REYER,MASON",1
15:15,"SUB IN by CURRY,MARCUS",,,,,,,"SUB IN by CURRY,MARCUS",1
