Time Remaining,16BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
19:36,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by BROOKS,JOSHUA",,,"REBOUND DEF by BROOKS,JOSHUA",1
19:28,,0,,2 (+2),"GOOD LAYUP by GARCIA,EMANUELLE(fastbreak)(in the paint)",MVCM 0-2 (-2),,"GOOD LAYUP by GARCIA,EMANUELLE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BROOKS,JOSHUA",,,"ASSIST  by BROOKS,JOSHUA",1
18:55,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",1
18:36,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
18:36,,0,,3 (+3),"GOOD FT by NOKES,COLT",MVCM 0-3 (-3),,"GOOD FT by NOKES,COLT",1
18:36,,,,,"MISS FT by NOKES,COLT",,,"MISS FT by NOKES,COLT",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
18:25,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
18:25,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
18:25,,,,,"STEAL  by SPICER,TYLER",,,"STEAL  by SPICER,TYLER",1
18:07,,,,,"MISS 3PTR by BROOKS,JOSHUA",,,"MISS 3PTR by BROOKS,JOSHUA",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
17:59,"GOOD 3PTR by BAK,CALVIN(fastbreak)",3,,3,,16BSC-M 3-3 (0),,"GOOD 3PTR by BAK,CALVIN(fastbreak)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
17:32,,,,,"MISS JUMPER by NOKES,COLT",,,"MISS JUMPER by NOKES,COLT",1
17:32,"BLOCK  by RUDAK,MATTY",,,,,,,"BLOCK  by RUDAK,MATTY",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
17:24,"GOOD LAYUP by THOM,IAN(in the paint)",5 (+2),,3,,16BSC-M 5-3 (+2),,"GOOD LAYUP by THOM,IAN(in the paint)",1
16:59,,,,,"MISS JUMPER by SPICER,TYLER",,,"MISS JUMPER by SPICER,TYLER",1
16:59,"BLOCK  by RUDAK,MATTY",,,,,,,"BLOCK  by RUDAK,MATTY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:59,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
16:59,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
16:51,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
16:42,"MISS 3PTR by RUDAK,MATTY",,,,,,,"MISS 3PTR by RUDAK,MATTY",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
16:29,"GOOD LAYUP by RUDAK,MATTY(in the paint)",7 (+4),,3,,16BSC-M 7-3 (+4),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
16:09,,7 (+2),,5,"GOOD JUMPER by SONGSTER,CALVIN",MVCM 7-5 (+2),,"GOOD JUMPER by SONGSTER,CALVIN",1
15:42,"MISS JUMPER by RUDAK,MATTY",,,,,,,"MISS JUMPER by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by GARCIA,EMANUELLE",,,"REBOUND DEF by GARCIA,EMANUELLE",1
15:33,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
15:25,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",1
15:16,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:16,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
15:16,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
15:16,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
15:16,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
15:16,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
15:16,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
15:16,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
15:16,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
15:16,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",1
15:16,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",1
15:16,,,,,"SUB OUT by BROOKS,JOSHUA",,,"SUB OUT by BROOKS,JOSHUA",1
15:16,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",1
15:09,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
15:09,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",1
15:09,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",1
14:50,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",9 (+4),,5,,16BSC-M 9-5 (+4),,"GOOD JUMPER by GRAHAM,CHRIS(in the paint)",1
14:35,,9 (+2),,7,"GOOD JUMPER by WATSON,CHRIS(in the paint)",MVCM 9-7 (+2),,"GOOD JUMPER by WATSON,CHRIS(in the paint)",1
--,,,,,"ASSIST  by HOPPA,DANTE",,,"ASSIST  by HOPPA,DANTE",1
14:13,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",1
14:13,,,,,"SUB IN by BOWMAN,BLAKE",,,"SUB IN by BOWMAN,BLAKE",1
14:13,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",1
14:13,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
14:08,,,,,"FOUL  by HOPPA,DANTE",,,"FOUL  by HOPPA,DANTE",1
14:08,"MISS FT by MCLEAN,JAMES",,,,,,,"MISS FT by MCLEAN,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:08,"GOOD FT by MCLEAN,JAMES",10 (+3),,7,,16BSC-M 10-7 (+3),,"GOOD FT by MCLEAN,JAMES",1
13:51,,10 (+1),,9,"GOOD JUMPER by BOWMAN,EMIER",MVCM 10-9 (+1),,"GOOD JUMPER by BOWMAN,EMIER",1
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",1
13:42,"TURNOVER  by HARDIMAN,BEN",,,,,,,"TURNOVER  by HARDIMAN,BEN",1
13:42,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
13:42,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
13:23,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
12:55,"MISS 3PTR by MURPHY,JUWAN",,,,,,,"MISS 3PTR by MURPHY,JUWAN",1
--,"REBOUND OFF by GRAHAM,CHRIS",,,,,,,"REBOUND OFF by GRAHAM,CHRIS",1
12:47,"TURNOVER  by GRAHAM,CHRIS",,,,,,,"TURNOVER  by GRAHAM,CHRIS",1
12:33,,,,,"MISS 3PTR by HOPPA,DANTE",,,"MISS 3PTR by HOPPA,DANTE",1
--,"REBOUND DEF by PERKINS,ALEX",,,,,,,"REBOUND DEF by PERKINS,ALEX",1
12:21,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
12:21,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
12:21,,,,,"SUB IN by NOKES,COLT",,,"SUB IN by NOKES,COLT",1
12:21,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",1
12:21,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",1
12:21,,,,,"SUB OUT by BOWMAN,BLAKE",,,"SUB OUT by BOWMAN,BLAKE",1
12:15,"GOOD LAYUP by MURPHY,JUWAN(in the paint)",12 (+3),,9,,16BSC-M 12-9 (+3),,"GOOD LAYUP by MURPHY,JUWAN(in the paint)",1
11:54,"FOUL  by GRAHAM,CHRIS",,,,,,,"FOUL  by GRAHAM,CHRIS",1
11:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:54,"SUB IN by RUDAK,MATTY",,,,,,,"SUB IN by RUDAK,MATTY",1
11:54,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
11:54,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
11:54,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
11:54,"SUB OUT by GRAHAM,CHRIS",,,,,,,"SUB OUT by GRAHAM,CHRIS",1
11:54,"SUB OUT by MURPHY,JUWAN",,,,,,,"SUB OUT by MURPHY,JUWAN",1
11:54,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
11:54,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
11:54,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
11:54,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",1
11:44,,,,,"MISS 3PTR by BOWMAN,EMIER",,,"MISS 3PTR by BOWMAN,EMIER",1
--,"REBOUND DEF by MCLEAN,JAMES",,,,,,,"REBOUND DEF by MCLEAN,JAMES",1
11:30,,,,,"SUB IN by SPICER,TYLER",,,"SUB IN by SPICER,TYLER",1
11:30,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",1
11:23,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",1
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",1
11:21,"GOOD LAYUP by RUDAK,MATTY(in the paint)",14 (+5),,9,,16BSC-M 14-9 (+5),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
11:21,,,,,"FOUL  by NOKES,COLT",,,"FOUL  by NOKES,COLT",1
11:20,"MISS FT by RUDAK,MATTY",,,,,,,"MISS FT by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",1
11:10,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
11:01,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",1
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",1
10:53,,,,,"TURNOVER  by BOWYER,JAY",,,"TURNOVER  by BOWYER,JAY",1
10:52,"STEAL  by MCLEAN,JAMES",,,,,,,"STEAL  by MCLEAN,JAMES",1
10:46,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",1
10:46,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",1
10:27,"GOOD LAYUP by THOM,IAN(in the paint)",16 (+7),,9,,16BSC-M 16-9 (+7),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,"ASSIST  by MCLEAN,JAMES",,,,,,,"ASSIST  by MCLEAN,JAMES",1
10:01,,,,,"MISS 3PTR by BROOKS,JOSHUA",,,"MISS 3PTR by BROOKS,JOSHUA",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
09:47,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
09:47,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",1
09:44,,16 (+5),,11,"GOOD LAYUP by BROOKS,JOSHUA(fastbreak)(in the paint)",MVCM 16-11 (+5),,"GOOD LAYUP by BROOKS,JOSHUA(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GARCIA,EMANUELLE",,,"ASSIST  by GARCIA,EMANUELLE",1
09:29,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",1
09:29,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
09:29,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
09:29,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",1
09:29,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",1
09:22,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:14,,,,,"MISS 3PTR by SPICER,TYLER",,,"MISS 3PTR by SPICER,TYLER",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
09:04,,,,,"FOUL  by SPICER,TYLER",,,"FOUL  by SPICER,TYLER",1
09:04,"GOOD FT by LEWIS,EVAN",17 (+6),,11,,16BSC-M 17-11 (+6),,"GOOD FT by LEWIS,EVAN",1
09:04,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by WATSON,CHRIS",,,"REBOUND DEF by WATSON,CHRIS",1
08:47,,17 (+4),,13,"GOOD JUMPER by SONGSTER,CALVIN",MVCM 17-13 (+4),,"GOOD JUMPER by SONGSTER,CALVIN",1
08:35,,,,,"FOUL  by GARCIA,EMANUELLE",,,"FOUL  by GARCIA,EMANUELLE",1
08:35,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",1
08:35,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",1
08:35,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",1
08:35,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",1
08:29,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
08:08,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
07:59,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",1
07:50,,,,,"MISS LAYUP by WATSON,CHRIS",,,"MISS LAYUP by WATSON,CHRIS",1
07:50,"BLOCK  by THOM,IAN",,,,,,,"BLOCK  by THOM,IAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:50,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:50,"SUB IN by GRAHAM,CHRIS",,,,,,,"SUB IN by GRAHAM,CHRIS",1
07:50,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
07:50,"SUB IN by MURPHY,JUWAN",,,,,,,"SUB IN by MURPHY,JUWAN",1
07:50,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
07:50,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
07:50,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
07:50,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
07:50,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
07:45,,17 (+2),,15,"GOOD JUMPER by BOWYER,JAY(in the paint)",MVCM 17-15 (+2),,"GOOD JUMPER by BOWYER,JAY(in the paint)",1
07:28,"TURNOVER  by MURPHY,JUWAN",,,,,,,"TURNOVER  by MURPHY,JUWAN",1
07:27,,,,,"STEAL  by BOWYER,JAY",,,"STEAL  by BOWYER,JAY",1
07:16,,,,,"MISS LAYUP by HOPPA,DANTE",,,"MISS LAYUP by HOPPA,DANTE",1
--,"REBOUND DEF by GRAHAM,CHRIS",,,,,,,"REBOUND DEF by GRAHAM,CHRIS",1
07:06,"MISS LAYUP by MURPHY,JUWAN",,,,,,,"MISS LAYUP by MURPHY,JUWAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:05,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
07:05,,,,,"SUB IN by NOKES,COLT",,,"SUB IN by NOKES,COLT",1
07:05,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",1
07:05,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
07:05,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",1
07:05,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",1
06:46,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,,,,,"REBOUND OFF by NOKES,COLT",,,"REBOUND OFF by NOKES,COLT",1
06:37,,,,,"TURNOVER  by NOKES,COLT",,,"TURNOVER  by NOKES,COLT",1
