Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
09:55,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
09:36,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:35,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
09:35,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
09:35,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:35,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:35,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
09:35,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",1
09:35,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
09:35,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
09:30,"GOOD 3PTR by WILSON,KEVIN",18 (+10),,8,,MILLSAPS 18-8 (+10),,"GOOD 3PTR by WILSON,KEVIN",1
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",1
09:08,,,,,"MISS LAYUP by CHIEN,KEVIN",,,"MISS LAYUP by CHIEN,KEVIN",1
09:08,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by MCGRAIL,PATRICK",,,"REBOUND OFF by MCGRAIL,PATRICK",1
09:00,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
09:00,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",1
08:49,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
08:39,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",1
08:39,"GOOD FT by KASTNER,MURRAY",19 (+11),,8,,MILLSAPS 19-8 (+11),,"GOOD FT by KASTNER,MURRAY",1
08:39,"GOOD FT by KASTNER,MURRAY",20 (+12),,8,,MILLSAPS 20-8 (+12),,"GOOD FT by KASTNER,MURRAY",1
08:26,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
08:25,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
08:21,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",1
08:21,"GOOD FT by GILLIGAN,TULLY",21 (+13),,8,,MILLSAPS 21-8 (+13),,"GOOD FT by GILLIGAN,TULLY",1
08:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
08:21,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND OFF by THOMAS,STERLING",,,,,,,"REBOUND OFF by THOMAS,STERLING",1
08:21,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
08:21,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
08:05,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",1
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",1
08:03,"MISS TIPIN by GILLIGAN,TULLY",,,,,,,"MISS TIPIN by GILLIGAN,TULLY",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
07:53,"MISS TIPIN by BERGER,RYAN",,,,,,,"MISS TIPIN by BERGER,RYAN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
07:30,,21 (+11),,10,"GOOD JUMPER by HARTWELL,THEO",RCMBB13 21-10 (+11),,"GOOD JUMPER by HARTWELL,THEO",1
06:58,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",23 (+13),,10,,MILLSAPS 23-10 (+13),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
06:55,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
06:55,"GOOD FT by GILLIGAN,TULLY",24 (+14),,10,,MILLSAPS 24-10 (+14),,"GOOD FT by GILLIGAN,TULLY",1
06:55,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",1
06:55,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
06:55,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
06:55,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
06:42,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
06:42,,24 (+13),,11,"GOOD FT by LIVSEY,GEOFF",RCMBB13 24-11 (+13),,"GOOD FT by LIVSEY,GEOFF",1
06:42,,24 (+12),,12,"GOOD FT by LIVSEY,GEOFF",RCMBB13 24-12 (+12),,"GOOD FT by LIVSEY,GEOFF",1
06:30,"MISS LAYUP by ROBERTSON,MARC",,,,,,,"MISS LAYUP by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
06:05,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
05:31,"GOOD JUMPER by GILLIGAN,TULLY",26 (+14),,12,,MILLSAPS 26-12 (+14),,"GOOD JUMPER by GILLIGAN,TULLY",1
05:01,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
04:57,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
04:57,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:57,,26 (+13),,13,"GOOD FT by LIVSEY,GEOFF",RCMBB13 26-13 (+13),,"GOOD FT by LIVSEY,GEOFF",1
04:57,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",1
04:57,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
04:57,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
04:57,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
04:40,"MISS JUMPER by ALLISON,BRANDON",,,,,,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
04:29,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
04:22,"GOOD JUMPER by ROBERTSON,MARC",28 (+15),,13,,MILLSAPS 28-13 (+15),,"GOOD JUMPER by ROBERTSON,MARC",1
03:57,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",1
03:42,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
03:41,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",1
03:28,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:28,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
03:28,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
03:28,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
03:28,"SUB OUT by ALLISON,BRANDON",,,,,,,"SUB OUT by ALLISON,BRANDON",1
03:17,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:46,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",30 (+17),,13,,MILLSAPS 30-13 (+17),,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",1
02:28,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",1
02:28,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:28,,30 (+16),,14,"GOOD FT by MILLER,DREW",RCMBB13 30-14 (+16),,"GOOD FT by MILLER,DREW",1
02:11,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
01:56,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
01:36,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
01:25,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
00:51,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
00:50,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
00:50,"SUB IN by MOGGED,JEREMY",,,,,,,"SUB IN by MOGGED,JEREMY",1
00:50,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
00:50,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
00:40,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
00:08,"GOOD 3PTR by CORTESE,NICK",33 (+19),,14,,MILLSAPS 33-14 (+19),,"GOOD 3PTR by CORTESE,NICK",1
19:48,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
19:46,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
19:43,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
19:43,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:43,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
19:30,,33 (+17),,16,"GOOD JUMPER by GALOW,ANDREW(in the paint)",RCMBB13 33-16 (+17),,"GOOD JUMPER by GALOW,ANDREW(in the paint)",2
19:25,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
19:25,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
18:58,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
18:48,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
18:39,"GOOD 3PTR by ROBERTSON,MARC",36 (+20),,16,,MILLSAPS 36-16 (+20),,"GOOD 3PTR by ROBERTSON,MARC",2
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",2
18:16,,,,,"MISS JUMPER by CHIEN,KEVIN",,,"MISS JUMPER by CHIEN,KEVIN",2
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",2
17:48,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
17:44,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND OFF by GILLIGAN,TULLY",,,,,,,"REBOUND OFF by GILLIGAN,TULLY",2
17:40,"GOOD TIPIN by GILLIGAN,TULLY(in the paint)",38 (+22),,16,,MILLSAPS 38-16 (+22),,"GOOD TIPIN by GILLIGAN,TULLY(in the paint)",2
17:19,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
17:19,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",2
17:19,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",2
17:19,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
17:19,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
17:07,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",2
17:07,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",2
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",2
17:04,,,,,"MISS TIPIN by MILLER,DREW",,,"MISS TIPIN by MILLER,DREW",2
17:04,"BLOCK  by ALLISON,BRANDON",,,,,,,"BLOCK  by ALLISON,BRANDON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:58,"FOUL  by ALLISON,BRANDON",,,,,,,"FOUL  by ALLISON,BRANDON",2
16:58,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:58,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",2
16:58,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
16:58,"SUB IN by MOGGED,JEREMY",,,,,,,"SUB IN by MOGGED,JEREMY",2
16:58,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
16:58,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
16:30,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
16:20,,38 (+20),,18,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 38-18 (+20),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",2
15:55,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
15:55,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
15:41,"MISS JUMPER by THOMAS,STERLING",,,,,,,"MISS JUMPER by THOMAS,STERLING",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
15:32,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",2
15:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:27,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
15:25,"STEAL  by ALLISON,BRANDON",,,,,,,"STEAL  by ALLISON,BRANDON",2
15:09,"MISS 3PTR by MOGGED,JEREMY",,,,,,,"MISS 3PTR by MOGGED,JEREMY",2
--,"REBOUND OFF by ALLISON,BRANDON",,,,,,,"REBOUND OFF by ALLISON,BRANDON",2
15:07,"GOOD TIPIN by ALLISON,BRANDON(in the paint)",40 (+22),,18,,MILLSAPS 40-18 (+22),,"GOOD TIPIN by ALLISON,BRANDON(in the paint)",2
14:44,,40 (+20),,20,"GOOD LAYUP by CHIEN,KEVIN(in the paint)",RCMBB13 40-20 (+20),,"GOOD LAYUP by CHIEN,KEVIN(in the paint)",2
14:03,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
14:03,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
14:03,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
