Time Remaining,BERRYMEN,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
16:20,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",31,,44 (+13),,BERRYMEN 31-44 (+13),,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",2
15:43,,31,,46 (+15),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 31-46 (+15),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
15:21,"MISS LAYUP by MCCLOUD,LEE",,,,,,,"MISS LAYUP by MCCLOUD,LEE",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
15:09,,,,,"MISS 3PTR by MOGGED,JEREMY",,,"MISS 3PTR by MOGGED,JEREMY",2
--,"REBOUND DEF by ABRAMS,JONATHAN",,,,,,,"REBOUND DEF by ABRAMS,JONATHAN",2
15:00,"GOOD 3PTR by ABRAMS,JONATHAN",34,,46 (+12),,BERRYMEN 34-46 (+12),,"GOOD 3PTR by ABRAMS,JONATHAN",2
14:40,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
14:39,"STEAL  by ABRAMS,JONATHAN",,,,,,,"STEAL  by ABRAMS,JONATHAN",2
14:35,"MISS 3PTR by ABRAMS,JONATHAN",,,,,,,"MISS 3PTR by ABRAMS,JONATHAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:31,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
14:31,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",2
14:31,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",2
14:31,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
14:31,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
14:31,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
14:16,"FOUL  by ABRAMS,JONATHAN",,,,,,,"FOUL  by ABRAMS,JONATHAN",2
14:06,"FOUL  by HOWARD,MAC",,,,,,,"FOUL  by HOWARD,MAC",2
14:06,,34,,47 (+13),"GOOD FT by MOGGED,JEREMY",MILLSAPS 34-47 (+13),,"GOOD FT by MOGGED,JEREMY",2
14:06,,34,,48 (+14),"GOOD FT by MOGGED,JEREMY",MILLSAPS 34-48 (+14),,"GOOD FT by MOGGED,JEREMY",2
14:06,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
14:06,,,,,"SUB OUT by MOGGED,JEREMY",,,"SUB OUT by MOGGED,JEREMY",2
13:45,,,,,"TURNOVER  by DETILLIEU,RYAN",,,"TURNOVER  by DETILLIEU,RYAN",2
13:37,"FOUL  by GRAHAM,LAKE",,,,,,,"FOUL  by GRAHAM,LAKE",2
13:24,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",2
--,"REBOUND DEF by ABRAMS,JONATHAN",,,,,,,"REBOUND DEF by ABRAMS,JONATHAN",2
13:10,"GOOD LAYUP by SMOAK,HUNTER(in the paint)",36,,48 (+12),,BERRYMEN 36-48 (+12),,"GOOD LAYUP by SMOAK,HUNTER(in the paint)",2
13:09,"SUB IN by SMOAK,HUNTER",,,,,,,"SUB IN by SMOAK,HUNTER",2
13:09,"SUB OUT by ABRAMS,JONATHAN",,,,,,,"SUB OUT by ABRAMS,JONATHAN",2
13:01,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",2
--,"REBOUND DEF by MCCLOUD,LEE",,,,,,,"REBOUND DEF by MCCLOUD,LEE",2
12:43,"GOOD 3PTR by SMOAK,HUNTER",39,,48 (+9),,BERRYMEN 39-48 (+9),,"GOOD 3PTR by SMOAK,HUNTER",2
--,"ASSIST  by HOWARD,MAC",,,,,,,"ASSIST  by HOWARD,MAC",2
12:12,,39,,50 (+11),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 39-50 (+11),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,,,,,"ASSIST  by ALLISON,BRANDON",,,"ASSIST  by ALLISON,BRANDON",2
12:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:08,"SUB IN by WRIGHT,JAKE",,,,,,,"SUB IN by WRIGHT,JAKE",2
12:08,"SUB OUT by HOWARD,MAC",,,,,,,"SUB OUT by HOWARD,MAC",2
11:59,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",41,,50 (+9),,BERRYMEN 41-50 (+9),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
--,"ASSIST  by WHALEN,MAC",,,,,,,"ASSIST  by WHALEN,MAC",2
11:31,,41,,52 (+11),"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 41-52 (+11),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",2
11:31,"FOUL  by WRIGHT,JAKE",,,,,,,"FOUL  by WRIGHT,JAKE",2
11:31,,41,,53 (+12),"GOOD FT by ALLISON,BRANDON",MILLSAPS 41-53 (+12),,"GOOD FT by ALLISON,BRANDON",2
11:31,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
11:31,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
11:19,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",2
10:53,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",2
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",2
10:48,"MISS LAYUP by WRIGHT,JAKE",,,,,,,"MISS LAYUP by WRIGHT,JAKE",2
--,,,,,"REBOUND DEF by GRIFFON,JACKSON",,,"REBOUND DEF by GRIFFON,JACKSON",2
10:26,,41,,55 (+14),"GOOD JUMPER by ALLISON,BRANDON",MILLSAPS 41-55 (+14),,"GOOD JUMPER by ALLISON,BRANDON",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
10:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:57,"MISS LAYUP by GRAHAM,LAKE",,,,,,,"MISS LAYUP by GRAHAM,LAKE",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
09:48,,41,,57 (+16),"GOOD LAYUP by CORTESE,NICK(in the paint)",MILLSAPS 41-57 (+16),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,,,,,"ASSIST  by WILSON,KEVIN",,,"ASSIST  by WILSON,KEVIN",2
09:44,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
09:44,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",2
09:36,"MISS LAYUP by WRIGHT,JAKE",,,,,,,"MISS LAYUP by WRIGHT,JAKE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:26,,,,,"TURNOVER  by GRIFFON,JACKSON",,,"TURNOVER  by GRIFFON,JACKSON",2
09:03,"GOOD LAYUP by WRIGHT,JAKE(in the paint)",43,,57 (+14),,BERRYMEN 43-57 (+14),,"GOOD LAYUP by WRIGHT,JAKE(in the paint)",2
--,"ASSIST  by SMOAK,HUNTER",,,,,,,"ASSIST  by SMOAK,HUNTER",2
08:47,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",2
08:35,"MISS LAYUP by WHALEN,MAC",,,,,,,"MISS LAYUP by WHALEN,MAC",2
--,"REBOUND OFF by WRIGHT,JAKE",,,,,,,"REBOUND OFF by WRIGHT,JAKE",2
08:30,"GOOD LAYUP by WRIGHT,JAKE(in the paint)",45,,57 (+12),,BERRYMEN 45-57 (+12),,"GOOD LAYUP by WRIGHT,JAKE(in the paint)",2
08:29,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
08:29,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",2
08:19,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",2
08:19,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",2
07:57,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",2
07:48,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",2
07:41,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
07:39,,45,,59 (+14),"GOOD LAYUP by CORTESE,NICK(in the paint)",MILLSAPS 45-59 (+14),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
07:30,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",2
07:29,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",2
07:25,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",2
07:23,"STEAL  by GRAHAM,LAKE",,,,,,,"STEAL  by GRAHAM,LAKE",2
07:13,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
06:52,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",2
06:43,"TURNOVER  by WRIGHT,JAKE",,,,,,,"TURNOVER  by WRIGHT,JAKE",2
06:42,"SUB IN by MARSH,CODY",,,,,,,"SUB IN by MARSH,CODY",2
06:42,"SUB IN by TEEMS,JORDAN",,,,,,,"SUB IN by TEEMS,JORDAN",2
06:42,"SUB OUT by SMOAK,HUNTER",,,,,,,"SUB OUT by SMOAK,HUNTER",2
06:42,"SUB OUT by GRAHAM,LAKE",,,,,,,"SUB OUT by GRAHAM,LAKE",2
06:42,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
06:42,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",2
06:35,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",2
06:35,,45,,60 (+15),"GOOD FT by BERGER,RYAN",MILLSAPS 45-60 (+15),,"GOOD FT by BERGER,RYAN",2
06:35,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,"REBOUND DEF by TEEMS,JORDAN",,,,,,,"REBOUND DEF by TEEMS,JORDAN",2
06:28,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
06:26,"MISS LAYUP by MARSH,CODY",,,,,,,"MISS LAYUP by MARSH,CODY",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
05:48,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:48,"SUB IN by ABRAMS,JONATHAN",,,,,,,"SUB IN by ABRAMS,JONATHAN",2
05:48,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",2
05:33,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND DEF by MARSH,CODY",,,,,,,"REBOUND DEF by MARSH,CODY",2
05:23,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",47,,60 (+13),,BERRYMEN 47-60 (+13),,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",2
04:57,,47,,63 (+16),"GOOD 3PTR by CORTESE,NICK",MILLSAPS 47-63 (+16),,"GOOD 3PTR by CORTESE,NICK",2
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",2
04:34,"TURNOVER  by MARSH,CODY",,,,,,,"TURNOVER  by MARSH,CODY",2
04:31,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
04:17,,47,,65 (+18),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 47-65 (+18),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
04:04,"TURNOVER  by TEEMS,JORDAN",,,,,,,"TURNOVER  by TEEMS,JORDAN",2
04:03,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
03:50,,47,,67 (+20),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 47-67 (+20),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
03:36,"MISS LAYUP by ABRAMS,JONATHAN",,,,,,,"MISS LAYUP by ABRAMS,JONATHAN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
03:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:24,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",2
03:24,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
03:20,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",2
03:20,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
03:08,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",2
--,"REBOUND DEF by MARSH,CODY",,,,,,,"REBOUND DEF by MARSH,CODY",2
03:04,"SUB IN by GRAHAM,LAKE",,,,,,,"SUB IN by GRAHAM,LAKE",2
03:04,"SUB OUT by WRIGHT,JAKE",,,,,,,"SUB OUT by WRIGHT,JAKE",2
02:55,"TURNOVER  by ABRAMS,JONATHAN",,,,,,,"TURNOVER  by ABRAMS,JONATHAN",2
02:54,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
02:31,,47,,70 (+23),"GOOD 3PTR by WILSON,KEVIN",MILLSAPS 47-70 (+23),,"GOOD 3PTR by WILSON,KEVIN",2
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",2
02:20,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",2
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",2
02:14,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
02:14,"SUB IN by BRUCE,DEVAN",,,,,,,"SUB IN by BRUCE,DEVAN",2
02:14,"SUB IN by RANDOLPH,ZACH",,,,,,,"SUB IN by RANDOLPH,ZACH",2
02:14,"SUB IN by TUTEN,WALKER",,,,,,,"SUB IN by TUTEN,WALKER",2
02:14,"SUB OUT by GRAHAM,LAKE",,,,,,,"SUB OUT by GRAHAM,LAKE",2
02:14,"SUB OUT by WHALEN,MAC",,,,,,,"SUB OUT by WHALEN,MAC",2
02:14,"SUB OUT by ABRAMS,JONATHAN",,,,,,,"SUB OUT by ABRAMS,JONATHAN",2
02:14,,,,,"SUB IN by MOGGED,JEREMY",,,"SUB IN by MOGGED,JEREMY",2
02:14,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
02:09,"GOOD 3PTR by TEEMS,JORDAN",50,,70 (+20),,BERRYMEN 50-70 (+20),,"GOOD 3PTR by TEEMS,JORDAN",2
01:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:37,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
01:37,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",2
01:37,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
01:37,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
01:30,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,"REBOUND DEF by BRUCE,DEVAN",,,,,,,"REBOUND DEF by BRUCE,DEVAN",2
01:00,"MISS LAYUP by TUTEN,WALKER",,,,,,,"MISS LAYUP by TUTEN,WALKER",2
01:00,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:00,"SUB IN by TURNER,JT",,,,,,,"SUB IN by TURNER,JT",2
01:00,"SUB IN by LONDON,ANDREW",,,,,,,"SUB IN by LONDON,ANDREW",2
01:00,"SUB OUT by MARSH,CODY",,,,,,,"SUB OUT by MARSH,CODY",2
01:00,"SUB OUT by TEEMS,JORDAN",,,,,,,"SUB OUT by TEEMS,JORDAN",2
00:57,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
00:57,,,,,"SUB IN by FREEMAN,CHASE",,,"SUB IN by FREEMAN,CHASE",2
00:57,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
00:57,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
00:57,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",2
00:57,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",2
00:57,,,,,"SUB OUT by MOGGED,JEREMY",,,"SUB OUT by MOGGED,JEREMY",2
00:57,,,,,"SUB OUT by HANSTAD,RAJAN",,,"SUB OUT by HANSTAD,RAJAN",2
00:53,"FOUL  by BRUCE,DEVAN",,,,,,,"FOUL  by BRUCE,DEVAN",2
00:53,"GOOD FT by BRUCE,DEVAN",51,,70 (+19),,BERRYMEN 51-70 (+19),,"GOOD FT by BRUCE,DEVAN",2
00:46,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
00:46,,,,,"SUB IN by MOGGED,JEREMY",,,"SUB IN by MOGGED,JEREMY",2
00:46,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",2
00:43,,,,,"MISS JUMPER by HANSTAD,RAJAN",,,"MISS JUMPER by HANSTAD,RAJAN",2
00:31,"FOUL  by RANDOLPH,ZACH",,,,,,,"FOUL  by RANDOLPH,ZACH",2
00:27,,51,,71 (+20),"GOOD FT by FREEMAN,CHASE",MILLSAPS 51-71 (+20),,"GOOD FT by FREEMAN,CHASE",2
00:21,,51,,72 (+21),"GOOD FT by FREEMAN,CHASE",MILLSAPS 51-72 (+21),,"GOOD FT by FREEMAN,CHASE",2
00:05,"GOOD LAYUP by RANDOLPH,ZACH(in the paint)",53,,72 (+19),,BERRYMEN 53-72 (+19),,"GOOD LAYUP by RANDOLPH,ZACH(in the paint)",2
