Time Remaining,TEXASTYL,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
12:28,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
12:28,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
12:04,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
--,"REBOUND DEF by HYSELL,TYLER",,,,,,,"REBOUND DEF by HYSELL,TYLER",2
11:57,"GOOD 3PTR by HOPSON,BILLY",47 (+3),,44,,TEXASTYL 47-44 (-3),,"GOOD 3PTR by HOPSON,BILLY",2
11:28,"FOUL  by BEAN,DALLAS",,,,,,,"FOUL  by BEAN,DALLAS",2
11:28,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
11:28,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
11:28,,,,,"SUB OUT by MOGGED,JEREMY",,,"SUB OUT by MOGGED,JEREMY",2
11:28,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
11:11,"FOUL  by POTTER,TRE",,,,,,,"FOUL  by POTTER,TRE",2
10:49,,,,,"MISS LAYUP by CORTESE,NICK",,,"MISS LAYUP by CORTESE,NICK",2
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",2
10:46,,47 (+1),,46,"GOOD LAYUP by CORTESE,NICK(in the paint)",MILLSAPS 47-46 (-1),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
10:41,"GOOD 3PTR by HOPSON,BILLY",50 (+4),,46,,TEXASTYL 50-46 (-4),,"GOOD 3PTR by HOPSON,BILLY",2
10:23,"FOUL  by BEAN,DALLAS",,,,,,,"FOUL  by BEAN,DALLAS",2
10:23,,50 (+3),,47,"GOOD FT by BERGER,RYAN",MILLSAPS 50-47 (-3),,"GOOD FT by BERGER,RYAN",2
10:23,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,"REBOUND DEF by BEAN,DALLAS",,,,,,,"REBOUND DEF by BEAN,DALLAS",2
10:23,"SUB IN by DYKMAN,TRAVIS",,,,,,,"SUB IN by DYKMAN,TRAVIS",2
10:23,"SUB OUT by CANNON,JORDAN",,,,,,,"SUB OUT by CANNON,JORDAN",2
10:07,"MISS LAYUP by HOPSON,BILLY",,,,,,,"MISS LAYUP by HOPSON,BILLY",2
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",2
09:54,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",2
09:54,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:44,"MISS 3PTR by HOPSON,BILLY",,,,,,,"MISS 3PTR by HOPSON,BILLY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:39,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
09:39,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
09:24,,50,,50,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 50-50 (0),,"GOOD 3PTR by KASTNER,MURRAY",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
09:02,"GOOD JUMPER by HYSELL,TYLER",52 (+2),,50,,TEXASTYL 52-50 (-2),,"GOOD JUMPER by HYSELL,TYLER",2
08:26,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by HOPSON,BILLY",,,,,,,"REBOUND DEF by HOPSON,BILLY",2
08:19,"FOUL  by HOPSON,BILLY",,,,,,,"FOUL  by HOPSON,BILLY",2
08:19,"SUB IN by HOULISTON,DARREN",,,,,,,"SUB IN by HOULISTON,DARREN",2
08:19,"SUB IN by HARBOUR,NATHAN",,,,,,,"SUB IN by HARBOUR,NATHAN",2
08:19,"SUB IN by CANNON,JORDAN",,,,,,,"SUB IN by CANNON,JORDAN",2
08:19,"SUB OUT by HYSELL,TYLER",,,,,,,"SUB OUT by HYSELL,TYLER",2
08:19,"SUB OUT by BEAN,DALLAS",,,,,,,"SUB OUT by BEAN,DALLAS",2
08:19,"SUB OUT by POTTER,TRE",,,,,,,"SUB OUT by POTTER,TRE",2
07:46,,52,,52,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 52-52 (0),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
07:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:21,"MISS 3PTR by CANNON,JORDAN",,,,,,,"MISS 3PTR by CANNON,JORDAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:17,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
07:17,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",2
06:52,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",2
06:52,"BLOCK  by HOULISTON,DARREN",,,,,,,"BLOCK  by HOULISTON,DARREN",2
--,"REBOUND DEF by HOULISTON,DARREN",,,,,,,"REBOUND DEF by HOULISTON,DARREN",2
06:43,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
06:43,"GOOD FT by HOULISTON,DARREN",53 (+1),,52,,TEXASTYL 53-52 (-1),,"GOOD FT by HOULISTON,DARREN",2
06:43,"GOOD FT by HOULISTON,DARREN",54 (+2),,52,,TEXASTYL 54-52 (-2),,"GOOD FT by HOULISTON,DARREN",2
06:43,"SUB IN by STEPHENS,JOE",,,,,,,"SUB IN by STEPHENS,JOE",2
06:43,"SUB OUT by HOPSON,BILLY",,,,,,,"SUB OUT by HOPSON,BILLY",2
06:43,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",2
06:43,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
06:27,,54,,54,"GOOD JUMPER by BERGER,RYAN",MILLSAPS 54-54 (0),,"GOOD JUMPER by BERGER,RYAN",2
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",2
06:06,"TURNOVER  by HOULISTON,DARREN",,,,,,,"TURNOVER  by HOULISTON,DARREN",2
05:43,"FOUL  by DYKMAN,TRAVIS",,,,,,,"FOUL  by DYKMAN,TRAVIS",2
05:43,,54,,55 (+1),"GOOD FT by CORTESE,NICK",MILLSAPS 54-55 (+1),,"GOOD FT by CORTESE,NICK",2
05:43,,54,,56 (+2),"GOOD FT by CORTESE,NICK",MILLSAPS 54-56 (+2),,"GOOD FT by CORTESE,NICK",2
05:36,"GOOD 3PTR by HOPSON,BILLY",57 (+1),,56,,TEXASTYL 57-56 (-1),,"GOOD 3PTR by HOPSON,BILLY",2
05:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:33,"SUB IN by HOPSON,BILLY",,,,,,,"SUB IN by HOPSON,BILLY",2
05:33,"SUB OUT by STEPHENS,JOE",,,,,,,"SUB OUT by STEPHENS,JOE",2
05:09,,,,,"TURNOVER  by ALLISON,BRANDON",,,"TURNOVER  by ALLISON,BRANDON",2
05:08,"STEAL  by HOULISTON,DARREN",,,,,,,"STEAL  by HOULISTON,DARREN",2
04:55,"MISS JUMPER by CANNON,JORDAN",,,,,,,"MISS JUMPER by CANNON,JORDAN",2
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",2
04:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:22,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND DEF by DYKMAN,TRAVIS",,,,,,,"REBOUND DEF by DYKMAN,TRAVIS",2
04:19,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
03:53,"GOOD JUMPER by HOULISTON,DARREN",59 (+3),,56,,TEXASTYL 59-56 (-3),,"GOOD JUMPER by HOULISTON,DARREN",2
--,"ASSIST  by HARBOUR,NATHAN",,,,,,,"ASSIST  by HARBOUR,NATHAN",2
03:26,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by DYKMAN,TRAVIS",,,,,,,"REBOUND DEF by DYKMAN,TRAVIS",2
03:18,"MISS LAYUP by DYKMAN,TRAVIS",,,,,,,"MISS LAYUP by DYKMAN,TRAVIS",2
--,"REBOUND OFF by HARBOUR,NATHAN",,,,,,,"REBOUND OFF by HARBOUR,NATHAN",2
03:15,"GOOD LAYUP by HARBOUR,NATHAN(in the paint)",61 (+5),,56,,TEXASTYL 61-56 (-5),,"GOOD LAYUP by HARBOUR,NATHAN(in the paint)",2
03:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:09,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
03:09,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",2
02:51,,61 (+3),,58,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 61-58 (-3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
02:34,"MISS JUMPER by CANNON,JORDAN",,,,,,,"MISS JUMPER by CANNON,JORDAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:11,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",2
01:40,"GOOD JUMPER by DYKMAN,TRAVIS",63 (+5),,58,,TEXASTYL 63-58 (-5),,"GOOD JUMPER by DYKMAN,TRAVIS",2
01:05,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",2
01:05,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
01:05,"GOOD FT by CANNON,JORDAN",64 (+6),,58,,TEXASTYL 64-58 (-6),,"GOOD FT by CANNON,JORDAN",2
01:05,"GOOD FT by CANNON,JORDAN",65 (+7),,58,,TEXASTYL 65-58 (-7),,"GOOD FT by CANNON,JORDAN",2
00:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:30,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
00:29,"STEAL  by HOULISTON,DARREN",,,,,,,"STEAL  by HOULISTON,DARREN",2
00:26,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
00:26,"GOOD FT by CANNON,JORDAN",66 (+8),,58,,TEXASTYL 66-58 (-8),,"GOOD FT by CANNON,JORDAN",2
00:26,"GOOD FT by CANNON,JORDAN",67 (+9),,58,,TEXASTYL 67-58 (-9),,"GOOD FT by CANNON,JORDAN",2
00:17,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
00:17,"BLOCK  by HARBOUR,NATHAN",,,,,,,"BLOCK  by HARBOUR,NATHAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:15,"FOUL  by CANNON,JORDAN",,,,,,,"FOUL  by CANNON,JORDAN",2
00:15,,67 (+8),,59,"GOOD FT by THOMAS,STERLING",MILLSAPS 67-59 (-8),,"GOOD FT by THOMAS,STERLING",2
00:15,,67 (+7),,60,"GOOD FT by THOMAS,STERLING",MILLSAPS 67-60 (-7),,"GOOD FT by THOMAS,STERLING",2
00:10,"TURNOVER  by CANNON,JORDAN",,,,,,,"TURNOVER  by CANNON,JORDAN",2
00:09,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
00:06,,67 (+4),,63,"GOOD 3PTR by GILLIGAN,TULLY",MILLSAPS 67-63 (-4),,"GOOD 3PTR by GILLIGAN,TULLY",2
00:06,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
00:06,"GOOD FT by CANNON,JORDAN",68 (+5),,63,,TEXASTYL 68-63 (-5),,"GOOD FT by CANNON,JORDAN",2
00:06,"MISS FT by CANNON,JORDAN",,,,,,,"MISS FT by CANNON,JORDAN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
00:02,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
