Time Remaining,ACROOS,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
20:00,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
20:00,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",1
20:00,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
20:00,"SUB IN by ANWARY,AARON",,,,,,,"SUB IN by ANWARY,AARON",1
20:00,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",1
20:00,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
20:00,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
20:00,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
20:00,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
20:00,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
19:36,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
19:35,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
19:26,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by MICHAEL,ALEN",,,,,,,"REBOUND DEF by MICHAEL,ALEN",1
19:17,"STEAL  by ANWARY,AARON",,,,,,,"STEAL  by ANWARY,AARON",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
18:54,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",1
--,"REBOUND DEF by MICHAEL,ALEN",,,,,,,"REBOUND DEF by MICHAEL,ALEN",1
18:46,"GOOD LAYUP by OKPALA,RANSOM(in the paint)",2 (+2),,0,,ACROOS 2-0 (-2),,"GOOD LAYUP by OKPALA,RANSOM(in the paint)",1
--,"ASSIST  by MICHAEL,ALEN",,,,,,,"ASSIST  by MICHAEL,ALEN",1
18:23,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",1
18:16,,2,,2,"GOOD JUMPER by CORTESE,NICK",MILLSAPS 2-2 (0),,"GOOD JUMPER by CORTESE,NICK",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
17:49,"TURNOVER  by OKPALA,RANSOM",,,,,,,"TURNOVER  by OKPALA,RANSOM",1
17:29,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
