Time Remaining,CENTRE~1,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:51,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
19:44,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",1
19:26,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
18:56,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
18:34,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
18:31,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2 (+2),,0,,CENTRE~1 2-0 (-2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
18:14,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
17:46,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
17:40,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
17:26,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
17:07,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
16:54,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
16:16,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
16:16,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
16:16,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
16:16,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
16:16,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
16:03,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
15:55,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
15:42,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
15:42,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
15:31,"GOOD JUMPER by WESLEY,TYLER",4 (+4),,0,,CENTRE~1 4-0 (-4),,"GOOD JUMPER by WESLEY,TYLER",1
15:12,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
15:09,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by SAGRAVES,AUSTIN",,,,,,,"REBOUND DEF by SAGRAVES,AUSTIN",1
14:47,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",6 (+6),,0,,CENTRE~1 6-0 (-6),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
14:30,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
14:09,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",1
14:09,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",1
14:09,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
14:09,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:09,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
14:09,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
14:09,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
13:47,,6 (+3),,3,"GOOD 3PTR by WILSON,KEVIN",MILLSAPS 6-3 (-3),,"GOOD 3PTR by WILSON,KEVIN",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
13:20,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
12:42,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
12:27,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
12:27,"SUB IN by SAGRAVES,AUSTIN",,,,,,,"SUB IN by SAGRAVES,AUSTIN",1
12:27,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
12:27,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
12:27,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
12:27,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
12:27,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",1
12:27,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
12:27,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
12:27,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
12:18,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
12:18,"GOOD FT by KARSNER,JOSH",7 (+4),,3,,CENTRE~1 7-3 (-4),,"GOOD FT by KARSNER,JOSH",1
12:18,"GOOD FT by KARSNER,JOSH",8 (+5),,3,,CENTRE~1 8-3 (-5),,"GOOD FT by KARSNER,JOSH",1
12:18,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
12:18,"SUB OUT by HERTZEL,HOLDEN",,,,,,,"SUB OUT by HERTZEL,HOLDEN",1
12:09,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
12:08,"STEAL  by GRIGGS,MATT",,,,,,,"STEAL  by GRIGGS,MATT",1
12:06,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",1
12:05,,,,,"STEAL  by KASTNER,MURRAY",,,"STEAL  by KASTNER,MURRAY",1
12:03,,,,,"TURNOVER  by ALLISON,BRANDON",,,"TURNOVER  by ALLISON,BRANDON",1
12:02,"STEAL  by GRIGGS,MATT",,,,,,,"STEAL  by GRIGGS,MATT",1
11:53,"MISS LAYUP by SAGRAVES,AUSTIN",,,,,,,"MISS LAYUP by SAGRAVES,AUSTIN",1
11:53,,,,,"BLOCK  by ALLISON,BRANDON",,,"BLOCK  by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
11:46,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",1
11:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:28,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
10:57,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
10:56,"STEAL  by GRIGGS,MATT",,,,,,,"STEAL  by GRIGGS,MATT",1
10:48,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
10:25,,8 (+3),,5,"GOOD JUMPER by GILLIGAN,TULLY",MILLSAPS 8-5 (-3),,"GOOD JUMPER by GILLIGAN,TULLY",1
10:05,"GOOD JUMPER by KARSNER,JOSH",10 (+5),,5,,CENTRE~1 10-5 (-5),,"GOOD JUMPER by KARSNER,JOSH",1
09:33,,10 (+2),,8,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 10-8 (-2),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",1
09:11,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",12 (+4),,8,,CENTRE~1 12-8 (-4),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
08:45,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
08:45,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
