Time Remaining,UDALLA~2,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:35,"MISS JUMPER by BRUFFEY,TANNER",,,,,,,"MISS JUMPER by BRUFFEY,TANNER",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
19:35,"FOUL  by BRUFFEY,TANNER",,,,,,,"FOUL  by BRUFFEY,TANNER",1
19:21,,,,,"TURNOVER  by WILSON,KEVIN",,,"TURNOVER  by WILSON,KEVIN",1
18:56,"GOOD 3PTR by WILSON,NATE",3 (+3),,0,,UDALLA~2 3-0 (-3),,"GOOD 3PTR by WILSON,NATE",1
18:33,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
18:15,"GOOD LAYUP by DAVIDSON,ROSS(in the paint)",5 (+5),,0,,UDALLA~2 5-0 (-5),,"GOOD LAYUP by DAVIDSON,ROSS(in the paint)",1
17:45,,5 (+2),,3,"GOOD 3PTR by WILSON,KEVIN",MILLSAPS 5-3 (-2),,"GOOD 3PTR by WILSON,KEVIN",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
17:31,"MISS 3PTR by DAVIDSON,ROSS",,,,,,,"MISS 3PTR by DAVIDSON,ROSS",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
17:22,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,"REBOUND DEF by BLACKBURN,BLAINE",,,,,,,"REBOUND DEF by BLACKBURN,BLAINE",1
17:13,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
16:54,"GOOD 3PTR by WILSON,NATE",8 (+5),,3,,UDALLA~2 8-3 (-5),,"GOOD 3PTR by WILSON,NATE",1
--,"ASSIST  by BLACKBURN,BLAINE",,,,,,,"ASSIST  by BLACKBURN,BLAINE",1
16:29,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
16:29,"FOUL  by DAVIDSON,ROSS",,,,,,,"FOUL  by DAVIDSON,ROSS",1
16:29,,8 (+4),,4,"GOOD FT by BERGER,RYAN",MILLSAPS 8-4 (-4),,"GOOD FT by BERGER,RYAN",1
16:29,,8 (+3),,5,"GOOD FT by BERGER,RYAN",MILLSAPS 8-5 (-3),,"GOOD FT by BERGER,RYAN",1
