Time Remaining,MSPS-M,Away Team Score,Play Team Indicator,Home Team Score,AC-M,Game Score,Team Indicator,Play,Period
19:48,,0,,2 (+2),"GOOD LAYUP by MICHAEL,ALEN(in the paint)",AC-M 0-2 (-2),,"GOOD LAYUP by MICHAEL,ALEN(in the paint)",1
--,,,,,"ASSIST  by HANCOCK,JORDAN",,,"ASSIST  by HANCOCK,JORDAN",1
19:40,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
19:38,,,,,"STEAL  by HANCOCK,JORDAN",,,"STEAL  by HANCOCK,JORDAN",1
19:38,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
19:38,,,,,"MISS FT by HANCOCK,JORDAN",,,"MISS FT by HANCOCK,JORDAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:38,,,,,"MISS FT by HANCOCK,JORDAN",,,"MISS FT by HANCOCK,JORDAN",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
19:26,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",2,,2,,MSPS-M 2-2 (0),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
19:12,,,,,"TURNOVER  by PHILLIPS,WALTER",,,"TURNOVER  by PHILLIPS,WALTER",1
19:04,"GOOD 3PTR by CORTESE,NICK",5 (+3),,2,,MSPS-M 5-2 (+3),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
18:51,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
18:40,,5,,5,"GOOD 3PTR by OKPALA,RANSOM",AC-M 5-5 (0),,"GOOD 3PTR by OKPALA,RANSOM",1
--,,,,,"ASSIST  by ANWARY,AARON",,,"ASSIST  by ANWARY,AARON",1
18:24,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
18:23,,,,,"STEAL  by OKPALA,RANSOM",,,"STEAL  by OKPALA,RANSOM",1
18:19,,,,,"MISS LAYUP by PHILLIPS,WALTER",,,"MISS LAYUP by PHILLIPS,WALTER",1
18:19,"BLOCK  by ALLISON,BRANDON",,,,,,,"BLOCK  by ALLISON,BRANDON",1
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",1
18:02,"GOOD 3PTR by MEADES,TAYLOR",8 (+3),,5,,MSPS-M 8-5 (+3),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
17:41,,,,,"MISS JUMPER by HANCOCK,JORDAN",,,"MISS JUMPER by HANCOCK,JORDAN",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
17:30,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
17:30,,,,,"STEAL  by ANWARY,AARON",,,"STEAL  by ANWARY,AARON",1
17:19,,,,,"TURNOVER  by MICHAEL,ALEN",,,"TURNOVER  by MICHAEL,ALEN",1
17:19,,,,,"FOUL  by MICHAEL,ALEN",,,"FOUL  by MICHAEL,ALEN",1
17:11,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
17:01,,,,,"MISS JUMPER by MICHAEL,ALEN",,,"MISS JUMPER by MICHAEL,ALEN",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
16:44,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",1
16:44,,,,,"BLOCK  by MICHAEL,ALEN",,,"BLOCK  by MICHAEL,ALEN",1
--,,,,,"REBOUND DEF by HANCOCK,JORDAN",,,"REBOUND DEF by HANCOCK,JORDAN",1
16:36,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
16:36,,8 (+2),,6,"GOOD FT by OKPALA,RANSOM",AC-M 8-6 (+2),,"GOOD FT by OKPALA,RANSOM",1
16:36,,8 (+1),,7,"GOOD FT by OKPALA,RANSOM",AC-M 8-7 (+1),,"GOOD FT by OKPALA,RANSOM",1
16:19,,8,,9 (+1),"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",AC-M 8-9 (-1),,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",1
--,,,,,"ASSIST  by HANCOCK,JORDAN",,,"ASSIST  by HANCOCK,JORDAN",1
16:09,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by MICHAEL,ALEN",,,"REBOUND DEF by MICHAEL,ALEN",1
15:49,,,,,"MISS JUMPER by MICHAEL,ALEN",,,"MISS JUMPER by MICHAEL,ALEN",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
15:30,,,,,"FOUL  by PHILLIPS,WALTER",,,"FOUL  by PHILLIPS,WALTER",1
15:30,"MISS FT by THOMAS,STERLING",,,,,,,"MISS FT by THOMAS,STERLING",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:30,"GOOD FT by THOMAS,STERLING",9,,9,,MSPS-M 9-9 (0),,"GOOD FT by THOMAS,STERLING",1
15:14,,9,,11 (+2),"GOOD JUMPER by OKPALA,RANSOM(in the paint)",AC-M 9-11 (-2),,"GOOD JUMPER by OKPALA,RANSOM(in the paint)",1
--,,,,,"ASSIST  by GRAHAM,KEVIN",,,"ASSIST  by GRAHAM,KEVIN",1
14:44,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
14:38,,,,,"MISS LAYUP by THOMPSON,ANTOINE",,,"MISS LAYUP by THOMPSON,ANTOINE",1
14:38,"BLOCK  by ALLISON,BRANDON",,,,,,,"BLOCK  by ALLISON,BRANDON",1
--,,,,,"REBOUND OFF by PHILLIPS,WALTER",,,"REBOUND OFF by PHILLIPS,WALTER",1
14:30,,9,,13 (+4),"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",AC-M 9-13 (-4),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",1
14:15,"GOOD 3PTR by MEADES,TAYLOR",12,,13 (+1),,MSPS-M 12-13 (-1),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
14:06,,,,,"TURNOVER  by GRAHAM,KEVIN",,,"TURNOVER  by GRAHAM,KEVIN",1
14:03,"STEAL  by MEADES,TAYLOR",,,,,,,"STEAL  by MEADES,TAYLOR",1
13:59,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by THOMPSON,ANTOINE",,,"REBOUND DEF by THOMPSON,ANTOINE",1
13:47,,,,,"TURNOVER  by THOMPSON,ANTOINE",,,"TURNOVER  by THOMPSON,ANTOINE",1
13:03,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
12:43,,12,,15 (+3),"GOOD JUMPER by OKPALA,RANSOM",AC-M 12-15 (-3),,"GOOD JUMPER by OKPALA,RANSOM",1
--,,,,,"ASSIST  by MICHAEL,ALEN",,,"ASSIST  by MICHAEL,ALEN",1
12:14,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND DEF by CASTLE,COLTON",,,"REBOUND DEF by CASTLE,COLTON",1
12:05,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",1
12:05,,,,,"MISS FT by THOMPSON,ANTOINE",,,"MISS FT by THOMPSON,ANTOINE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:05,,12,,16 (+4),"GOOD FT by THOMPSON,ANTOINE",AC-M 12-16 (-4),,"GOOD FT by THOMPSON,ANTOINE",1
11:47,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
11:22,,,,,"TURNOVER  by CASTLE,COLTON",,,"TURNOVER  by CASTLE,COLTON",1
