Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by WILSON,KEVIN",,,"ASSIST  by WILSON,KEVIN",1
18:29,"MISS JUMPER by MOORER,TERRY",,,,,,,"MISS JUMPER by MOORER,TERRY",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
18:11,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",1
--,"REBOUND DEF by MOORER,TERRY",,,,,,,"REBOUND DEF by MOORER,TERRY",1
18:01,"MISS JUMPER by DUDLEY,BYRON",,,,,,,"MISS JUMPER by DUDLEY,BYRON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
17:54,,,,,"MISS LAYUP by WILSON,KEVIN",,,"MISS LAYUP by WILSON,KEVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:50,"SUB IN by LEE,JERROD",,,,,,,"SUB IN by LEE,JERROD",1
17:50,"SUB OUT by BIAS,JAMAL",,,,,,,"SUB OUT by BIAS,JAMAL",1
17:46,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by MOORER,TERRY",,,,,,,"REBOUND DEF by MOORER,TERRY",1
17:41,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
17:41,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
17:41,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
17:40,"MISS 3PTR by PETTY,RYAN",,,,,,,"MISS 3PTR by PETTY,RYAN",1
--,"REBOUND OFF by DUDLEY,BYRON",,,,,,,"REBOUND OFF by DUDLEY,BYRON",1
17:12,"GOOD JUMPER by DUDLEY,BYRON",2,,4 (+2),,HUNTINGM 2-4 (+2),,"GOOD JUMPER by DUDLEY,BYRON",1
16:54,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
16:54,"BLOCK  by MOORER,TERRY",,,,,,,"BLOCK  by MOORER,TERRY",1
--,"REBOUND DEF by MOORER,TERRY",,,,,,,"REBOUND DEF by MOORER,TERRY",1
16:44,"GOOD LAYUP by LEE,JERROD(in the paint)",4,,4,,HUNTINGM 4-4 (0),,"GOOD LAYUP by LEE,JERROD(in the paint)",1
--,"ASSIST  by PETTY,RYAN",,,,,,,"ASSIST  by PETTY,RYAN",1
16:34,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:28,"SUB IN by HILL,AUSTIN",,,,,,,"SUB IN by HILL,AUSTIN",1
16:28,"SUB OUT by MOORER,TERRY",,,,,,,"SUB OUT by MOORER,TERRY",1
16:28,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",1
16:28,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
16:28,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
16:28,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
16:14,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by DUDLEY,BYRON",,,,,,,"REBOUND DEF by DUDLEY,BYRON",1
16:10,"TURNOVER  by LEE,JERROD",,,,,,,"TURNOVER  by LEE,JERROD",1
15:59,,4,,7 (+3),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 4-7 (+3),,"GOOD 3PTR by KASTNER,MURRAY",1
15:51,"MISS 3PTR by HILL,AUSTIN",,,,,,,"MISS 3PTR by HILL,AUSTIN",1
