Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
06:52,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
06:43,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,2
06:30,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
06:29,"STEAL  by AFFRONTI,LEWIS",,,,,,,"STEAL  by AFFRONTI,LEWIS",2
06:14,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:09,,,,,"FOUL  by GRIFFON,JACKSON",,,"FOUL  by GRIFFON,JACKSON",2
06:09,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
05:38,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:22,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
05:18,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
05:02,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
04:51,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
04:40,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
04:40,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:40,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
04:15,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
04:14,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
03:44,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",2
03:42,"STEAL  by VEAL,ROBERT",,,,,,,"STEAL  by VEAL,ROBERT",2
03:22,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",40,,44 (+4),,SEWANEE 40-44 (+4),,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",2
--,"ASSIST ASSIST by VEAL,ROBERT",,,,,,,"ASSIST ASSIST by VEAL,ROBERT",2
03:19,TIMEOUT TOUT by TEAM,,,,,,,TIMEOUT TOUT by TEAM,2
03:02,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
02:54,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
02:21,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,2
02:17,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",2
02:17,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
02:07,"GOOD LAYUP by CARTER,KESHONN(in the paint)",42,,44 (+2),,SEWANEE 42-44 (+2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
01:30,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
01:25,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
01:24,TIMEOUT TOUT by TEAM,,,,,,,TIMEOUT TOUT by TEAM,2
01:14,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
01:09,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
01:09,"GOOD FT by CARTER,KESHONN",43,,44 (+1),,SEWANEE 43-44 (+1),,"GOOD FT by CARTER,KESHONN",2
01:09,"GOOD FT by CARTER,KESHONN",44,,44,,SEWANEE 44-44 (0),,"GOOD FT by CARTER,KESHONN",2
00:50,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,2
00:49,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,2
00:36,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
00:03,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:03,TIMEOUT TOUT by TEAM,,,,,,,TIMEOUT TOUT by TEAM,2
00:00,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
04:50,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",3
04:50,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",3
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",3
04:21,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",3
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",3
04:06,"GOOD LAYUP by CARTER,KESHONN(in the paint)",46 (+2),,44,,SEWANEE 46-44 (-2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",3
03:33,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",3
03:33,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",3
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",3
03:27,,46,,46,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 46-46 (0),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",3
03:10,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",3
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",3
03:05,"GOOD LAYUP by BROWN,TYLER(in the paint)",48 (+2),,46,,SEWANEE 48-46 (-2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",3
--,"ASSIST ASSIST by BOULDIN,BRETT",,,,,,,"ASSIST ASSIST by BOULDIN,BRETT",3
02:39,,,,,"TURNOVER  by GRIFFON,JACKSON",,,"TURNOVER  by GRIFFON,JACKSON",3
02:36,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",3
02:36,"GOOD FT by BRYANT,VALENTINO",49 (+3),,46,,SEWANEE 49-46 (-3),,"GOOD FT by BRYANT,VALENTINO",3
02:36,"GOOD FT by BRYANT,VALENTINO",50 (+4),,46,,SEWANEE 50-46 (-4),,"GOOD FT by BRYANT,VALENTINO",3
02:20,,50 (+2),,48,"GOOD JUMPER by WILSON,KEVIN",MILLSAPS 50-48 (-2),,"GOOD JUMPER by WILSON,KEVIN",3
--,,,,,"ASSIST ASSIST by CORTESE,NICK",,,"ASSIST ASSIST by CORTESE,NICK",3
--,"ASSIST ASSIST by BOULDIN,BRETT",,,,,,,"ASSIST ASSIST by BOULDIN,BRETT",3
01:55,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",3
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",3
01:41,,50,,50,"GOOD JUMPER by BERGER,RYAN",MILLSAPS 50-50 (0),,"GOOD JUMPER by BERGER,RYAN",3
--,,,,,"ASSIST ASSIST by THOMAS,STERLING",,,"ASSIST ASSIST by THOMAS,STERLING",3
01:21,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",3
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",3
00:49,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",3
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",3
00:26,"GOOD JUMPER by HODGE,NILAN",52 (+2),,50,,SEWANEE 52-50 (-2),,"GOOD JUMPER by HODGE,NILAN",3
00:19,,,,,TIMEOUT TOUT by TEAM,,,TIMEOUT TOUT by TEAM,3
00:09,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",3
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,3
00:00,,52,,53 (+1),"GOOD 3PTR by CORTESE,NICK",MILLSAPS 52-53 (+1),,"GOOD 3PTR by CORTESE,NICK",3
