Time Remaining,MILLSA~1,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
12:19,"GOOD JUMPER by GRIFFON,JACKSON",16 (+6),,10,,MILLSA~1 16-10 (+6),,"GOOD JUMPER by GRIFFON,JACKSON",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
12:13,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:13,,,,,"SUB IN by HILL,AUSTIN",,,"SUB IN by HILL,AUSTIN",1
12:13,,,,,"SUB IN by THOMAS,JEREMIAH",,,"SUB IN by THOMAS,JEREMIAH",1
12:13,,,,,"SUB OUT by MOORER,TERRY",,,"SUB OUT by MOORER,TERRY",1
12:13,,,,,"SUB OUT by MCKINNEY,BEAU",,,"SUB OUT by MCKINNEY,BEAU",1
12:13,,,,,"SUB OUT by LEE,JERROD",,,"SUB OUT by LEE,JERROD",1
11:35,,,,,"MISS JUMPER by PETTY,RYAN",,,"MISS JUMPER by PETTY,RYAN",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
11:27,"GOOD LAYUP by BERGER,RYAN(in the paint)",18 (+8),,10,,MILLSA~1 18-10 (+8),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
11:13,,18 (+6),,12,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",HCM 18-12 (+6),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
--,,,,,"ASSIST  by PETTY,RYAN",,,"ASSIST  by PETTY,RYAN",1
10:55,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,"REBOUND DEF by HILL,AUSTIN",,,"REBOUND DEF by HILL,AUSTIN",1
10:40,,,,,"MISS JUMPER by HILL,AUSTIN",,,"MISS JUMPER by HILL,AUSTIN",1
--,,,,,"REBOUND OFF by EDGAR,COURTNEE",,,"REBOUND OFF by EDGAR,COURTNEE",1
10:29,,,,,"MISS 3PTR by EDGAR,COURTNEE",,,"MISS 3PTR by EDGAR,COURTNEE",1
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",1
10:14,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",1
10:14,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
10:14,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",1
10:14,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
10:14,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
10:14,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
10:14,,,,,"SUB IN by BLACKMON,KANDEN",,,"SUB IN by BLACKMON,KANDEN",1
10:14,,,,,"SUB IN by NORRIS,DEANGELO",,,"SUB IN by NORRIS,DEANGELO",1
10:14,,,,,"SUB OUT by PETTY,RYAN",,,"SUB OUT by PETTY,RYAN",1
10:14,,,,,"SUB OUT by THOMAS,JEREMIAH",,,"SUB OUT by THOMAS,JEREMIAH",1
10:07,"TURNOVER  by WILSON,KEVIN",,,,,,,"TURNOVER  by WILSON,KEVIN",1
09:49,,,,,"MISS LAYUP by BLACKMON,KANDEN",,,"MISS LAYUP by BLACKMON,KANDEN",1
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",1
09:40,"TURNOVER  by WILSON,KEVIN",,,,,,,"TURNOVER  by WILSON,KEVIN",1
09:40,"SUB IN by THOMAS,STERLING",,,,,,,"SUB IN by THOMAS,STERLING",1
09:40,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",1
09:24,,,,,"MISS 3PTR by HILL,AUSTIN",,,"MISS 3PTR by HILL,AUSTIN",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
09:11,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",20 (+8),,12,,MILLSA~1 20-12 (+8),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
08:52,,20 (+6),,14,"GOOD JUMPER by EDGAR,COURTNEE",HCM 20-14 (+6),,"GOOD JUMPER by EDGAR,COURTNEE",1
08:40,"GOOD 3PTR by WILSON,KEVIN",23 (+9),,14,,MILLSA~1 23-14 (+9),,"GOOD 3PTR by WILSON,KEVIN",1
--,"ASSIST  by THOMAS,STERLING",,,,,,,"ASSIST  by THOMAS,STERLING",1
08:28,,,,,"MISS JUMPER by EDGAR,COURTNEE",,,"MISS JUMPER by EDGAR,COURTNEE",1
--,,,,,"REBOUND OFF by HILL,AUSTIN",,,"REBOUND OFF by HILL,AUSTIN",1
08:25,,23 (+7),,16,"GOOD LAYUP by HILL,AUSTIN(in the paint)",HCM 23-16 (+7),,"GOOD LAYUP by HILL,AUSTIN(in the paint)",1
08:03,"MISS LAYUP by ALLISON,BRANDON",,,,,,,"MISS LAYUP by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by HILL,AUSTIN",,,"REBOUND DEF by HILL,AUSTIN",1
07:54,,,,,"MISS LAYUP by HILL,AUSTIN",,,"MISS LAYUP by HILL,AUSTIN",1
07:54,"BLOCK  by WILSON,KEVIN",,,,,,,"BLOCK  by WILSON,KEVIN",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
07:36,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",1
--,,,,,"REBOUND DEF by NORRIS,DEANGELO",,,"REBOUND DEF by NORRIS,DEANGELO",1
07:07,,,,,"MISS 3PTR by EDGAR,COURTNEE",,,"MISS 3PTR by EDGAR,COURTNEE",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
06:54,"MISS LAYUP by THOMAS,STERLING",,,,,,,"MISS LAYUP by THOMAS,STERLING",1
06:54,,,,,"BLOCK  by HILL,AUSTIN",,,"BLOCK  by HILL,AUSTIN",1
--,,,,,"REBOUND DEF by HILL,AUSTIN",,,"REBOUND DEF by HILL,AUSTIN",1
06:53,"FOUL  by ALLISON,BRANDON",,,,,,,"FOUL  by ALLISON,BRANDON",1
06:53,,,,,"SUB IN by DUDLEY,BYRON",,,"SUB IN by DUDLEY,BYRON",1
06:53,,,,,"SUB IN by PETTY,RYAN",,,"SUB IN by PETTY,RYAN",1
06:53,,,,,"SUB IN by THOMAS,JEREMIAH",,,"SUB IN by THOMAS,JEREMIAH",1
06:53,,,,,"SUB IN by MOORER,TERRY",,,"SUB IN by MOORER,TERRY",1
06:53,,,,,"SUB OUT by HILL,AUSTIN",,,"SUB OUT by HILL,AUSTIN",1
06:53,,,,,"SUB OUT by BLACKMON,KANDEN",,,"SUB OUT by BLACKMON,KANDEN",1
06:53,,,,,"SUB OUT by VARNEY,JASON",,,"SUB OUT by VARNEY,JASON",1
06:53,,,,,"SUB OUT by NORRIS,DEANGELO",,,"SUB OUT by NORRIS,DEANGELO",1
06:46,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",1
06:46,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
06:46,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
06:35,,,,,"MISS JUMPER by MOORER,TERRY",,,"MISS JUMPER by MOORER,TERRY",1
--,"REBOUND DEF by THOMAS,STERLING",,,,,,,"REBOUND DEF by THOMAS,STERLING",1
06:27,"TURNOVER  by WILSON,KEVIN",,,,,,,"TURNOVER  by WILSON,KEVIN",1
06:26,,,,,"STEAL  by EDGAR,COURTNEE",,,"STEAL  by EDGAR,COURTNEE",1
06:22,,23 (+5),,18,"GOOD LAYUP by DUDLEY,BYRON(fastbreak)(in the paint)",HCM 23-18 (+5),,"GOOD LAYUP by DUDLEY,BYRON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by EDGAR,COURTNEE",,,"ASSIST  by EDGAR,COURTNEE",1
05:55,,,,,"FOUL  by MOORER,TERRY",,,"FOUL  by MOORER,TERRY",1
05:55,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:55,"GOOD FT by GILLIGAN,TULLY",24 (+6),,18,,MILLSA~1 24-18 (+6),,"GOOD FT by GILLIGAN,TULLY",1
05:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:24,,,,,"MISS JUMPER by THOMAS,JEREMIAH",,,"MISS JUMPER by THOMAS,JEREMIAH",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
05:12,,,,,"FOUL  by DUDLEY,BYRON",,,"FOUL  by DUDLEY,BYRON",1
05:12,"GOOD FT by ALLISON,BRANDON",25 (+7),,18,,MILLSA~1 25-18 (+7),,"GOOD FT by ALLISON,BRANDON",1
05:12,"MISS FT by ALLISON,BRANDON",,,,,,,"MISS FT by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by DUDLEY,BYRON",,,"REBOUND DEF by DUDLEY,BYRON",1
05:12,,,,,"SUB IN by HILL,AUSTIN",,,"SUB IN by HILL,AUSTIN",1
05:12,,,,,"SUB OUT by MOORER,TERRY",,,"SUB OUT by MOORER,TERRY",1
05:02,,25 (+5),,20,"GOOD LAYUP by HILL,AUSTIN(in the paint)",HCM 25-20 (+5),,"GOOD LAYUP by HILL,AUSTIN(in the paint)",1
04:48,"GOOD 3PTR by CORTESE,NICK",28 (+8),,20,,MILLSA~1 28-20 (+8),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
04:34,,,,,"MISS LAYUP by THOMAS,JEREMIAH",,,"MISS LAYUP by THOMAS,JEREMIAH",1
04:34,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:32,,28 (+6),,22,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",HCM 28-22 (+6),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
--,,,,,"ASSIST  by EDGAR,COURTNEE",,,"ASSIST  by EDGAR,COURTNEE",1
04:32,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",1
04:26,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
04:11,,,,,"MISS JUMPER by THOMAS,JEREMIAH",,,"MISS JUMPER by THOMAS,JEREMIAH",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
03:53,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:38,,28 (+4),,24,"GOOD LAYUP by PETTY,RYAN(in the paint)",HCM 28-24 (+4),,"GOOD LAYUP by PETTY,RYAN(in the paint)",1
03:25,"TURNOVER  by THOMAS,STERLING",,,,,,,"TURNOVER  by THOMAS,STERLING",1
03:21,,,,,"STEAL  by PETTY,RYAN",,,"STEAL  by PETTY,RYAN",1
03:19,,,,,"MISS LAYUP by PETTY,RYAN",,,"MISS LAYUP by PETTY,RYAN",1
03:19,"BLOCK  by THOMAS,STERLING",,,,,,,"BLOCK  by THOMAS,STERLING",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
03:10,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
03:10,,,,,"SUB IN by MCKINNEY,BEAU",,,"SUB IN by MCKINNEY,BEAU",1
03:10,,,,,"SUB IN by LEE,JERROD",,,"SUB IN by LEE,JERROD",1
03:10,,,,,"SUB OUT by HILL,AUSTIN",,,"SUB OUT by HILL,AUSTIN",1
03:10,,,,,"SUB OUT by EDGAR,COURTNEE",,,"SUB OUT by EDGAR,COURTNEE",1
02:57,,,,,"MISS 3PTR by PETTY,RYAN",,,"MISS 3PTR by PETTY,RYAN",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
02:31,"MISS LAYUP by ALLISON,BRANDON",,,,,,,"MISS LAYUP by ALLISON,BRANDON",1
--,"REBOUND OFF by ALLISON,BRANDON",,,,,,,"REBOUND OFF by ALLISON,BRANDON",1
02:27,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",30 (+6),,24,,MILLSA~1 30-24 (+6),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
02:16,,,,,"MISS 3PTR by LEE,JERROD",,,"MISS 3PTR by LEE,JERROD",1
--,,,,,"REBOUND OFF by THOMAS,JEREMIAH",,,"REBOUND OFF by THOMAS,JEREMIAH",1
02:10,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
02:10,,,,,"MISS FT by THOMAS,JEREMIAH",,,"MISS FT by THOMAS,JEREMIAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:10,,30 (+5),,25,"GOOD FT by THOMAS,JEREMIAH",HCM 30-25 (+5),,"GOOD FT by THOMAS,JEREMIAH",1
02:10,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
02:10,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",1
02:10,"SUB IN by MOGGED,JEREMY",,,,,,,"SUB IN by MOGGED,JEREMY",1
02:10,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
02:10,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
02:10,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
02:06,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
02:05,,,,,"STEAL  by THOMAS,JEREMIAH",,,"STEAL  by THOMAS,JEREMIAH",1
02:05,,30 (+3),,27,"GOOD LAYUP by VARNEY,JASON(in the paint)",HCM 30-27 (+3),,"GOOD LAYUP by VARNEY,JASON(in the paint)",1
02:05,"FOUL  by MOGGED,JEREMY",,,,,,,"FOUL  by MOGGED,JEREMY",1
02:05,,30 (+2),,28,"GOOD FT by VARNEY,JASON",HCM 30-28 (+2),,"GOOD FT by VARNEY,JASON",1
01:55,"GOOD LAYUP by BERGER,RYAN(in the paint)",32 (+4),,28,,MILLSA~1 32-28 (+4),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,"ASSIST  by GRIFFON,JACKSON",,,,,,,"ASSIST  by GRIFFON,JACKSON",1
01:43,,,,,"TURNOVER  by PETTY,RYAN",,,"TURNOVER  by PETTY,RYAN",1
01:41,"STEAL  by KASTNER,MURRAY",,,,,,,"STEAL  by KASTNER,MURRAY",1
01:38,,,,,"FOUL  by PETTY,RYAN",,,"FOUL  by PETTY,RYAN",1
01:21,"GOOD 3PTR by KASTNER,MURRAY",35 (+7),,28,,MILLSA~1 35-28 (+7),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by GRIFFON,JACKSON",,,,,,,"ASSIST  by GRIFFON,JACKSON",1
01:01,,,,,"MISS JUMPER by LEE,JERROD",,,"MISS JUMPER by LEE,JERROD",1
--,,,,,"REBOUND OFF by MCKINNEY,BEAU",,,"REBOUND OFF by MCKINNEY,BEAU",1
00:56,,,,,"MISS LAYUP by MCKINNEY,BEAU",,,"MISS LAYUP by MCKINNEY,BEAU",1
--,,,,,"REBOUND OFF by THOMAS,JEREMIAH",,,"REBOUND OFF by THOMAS,JEREMIAH",1
00:41,,,,,"MISS LAYUP by THOMAS,JEREMIAH",,,"MISS LAYUP by THOMAS,JEREMIAH",1
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",1
00:27,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
00:27,"SUB OUT by MOGGED,JEREMY",,,,,,,"SUB OUT by MOGGED,JEREMY",1
00:27,,,,,"SUB IN by HILL,AUSTIN",,,"SUB IN by HILL,AUSTIN",1
00:27,,,,,"SUB IN by EDGAR,COURTNEE",,,"SUB IN by EDGAR,COURTNEE",1
00:27,,,,,"SUB OUT by MCKINNEY,BEAU",,,"SUB OUT by MCKINNEY,BEAU",1
00:27,,,,,"SUB OUT by LEE,JERROD",,,"SUB OUT by LEE,JERROD",1
00:23,,,,,"FOUL  by DUDLEY,BYRON",,,"FOUL  by DUDLEY,BYRON",1
00:14,"MISS LAYUP by ALLISON,BRANDON",,,,,,,"MISS LAYUP by ALLISON,BRANDON",1
00:14,,,,,"BLOCK  by THOMAS,JEREMIAH",,,"BLOCK  by THOMAS,JEREMIAH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:00,,,,,"MISS 3PTR by PETTY,RYAN",,,"MISS 3PTR by PETTY,RYAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB IN by EDGAR,COURTNEE",,,"SUB IN by EDGAR,COURTNEE",2
20:00,,,,,"SUB OUT by DUDLEY,BYRON",,,"SUB OUT by DUDLEY,BYRON",2
19:47,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND OFF by THOMAS,STERLING",,,,,,,"REBOUND OFF by THOMAS,STERLING",2
19:43,"GOOD LAYUP by THOMAS,STERLING(in the paint)",37 (+9),,28,,MILLSA~1 37-28 (+9),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
19:43,,,,,"FOUL  by HILL,AUSTIN",,,"FOUL  by HILL,AUSTIN",2
19:43,"GOOD FT by THOMAS,STERLING",38 (+10),,28,,MILLSA~1 38-28 (+10),,"GOOD FT by THOMAS,STERLING",2
19:26,"FOUL  by THOMAS,STERLING",,,,,,,"FOUL  by THOMAS,STERLING",2
19:26,,38 (+9),,29,"GOOD FT by HILL,AUSTIN",HCM 38-29 (+9),,"GOOD FT by HILL,AUSTIN",2
19:26,,,,,"MISS FT by HILL,AUSTIN",,,"MISS FT by HILL,AUSTIN",2
--,,,,,"REBOUND OFF by THOMAS,JEREMIAH",,,"REBOUND OFF by THOMAS,JEREMIAH",2
19:11,,38 (+7),,31,"GOOD LAYUP by PETTY,RYAN(in the paint)",HCM 38-31 (+7),,"GOOD LAYUP by PETTY,RYAN(in the paint)",2
