Time Remaining,COVMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:31,"MISS JUMPER by SEARS,CALLUM",,,,,,,"MISS JUMPER by SEARS,CALLUM",1
19:31,,,,,"BLOCK  by THOMAS,STERLING",,,"BLOCK  by THOMAS,STERLING",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:23,"TURNOVER  by MOSS,DANTE",,,,,,,"TURNOVER  by MOSS,DANTE",1
19:21,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",1
19:16,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:56,"MISS JUMPER by DANEK,JOEY",,,,,,,"MISS JUMPER by DANEK,JOEY",1
--,"REBOUND OFF by DANEK,JOEY",,,,,,,"REBOUND OFF by DANEK,JOEY",1
18:53,"MISS JUMPER by DANEK,JOEY",,,,,,,"MISS JUMPER by DANEK,JOEY",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
18:47,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
18:38,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",1
18:34,"FOUL  by MUTCHERSON,ROSBIE",,,,,,,"FOUL  by MUTCHERSON,ROSBIE",1
18:34,,0,,1 (+1),"GOOD FT by THOMAS,STERLING",MILLSAPS 0-1 (+1),,"GOOD FT by THOMAS,STERLING",1
18:34,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
18:34,"GOOD JUMPER by MCGRIFF,COLTON",2 (+1),,1,,COVMBB 2-1 (-1),,"GOOD JUMPER by MCGRIFF,COLTON",1
--,"ASSIST  by SEARS,CALLUM",,,,,,,"ASSIST  by SEARS,CALLUM",1
18:30,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",1
18:23,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
18:23,"SUB IN by BOYD,CHRIS",,,,,,,"SUB IN by BOYD,CHRIS",1
18:23,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
17:59,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",1
17:35,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
17:24,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by MUTCHERSON,ROSBIE",,,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",1
17:01,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",1
17:01,"SUB IN by FERGUSON,TERON",,,,,,,"SUB IN by FERGUSON,TERON",1
17:01,"SUB IN by COX,TJ",,,,,,,"SUB IN by COX,TJ",1
17:01,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",1
17:01,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
17:01,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
17:01,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
16:52,"MISS LAYUP by FERGUSON,TERON",,,,,,,"MISS LAYUP by FERGUSON,TERON",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
16:44,"FOUL  by COX,TJ",,,,,,,"FOUL  by COX,TJ",1
16:44,,2,,2,"GOOD FT by THOMAS,STERLING",MILLSAPS 2-2 (0),,"GOOD FT by THOMAS,STERLING",1
16:44,,,,,"MISS FT by THOMAS,STERLING",,,"MISS FT by THOMAS,STERLING",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:44,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
16:44,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
16:38,,2,,5 (+3),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 2-5 (+3),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GRIFFON,JACKSON",,,"ASSIST  by GRIFFON,JACKSON",1
16:13,"MISS LAYUP by MCGRIFF,COLTON",,,,,,,"MISS LAYUP by MCGRIFF,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:09,"FOUL  by DANEK,JOEY",,,,,,,"FOUL  by DANEK,JOEY",1
16:09,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
16:09,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",1
16:09,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",1
16:09,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
16:09,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
16:09,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
16:09,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
16:09,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
16:08,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
16:08,"BLOCK  by ENGBERS,BRYANT",,,,,,,"BLOCK  by ENGBERS,BRYANT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:54,,,,,"MISS JUMPER by GRIFFON,JACKSON",,,"MISS JUMPER by GRIFFON,JACKSON",1
--,,,,,"REBOUND OFF by ALLISON,BRANDON",,,"REBOUND OFF by ALLISON,BRANDON",1
15:49,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",1
--,"REBOUND DEF by FERGUSON,TERON",,,,,,,"REBOUND DEF by FERGUSON,TERON",1
15:28,"TURNOVER  by ENGBERS,BRYANT",,,,,,,"TURNOVER  by ENGBERS,BRYANT",1
15:28,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
15:28,"SUB OUT by FERGUSON,TERON",,,,,,,"SUB OUT by FERGUSON,TERON",1
