Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,RUST,Game Score,Team Indicator,Play,Period
16:22,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,"REBOUND DEF by THOMPSON,SHUN",,,"REBOUND DEF by THOMPSON,SHUN",1
16:02,,8,,9 (+1),"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",RUST 8-9 (-1),,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",1
15:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:54,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",1
15:54,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",1
15:44,"GOOD 3PTR by KASTNER,MURRAY",11 (+2),,9,,MILLSAPS 11-9 (+2),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by WILSON,KEVIN",,,,,,,"ASSIST  by WILSON,KEVIN",1
15:21,,,,,"TURNOVER  by BURKS,TEVIN",,,"TURNOVER  by BURKS,TEVIN",1
15:14,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",1
15:14,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
15:02,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",,,"REBOUND DEF by BOWENS,JOHNATHAN",1
14:45,,,,,"MISS 3PTR by BOWENS,JOHNATHAN",,,"MISS 3PTR by BOWENS,JOHNATHAN",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
14:35,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
14:35,,,,,"STEAL  by GREDIC,KWAHMERE",,,"STEAL  by GREDIC,KWAHMERE",1
14:35,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
14:24,,11,,11,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",RUST 11-11 (0),,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",1
--,,,,,"ASSIST  by GREDIC,KWAHMERE",,,"ASSIST  by GREDIC,KWAHMERE",1
14:16,"SUB IN by DETILLIEU,RYAN",,,,,,,"SUB IN by DETILLIEU,RYAN",1
14:16,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
13:55,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
13:52,"GOOD LAYUP by BERGER,RYAN(in the paint)",13 (+2),,11,,MILLSAPS 13-11 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
13:40,,13,,13,"GOOD LAYUP by SEALS,JORDAN(in the paint)",RUST 13-13 (0),,"GOOD LAYUP by SEALS,JORDAN(in the paint)",1
13:40,"FOUL  by WILSON,KEVIN",,,,,,,"FOUL  by WILSON,KEVIN",1
13:40,,13,,14 (+1),"GOOD FT by SEALS,JORDAN",RUST 13-14 (-1),,"GOOD FT by SEALS,JORDAN",1
13:40,,,,,"SUB IN by BARNS,KELSEY",,,"SUB IN by BARNS,KELSEY",1
13:40,,,,,"SUB OUT by THOMPSON,SHUN",,,"SUB OUT by THOMPSON,SHUN",1
13:28,,,,,"SUB IN by MCCOLLUM,RICKEY",,,"SUB IN by MCCOLLUM,RICKEY",1
13:28,,,,,"SUB OUT by GREDIC,KWAHMERE",,,"SUB OUT by GREDIC,KWAHMERE",1
13:20,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
13:20,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
13:14,"MISS JUMPER by ALLISON,BRANDON",,,,,,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by BURKS,TEVIN",,,"REBOUND DEF by BURKS,TEVIN",1
13:01,,,,,"MISS LAYUP by MCCOLLUM,RICKEY",,,"MISS LAYUP by MCCOLLUM,RICKEY",1
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",1
12:32,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by MCCOLLUM,RICKEY",,,"REBOUND DEF by MCCOLLUM,RICKEY",1
12:08,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",1
12:08,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
12:08,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",1
12:08,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
12:08,,,,,"SUB IN by VEASLEY,LARRY",,,"SUB IN by VEASLEY,LARRY",1
12:08,,,,,"SUB OUT by BOWENS,JOHNATHAN",,,"SUB OUT by BOWENS,JOHNATHAN",1
11:58,,,,,"SUB IN by GREDIC,KWAHMERE",,,"SUB IN by GREDIC,KWAHMERE",1
11:58,,,,,"SUB OUT by MCCOLLUM,RICKEY",,,"SUB OUT by MCCOLLUM,RICKEY",1
11:50,,,,,"MISS LAYUP by SEALS,JORDAN",,,"MISS LAYUP by SEALS,JORDAN",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
11:33,"GOOD JUMPER by KASTNER,MURRAY",15 (+1),,14,,MILLSAPS 15-14 (+1),,"GOOD JUMPER by KASTNER,MURRAY",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
10:29,,,,,"MISS JUMPER by MCCOLLUM,RICKEY",,,"MISS JUMPER by MCCOLLUM,RICKEY",1
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",1
10:01,"TURNOVER  by DETILLIEU,RYAN",,,,,,,"TURNOVER  by DETILLIEU,RYAN",1
10:01,,,,,"SUB IN by SCOTT,JEREMY",,,"SUB IN by SCOTT,JEREMY",1
10:01,,,,,"SUB OUT by SEALS,JORDAN",,,"SUB OUT by SEALS,JORDAN",1
09:32,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
09:32,,15,,15,"GOOD FT by SCOTT,JEREMY",RUST 15-15 (0),,"GOOD FT by SCOTT,JEREMY",1
09:32,,15,,16 (+1),"GOOD FT by SCOTT,JEREMY",RUST 15-16 (-1),,"GOOD FT by SCOTT,JEREMY",1
09:32,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
09:32,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
09:32,"SUB OUT by ALLISON,BRANDON",,,,,,,"SUB OUT by ALLISON,BRANDON",1
09:32,"SUB OUT by DETILLIEU,RYAN",,,,,,,"SUB OUT by DETILLIEU,RYAN",1
08:53,"MISS JUMPER by GRIFFON,JACKSON",,,,,,,"MISS JUMPER by GRIFFON,JACKSON",1
--,"REBOUND OFF by GRIFFON,JACKSON",,,,,,,"REBOUND OFF by GRIFFON,JACKSON",1
08:36,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
08:20,,,,,"MISS 3PTR by VEASLEY,LARRY",,,"MISS 3PTR by VEASLEY,LARRY",1
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",1
08:00,,,,,"SUB IN by MCCOLLUM,RICKEY",,,"SUB IN by MCCOLLUM,RICKEY",1
08:00,,,,,"SUB OUT by GREDIC,KWAHMERE",,,"SUB OUT by GREDIC,KWAHMERE",1
07:46,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
07:26,,,,,"SUB IN by GREDIC,KWAHMERE",,,"SUB IN by GREDIC,KWAHMERE",1
07:26,,,,,"SUB OUT by VEASLEY,LARRY",,,"SUB OUT by VEASLEY,LARRY",1
07:22,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",17 (+1),,16,,MILLSAPS 17-16 (+1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
07:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:28,,,,,"MISS LAYUP by VEASLEY,LARRY",,,"MISS LAYUP by VEASLEY,LARRY",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
08:44,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",19 (+3),,16,,MILLSAPS 19-16 (+3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
08:00,,,,,"MISS 3PTR by MCCOLLUM,RICKEY",,,"MISS 3PTR by MCCOLLUM,RICKEY",1
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",1
07:39,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND DEF by MCCOLLUM,RICKEY",,,"REBOUND DEF by MCCOLLUM,RICKEY",1
07:26,,19,,19,"GOOD 3PTR by GREDIC,KWAHMERE",RUST 19-19 (0),,"GOOD 3PTR by GREDIC,KWAHMERE",1
06:47,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",1
--,,,,,"REBOUND DEF by MCCOLLUM,RICKEY",,,"REBOUND DEF by MCCOLLUM,RICKEY",1
06:34,,,,,"SUB IN by BEASLEY,KARL",,,"SUB IN by BEASLEY,KARL",1
06:34,,,,,"SUB OUT by MCCOLLUM,RICKEY",,,"SUB OUT by MCCOLLUM,RICKEY",1
06:31,,,,,"SUB IN by VEASLEY,LARRY",,,"SUB IN by VEASLEY,LARRY",1
06:31,,,,,"SUB OUT by BURKS,TEVIN",,,"SUB OUT by BURKS,TEVIN",1
06:27,,19,,22 (+3),"GOOD 3PTR by VEASLEY,LARRY",RUST 19-22 (-3),,"GOOD 3PTR by VEASLEY,LARRY",1
06:23,,,,,"SUB IN by MCCOLLUM,RICKEY",,,"SUB IN by MCCOLLUM,RICKEY",1
06:23,,,,,"SUB OUT by GREDIC,KWAHMERE",,,"SUB OUT by GREDIC,KWAHMERE",1
05:36,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by SCOTT,JEREMY",,,"REBOUND DEF by SCOTT,JEREMY",1
05:16,,19,,24 (+5),"GOOD LAYUP by VEASLEY,LARRY(in the paint)",RUST 19-24 (-5),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
07:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:53,"GOOD 3PTR by KASTNER,MURRAY",22,,24 (+2),,MILLSAPS 22-24 (-2),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
06:14,,,,,"MISS 3PTR by BARNS,KELSEY",,,"MISS 3PTR by BARNS,KELSEY",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
05:27,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
05:23,,,,,"STEAL  by BARNS,KELSEY",,,"STEAL  by BARNS,KELSEY",1
05:12,,,,,"TURNOVER  by VEASLEY,LARRY",,,"TURNOVER  by VEASLEY,LARRY",1
05:12,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",1
05:12,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
04:43,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",1
04:43,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",1
04:35,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",1
04:35,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",1
04:16,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND DEF by VEASLEY,LARRY",,,"REBOUND DEF by VEASLEY,LARRY",1
04:00,,,,,"MISS 3PTR by MCCOLLUM,RICKEY",,,"MISS 3PTR by MCCOLLUM,RICKEY",1
--,,,,,"REBOUND OFF by BARNS,KELSEY",,,"REBOUND OFF by BARNS,KELSEY",1
03:43,"FOUL  by ALLISON,BRANDON",,,,,,,"FOUL  by ALLISON,BRANDON",1
03:43,,,,,"MISS FT by BARNS,KELSEY",,,"MISS FT by BARNS,KELSEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:43,,22,,25 (+3),"GOOD FT by BARNS,KELSEY",RUST 22-25 (-3),,"GOOD FT by BARNS,KELSEY",1
03:43,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
03:43,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
03:14,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
03:12,,,,,"STEAL  by BARNS,KELSEY",,,"STEAL  by BARNS,KELSEY",1
03:07,,,,,"MISS LAYUP by BARNS,KELSEY",,,"MISS LAYUP by BARNS,KELSEY",1
--,,,,,"REBOUND OFF by BARNS,KELSEY",,,"REBOUND OFF by BARNS,KELSEY",1
02:51,,,,,"MISS 3PTR by BARNS,KELSEY",,,"MISS 3PTR by BARNS,KELSEY",1
--,,,,,"REBOUND OFF by SCOTT,JEREMY",,,"REBOUND OFF by SCOTT,JEREMY",1
02:31,,,,,"SUB IN by THOMPSON,SHUN",,,"SUB IN by THOMPSON,SHUN",1
02:31,,,,,"SUB OUT by MCCOLLUM,RICKEY",,,"SUB OUT by MCCOLLUM,RICKEY",1
02:09,,,,,"SUB IN by LOVE,O'DARIUS",,,"SUB IN by LOVE,O'DARIUS",1
02:09,,,,,"SUB IN by GREDIC,KWAHMERE",,,"SUB IN by GREDIC,KWAHMERE",1
02:09,,,,,"SUB OUT by SCOTT,JEREMY",,,"SUB OUT by SCOTT,JEREMY",1
02:09,,,,,"SUB OUT by THOMPSON,SHUN",,,"SUB OUT by THOMPSON,SHUN",1
02:01,,,,,"MISS LAYUP by BEASLEY,KARL",,,"MISS LAYUP by BEASLEY,KARL",1
--,,,,,"REBOUND OFF by BARNS,KELSEY",,,"REBOUND OFF by BARNS,KELSEY",1
01:49,,22,,27 (+5),"GOOD LAYUP by BARNS,KELSEY(in the paint)",RUST 22-27 (-5),,"GOOD LAYUP by BARNS,KELSEY(in the paint)",1
01:30,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",1
01:30,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
01:30,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",1
01:30,"SUB OUT by MOGGED,JEREMY",,,,,,,"SUB OUT by MOGGED,JEREMY",1
01:30,,,,,"SUB IN by THOMPSON,SHUN",,,"SUB IN by THOMPSON,SHUN",1
01:30,,,,,"SUB OUT by BEASLEY,KARL",,,"SUB OUT by BEASLEY,KARL",1
01:05,,,,,"FOUL  by SCOTT,JEREMY",,,"FOUL  by SCOTT,JEREMY",1
01:05,"GOOD FT by BERGER,RYAN",23,,27 (+4),,MILLSAPS 23-27 (-4),,"GOOD FT by BERGER,RYAN",1
01:05,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",1
--,,,,,"REBOUND DEF by VEASLEY,LARRY",,,"REBOUND DEF by VEASLEY,LARRY",1
00:50,,,,,"MISS 3PTR by THOMPSON,SHUN",,,"MISS 3PTR by THOMPSON,SHUN",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
00:15,"GOOD 3PTR by WILSON,KEVIN",26,,27 (+1),,MILLSAPS 26-27 (-1),,"GOOD 3PTR by WILSON,KEVIN",1
--,"ASSIST  by ALLISON,BRANDON",,,,,,,"ASSIST  by ALLISON,BRANDON",1
00:03,,26,,29 (+3),"GOOD LAYUP by SCOTT,JEREMY(in the paint)",RUST 26-29 (-3),,"GOOD LAYUP by SCOTT,JEREMY(in the paint)",1
00:03,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
00:03,,,,,"MISS LAYUP by BARNS,KELSEY",,,"MISS LAYUP by BARNS,KELSEY",1
02:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
01:45,,,,,"MISS JUMPER by BARNS,KELSEY",,,"MISS JUMPER by BARNS,KELSEY",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
01:13,"MISS JUMPER by ALLISON,BRANDON",,,,,,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by BEASLEY,KARL",,,"REBOUND DEF by BEASLEY,KARL",1
00:53,,26,,32 (+6),"GOOD 3PTR by VEASLEY,LARRY",RUST 26-32 (-6),,"GOOD 3PTR by VEASLEY,LARRY",1
--,,,,,"ASSIST  by BEASLEY,KARL",,,"ASSIST  by BEASLEY,KARL",1
00:18,"MISS JUMPER by ALLISON,BRANDON",,,,,,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by BARNS,KELSEY",,,"REBOUND DEF by BARNS,KELSEY",1
00:24,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
00:04,"GOOD LAYUP by CORTESE,NICK(in the paint)",28,,32 (+4),,MILLSAPS 28-32 (-4),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
00:03,"SUB IN by MOGGED,JEREMY",,,,,,,"SUB IN by MOGGED,JEREMY",1
00:03,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",1
00:03,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
00:03,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
00:00,,,,,"MISS 3PTR by GREDIC,KWAHMERE",,,"MISS 3PTR by GREDIC,KWAHMERE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:29,"GOOD LAYUP by BERGER,RYAN(in the paint)",30,,32 (+2),,MILLSAPS 30-32 (-2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
18:49,,,,,"MISS JUMPER by BURKS,TEVIN",,,"MISS JUMPER by BURKS,TEVIN",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
17:52,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND OFF by CORTESE,NICK",,,,,,,"REBOUND OFF by CORTESE,NICK",2
17:42,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
17:40,,,,,"STEAL  by GREDIC,KWAHMERE",,,"STEAL  by GREDIC,KWAHMERE",2
17:38,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
17:32,,30,,34 (+4),"GOOD LAYUP by SEALS,JORDAN(in the paint)",RUST 30-34 (-4),,"GOOD LAYUP by SEALS,JORDAN(in the paint)",2
17:03,"GOOD 3PTR by GRIFFON,JACKSON",33,,34 (+1),,MILLSAPS 33-34 (-1),,"GOOD 3PTR by GRIFFON,JACKSON",2
16:18,,33,,37 (+4),"GOOD 3PTR by GREDIC,KWAHMERE",RUST 33-37 (-4),,"GOOD 3PTR by GREDIC,KWAHMERE",2
15:43,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
15:43,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
15:43,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
15:31,"SUB IN by CORTESE,NICK",,,,,,,"SUB IN by CORTESE,NICK",2
15:31,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",2
15:20,,,,,"MISS JUMPER by THOMPSON,SHUN",,,"MISS JUMPER by THOMPSON,SHUN",2
--,"REBOUND DEF by GRIFFON,JACKSON",,,,,,,"REBOUND DEF by GRIFFON,JACKSON",2
14:29,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:41,,33,,39 (+6),"GOOD LAYUP by THOMPSON,SHUN(in the paint)",RUST 33-39 (-6),,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",2
13:35,"SUB IN by WILSON,KEVIN",,,,,,,"SUB IN by WILSON,KEVIN",2
13:35,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
13:11,"MISS JUMPER by WILSON,KEVIN",,,,,,,"MISS JUMPER by WILSON,KEVIN",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
12:50,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",2
--,,,,,"REBOUND DEF by BURKS,TEVIN",,,"REBOUND DEF by BURKS,TEVIN",2
12:25,,,,,"SUB IN by SCOTT,JEREMY",,,"SUB IN by SCOTT,JEREMY",2
12:25,,,,,"SUB OUT by BOWENS,JOHNATHAN",,,"SUB OUT by BOWENS,JOHNATHAN",2
12:09,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
12:09,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
12:07,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
12:07,"SUB OUT by ALLISON,BRANDON",,,,,,,"SUB OUT by ALLISON,BRANDON",2
12:06,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
12:06,,,,,"MISS FT by BURKS,TEVIN",,,"MISS FT by BURKS,TEVIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:06,,,,,"MISS FT by BURKS,TEVIN",,,"MISS FT by BURKS,TEVIN",2
--,"REBOUND DEF by ALLISON,BRANDON",,,,,,,"REBOUND DEF by ALLISON,BRANDON",2
12:06,"SUB IN by ALLISON,BRANDON",,,,,,,"SUB IN by ALLISON,BRANDON",2
12:06,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",2
11:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:59,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",2
--,,,,,"REBOUND DEF by THOMPSON,SHUN",,,"REBOUND DEF by THOMPSON,SHUN",2
14:11,,,,,"MISS 3PTR by GREDIC,KWAHMERE",,,"MISS 3PTR by GREDIC,KWAHMERE",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
13:42,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
13:41,,,,,"STEAL  by GREDIC,KWAHMERE",,,"STEAL  by GREDIC,KWAHMERE",2
13:35,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
13:35,,33,,40 (+7),"GOOD FT by GREDIC,KWAHMERE",RUST 33-40 (-7),,"GOOD FT by GREDIC,KWAHMERE",2
13:35,,33,,41 (+8),"GOOD FT by GREDIC,KWAHMERE",RUST 33-41 (-8),,"GOOD FT by GREDIC,KWAHMERE",2
12:46,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",2
--,"REBOUND OFF by ALLISON,BRANDON",,,,,,,"REBOUND OFF by ALLISON,BRANDON",2
