Time Remaining,UDMB,Away Team Score,Play Team Indicator,Home Team Score,MSPS-M,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS JUMPER by ALLISON,BRANDON",,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",1
19:27,,0,,2 (+2),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MSPS-M 0-2 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by MEADES,TAYLOR",,,"ASSIST  by MEADES,TAYLOR",1
19:03,"MISS LAYUP by BLACKBURN,BLAINE",,,,,,,"MISS LAYUP by BLACKBURN,BLAINE",1
19:02,,,,,"FOUL  by WILSON,KEVIN",,,"FOUL  by WILSON,KEVIN",1
19:02,"GOOD FT by BLACKBURN,BLAINE",1,,2 (+1),,UDMB 1-2 (+1),,"GOOD FT by BLACKBURN,BLAINE",1
19:02,"GOOD FT by BLACKBURN,BLAINE",2,,2,,UDMB 2-2 (0),,"GOOD FT by BLACKBURN,BLAINE",1
18:55,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",1
18:55,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",1
18:39,"MISS 3PTR by ASSINESI,DREW",,,,,,,"MISS 3PTR by ASSINESI,DREW",1
--,"REBOUND OFF by BLACKBURN,BLAINE",,,,,,,"REBOUND OFF by BLACKBURN,BLAINE",1
18:20,"MISS JUMPER by DAVIDSON,ROSS",,,,,,,"MISS JUMPER by DAVIDSON,ROSS",1
--,"REBOUND OFF by MALONE,KYM",,,,,,,"REBOUND OFF by MALONE,KYM",1
18:03,"TURNOVER  by BRUFFEY,TANNER",,,,,,,"TURNOVER  by BRUFFEY,TANNER",1
18:01,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
17:57,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
17:56,"STEAL  by MALONE,KYM",,,,,,,"STEAL  by MALONE,KYM",1
17:54,"TURNOVER  by MALONE,KYM",,,,,,,"TURNOVER  by MALONE,KYM",1
17:45,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
17:44,"STEAL  by BLACKBURN,BLAINE",,,,,,,"STEAL  by BLACKBURN,BLAINE",1
17:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:41,"MISS JUMPER by BRUFFEY,TANNER",,,,,,,"MISS JUMPER by BRUFFEY,TANNER",1
--,,,,,"REBOUND DEF by THOMAS,STERLING",,,"REBOUND DEF by THOMAS,STERLING",1
17:40,"FOUL  by BRUFFEY,TANNER",,,,,,,"FOUL  by BRUFFEY,TANNER",1
17:21,,2,,5 (+3),"GOOD 3PTR by MEADES,TAYLOR",MSPS-M 2-5 (+3),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",1
17:02,"MISS JUMPER by DAVIDSON,ROSS",,,,,,,"MISS JUMPER by DAVIDSON,ROSS",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
16:55,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",1
--,"REBOUND DEF by MALONE,KYM",,,,,,,"REBOUND DEF by MALONE,KYM",1
16:36,"MISS JUMPER by DAVIDSON,ROSS",,,,,,,"MISS JUMPER by DAVIDSON,ROSS",1
16:36,,,,,"BLOCK  by WILSON,KEVIN",,,"BLOCK  by WILSON,KEVIN",1
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",1
16:30,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",1
16:25,,,,,"MISS LAYUP by THOMAS,STERLING",,,"MISS LAYUP by THOMAS,STERLING",1
--,,,,,"REBOUND OFF by WILSON,KEVIN",,,"REBOUND OFF by WILSON,KEVIN",1
