Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
13:34,"SUB OUT by BARNS,KELSEY",,,,,,,"SUB OUT by BARNS,KELSEY",1
13:34,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
13:34,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
13:34,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
13:34,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
13:15,"MISS JUMPER by VEASLEY,LARRY",,,,,,,"MISS JUMPER by VEASLEY,LARRY",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
13:08,,15 (+2),,13,"GOOD 3PTR by WILSON,KEVIN",MILLSAPS 15-13 (-2),,"GOOD 3PTR by WILSON,KEVIN",1
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",1
12:49,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",17 (+4),,13,,RUST 17-13 (-4),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
12:16,,,,,"MISS LAYUP by KASTNER,MURRAY",,,"MISS LAYUP by KASTNER,MURRAY",1
--,"REBOUND DEF by BEASLEY,KARL",,,,,,,"REBOUND DEF by BEASLEY,KARL",1
11:59,"MISS LAYUP by SEALS,JORDAN",,,,,,,"MISS LAYUP by SEALS,JORDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:55,"SUB IN by LOVE,O'DARIUS",,,,,,,"SUB IN by LOVE,O'DARIUS",1
11:55,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",1
11:55,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
11:55,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
11:39,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,"REBOUND DEF by BEASLEY,KARL",,,,,,,"REBOUND DEF by BEASLEY,KARL",1
11:28,"FOUL  by LOVE,O'DARIUS",,,,,,,"FOUL  by LOVE,O'DARIUS",1
11:13,,17 (+2),,15,"GOOD JUMPER by CORTESE,NICK",MILLSAPS 17-15 (-2),,"GOOD JUMPER by CORTESE,NICK",1
11:00,"GOOD LAYUP by LOVE,O'DARIUS(in the paint)",19 (+4),,15,,RUST 19-15 (-4),,"GOOD LAYUP by LOVE,O'DARIUS(in the paint)",1
10:31,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND OFF by ALLISON,BRANDON",,,"REBOUND OFF by ALLISON,BRANDON",1
10:27,,19 (+2),,17,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 19-17 (-2),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
10:10,"MISS 3PTR by THOMPSON,SHUN",,,,,,,"MISS 3PTR by THOMPSON,SHUN",1
--,"REBOUND OFF by BEASLEY,KARL",,,,,,,"REBOUND OFF by BEASLEY,KARL",1
10:07,"GOOD LAYUP by BEASLEY,KARL(in the paint)",21 (+4),,17,,RUST 21-17 (-4),,"GOOD LAYUP by BEASLEY,KARL(in the paint)",1
09:49,,21 (+1),,20,"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 21-20 (-1),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
09:20,"GOOD JUMPER by THOMPSON,SHUN",23 (+3),,20,,RUST 23-20 (-3),,"GOOD JUMPER by THOMPSON,SHUN",1
09:10,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
09:10,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
09:10,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
09:10,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
09:10,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
09:10,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
09:10,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
09:02,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,"REBOUND OFF by BURKS,TEVIN",,,,,,,"REBOUND OFF by BURKS,TEVIN",1
08:45,"SUB IN by BURKS,TEVIN",,,,,,,"SUB IN by BURKS,TEVIN",1
08:45,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
08:42,"TURNOVER  by THOMPSON,SHUN",,,,,,,"TURNOVER  by THOMPSON,SHUN",1
08:41,"FOUL  by THOMPSON,SHUN",,,,,,,"FOUL  by THOMPSON,SHUN",1
08:21,,23 (+1),,22,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",MILLSAPS 23-22 (-1),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
08:06,"GOOD LAYUP by BURKS,TEVIN(in the paint)",25 (+3),,22,,RUST 25-22 (-3),,"GOOD LAYUP by BURKS,TEVIN(in the paint)",1
07:52,"SUB IN by SCOTT,JEREMY",,,,,,,"SUB IN by SCOTT,JEREMY",1
07:52,"SUB OUT by LOVE,O'DARIUS",,,,,,,"SUB OUT by LOVE,O'DARIUS",1
07:52,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",1
07:52,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
07:24,,25,,25,"GOOD 3PTR by GRIFFON,JACKSON",MILLSAPS 25-25 (0),,"GOOD 3PTR by GRIFFON,JACKSON",1
--,,,,,"ASSIST  by WILSON,KEVIN",,,"ASSIST  by WILSON,KEVIN",1
07:08,"TURNOVER  by BEASLEY,KARL",,,,,,,"TURNOVER  by BEASLEY,KARL",1
07:08,"SUB IN by GREDIC,KWAHMERE",,,,,,,"SUB IN by GREDIC,KWAHMERE",1
07:08,"SUB IN by MCCOLLUM,RICKEY",,,,,,,"SUB IN by MCCOLLUM,RICKEY",1
07:08,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",1
07:08,"SUB OUT by BEASLEY,KARL",,,,,,,"SUB OUT by BEASLEY,KARL",1
06:59,,25,,27 (+2),"GOOD LAYUP by THOMAS,STERLING(in the paint)",MILLSAPS 25-27 (+2),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",1
06:59,"FOUL  by THOMPSON,SHUN",,,,,,,"FOUL  by THOMPSON,SHUN",1
06:59,,25,,28 (+3),"GOOD FT by THOMAS,STERLING",MILLSAPS 25-28 (+3),,"GOOD FT by THOMAS,STERLING",1
06:47,"TURNOVER  by BURKS,TEVIN",,,,,,,"TURNOVER  by BURKS,TEVIN",1
06:29,,25,,30 (+5),"GOOD JUMPER by WILSON,KEVIN",MILLSAPS 25-30 (+5),,"GOOD JUMPER by WILSON,KEVIN",1
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",1
06:13,"MISS JUMPER by THOMPSON,SHUN",,,,,,,"MISS JUMPER by THOMPSON,SHUN",1
--,"REBOUND OFF by THOMPSON,SHUN",,,,,,,"REBOUND OFF by THOMPSON,SHUN",1
06:06,,,,,"FOUL  by GRIFFON,JACKSON",,,"FOUL  by GRIFFON,JACKSON",1
06:06,"GOOD FT by THOMPSON,SHUN",26,,30 (+4),,RUST 26-30 (+4),,"GOOD FT by THOMPSON,SHUN",1
06:06,"GOOD FT by THOMPSON,SHUN",27,,30 (+3),,RUST 27-30 (+3),,"GOOD FT by THOMPSON,SHUN",1
05:54,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:45,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",1
05:45,"MISS FT by SCOTT,JEREMY",,,,,,,"MISS FT by SCOTT,JEREMY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:45,"GOOD FT by THOMPSON,SHUN",28,,30 (+2),,RUST 28-30 (+2),,"GOOD FT by THOMPSON,SHUN",1
05:45,"SUB IN by GAMBLE,CHRIS",,,,,,,"SUB IN by GAMBLE,CHRIS",1
05:45,"SUB OUT by BURKS,TEVIN",,,,,,,"SUB OUT by BURKS,TEVIN",1
05:45,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
05:45,,,,,"SUB OUT by GRIFFON,JACKSON",,,"SUB OUT by GRIFFON,JACKSON",1
05:22,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by SCOTT,JEREMY",,,,,,,"REBOUND DEF by SCOTT,JEREMY",1
05:10,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",30,,30,,RUST 30-30 (0),,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",1
05:08,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
04:58,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",1
--,,,,,"REBOUND OFF by ALLISON,BRANDON",,,"REBOUND OFF by ALLISON,BRANDON",1
04:55,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by THOMAS,STERLING",,,"REBOUND OFF by THOMAS,STERLING",1
04:45,,,,,"TURNOVER  by THOMAS,STERLING",,,"TURNOVER  by THOMAS,STERLING",1
04:44,"STEAL  by SCOTT,JEREMY",,,,,,,"STEAL  by SCOTT,JEREMY",1
04:43,"GOOD LAYUP by SCOTT,JEREMY(in the paint)",32 (+2),,30,,RUST 32-30 (-2),,"GOOD LAYUP by SCOTT,JEREMY(in the paint)",1
04:28,"FOUL  by SCOTT,JEREMY",,,,,,,"FOUL  by SCOTT,JEREMY",1
04:28,,32 (+1),,31,"GOOD FT by THOMAS,STERLING",MILLSAPS 32-31 (-1),,"GOOD FT by THOMAS,STERLING",1
04:28,,32,,32,"GOOD FT by THOMAS,STERLING",MILLSAPS 32-32 (0),,"GOOD FT by THOMAS,STERLING",1
04:28,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
04:28,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
04:08,"TURNOVER  by THOMPSON,SHUN",,,,,,,"TURNOVER  by THOMPSON,SHUN",1
04:05,,,,,"STEAL  by ALLISON,BRANDON",,,"STEAL  by ALLISON,BRANDON",1
03:54,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
03:54,"SUB IN by BOWENS,JOHNATHAN",,,,,,,"SUB IN by BOWENS,JOHNATHAN",1
03:54,"SUB OUT by GAMBLE,CHRIS",,,,,,,"SUB OUT by GAMBLE,CHRIS",1
03:54,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
03:54,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",1
03:35,"TURNOVER  by BOWENS,JOHNATHAN",,,,,,,"TURNOVER  by BOWENS,JOHNATHAN",1
03:33,,,,,"STEAL  by BERGER,RYAN",,,"STEAL  by BERGER,RYAN",1
03:24,,,,,"TURNOVER  by WILSON,KEVIN",,,"TURNOVER  by WILSON,KEVIN",1
03:24,"SUB IN by VEASLEY,LARRY",,,,,,,"SUB IN by VEASLEY,LARRY",1
03:24,"SUB OUT by SCOTT,JEREMY",,,,,,,"SUB OUT by SCOTT,JEREMY",1
03:24,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
03:24,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
03:04,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",34 (+2),,32,,RUST 34-32 (-2),,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
02:37,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
02:32,,34,,34,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 34-34 (0),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
02:09,"SUB IN by BIRKS,ANDREW",,,,,,,"SUB IN by BIRKS,ANDREW",1
02:09,"SUB OUT by MCCOLLUM,RICKEY",,,,,,,"SUB OUT by MCCOLLUM,RICKEY",1
02:02,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
02:02,"SUB IN by BARNS,KELSEY",,,,,,,"SUB IN by BARNS,KELSEY",1
02:02,"SUB OUT by THOMPSON,SHUN",,,,,,,"SUB OUT by THOMPSON,SHUN",1
01:56,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",36 (+2),,34,,RUST 36-34 (-2),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
01:27,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
01:19,"GOOD 3PTR by VEASLEY,LARRY",39 (+5),,34,,RUST 39-34 (-5),,"GOOD 3PTR by VEASLEY,LARRY",1
01:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
00:58,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
00:58,"STEAL  by BOWENS,JOHNATHAN",,,,,,,"STEAL  by BOWENS,JOHNATHAN",1
00:50,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",1
00:49,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
00:25,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,"REBOUND DEF by BOWENS,JOHNATHAN",,,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",1
00:05,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:40,,39 (+3),,36,"GOOD LAYUP by THOMAS,STERLING(in the paint)",MILLSAPS 39-36 (-3),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
--,,,,,"ASSIST  by WILSON,KEVIN",,,"ASSIST  by WILSON,KEVIN",2
19:20,"MISS JUMPER by BARNS,KELSEY",,,,,,,"MISS JUMPER by BARNS,KELSEY",2
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",2
19:18,"TURNOVER  by VEASLEY,LARRY",,,,,,,"TURNOVER  by VEASLEY,LARRY",2
19:17,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
19:14,,39 (+1),,38,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 39-38 (-1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
18:52,"MISS 3PTR by MCCOLLUM,RICKEY",,,,,,,"MISS 3PTR by MCCOLLUM,RICKEY",2
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",2
18:46,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
18:46,"GOOD FT by VEASLEY,LARRY",40 (+2),,38,,RUST 40-38 (-2),,"GOOD FT by VEASLEY,LARRY",2
18:46,"GOOD FT by VEASLEY,LARRY",41 (+3),,38,,RUST 41-38 (-3),,"GOOD FT by VEASLEY,LARRY",2
18:46,"SUB IN by SCOTT,JEREMY",,,,,,,"SUB IN by SCOTT,JEREMY",2
18:46,"SUB OUT by GAMBLE,CHRIS",,,,,,,"SUB OUT by GAMBLE,CHRIS",2
18:29,"MISS 3PTR by VEASLEY,LARRY",,,,,,,"MISS 3PTR by VEASLEY,LARRY",2
18:19,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",2
18:12,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",43 (+5),,38,,RUST 43-38 (-5),,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",2
17:49,,43 (+3),,40,"GOOD LAYUP by THOMAS,STERLING(in the paint)",MILLSAPS 43-40 (-3),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
17:26,"MISS JUMPER by VEASLEY,LARRY",,,,,,,"MISS JUMPER by VEASLEY,LARRY",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
17:14,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",2
--,"REBOUND DEF by SCOTT,JEREMY",,,,,,,"REBOUND DEF by SCOTT,JEREMY",2
17:05,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",2
17:04,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
17:00,,,,,"MISS DUNK by BERGER,RYAN",,,"MISS DUNK by BERGER,RYAN",2
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",2
16:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:43,"MISS JUMPER by VEASLEY,LARRY",,,,,,,"MISS JUMPER by VEASLEY,LARRY",2
--,"REBOUND OFF by MCCOLLUM,RICKEY",,,,,,,"REBOUND OFF by MCCOLLUM,RICKEY",2
16:29,"MISS JUMPER by SCOTT,JEREMY",,,,,,,"MISS JUMPER by SCOTT,JEREMY",2
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",2
16:26,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",45 (+5),,40,,RUST 45-40 (-5),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",2
16:05,,,,,"TURNOVER  by WILSON,KEVIN",,,"TURNOVER  by WILSON,KEVIN",2
16:04,"STEAL  by MCCOLLUM,RICKEY",,,,,,,"STEAL  by MCCOLLUM,RICKEY",2
15:58,"MISS 3PTR by MCCOLLUM,RICKEY",,,,,,,"MISS 3PTR by MCCOLLUM,RICKEY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:53,"FOUL  by SCOTT,JEREMY",,,,,,,"FOUL  by SCOTT,JEREMY",2
15:53,"SUB IN by GAMBLE,CHRIS",,,,,,,"SUB IN by GAMBLE,CHRIS",2
15:53,"SUB OUT by SCOTT,JEREMY",,,,,,,"SUB OUT by SCOTT,JEREMY",2
15:37,,,,,"MISS JUMPER by THOMAS,STERLING",,,"MISS JUMPER by THOMAS,STERLING",2
--,"REBOUND DEF by GAMBLE,CHRIS",,,,,,,"REBOUND DEF by GAMBLE,CHRIS",2
15:19,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",2
15:11,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:08,,,,,"SUB IN by ALLISON,BRANDON",,,"SUB IN by ALLISON,BRANDON",2
15:08,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
15:08,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
15:08,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
15:04,,45 (+2),,43,"GOOD 3PTR by WILSON,KEVIN",MILLSAPS 45-43 (-2),,"GOOD 3PTR by WILSON,KEVIN",2
--,,,,,"ASSIST  by THOMAS,STERLING",,,"ASSIST  by THOMAS,STERLING",2
14:49,"TURNOVER  by VEASLEY,LARRY",,,,,,,"TURNOVER  by VEASLEY,LARRY",2
14:49,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",2
14:49,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",2
14:33,,45,,45,"GOOD LAYUP by THOMAS,STERLING(in the paint)",MILLSAPS 45-45 (0),,"GOOD LAYUP by THOMAS,STERLING(in the paint)",2
14:08,"MISS 3PTR by BARNS,KELSEY",,,,,,,"MISS 3PTR by BARNS,KELSEY",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
13:57,"SUB IN by THOMPSON,SHUN",,,,,,,"SUB IN by THOMPSON,SHUN",2
13:57,"SUB OUT by MCCOLLUM,RICKEY",,,,,,,"SUB OUT by MCCOLLUM,RICKEY",2
13:57,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
