Time Remaining,RHODES~2,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
19:42,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
19:29,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:24,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
19:11,,0,,2 (+2),"GOOD JUMPER by CORTESE,NICK",MILLSAPS 0-2 (+2),,"GOOD JUMPER by CORTESE,NICK",1
19:09,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
19:09,,0,,3 (+3),"GOOD FT by CORTESE,NICK",MILLSAPS 0-3 (+3),,"GOOD FT by CORTESE,NICK",1
18:49,"TURNOVER  by MILLER,DREW",,,,,,,"TURNOVER  by MILLER,DREW",1
18:29,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
18:29,,0,,4 (+4),"GOOD FT by CORTESE,NICK",MILLSAPS 0-4 (+4),,"GOOD FT by CORTESE,NICK",1
18:29,,0,,5 (+5),"GOOD FT by CORTESE,NICK",MILLSAPS 0-5 (+5),,"GOOD FT by CORTESE,NICK",1
18:29,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
18:29,"SUB OUT by MILLER,DREW",,,,,,,"SUB OUT by MILLER,DREW",1
18:05,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
18:04,,,,,"FOUL  by ALLISON,BRANDON",,,"FOUL  by ALLISON,BRANDON",1
18:04,"GOOD FT by LIVSEY,GEOFF",1,,5 (+4),,RHODES~2 1-5 (+4),,"GOOD FT by LIVSEY,GEOFF",1
18:04,"GOOD FT by LIVSEY,GEOFF",2,,5 (+3),,RHODES~2 2-5 (+3),,"GOOD FT by LIVSEY,GEOFF",1
17:46,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
17:27,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",1
17:13,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
17:03,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
16:48,"GOOD LAYUP by HARTWELL,THEO(in the paint)",4,,5 (+1),,RHODES~2 4-5 (+1),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
16:31,,4,,8 (+4),"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 4-8 (+4),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
16:16,"GOOD 3PTR by GALOW,ANDREW",7,,8 (+1),,RHODES~2 7-8 (+1),,"GOOD 3PTR by GALOW,ANDREW",1
--,"ASSIST  by MCGRAIL,PATRICK",,,,,,,"ASSIST  by MCGRAIL,PATRICK",1
15:57,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
15:48,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
15:47,"STEAL  by GALOW,ANDREW",,,,,,,"STEAL  by GALOW,ANDREW",1
15:44,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",9 (+1),,8,,RHODES~2 9-8 (-1),,"GOOD LAYUP by MCGRAIL,PATRICK(in the paint)",1
15:41,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
15:41,"GOOD FT by MCGRAIL,PATRICK",10 (+2),,8,,RHODES~2 10-8 (-2),,"GOOD FT by MCGRAIL,PATRICK",1
15:41,,,,,"SUB IN by GRIFFON,JACKSON",,,"SUB IN by GRIFFON,JACKSON",1
15:41,,,,,"SUB IN by WILSON,KEVIN",,,"SUB IN by WILSON,KEVIN",1
15:41,,,,,"SUB OUT by ALLISON,BRANDON",,,"SUB OUT by ALLISON,BRANDON",1
15:41,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
15:18,,10,,11 (+1),"GOOD 3PTR by GILLIGAN,TULLY",MILLSAPS 10-11 (+1),,"GOOD 3PTR by GILLIGAN,TULLY",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
15:01,"MISS LAYUP by MCGRAIL,PATRICK",,,,,,,"MISS LAYUP by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
14:42,,,,,"MISS 3PTR by GRIFFON,JACKSON",,,"MISS 3PTR by GRIFFON,JACKSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:36,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",1
14:36,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
