Time Remaining,MILLM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:46,,,,,"MISS LAYUP by ABRAMS,JONATHAN",,,"MISS LAYUP by ABRAMS,JONATHAN",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
19:28,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",1
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",1
18:56,,,,,"MISS LAYUP by GRAHAM,LAKE",,,"MISS LAYUP by GRAHAM,LAKE",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
18:35,"MISS JUMPER by ALLISON,BRANDON",,,,,,,"MISS JUMPER by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
18:25,,0,,2 (+2),"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",BCM 0-2 (-2),,"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",1
17:55,,,,,"FOUL  by HOWARD,MAC",,,"FOUL  by HOWARD,MAC",1
17:52,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
17:51,,,,,"STEAL  by ABRAMS,JONATHAN",,,"STEAL  by ABRAMS,JONATHAN",1
17:49,,0,,4 (+4),"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",BCM 0-4 (-4),,"GOOD LAYUP by ABRAMS,JONATHAN(fastbreak)(in the paint)",1
17:37,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",2,,4 (+2),,MILLM 2-4 (-2),,"GOOD LAYUP by ALLISON,BRANDON(in the paint)",1
17:07,,,,,"MISS JUMPER by HOWARD,MAC",,,"MISS JUMPER by HOWARD,MAC",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
